Date,Open,High,Low,Close,Volume
2014-01-23,961.08,978.55,961.08,976.34,83360704
2014-01-26,976.34,989.06,976.34,987.03,85900800
2014-01-27,987.03,989.17,977.28,982.26,67222400
2014-01-28,982.26,985.91,968.8,971.55,59328500
2014-01-29,971.55,979.68,971.55,975.21,62784600
2014-01-30,975.21,983.05,974.27,974.27,85698400
2014-02-02,974.27,985.13,974.27,979.28,69767800
2014-02-03,979.28,983.36,979.28,981.52,80420000
2014-02-04,981.52,985.77,979.57,979.71,77169400
2014-02-05,979.71,984.32,977.71,982.52,62058200
2014-02-06,982.52,999.37,982.52,996.36,77040096
2014-02-09,996.36,1007.78,996.36,1002.96,69529800
2014-02-10,1002.96,1013.02,995.72,995.73,60348800
2014-02-11,995.73,995.73,985.69,990.74,49058600
2014-02-12,990.74,1002.42,990.74,996.6,57240100
2014-02-13,996.6,1004.33,993.87,995.75,53390600
2014-02-16,995.75,1000.44,985.4,985.43,39029900
2014-02-17,985.43,987.69,977.31,977.31,34406700
2014-02-18,977.31,982.26,970.73,973.53,34883100
2014-02-19,973.53,995.55,973.53,993.93,38266400
2014-02-20,993.93,1002.84,993.93,995.28,39980100
2014-02-23,995.28,996.22,985.14,985.14,42303500
2014-02-24,985.14,994.03,984.68,991.75,52736300
2014-02-25,991.75,1001.24,991.75,993.49,54250000
2014-02-26,993.49,996.72,988.34,992.54,39629300
2014-02-27,992.54,1003.73,992.54,1002.41,64654300
2014-03-02,1002.41,1012.45,1002.27,1002.27,57440000
2014-03-03,1002.27,1009.81,1001.51,1001.52,50543000
2014-03-04,1001.52,1009.55,1001.52,1006.03,46282200
2014-03-05,1006.03,1010.03,1000.76,1007.46,35469600
2014-03-06,1007.46,1014.51,1007.46,1011.35,41292200
2014-03-09,1011.35,1021.76,1011.35,1019.62,51065000
2014-03-10,1019.62,1026.26,1012.21,1012.75,40176300
2014-03-11,1012.75,1015.54,1010.04,1011.7,33610000
2014-03-12,1011.7,1021.0,1011.7,1015.16,45076000
2014-03-13,1015.16,1020.55,1013.05,1014.1,35346400
2014-03-16,1014.1,1014.9,1007.33,1009.3,29251600
2014-03-18,1009.3,1009.3,994.78,995.02,32267200
2014-03-19,995.02,995.02,979.4,983.7,33804800
2014-03-20,983.7,991.76,982.03,989.48,27764500
2014-03-23,989.48,991.84,978.74,978.74,24342300
2014-03-24,978.74,980.08,967.08,967.97,29896700
2014-03-25,967.97,982.11,964.32,979.34,30065100
2014-03-27,979.34,985.35,978.52,981.63,29992100
2014-03-30,981.63,982.5,972.73,973.57,27776100
2014-03-31,973.57,977.37,972.39,975.96,28726100
2014-04-01,975.96,989.59,975.96,987.59,31529400
2014-04-02,987.59,1003.34,987.59,1001.7,50039700
2014-04-03,1001.7,1010.2,1001.7,1008.47,51806400
2014-04-06,1008.47,1015.27,1003.5,1004.27,46134100
2014-04-07,1004.27,1020.9,1004.27,1019.68,50545200
2014-04-08,1019.68,1033.88,1019.6,1021.85,62665200
