Date,Open,High,Low,Close,Volume
2017-10-02,81.1,150.0,81.1,138.4,5693595
2017-10-03,140.0,147.0,127.9,129.5,962089
2017-10-04,126.0,142.4,125.1,142.4,2367700
2017-10-05,145.1,156.6,143.0,144.5,2052356
2017-10-08,144.0,148.5,134.0,136.0,2246879
2017-10-09,137.8,142.5,130.3,140.5,1622919
2017-10-10,142.0,145.5,130.0,131.1,1638853
2017-10-11,130.0,133.9,121.1,122.2,2363909
2017-10-12,122.2,125.0,113.1,115.1,1805145
2017-10-15,116.6,119.9,104.0,107.2,1582407
2017-10-16,107.7,111.8,101.0,102.6,1277864
2017-10-17,95.0,114.7,94.0,111.8,2484240
2017-10-18,113.0,119.3,112.1,114.1,1514095
2017-10-19,112.2,118.0,110.7,114.9,1588353
2017-10-22,116.0,118.6,114.8,117.1,1110203
2017-10-23,118.0,126.0,118.0,122.2,1508505
2017-10-24,123.8,124.4,115.6,116.5,1024891
2017-10-25,117.4,120.9,116.1,117.7,1204989
2017-10-26,118.1,119.5,112.1,113.5,1113467
2017-10-29,114.0,114.0,107.6,108.9,721503
2017-10-30,108.8,116.0,108.1,114.3,693933
2017-10-31,116.0,119.0,116.0,118.6,1058280
2017-11-01,119.0,120.5,114.0,114.8,921851
2017-11-02,115.9,118.0,114.3,115.5,496813
2017-11-05,116.0,119.1,116.0,118.4,856524
2017-11-06,118.3,121.8,115.7,116.2,722036
2017-11-07,117.0,117.6,115.2,115.7,377436
2017-11-08,116.5,117.6,114.0,114.4,523696
2017-11-12,116.0,119.5,108.0,109.6,1348748
2017-11-13,110.0,113.0,107.3,107.8,466712
2017-11-14,109.5,109.8,103.9,105.5,568137
2017-11-15,106.0,108.4,103.3,104.0,344144
2017-11-16,106.0,106.6,103.6,104.1,263341
2017-11-19,106.5,108.9,104.1,105.7,404653
2017-11-20,106.3,108.0,100.0,100.9,661783
2017-11-21,101.0,102.0,91.7,92.6,1325586
2017-11-22,94.0,97.0,93.0,95.9,472454
2017-11-23,97.1,98.5,95.0,95.2,496937
2017-11-26,95.6,96.5,91.7,92.2,431328
2017-11-27,93.7,95.0,92.0,92.6,455010
2017-11-28,93.0,93.9,91.1,91.3,238365
2017-11-29,91.5,92.0,88.3,89.2,451053
2017-11-30,89.3,92.2,88.8,91.7,520451
2017-12-03,92.9,94.0,91.9,92.2,268673
2017-12-04,92.5,93.7,91.4,92.2,335611
2017-12-05,92.6,92.6,90.5,90.7,249586
2017-12-06,90.8,91.4,88.5,88.9,288224
2017-12-07,87.2,89.8,86.9,87.1,255007
2017-12-10,87.9,88.0,85.5,85.9,220501
2017-12-11,86.5,88.6,86.2,87.8,240490
2017-12-12,88.5,94.8,88.3,92.8,778250
2017-12-13,93.6,93.6,91.0,91.4,213574
2017-12-14,91.7,92.6,89.2,89.6,337451
2017-12-17,90.0,95.4,88.8,95.0,890115
2017-12-18,95.8,98.6,95.3,96.7,763304
2017-12-19,96.5,102.7,94.9,101.4,1288582
2017-12-20,100.0,104.6,100.0,102.7,846306
2017-12-21,102.7,102.7,99.2,100.0,600406
2017-12-24,99.3,101.1,95.4,96.3,531653
2017-12-26,95.6,98.4,95.0,96.6,349240
2017-12-27,95.0,98.4,95.0,96.8,295919
2017-12-28,96.2,100.2,96.2,97.7,436521
2018-01-01,97.6,99.6,96.5,96.8,204238
2018-01-02,97.0,97.0,96.3,96.5,27859
2018-01-03,94.9,96.9,94.9,96.1,276652
2018-01-04,95.6,97.8,95.6,97.0,217435
2018-01-07,97.1,98.9,96.1,96.5,131092
2018-01-08,95.0,97.7,95.0,95.4,115298
2018-01-09,95.2,96.9,92.7,93.4,198799
2018-01-10,93.0,94.3,92.0,92.8,138652
2018-01-11,92.5,92.5,86.0,89.1,1372706
2018-01-14,90.0,90.0,87.0,88.1,251424
2018-01-15,87.7,89.0,87.1,87.5,243430
2018-01-16,88.0,90.9,88.0,90.5,495140
2018-01-17,91.0,92.4,89.3,90.0,490439
2018-01-18,89.7,90.8,89.6,90.4,161425
2018-01-21,91.0,91.5,88.0,88.4,191220
2018-01-22,88.7,89.8,88.3,88.8,187968
2018-01-23,90.0,90.6,87.1,87.6,391238
2018-01-24,88.5,89.1,86.7,88.1,235922
