Date,Open,High,Low,Close,Volume
2012-10-01,141.1,143.0,135.9,140.0,750250
2012-10-02,142.0,147.3,140.3,142.2,1168450
2012-10-03,145.0,145.0,137.0,137.5,876900
2012-10-04,138.5,140.0,133.5,134.3,698850
2012-10-07,136.0,136.0,129.2,129.9,545450
2012-10-08,133.9,133.9,126.8,129.3,333850
2012-10-09,133.5,135.0,131.1,131.9,494100
2012-10-10,134.0,135.0,129.2,130.6,478100
2012-10-11,131.3,132.0,129.0,129.3,283700
2012-10-14,129.8,131.8,126.9,127.2,366600
2012-10-15,131.5,131.9,126.6,127.3,281250
2012-10-16,127.0,133.0,127.0,130.5,364150
2012-10-17,131.9,132.7,128.3,128.5,234050
2012-10-18,128.1,130.0,127.0,127.6,209600
2012-10-21,129.8,129.8,126.0,126.2,219850
2012-10-22,125.2,129.0,125.2,128.0,137700
2012-10-23,128.5,131.0,128.5,129.4,217100
2012-10-30,128.2,130.4,127.5,128.8,107950
2012-10-31,128.0,130.1,127.8,128.3,172900
2012-11-01,129.0,135.0,128.5,134.6,582450
2012-11-04,135.1,138.0,134.6,135.0,716300
2012-11-05,135.3,136.7,133.1,134.9,315800
2012-11-06,135.8,135.9,130.0,131.0,291250
2012-11-07,132.1,133.0,128.1,128.7,222850
2012-11-08,128.8,130.5,126.8,127.1,226950
2012-11-11,127.0,127.8,122.6,123.2,271800
2012-11-12,123.5,125.8,120.0,120.7,288800
2012-11-13,122.0,124.6,118.6,123.2,276200
2012-11-14,125.9,125.9,123.2,123.3,202700
2012-11-15,124.3,124.6,122.2,123.5,175600
2012-11-18,123.9,126.0,122.5,123.4,208850
2012-11-19,121.6,123.0,118.5,118.8,249250
2012-11-20,117.7,120.8,109.3,111.0,379450
2012-11-21,113.4,113.4,105.2,107.8,358000
2012-11-22,106.5,108.1,102.7,103.5,409250
2012-11-26,110.0,110.0,105.0,107.4,322750
2012-11-27,107.1,110.3,105.5,108.6,201800
2012-11-28,109.9,110.5,107.2,107.9,215050
2012-11-29,110.0,115.2,109.1,114.5,392500
2012-12-02,119.9,119.9,114.5,114.8,308700
2012-12-03,114.0,114.5,109.8,110.1,243400
2012-12-04,110.0,110.2,107.2,109.4,408400
2012-12-06,88.2,89.0,83.5,87.4,511100
2012-12-09,85.2,87.6,85.0,87.0,213450
2012-12-10,86.9,87.3,86.1,86.5,134000
2012-12-11,86.5,86.8,84.6,86.6,245200
2012-12-12,87.0,87.6,85.0,85.2,92150
2012-12-13,86.0,86.0,85.3,85.5,138050
2012-12-17,86.0,86.4,84.8,85.0,133650
2012-12-18,85.2,85.5,83.6,84.0,100500
2012-12-19,83.5,84.9,83.5,84.0,274850
2012-12-20,84.8,86.5,84.3,84.6,155500
2012-12-23,86.0,86.0,83.8,84.3,122850
2012-12-24,83.7,84.6,83.6,83.9,122400
2012-12-26,84.0,84.4,83.8,83.8,90050
2012-12-27,84.3,85.1,83.9,84.6,124550
2012-12-30,84.6,85.2,84.4,85.0,160500
