Date,Open,High,Low,Close,Volume
2012-10-01,35.0,39.0,35.0,38.9,3892000
2012-10-02,40.0,42.6,40.0,41.7,2865500
2012-10-03,42.0,42.0,37.8,38.1,1988500
2012-10-04,39.0,39.4,35.9,36.4,1337000
2012-10-07,36.8,38.2,35.0,35.2,1335000
2012-10-08,36.1,37.1,33.8,35.4,1086500
2012-10-09,36.0,38.9,36.0,38.8,1916000
2012-10-10,39.9,40.9,37.2,37.5,1725500
2012-10-11,37.5,38.4,36.6,37.5,1261000
2012-10-14,38.0,41.2,38.0,39.3,2929000
2012-10-15,40.5,40.8,38.1,38.5,1053500
2012-10-16,38.1,39.0,37.4,37.6,619000
2012-10-17,38.0,38.4,35.7,36.5,1043500
2012-10-18,37.7,38.7,36.6,37.1,1623000
2012-10-21,38.6,38.6,36.0,36.4,969500
2012-10-22,36.4,37.4,36.4,37.0,551500
2012-10-23,38.0,38.3,37.0,37.3,883000
2012-10-30,37.5,37.5,34.9,35.5,785000
2012-10-31,36.0,36.3,33.1,33.7,748500
2012-11-01,33.0,34.5,32.3,33.7,871500
2012-11-04,34.6,34.6,32.0,32.5,489500
2012-11-05,33.0,33.9,32.4,33.5,570500
2012-11-06,33.9,34.7,32.8,33.1,620000
2012-11-07,34.0,34.0,32.0,32.2,428000
2012-11-08,32.5,32.8,30.5,30.7,398000
2012-11-11,29.0,31.0,29.0,29.9,786000
2012-11-12,29.7,30.5,28.3,28.9,242500
2012-11-13,29.3,30.8,28.6,30.5,387500
2012-11-14,30.5,31.1,29.9,30.2,326500
2012-11-15,30.0,30.3,29.7,29.8,284500
2012-11-18,29.8,29.9,28.0,28.5,461000
2012-11-19,28.0,28.3,26.3,26.7,303000
2012-11-20,27.0,27.1,25.6,25.8,351500
2012-11-21,26.7,26.7,25.3,26.1,455000
2012-11-26,24.2,25.3,24.0,24.4,703500
2012-11-27,24.3,24.5,23.5,23.7,239000
2012-11-28,24.0,24.4,23.2,23.4,251500
2012-11-29,24.8,25.7,24.0,25.5,783000
2012-12-02,26.0,26.1,24.3,24.6,688000
2012-12-03,24.3,25.2,23.8,24.0,257500
2012-12-04,24.0,24.8,23.7,24.5,270000
2012-12-05,24.1,24.9,24.1,24.5,259000
2012-12-06,24.2,24.8,24.1,24.6,468500
2012-12-09,24.4,24.7,23.7,24.3,406500
2012-12-10,24.6,24.6,23.6,23.8,280500
2012-12-11,23.9,24.1,23.7,23.9,142000
2012-12-12,24.4,24.6,23.5,23.6,148000
2012-12-13,23.7,23.9,23.5,23.6,310000
2012-12-17,24.2,24.3,23.6,23.8,161500
2012-12-18,24.2,24.2,23.2,23.3,148000
2012-12-19,23.8,23.9,23.3,23.4,289500
2012-12-20,23.8,24.2,23.4,23.5,174500
2012-12-23,23.7,23.7,23.0,23.3,141500
2012-12-24,23.3,23.6,23.0,23.2,119500
2012-12-26,23.6,23.6,23.0,23.2,267000
2012-12-27,23.5,24.0,23.0,23.7,283500
2012-12-30,23.8,24.2,23.5,23.9,276000
2013-01-01,23.9,23.9,23.5,23.5,66000
2013-01-02,23.7,23.8,23.2,23.2,66500
