Date,Open,High,Low,Close,Volume
2012-10-01,33.0,36.0,33.0,35.1,71500
2012-10-02,35.1,37.3,35.0,37.0,102000
2012-10-03,39.0,39.0,36.6,37.3,309000
2012-10-04,37.3,38.0,36.5,36.6,87000
2012-10-07,37.0,37.0,34.9,35.8,36500
2012-10-08,34.6,34.8,34.1,34.3,39500
2012-10-09,36.6,36.6,35.1,35.3,50500
2012-10-10,35.0,35.3,34.0,34.1,35000
2012-10-11,33.8,34.0,33.0,33.3,35500
2012-10-14,34.9,35.6,33.7,34.2,24500
2012-10-15,33.3,34.8,33.3,34.5,14000
2012-10-16,35.5,36.0,34.8,35.2,47500
2012-10-17,36.0,36.5,34.1,35.3,52000
2012-10-18,34.1,35.2,34.1,34.4,7500
2012-10-21,33.7,35.5,33.7,34.6,11500
2012-10-22,34.5,35.0,33.8,34.2,16500
2012-10-23,35.0,35.4,34.3,34.8,24000
2012-10-30,33.6,35.0,33.5,33.8,8500
2012-10-31,35.8,35.8,33.9,34.0,83500
2012-11-01,35.3,35.3,33.6,34.1,32500
2012-11-04,33.7,33.9,33.3,33.4,12500
2012-11-05,33.1,33.6,33.0,33.3,41000
2012-11-06,32.3,34.2,32.3,33.3,14500
2012-11-07,33.0,33.5,32.4,32.5,29000
2012-11-08,35.6,35.6,32.1,33.2,46500
2012-11-11,33.2,33.3,32.0,32.0,25000
2012-11-12,33.0,33.0,30.9,31.1,30500
2012-11-13,31.3,32.7,31.3,32.5,22500
2012-11-14,32.0,32.7,31.6,31.9,14000
2012-11-15,31.5,33.0,31.5,32.1,20000
2012-11-18,33.0,33.0,32.0,32.7,25500
2012-11-19,31.5,31.7,31.3,31.4,26500
2012-11-20,30.9,31.2,30.9,31.0,36500
2012-11-21,31.0,31.9,31.0,31.4,24000
2012-11-22,31.0,31.9,31.0,31.2,24500
2012-11-26,31.9,31.9,30.2,30.4,5500
2012-11-27,30.8,31.5,30.8,31.2,4000
2012-11-28,30.5,30.5,29.2,29.8,6000
2012-11-29,31.6,32.5,31.5,32.0,23500
2012-12-02,29.9,32.0,29.9,31.5,16500
2012-12-03,31.0,31.0,30.8,30.9,3500
2012-12-04,30.7,30.8,30.0,30.3,39000
2012-12-05,30.3,30.5,30.3,30.4,12000
2012-12-06,31.0,31.0,30.1,30.6,8000
2012-12-09,29.7,31.7,29.6,30.7,57500
2012-12-10,29.5,31.3,29.4,30.8,54500
2012-12-11,29.7,31.0,29.7,30.9,27000
2012-12-12,30.0,31.0,29.8,30.2,14500
2012-12-13,30.3,30.9,30.3,30.4,17500
2012-12-17,31.0,31.6,31.0,31.4,3000
2012-12-18,30.4,30.4,30.2,30.2,4500
2012-12-19,30.1,31.4,30.1,30.6,7500
2012-12-20,30.7,30.7,30.6,30.6,6000
2012-12-23,30.0,30.0,29.7,29.9,53500
2012-12-24,27.0,31.2,27.0,29.7,18500
2012-12-26,30.0,30.5,30.0,30.1,14500
2012-12-27,31.1,31.3,30.1,30.5,14000
2012-12-30,33.5,33.5,30.2,31.5,13500
2013-01-01,30.1,30.7,30.1,30.5,9500
2013-01-02,30.2,30.6,30.2,30.4,5000
2013-01-03,27.9,31.3,27.9,30.4,34000
2013-01-06,31.0,31.0,31.0,31.0,500
2013-01-07,34.0,34.0,30.6,31.2,15500
2013-01-08,29.6,31.2,29.6,30.2,8000
2013-01-09,30.0,31.0,29.8,30.4,8500
2013-01-10,30.4,30.9,30.2,30.3,16000
2013-01-13,32.3,32.3,30.3,30.8,9500
2013-01-14,30.7,31.1,30.7,30.8,25500
2013-01-15,31.2,31.2,30.9,31.0,4500
2013-01-16,31.0,31.3,31.0,31.0,8500
2013-01-17,31.3,31.6,31.0,31.2,6500
2013-01-20,31.3,31.3,31.2,31.2,7500
2013-01-21,30.8,31.3,30.8,31.1,5000
2013-01-22,31.5,31.5,30.5,31.0,9500
2013-01-23,31.2,31.9,31.2,31.8,24000
2013-01-24,31.3,32.6,31.3,32.2,26500
2013-01-27,32.7,32.7,31.5,32.2,14500
