Date,Open,High,Low,Close,Volume
2017-12-28,143.0,143.0,143.0,143.0,64272
2018-01-01,157.3,157.3,133.0,137.3,660857
2018-01-02,134.0,134.0,123.6,123.6,96440
2018-01-03,123.6,124.0,114.5,119.4,342892
2018-01-04,128.9,131.1,119.0,120.4,99309
2018-01-07,126.0,126.0,120.0,121.4,111649
2018-01-08,128.0,128.0,120.0,122.9,95861
2018-01-09,125.9,125.9,122.5,123.7,38878
2018-01-10,124.9,134.0,124.0,125.0,173091
2018-01-11,126.0,126.0,118.8,119.1,148686
2018-01-14,119.1,119.3,107.2,107.2,186776
2018-01-15,105.0,105.0,96.5,98.4,335426
2018-01-16,98.7,104.0,98.7,102.3,75517
2018-01-17,104.0,105.3,94.3,95.7,107211
2018-01-18,95.0,98.9,88.0,98.2,107949
2018-01-21,103.3,103.3,98.3,101.6,80722
2018-01-22,104.3,104.3,100.0,101.7,64755
2018-01-23,102.0,102.6,98.0,98.7,39869
2018-01-24,99.0,102.9,97.4,100.4,123483
2018-01-25,101.9,104.5,98.0,103.6,187500
2018-01-28,103.8,104.0,99.0,99.4,100344
2018-01-29,104.8,109.2,102.2,107.6,913721
2018-01-30,108.8,115.8,108.8,112.4,575894
2018-01-31,112.5,112.9,108.5,111.7,529691
2018-02-01,113.7,119.0,110.5,117.6,999410
2018-02-04,118.6,119.6,114.9,115.6,813980
2018-02-05,116.5,117.0,111.5,112.8,742517
2018-02-06,113.0,114.8,111.6,112.9,428338
2018-02-07,113.0,116.8,112.2,114.7,818021
2018-02-08,115.0,116.5,113.0,113.4,539302
2018-02-11,113.6,115.5,110.4,111.0,905164
2018-02-12,112.4,112.8,110.0,111.2,592798
2018-02-13,111.2,115.9,111.2,114.6,928172
2018-02-14,115.0,116.0,111.6,112.6,772349
2018-02-15,112.4,114.2,109.1,109.6,652532
2018-02-18,109.9,111.0,102.1,103.3,748166
2018-02-19,104.0,106.8,99.7,101.2,574380
2018-02-20,102.8,107.8,102.8,105.2,732874
2018-02-22,105.8,108.9,103.8,105.0,574537
2018-02-25,105.4,105.9,99.0,99.8,492281
2018-02-26,101.0,102.0,95.7,96.3,449593
2018-02-27,98.9,99.3,95.2,96.1,338022
2018-02-28,96.5,96.8,93.1,93.9,394537
2018-03-01,94.5,100.9,94.0,100.3,738953
2018-03-04,101.8,104.2,101.5,102.4,661993
2018-03-05,103.0,103.9,101.3,101.7,662572
2018-03-06,102.9,104.4,101.6,103.3,708187
2018-03-07,104.0,104.2,100.1,101.6,406055
2018-03-08,102.1,102.8,99.7,101.8,272544
2018-03-12,102.0,102.0,96.3,96.8,365472
2018-03-13,97.0,98.7,93.1,94.0,258225
2018-03-14,94.0,96.0,93.0,94.1,213792
2018-03-15,94.3,95.1,93.6,94.2,196236
2018-03-18,94.6,95.0,91.4,91.9,238093
2018-03-19,93.3,93.3,89.5,90.3,268727
2018-03-20,90.1,90.1,87.3,87.8,353501
2018-03-21,87.7,89.5,85.7,88.2,574195
2018-03-22,89.0,91.5,88.1,90.1,338975
2018-03-25,90.2,90.9,85.2,86.3,230436
2018-03-27,86.0,86.1,81.5,82.3,278045
2018-03-28,82.4,84.0,81.3,81.9,317838
2018-03-29,81.9,83.5,81.1,82.9,192173
2018-04-01,83.7,86.3,83.5,85.8,314276
2018-04-02,86.1,89.9,85.9,89.3,308883
2018-04-03,90.8,91.0,86.5,87.2,294157
2018-04-04,87.5,92.0,87.5,91.2,604816
2018-04-05,92.6,96.5,91.9,95.7,604951
2018-04-08,96.0,101.6,95.9,100.6,873217
2018-04-09,102.9,104.0,97.3,98.8,630630
2018-04-10,99.1,105.0,97.7,104.3,1207369
2018-04-11,104.3,108.0,104.0,105.1,1077390
2018-04-12,105.5,105.5,101.1,103.5,556123
2018-04-15,103.5,105.4,100.2,101.5,512460
2018-04-16,101.9,104.0,98.6,103.4,463287
2018-04-17,104.4,109.1,104.0,108.5,1114306
2018-04-18,109.0,112.3,108.8,111.2,884080
2018-04-19,110.5,111.5,106.0,107.1,789181
2018-04-22,107.3,112.1,107.3,109.5,1331183
2018-04-23,111.0,111.6,107.9,111.0,941166
2018-04-24,109.0,109.9,105.0,108.4,408872
2018-04-25,109.0,109.7,106.5,109.3,622863
2018-04-26,108.8,109.7,105.5,106.4,371362
2018-04-30,108.4,109.4,105.0,108.3,433137
2018-05-03,109.8,109.8,102.7,103.8,279112
2018-05-06,104.0,109.8,104.0,108.7,627480
2018-05-07,109.0,109.2,105.0,105.6,394178
2018-05-08,106.8,108.6,106.0,107.7,540044
2018-05-09,107.8,107.9,102.3,103.1,224246
2018-05-10,104.0,105.0,101.5,102.8,303620
2018-05-13,103.0,104.0,99.0,99.8,110182
2018-05-14,101.5,102.2,97.4,98.4,156283
2018-05-15,100.7,101.7,98.0,98.5,46459
2018-05-16,100.1,100.8,95.7,96.4,376492
2018-05-17,96.5,99.1,92.2,93.4,134635
2018-05-20,95.8,96.2,90.7,91.0,182406
2018-05-21,92.4,94.6,91.0,91.8,219732
2018-05-22,91.9,93.3,89.3,89.9,245948
2018-05-23,89.9,89.9,85.3,86.0,290897
2018-05-24,87.0,90.1,85.9,89.7,234137
2018-05-27,90.0,90.9,86.6,86.8,205082
2018-05-28,86.5,88.4,84.8,85.0,239177
2018-05-29,86.2,93.5,84.5,93.5,1877251
2018-05-30,95.5,102.8,95.0,102.8,2494383
2018-05-31,104.8,107.8,99.8,105.4,1735501
2018-06-03,106.2,112.4,106.2,111.6,2124325
2018-06-04,111.6,113.8,100.6,105.2,2533303
2018-06-05,105.3,107.0,101.5,102.7,1923149
2018-06-06,102.8,107.9,102.5,103.5,2421158
2018-06-07,104.0,105.0,96.7,97.7,1914705
2018-06-10,96.0,100.7,96.0,99.0,1237745
2018-06-11,99.0,103.4,99.0,100.7,1221947
2018-06-12,101.8,101.8,96.5,97.3,983396
2018-06-18,98.0,107.0,98.0,107.0,3076632
2018-06-19,108.0,112.6,103.3,105.0,2822152
2018-06-20,105.9,114.0,105.5,111.9,2764174
2018-06-21,114.8,119.5,112.6,113.4,3779318
2018-06-24,113.0,113.0,104.1,105.1,1966181
2018-06-25,105.2,108.0,99.5,101.0,1832042
2018-06-26,103.0,104.6,100.7,101.8,1330676
2018-06-27,103.9,107.4,103.5,104.1,1686014
2018-06-28,104.8,105.7,101.5,102.0,1326590
2018-07-02,103.0,103.0,97.7,98.3,1459802
2018-07-03,99.0,104.7,98.4,101.6,969365
2018-07-04,103.9,104.5,100.5,100.9,1474759
2018-07-05,103.0,108.0,99.5,104.0,3435802
2018-07-08,105.0,107.8,102.1,102.8,1797821
2018-07-09,103.7,103.8,99.7,100.2,1543508
2018-07-10,100.3,103.0,100.0,100.4,1588126
2018-07-11,101.9,102.4,96.6,97.3,1338013
2018-07-12,97.7,99.0,95.1,95.9,932936
2018-07-15,97.4,99.6,95.8,96.4,894245
2018-07-16,98.4,99.5,94.3,94.9,655709
2018-07-17,96.1,96.4,92.0,92.7,825051
2018-07-18,93.2,94.7,92.0,93.6,833522
2018-07-19,93.6,96.4,92.3,93.2,739105
2018-07-22,95.1,95.9,93.7,94.1,882819
2018-07-23,94.8,95.8,93.1,93.3,604842
2018-07-24,93.5,94.0,90.5,91.2,550568
2018-07-25,92.0,93.6,89.2,91.2,950405
2018-07-26,92.0,92.7,89.4,89.9,383378
2018-07-29,90.1,90.5,86.7,87.3,403240
2018-07-30,87.0,88.4,85.2,85.7,502822
2018-07-31,86.0,94.2,86.0,94.2,1154291
2018-08-01,98.8,98.8,91.2,92.2,1022841
2018-08-02,92.4,93.0,88.8,89.1,815177
2018-08-05,89.3,92.0,88.0,88.3,454545
2018-08-06,88.9,90.6,88.2,88.8,355614
2018-08-07,89.8,90.4,87.9,88.2,408338
2018-08-08,88.5,89.7,87.1,87.3,392522
2018-08-09,87.3,88.3,85.9,86.2,416274
2018-08-12,86.3,87.9,84.8,85.3,373792
2018-08-13,85.3,85.9,83.1,83.6,309633
2018-08-14,84.5,84.7,83.0,84.0,346077
2018-08-16,84.5,88.0,84.4,86.5,476155
2018-08-19,87.0,87.1,83.5,83.9,283697
2018-08-20,84.6,86.4,83.7,85.9,338504
2018-08-26,86.3,86.5,85.1,85.5,154868
2018-08-27,86.0,86.8,85.4,86.3,270436
2018-08-28,87.0,90.5,86.5,88.2,828284
2018-08-29,89.1,90.3,87.0,87.2,370766
2018-08-30,87.5,88.4,85.4,85.7,470639
2018-09-03,86.0,87.3,85.2,85.4,280928
2018-09-04,86.1,86.6,85.2,85.4,260197
2018-09-05,86.2,86.9,85.7,86.3,363182
2018-09-06,86.9,89.2,86.3,86.6,461648
2018-09-09,86.9,87.0,85.0,85.2,406849
2018-09-10,85.8,86.6,84.2,84.4,420563
2018-09-11,85.3,85.5,83.8,84.1,196170
2018-09-12,84.8,85.1,83.2,83.5,238638
2018-09-13,83.7,86.3,83.4,84.3,409056
2018-09-16,85.5,85.5,81.8,82.5,347467
2018-09-17,82.7,83.1,79.6,79.9,371626
2018-09-18,80.1,81.6,78.0,78.4,359713
2018-09-19,79.0,80.4,77.1,78.0,555576
2018-09-20,77.5,83.0,77.5,81.7,851046
2018-09-23,82.0,83.0,78.1,78.8,252817
2018-09-24,79.3,79.3,73.6,74.4,473279
2018-09-25,75.5,75.9,72.1,72.8,424630
2018-09-26,73.0,73.8,70.6,71.0,335250
2018-09-27,71.6,74.5,71.6,72.2,515653
2018-09-30,72.8,73.5,71.7,72.7,296749
2018-10-01,73.0,74.2,72.5,72.9,317425
2018-10-02,72.9,74.1,72.9,73.8,245438
2018-10-03,74.0,75.9,73.8,75.0,362439
2018-10-04,75.2,75.5,73.6,73.8,237563
2018-10-07,73.8,73.8,71.7,72.1,376440
2018-10-08,72.6,73.3,71.6,71.9,350122
2018-10-09,72.3,72.8,71.8,72.0,239212
2018-10-10,72.0,72.1,69.8,70.1,386694
2018-10-11,70.3,71.7,70.1,70.4,213387
2018-10-14,70.6,71.4,69.9,70.0,170171
2018-10-15,70.4,70.8,67.9,68.1,329927
2018-10-16,68.6,69.1,67.2,68.4,279511
2018-10-17,68.2,69.8,67.5,67.8,184948
2018-10-18,67.8,68.4,64.5,65.0,321860
2018-10-21,65.1,65.4,61.3,61.8,441967
2018-10-22,62.6,65.5,61.8,64.5,575207
2018-10-23,64.8,67.1,63.8,65.5,437060
2018-10-24,65.9,68.1,64.9,67.4,463207
2018-10-25,67.5,71.5,66.7,70.8,665787
2018-10-28,70.9,74.5,70.9,73.5,930897
2018-10-29,78.0,81.6,74.0,80.7,1280260
2018-10-30,81.8,83.1,78.3,79.0,809161
2018-10-31,78.1,84.4,77.9,83.8,1163202
2018-11-01,84.8,86.9,83.8,84.1,804662
2018-11-04,84.1,84.1,81.0,81.8,713230
2018-11-05,82.5,84.5,79.9,80.4,1038317
2018-11-06,81.4,82.6,79.9,81.6,570012
2018-11-07,82.5,84.6,82.2,82.3,758195
2018-11-08,82.5,82.9,81.3,81.6,429639
2018-11-11,81.1,82.3,79.3,79.9,443440
2018-11-12,80.2,80.4,74.8,75.2,640825
2018-11-13,75.7,76.7,72.5,72.9,341556
2018-11-14,74.1,77.0,74.0,76.2,272972
2018-11-15,77.1,79.0,75.3,77.4,462468
2018-11-19,72.8,75.0,71.0,71.8,542448
2018-11-20,71.5,72.0,69.0,69.3,243842
2018-11-22,65.1,70.0,65.1,68.3,233002
2018-11-25,68.3,69.0,67.6,67.9,159391
2018-11-26,68.0,68.5,66.2,66.5,197451
2018-11-27,66.9,68.4,66.4,67.9,547605
2018-11-28,68.0,71.0,68.0,69.5,357501
2018-11-29,70.1,70.7,67.0,67.4,346800
2018-12-02,67.3,67.9,66.2,66.6,263670
2018-12-03,68.2,68.2,66.5,66.8,251932
2018-12-04,67.6,69.7,66.7,68.3,464339
2018-12-05,69.4,69.5,67.1,67.2,173694
2018-12-06,67.0,69.0,67.0,67.4,230076
2018-12-09,67.9,68.3,66.2,66.5,218462
2018-12-10,66.7,67.6,65.1,65.4,186477
2018-12-11,65.7,67.0,63.8,64.1,164517
2018-12-12,64.2,65.5,63.2,63.6,198438
2018-12-13,64.0,64.7,62.9,63.0,110664
2018-12-17,63.8,63.8,60.9,61.1,96757
2018-12-18,61.4,62.4,61.2,61.9,90504
2018-12-19,62.5,64.5,62.2,64.0,204281
2018-12-20,64.3,66.7,63.8,65.7,258746
2018-12-23,65.0,65.8,63.3,63.6,153197
2018-12-24,63.6,64.5,63.5,63.7,94930
2018-12-26,63.5,64.2,63.4,63.6,76381
2018-12-27,64.0,64.0,63.2,63.7,81860
2019-01-01,65.0,66.9,64.0,66.4,284434
2019-01-02,66.2,67.3,65.7,67.0,225468
2019-01-03,67.0,67.8,66.9,67.5,431319
2019-01-06,67.9,72.9,67.9,72.1,840500
2019-01-07,73.4,76.3,71.5,73.2,1384540
2019-01-08,74.0,74.7,71.9,72.3,720444
2019-01-09,72.9,73.0,70.1,70.6,529442
2019-01-10,70.7,71.6,69.9,70.2,369099
2019-01-13,71.4,74.0,71.2,73.6,595673
2019-01-14,73.9,74.9,71.5,71.8,402112
2019-01-15,72.0,72.4,70.4,70.7,305312
2019-01-16,71.0,71.8,70.0,70.2,276048
2019-01-17,70.1,70.7,69.0,69.3,265729
2019-01-20,69.4,69.4,67.2,67.7,403805
2019-01-21,68.0,69.0,66.9,67.1,377964
2019-01-22,67.2,68.1,66.0,66.4,204946
2019-01-23,66.6,68.0,66.2,66.8,261217
2019-01-24,66.4,68.2,66.4,67.1,232937
2019-01-27,68.0,69.0,67.2,68.1,150308
2019-01-28,68.2,68.2,66.4,66.8,166848
2019-01-29,66.8,67.1,65.3,65.5,199218
