Date,Open,High,Low,Close,Volume
2012-10-01,26.0,26.6,25.7,26.0,349000
2012-10-02,26.7,27.4,26.4,26.8,487500
2012-10-03,27.0,27.0,26.4,26.8,428000
2012-10-04,26.7,26.8,26.1,26.2,293000
2012-10-07,26.0,26.4,25.7,25.8,426250
2012-10-08,25.2,26.5,25.2,25.6,236250
2012-10-09,25.7,26.6,25.6,25.7,281750
2012-10-10,25.6,26.4,25.6,25.9,499500
2012-10-11,26.0,26.0,25.5,25.5,287000
2012-10-14,25.8,25.8,25.0,25.1,411000
2012-10-15,25.4,25.4,24.9,25.1,325750
2012-10-16,25.5,25.6,25.0,25.0,441250
2012-10-17,25.5,25.5,24.5,24.6,511500
2012-10-18,24.6,25.0,24.5,24.7,456750
2012-10-21,25.0,25.1,24.5,24.9,454250
2012-10-22,25.4,25.8,24.7,25.5,627500
2012-10-23,25.6,26.2,25.5,25.7,537750
2012-10-30,25.6,25.7,25.0,25.3,421250
2012-10-31,25.7,25.8,24.5,24.5,590000
2012-11-01,24.9,24.9,24.5,24.6,621250
2012-11-04,25.2,25.2,24.4,24.5,387750
2012-11-05,24.5,24.6,24.1,24.2,372250
2012-11-06,24.3,24.4,23.9,24.0,495250
2012-11-07,24.0,24.3,23.9,23.9,610000
2012-11-08,24.3,24.3,23.9,24.0,478000
2012-11-11,24.0,24.0,23.2,23.3,593000
2012-11-12,23.5,23.7,23.3,23.4,647750
2012-11-13,23.5,23.7,23.2,23.4,385250
2012-11-14,23.4,23.8,23.4,23.4,510000
2012-11-15,23.5,23.6,23.3,23.4,496750
2012-11-18,23.6,23.8,23.4,23.4,468000
2012-11-19,23.3,23.4,22.6,22.8,517250
2012-11-20,23.0,23.0,22.5,22.6,260250
2012-11-21,23.0,23.1,22.5,22.6,375000
2012-11-22,23.0,23.1,22.5,22.6,280000
2012-11-26,22.6,22.7,22.0,22.1,323500
2012-11-27,22.0,22.0,21.6,21.7,427250
2012-11-28,22.0,22.0,21.4,21.4,440250
2012-11-29,22.0,23.5,21.7,23.4,1128000
2012-12-02,23.7,24.0,23.2,23.3,568750
2012-12-03,23.6,23.6,22.6,22.9,399250
2012-12-04,22.9,23.3,22.5,22.9,653000
2012-12-05,24.7,25.0,23.0,23.7,539500
2012-12-06,23.0,24.0,23.0,23.8,422750
2012-12-09,23.6,23.6,23.3,23.3,221000
2012-12-10,23.2,24.0,23.1,23.6,302000
2012-12-11,23.4,24.3,23.3,24.0,390750
2012-12-12,24.0,24.9,24.0,24.5,894750
2012-12-13,24.4,25.3,24.4,25.0,679250
2012-12-17,25.0,26.0,25.0,25.3,1466250
2012-12-18,25.3,25.3,24.7,25.1,589750
2012-12-19,25.1,25.7,25.0,25.2,734000
2012-12-20,25.2,25.5,24.8,24.9,397250
2012-12-23,24.6,24.9,24.5,24.5,235750
2012-12-24,24.5,25.0,24.5,24.8,478250
2012-12-26,25.0,25.1,24.8,24.9,442500
2012-12-27,25.0,25.3,24.8,25.0,711000
2012-12-30,25.9,25.9,25.1,25.1,1013750
2013-01-01,25.4,25.7,25.0,25.1,586250
2013-01-02,25.0,25.2,24.7,24.7,185250
2013-01-03,24.7,25.0,24.4,24.6,413000
2013-01-06,24.8,24.8,24.2,24.3,323750
