Date,Open,High,Low,Close,Volume
2012-10-01,240.0,244.5,236.0,242.8,1900
2012-10-02,255.0,255.0,233.0,235.6,6100
2012-10-03,241.8,241.8,235.5,237.8,4900
2012-10-04,239.0,239.0,234.6,236.9,2350
2012-10-07,235.0,235.0,230.0,231.7,2750
2012-10-08,228.0,234.0,227.0,230.9,2100
2012-10-09,232.3,235.0,232.1,232.8,2400
2012-10-10,231.0,235.0,231.0,233.2,2300
2012-10-11,231.3,237.6,231.1,232.5,2100
2012-10-14,230.3,233.8,228.1,229.3,2350
2012-10-15,229.1,232.8,226.5,227.8,1850
2012-10-16,228.2,228.2,226.0,227.3,2250
2012-10-17,225.0,232.0,225.0,228.7,600
2012-10-18,227.0,228.0,225.1,226.7,1000
2012-10-21,226.2,228.9,225.0,226.1,850
2012-10-22,226.0,226.0,226.0,226.0,500
2012-10-23,228.1,233.0,227.1,231.4,1000
2012-10-30,226.0,234.0,226.0,231.3,150
2012-10-31,229.0,230.0,225.3,229.0,800
2012-11-01,225.6,236.9,225.5,229.8,1400
2012-11-04,244.0,248.7,242.0,244.6,13300
2012-11-05,263.9,264.0,255.0,262.8,20350
2012-11-06,266.4,277.8,262.5,266.0,8500
2012-11-07,255.0,260.0,245.6,250.5,7850
2012-11-08,250.0,259.5,246.1,253.6,5050
2012-11-11,247.5,247.5,234.9,240.0,3900
2012-11-12,245.0,245.5,231.4,233.1,2400
2012-11-13,247.0,247.0,235.0,240.2,2600
2012-11-14,238.5,238.5,230.0,232.4,5250
2012-11-15,240.0,242.5,234.0,236.0,3350
2012-11-18,240.0,240.0,236.0,236.5,2200
2012-11-19,232.6,237.0,231.3,233.5,1600
2012-11-20,226.5,235.0,226.5,232.9,1700
2012-11-21,234.0,234.0,229.7,230.6,1600
2012-11-22,241.0,241.0,230.0,230.4,3200
2012-11-26,225.6,231.6,225.6,228.2,3900
2012-11-27,232.9,232.9,228.8,231.2,500
2012-11-28,234.0,234.0,221.8,223.6,3250
2012-11-29,230.1,237.0,228.0,235.4,3100
2012-12-02,239.8,239.8,228.2,232.7,1500
2012-12-03,227.7,230.8,223.1,225.0,2500
2012-12-04,236.9,236.9,225.9,227.2,1350
2012-12-05,225.1,231.4,225.1,227.5,450
2012-12-06,226.4,228.0,225.0,226.0,2450
2012-12-09,223.5,224.0,223.2,223.6,1250
2012-12-10,223.3,224.0,220.1,221.1,1150
2012-12-11,222.0,222.0,222.0,222.0,50
2012-12-12,230.0,230.0,224.0,225.3,400
2012-12-13,224.0,225.0,220.0,221.3,2100
2012-12-17,230.0,230.0,230.0,230.0,50
2012-12-18,225.5,227.0,224.0,225.1,200
2012-12-19,228.9,229.0,226.1,227.2,650
2012-12-20,230.0,234.9,227.0,228.0,2250
2012-12-23,230.0,230.0,224.5,226.5,450
2012-12-24,225.0,225.3,225.0,225.0,850
2012-12-26,223.3,223.8,223.3,223.5,100
2012-12-27,223.0,227.2,223.0,225.4,850
2012-12-30,226.7,226.7,226.7,226.7,150
2013-01-01,228.0,230.5,228.0,229.4,450
