Date,Open,High,Low,Close,Volume
2024-01-28,41.8,43.0,40.0,42.7,86178
2024-01-29,43.0,45.0,38.6,39.9,149361
2024-01-30,41.9,41.9,39.9,40.1,20686
2024-01-31,41.8,41.8,39.9,40.3,27853
2024-02-01,40.2,41.7,40.2,40.8,84670
2024-02-04,41.1,42.5,40.1,40.6,113671
2024-02-05,40.8,42.2,40.8,42.0,91802
2024-02-06,42.2,42.6,40.8,42.1,52092
2024-02-07,40.3,42.6,40.2,40.4,79959
2024-02-08,43.0,43.0,39.8,40.1,47915
2024-02-11,40.2,42.0,39.0,39.3,57067
2024-02-12,40.0,40.5,39.1,39.2,161363
2024-02-13,39.6,42.0,39.0,39.9,61991
2024-02-14,40.1,41.4,40.0,40.2,62295
2024-02-15,42.6,42.6,39.9,40.2,60909
2024-02-18,42.0,42.0,39.0,39.3,35165
2024-02-19,42.0,42.0,39.9,40.1,21315
2024-02-20,42.0,42.0,39.7,40.8,77498
2024-02-22,41.9,41.9,39.7,40.3,67160
2024-02-25,40.4,42.3,40.0,42.1,284020
2024-02-27,43.3,44.5,42.0,42.5,521498
2024-02-28,43.1,43.8,42.5,42.8,213797
2024-02-29,43.5,43.9,41.4,43.0,529335
2024-03-03,43.2,44.0,43.0,43.4,159791
2024-03-04,43.7,45.6,42.9,44.8,560188
2024-03-05,45.1,46.7,44.0,44.5,209711
2024-03-06,44.6,45.7,43.5,44.0,211919
2024-03-07,44.7,44.9,43.1,43.4,30933
2024-03-10,44.6,44.6,43.0,43.6,43409
2024-03-11,43.7,45.3,42.9,43.3,45272
2024-03-12,43.5,43.8,41.6,41.9,25937
2024-03-13,43.4,43.4,40.6,41.7,43262
2024-03-14,43.0,43.9,41.9,42.6,65875
2024-03-18,42.8,43.5,42.0,42.7,19227
2024-03-19,43.8,45.0,40.1,40.9,32543
2024-03-20,42.7,42.7,41.0,41.2,29211
2024-03-21,42.7,42.7,40.7,41.6,29929
2024-03-24,43.0,43.0,41.1,41.4,24971
2024-03-25,41.9,41.9,41.0,41.6,35031
2024-03-27,42.6,42.9,41.0,42.1,51093
2024-03-28,42.5,43.2,41.6,43.0,30136
2024-03-31,43.5,43.8,42.0,42.2,48746
2024-04-01,43.2,43.7,40.6,41.4,60337
2024-04-02,41.7,41.8,41.0,41.1,25309
2024-04-03,42.6,44.5,42.4,43.3,101524
2024-04-04,43.2,45.9,43.2,44.2,227740
2024-04-08,44.8,44.8,42.1,43.7,65383
2024-04-09,42.5,43.8,42.5,42.8,72387
2024-04-15,43.8,43.8,41.9,42.2,53966
2024-04-16,43.0,43.0,41.8,42.4,53810
2024-04-17,42.5,42.8,41.0,41.3,130629
2024-04-18,42.9,43.0,40.4,41.2,35767
2024-04-21,40.9,42.0,40.9,41.6,59737
2024-04-22,45.7,45.7,40.2,41.1,97930
2024-04-23,44.0,44.0,40.0,40.6,119867
2024-04-24,41.9,41.9,40.0,40.5,48529
2024-04-25,40.6,41.9,39.9,40.2,31059
2024-04-28,41.0,41.4,39.9,40.9,20859
2024-04-29,42.9,42.9,40.0,40.1,39564
2024-04-30,41.0,41.0,39.1,40.2,16645
2024-05-02,41.0,41.0,39.9,40.0,60339
2024-05-05,39.9,41.0,39.5,39.7,22179
2024-05-06,40.9,40.9,39.7,39.7,7336
2024-05-07,39.5,40.3,38.4,39.7,23610
2024-05-08,40.5,40.5,38.2,40.1,5758
2024-05-09,40.9,40.9,38.6,39.7,14276
2024-05-12,39.1,40.0,38.7,39.7,12684
2024-05-13,40.5,40.5,38.2,38.7,13974
2024-05-14,39.0,41.0,36.9,37.4,40487
2024-05-15,39.9,39.9,37.1,39.2,3042
2024-05-16,40.2,41.4,39.0,40.0,15783
2024-05-19,39.9,41.0,38.9,39.3,3755
2024-05-20,41.0,41.0,38.8,39.5,4030
2024-05-21,40.5,40.8,38.1,38.2,107817
2024-05-23,40.0,40.0,36.9,37.2,16524
2024-05-26,38.0,39.4,36.5,36.6,17918
2024-05-27,39.9,39.9,36.2,37.7,17619
2024-05-28,41.0,41.0,36.1,37.4,9358
2024-05-29,39.5,39.5,36.0,37.0,1904
2024-05-30,38.0,38.7,36.2,37.5,2507
2024-06-02,40.5,40.5,37.4,38.0,3221
2024-06-03,40.2,40.2,36.0,36.9,18647
2024-06-04,39.9,39.9,37.5,38.1,6350
2024-06-05,36.1,38.3,34.3,35.7,144673
2024-06-06,37.0,37.0,34.5,35.8,15390
2024-06-09,37.9,37.9,34.0,34.4,12986
2024-06-10,34.9,35.0,33.8,34.3,52279
2024-06-11,37.3,37.3,33.3,33.9,77265
2024-06-12,36.0,36.0,33.7,33.8,17992
2024-06-13,31.0,34.6,31.0,33.9,22661
2024-06-19,34.4,37.0,34.0,34.2,20631
2024-06-20,34.6,35.8,33.7,34.0,24345
2024-06-23,34.7,34.7,33.6,34.0,16873
2024-06-24,35.9,35.9,34.3,34.6,5212
2024-06-25,36.5,36.5,34.0,34.7,8173
2024-06-26,35.0,35.0,34.7,35.0,6194
2024-06-27,34.7,35.0,34.0,34.4,5589
2024-06-30,36.2,36.2,35.0,35.4,254
2024-07-02,37.0,37.0,34.6,34.6,883
2024-07-03,35.5,36.0,32.8,34.3,27833
2024-07-04,36.5,36.5,34.9,35.3,28720
2024-07-07,36.5,37.5,35.1,35.6,10597
2024-07-08,37.8,37.9,35.4,35.6,16211
2024-07-09,37.1,37.2,35.6,36.3,3244
2024-07-10,37.6,37.6,35.2,35.5,22989
2024-07-11,36.9,36.9,35.0,35.2,13967
2024-07-14,35.6,35.7,33.1,34.6,66123
2024-07-15,35.0,35.8,34.1,34.8,36619
2024-07-16,37.0,37.0,34.0,34.5,15922
2024-07-18,36.0,36.0,31.8,32.3,43601
2024-07-24,34.0,34.5,33.8,33.9,54
2024-07-25,34.9,34.9,33.9,33.9,11025
2024-07-28,34.4,34.4,32.6,34.0,5037
2024-07-29,35.0,35.5,33.0,33.8,5160
2024-07-30,35.0,35.0,32.1,33.7,21767
2024-07-31,36.0,36.0,34.0,34.5,6982
2024-08-01,34.4,37.0,34.4,34.7,31646
2024-08-04,36.0,36.0,32.4,34.0,2361
2024-08-06,35.9,37.2,34.5,36.3,33199
2024-08-07,37.6,37.6,32.7,33.3,27871
2024-08-08,36.6,36.6,33.5,35.0,43102
2024-08-11,37.4,37.4,33.7,34.1,54713
2024-08-12,35.0,35.0,33.7,34.0,12200
2024-08-13,35.0,35.0,31.0,33.2,31801
2024-08-14,35.0,35.0,31.5,31.9,41144
2024-08-15,34.7,34.7,30.1,32.1,39609
2024-08-18,32.4,32.4,30.0,30.9,16795
2024-08-19,32.9,32.9,30.9,32.4,17641
2024-08-20,33.0,33.4,31.3,33.1,21610
2024-08-21,35.0,35.0,31.1,32.2,11635
2024-08-22,33.6,33.6,30.2,31.3,26689
2024-08-25,33.3,33.3,30.2,30.8,13327
2024-08-27,32.8,32.8,29.0,31.9,324
2024-08-28,33.0,33.0,31.1,31.3,8635
2024-08-29,33.0,33.0,31.1,32.3,55541
2024-09-01,33.0,33.0,31.1,32.3,15146
2024-09-02,33.5,33.5,31.8,32.8,35844
2024-09-03,33.0,33.8,32.3,32.8,11297
2024-09-04,32.9,33.0,32.0,32.2,7337
2024-09-05,32.5,32.5,31.1,31.5,8734
2024-09-08,32.3,32.3,30.5,30.7,34234
2024-09-09,32.0,32.0,29.0,30.6,9060
2024-09-10,32.0,32.0,29.7,29.9,71298
2024-09-11,27.3,30.0,27.3,29.4,16275
2024-09-12,30.0,30.0,28.9,29.1,9944
