Date,Open,High,Low,Close,Volume
2012-10-01,29.2,32.8,29.2,32.1,223000
2012-10-02,33.5,33.5,30.8,31.1,201000
2012-10-03,31.9,31.9,28.5,28.7,301000
2012-10-04,28.4,30.0,28.0,28.8,154000
2012-10-07,30.0,30.0,27.1,27.5,109000
2012-10-08,29.0,29.0,25.9,26.2,177000
2012-10-09,28.6,28.8,28.0,28.8,111500
2012-10-10,31.0,31.0,28.5,29.3,227500
2012-10-11,28.2,29.5,27.8,28.6,261500
2012-10-14,29.0,30.0,28.0,28.3,113000
2012-10-15,28.5,28.5,27.1,27.4,74500
2012-10-16,28.0,28.2,27.4,27.6,128500
2012-10-17,28.4,28.5,26.7,27.4,75000
2012-10-18,28.0,28.0,27.0,27.0,46000
2012-10-21,27.3,27.3,25.5,25.9,54000
2012-10-22,26.7,27.2,25.5,26.5,35500
2012-10-23,27.9,28.2,27.0,27.2,119500
2012-10-30,27.2,28.8,27.2,28.2,150500
2012-10-31,27.9,28.5,27.5,27.8,129500
2012-11-01,28.3,28.7,27.5,27.7,167500
2012-11-04,28.0,28.4,26.7,27.0,88000
2012-11-05,27.5,27.5,26.6,27.0,128500
2012-11-06,27.0,27.5,25.7,26.1,61000
2012-11-07,26.5,26.5,25.2,25.3,98500
2012-11-08,25.0,25.7,24.8,24.9,70000
2012-11-12,23.0,23.3,22.5,22.5,57000
2012-11-13,20.9,23.8,20.6,23.2,137000
2012-11-14,22.9,23.4,22.0,22.0,66000
2012-11-15,23.8,24.2,23.0,24.1,291500
2012-11-18,23.9,26.4,23.6,25.5,165000
2012-11-19,24.4,25.2,23.9,24.2,77500
2012-11-20,23.4,24.9,23.3,23.8,163500
2012-11-21,25.0,25.8,24.3,25.3,140500
2012-11-22,25.0,26.2,25.0,25.6,127000
2012-11-26,24.8,25.6,24.3,24.5,65500
2012-11-27,23.7,24.7,23.7,23.8,82500
2012-11-28,24.5,24.5,23.3,23.7,62000
2012-11-29,25.4,25.7,24.2,24.9,129500
2012-12-02,25.0,25.1,23.0,23.2,124500
2012-12-03,23.9,23.9,22.2,22.3,82500
2012-12-04,22.4,23.0,21.7,22.7,49500
2012-12-05,22.2,22.9,22.1,22.5,51500
2012-12-06,22.2,23.0,22.1,22.3,96000
2012-12-09,21.8,21.9,21.6,21.6,47500
2012-12-10,21.0,21.7,20.5,21.1,22000
2012-12-11,20.7,21.3,20.6,20.9,46500
2012-12-12,21.6,22.0,21.0,21.2,30000
2012-12-13,21.3,21.3,20.5,20.8,24000
2012-12-17,21.7,21.7,20.7,21.2,54000
2012-12-18,21.3,21.3,20.8,20.9,60000
2012-12-19,21.1,21.4,20.9,21.1,61500
2012-12-20,21.5,21.5,20.6,20.7,47500
2012-12-23,20.6,20.9,20.5,20.6,19000
2012-12-24,20.5,20.6,20.2,20.2,55500
2012-12-26,20.3,20.8,20.3,20.4,55000
2012-12-27,20.7,20.7,20.4,20.6,51500
2012-12-30,20.6,20.7,20.5,20.6,34500
2013-01-01,20.8,21.3,20.3,20.3,73500
2013-01-02,20.3,20.3,20.0,20.0,38500
2013-01-03,20.0,20.6,20.0,20.1,42500
2013-01-06,20.6,20.6,19.9,19.9,46000
2013-01-07,20.0,20.0,19.6,19.6,23000
2013-01-08,20.0,20.1,19.6,19.6,31500
2013-01-09,19.7,20.0,19.6,19.6,17000
2013-01-10,19.8,20.0,19.7,19.8,9000
2013-01-13,19.6,19.6,19.5,19.5,10500
2013-01-14,19.4,19.6,19.4,19.4,7500
2013-01-15,19.2,19.7,19.2,19.4,11000
2013-01-16,19.7,19.9,19.6,19.8,40000
2013-01-17,19.9,20.0,19.5,19.5,40500
2013-01-20,19.6,19.6,19.1,19.1,75000
2013-01-21,19.4,19.4,19.0,19.0,39000
2013-01-22,19.0,19.4,19.0,19.0,24500
2013-01-23,19.6,19.7,19.0,19.1,89500
2013-01-24,19.6,20.5,19.2,19.9,142000
2013-01-27,20.7,20.7,19.7,19.8,54000
2013-01-28,19.5,20.0,19.5,19.7,60000
2013-01-29,20.1,21.4,20.0,21.1,229000
2013-01-30,21.2,21.2,20.5,20.9,114500
2013-01-31,20.6,21.8,20.6,21.6,233000
2013-02-03,21.0,23.4,20.8,22.9,289000
2013-02-04,23.0,24.1,23.0,23.8,296500
2013-02-05,22.1,24.5,22.1,23.8,261000
2013-02-06,24.0,24.2,23.5,23.7,97000
2013-02-07,23.0,23.9,22.8,22.9,159000
2013-02-10,24.0,24.6,22.9,23.1,74500
2013-02-11,23.1,23.7,23.0,23.1,94000
2013-02-12,23.3,23.3,22.5,22.6,103500
2013-02-13,22.8,23.4,22.6,23.0,120000
2013-02-14,23.6,24.4,23.6,23.9,224500
2013-02-17,23.9,23.9,22.9,23.0,108500
2013-02-18,23.1,23.4,22.9,22.9,77500
2013-02-19,23.0,23.0,22.3,22.6,80000
2013-02-20,22.6,22.7,21.5,21.8,48500
2013-02-24,22.0,22.4,20.4,20.8,44500
2013-02-25,21.2,21.8,20.6,20.8,62500
2013-02-26,21.1,21.5,20.6,21.3,29000
2013-02-27,21.3,21.3,20.1,20.3,58500
2013-02-28,20.9,21.2,20.3,20.9,50000
2013-03-03,19.4,19.5,18.9,18.9,41500
2013-03-04,19.5,20.3,19.3,19.9,56000
2013-03-05,19.5,19.5,19.0,19.1,39500
2013-03-06,19.1,19.5,19.1,19.3,43500
2013-03-07,19.1,19.4,19.0,19.2,25000
2013-03-10,19.2,19.2,18.6,18.7,34500
2013-03-11,18.1,18.5,17.9,18.1,35000
2013-03-12,18.0,18.7,18.0,18.4,15500
2013-03-13,18.9,19.5,18.5,19.0,30500
2013-03-14,18.8,19.0,18.6,18.7,16000
2013-03-18,18.4,18.9,18.4,18.6,9000
2013-03-19,18.9,19.0,18.8,18.9,23500
2013-03-20,18.5,18.5,18.5,18.5,10000
2013-03-24,18.5,18.5,17.9,18.0,18500
2013-03-25,18.1,18.3,17.3,17.9,23500
2013-03-27,17.2,17.8,17.0,17.4,8500
2013-03-28,18.0,18.0,17.4,17.5,9500
2013-03-31,17.1,17.3,16.7,16.9,22500
2013-04-01,16.8,16.8,15.6,15.6,29000
2013-04-02,15.8,15.8,15.1,15.6,38000
2013-04-03,16.2,16.4,16.0,16.2,19500
2013-04-04,16.0,16.0,15.6,15.8,10000
2013-04-07,16.1,16.1,15.8,15.8,18500
2013-04-08,15.9,17.0,15.8,16.9,62000
2013-04-09,17.7,18.3,17.3,18.1,49500
2013-04-10,18.2,19.0,17.8,18.2,76500
2013-04-11,17.0,19.5,17.0,18.4,105000
