Date,Open,High,Low,Close,Volume
2012-10-01,25.8,27.1,25.0,26.5,131500
2012-10-02,27.2,28.0,26.0,26.6,188500
2012-10-03,26.8,26.8,24.6,24.9,99000
2012-10-04,24.9,25.0,24.3,24.3,48500
2012-10-07,25.1,26.0,23.5,23.9,74500
2012-10-08,24.0,24.2,22.4,22.8,38000
2012-10-09,24.5,24.8,23.9,24.6,55000
2012-10-10,25.6,25.6,23.3,23.5,49000
2012-10-11,23.8,23.8,22.8,23.1,30500
2012-10-14,23.0,23.3,21.8,22.0,32000
2012-10-15,21.2,22.6,21.2,22.2,39000
2012-10-16,22.5,22.5,21.8,22.0,18000
2012-10-17,22.8,22.9,21.4,21.7,12000
2012-10-18,22.8,23.8,22.8,23.8,121500
2012-10-21,26.0,26.0,24.1,24.3,160000
2012-10-22,24.6,24.6,23.1,23.3,22500
2012-10-23,23.5,23.8,21.9,22.3,77000
2012-10-30,22.5,22.5,21.3,21.4,86500
2012-10-31,21.5,21.5,20.5,20.8,36500
2012-11-01,22.1,22.8,21.0,22.7,87000
2012-11-04,22.4,22.6,21.8,22.1,52000
2012-11-05,21.7,21.9,21.0,21.1,45000
2012-11-06,20.4,21.7,20.4,21.3,61500
2012-11-08,21.0,21.0,20.3,20.6,83500
2012-11-11,20.9,21.2,20.2,20.3,100500
2012-11-12,20.8,20.8,20.1,20.4,38000
2012-11-13,20.2,22.1,20.2,21.9,46500
2012-11-14,20.8,21.5,20.5,20.9,24000
2012-11-15,20.0,20.8,20.0,20.4,68500
2012-11-18,20.2,21.0,20.0,20.6,57500
2012-11-19,20.1,20.1,19.6,19.8,25000
2012-11-20,19.5,20.1,19.0,19.5,18000
2012-11-21,20.0,20.0,19.0,19.1,27000
2012-11-22,20.7,20.7,19.2,19.5,11000
2012-11-26,19.7,19.7,18.8,19.0,13000
2012-11-27,19.0,19.5,18.9,19.1,10500
2012-11-28,19.1,19.2,18.5,18.8,15000
2012-11-29,18.6,19.9,18.6,19.7,40500
2012-12-02,20.2,20.2,18.8,19.0,29500
2012-12-03,20.8,20.8,18.8,19.4,5500
2012-12-04,19.1,19.2,18.8,19.0,9000
2012-12-05,18.6,19.0,18.4,18.6,10500
2012-12-06,18.3,18.3,17.8,17.9,21500
2012-12-09,18.0,18.0,17.2,17.4,23000
2012-12-10,17.0,17.5,16.9,17.3,21000
2012-12-11,17.5,17.5,17.0,17.2,2500
2012-12-12,17.7,17.7,17.2,17.3,6500
2012-12-13,17.1,17.2,17.0,17.0,17000
2012-12-17,17.4,17.4,17.1,17.2,19500
2012-12-18,17.2,17.4,17.2,17.2,10500
2012-12-19,17.5,18.4,17.5,17.7,21500
2012-12-20,17.9,18.0,17.4,17.6,15000
2012-12-23,17.5,17.6,17.1,17.2,16000
2012-12-24,17.6,17.6,17.2,17.3,4000
2012-12-26,17.1,17.5,17.1,17.3,7500
2012-12-27,17.1,17.4,17.0,17.0,17500
2012-12-30,17.5,17.5,17.2,17.4,3000
2013-01-01,17.2,17.3,17.0,17.0,20500
2013-01-02,17.0,17.2,16.8,17.0,15000
2013-01-03,16.8,17.0,16.8,16.9,5500
2013-01-06,16.9,16.9,16.8,16.8,2500
2013-01-07,16.8,16.8,16.5,16.6,23500
2013-01-08,17.0,17.0,16.7,16.7,6500
2013-01-09,16.7,16.9,16.7,16.7,13000
2013-01-10,16.8,17.0,16.8,16.8,10000
2013-01-13,16.5,16.7,16.5,16.6,13500
2013-01-14,16.6,16.8,16.6,16.7,11500
2013-01-15,16.8,16.9,16.7,16.7,11000
2013-01-16,16.8,16.9,16.7,16.8,11500
2013-01-17,16.8,16.8,16.7,16.7,7000
2013-01-20,16.8,16.8,16.6,16.7,5000
2013-01-21,16.6,16.6,16.6,16.6,4500
2013-01-22,16.6,16.7,16.6,16.6,9000
2013-01-23,16.8,16.8,16.6,16.7,12000
2013-01-24,17.0,17.3,17.0,17.0,21000
2013-01-27,17.1,17.1,16.9,17.0,23000
2013-01-28,17.1,17.1,16.9,16.9,14500
2013-01-29,17.0,17.9,17.0,17.6,41000
2013-01-30,17.8,18.0,17.6,17.7,38500
2013-01-31,18.2,19.4,18.1,18.6,44500
2013-02-03,18.5,19.8,18.2,19.1,55500
2013-02-04,20.0,20.0,18.8,19.3,42500
2013-02-05,19.8,19.8,18.9,19.2,40500
2013-02-06,19.4,19.4,18.6,18.7,50500
2013-02-07,19.4,19.4,18.0,18.4,24000
2013-02-10,18.9,18.9,18.2,18.3,35500
2013-02-11,18.6,18.8,18.1,18.2,32500
2013-02-12,18.3,18.6,17.8,17.9,42000
2013-02-13,17.9,18.1,17.8,17.9,45500
2013-02-14,18.0,19.0,18.0,18.7,85500
2013-02-17,18.9,18.9,18.0,18.2,18000
2013-02-18,18.2,18.3,18.0,18.1,18500
2013-02-19,18.0,18.0,17.3,17.5,44000
2013-02-20,18.2,18.2,16.9,17.0,36500
2013-02-24,17.0,17.0,16.7,16.8,28000
2013-02-25,16.7,16.8,16.4,16.5,8000
2013-02-26,16.5,17.2,16.5,16.8,8500
2013-02-27,15.5,17.5,15.5,16.4,8500
2013-02-28,16.4,16.5,16.0,16.2,12500
2013-03-03,15.8,15.8,15.5,15.6,12000
2013-03-04,16.1,16.1,15.8,15.9,16000
2013-03-05,16.0,16.0,15.5,15.7,12000
2013-03-06,15.5,15.9,15.5,15.5,15000
2013-03-07,15.5,15.7,15.3,15.4,37500
2013-03-10,15.2,15.2,15.0,15.0,18000
2013-03-11,15.0,15.0,15.0,15.0,3500
2013-03-12,15.0,15.0,15.0,15.0,5000
2013-03-13,15.2,15.4,15.1,15.2,5000
2013-03-14,14.8,15.0,14.8,14.9,2500
2013-03-18,15.0,15.2,15.0,15.0,9000
2013-03-19,15.0,15.2,15.0,15.0,6000
2013-03-20,15.0,15.0,14.6,14.6,14500
2013-03-24,14.1,14.5,14.1,14.3,1000
2013-03-25,14.4,14.4,13.8,13.9,24000
2013-03-27,13.2,13.4,13.2,13.3,4000
2013-03-28,13.8,14.0,13.8,13.9,4500
2013-03-31,13.9,13.9,13.9,13.9,7500
2013-04-01,13.2,13.2,13.0,13.1,8000
2013-04-02,13.3,13.7,13.3,13.6,8500
2013-04-03,13.7,13.8,13.6,13.7,7500
2013-04-04,13.0,13.3,13.0,13.1,26500
2013-04-07,13.0,13.0,12.9,12.9,11000
2013-04-08,13.0,13.5,13.0,13.1,16500
2013-04-09,13.7,14.2,13.4,13.9,30000
2013-04-10,13.8,14.2,13.5,13.7,21000
2013-04-11,13.8,14.3,13.8,14.1,24500
2013-04-15,14.7,15.5,14.7,15.4,62500
2013-04-16,16.9,16.9,15.7,16.3,80500
2013-04-17,15.5,16.6,15.5,16.0,37500
2013-04-18,16.0,16.5,15.5,16.0,65500
2013-04-21,16.5,17.0,16.0,16.2,84500
2013-04-22,16.6,16.7,16.1,16.3,46500
2013-04-23,16.1,16.6,16.0,16.0,66000
2013-04-24,16.4,17.6,16.3,17.6,184500
2013-04-25,19.0,19.0,17.5,17.6,103000
2013-04-28,17.0,17.4,16.7,16.8,14000
2013-04-29,16.2,17.4,16.2,16.9,79000
2013-04-30,17.4,17.8,16.6,16.7,40500
2013-05-02,16.9,16.9,16.5,16.6,51500
2013-05-05,17.0,17.0,16.1,16.2,44000
2013-05-06,16.9,16.9,16.2,16.5,13000
2013-05-07,17.1,17.3,16.9,17.0,58500
2013-05-08,17.1,17.2,16.7,16.7,32500
2013-05-09,16.3,16.8,16.3,16.5,36000
2013-05-12,16.9,17.3,16.6,16.8,69500
2013-05-13,16.8,17.0,16.7,16.8,30500
2013-05-14,17.1,17.6,16.9,17.3,113500
2013-05-15,17.8,17.8,17.0,17.1,80500
2013-05-16,17.3,17.7,17.1,17.5,59500
2013-05-19,17.6,18.0,17.4,17.8,110500
2013-05-20,18.1,18.4,17.5,17.6,52000
2013-05-21,17.1,17.5,16.7,17.0,22000
2013-05-22,16.9,16.9,16.5,16.5,35000
2013-05-26,16.4,16.4,16.1,16.2,10500
2013-05-27,16.4,16.5,16.2,16.3,12500
2013-05-28,16.6,16.8,16.3,16.6,61500
2013-05-29,16.8,17.0,16.7,16.8,39000
2013-05-30,16.9,17.2,16.6,16.8,43000
2013-06-02,16.9,17.6,16.9,17.4,59000
2013-06-03,17.1,17.5,17.0,17.3,60000
2013-06-04,17.5,18.1,17.3,17.9,106000
2013-06-05,18.0,18.7,18.0,18.2,145500
2013-06-06,18.4,18.5,17.4,17.5,78500
2013-06-09,17.0,17.7,16.7,16.8,40000
2013-06-10,17.0,17.6,17.0,17.2,36500
2013-06-11,17.6,17.6,17.0,17.0,38000
2013-06-12,17.2,17.4,16.8,16.9,63500
2013-06-13,17.0,17.1,16.9,16.9,43500
2013-06-16,17.0,17.6,17.0,17.3,56000
2013-06-17,17.1,17.5,17.0,17.1,69000
2013-06-18,17.0,17.2,16.8,17.0,68500
2013-06-19,17.0,17.3,16.8,16.9,93500
2013-06-20,17.0,17.0,16.6,16.6,36000
2013-06-23,17.0,17.0,16.0,16.2,28500
2013-06-24,16.3,16.4,15.7,16.0,17000
2013-06-26,16.3,16.8,16.1,16.1,69500
2013-06-27,16.2,16.8,16.0,16.4,42500
2013-06-30,16.2,16.2,15.6,15.7,18500
2013-07-02,16.2,16.5,16.2,16.4,20000
2013-07-03,16.5,16.5,16.1,16.3,48000
2013-07-04,16.8,17.9,16.6,17.8,139000
2013-07-07,17.8,18.2,17.5,17.7,95000
2013-07-08,17.8,17.8,17.3,17.4,44500
2013-07-09,17.4,17.4,16.7,17.0,24000
2013-07-10,16.5,16.5,16.0,16.1,44500
2013-07-11,16.2,16.4,15.7,16.0,36500
2013-07-14,16.1,16.3,15.8,16.1,10500
2013-07-15,16.8,17.0,15.8,15.9,43500
2013-07-16,16.2,16.2,15.6,15.9,54500
2013-07-17,16.0,16.0,15.7,15.8,10000
2013-07-18,15.9,16.0,15.7,15.7,17500
2013-07-21,16.0,16.0,15.5,15.8,4000
2013-07-22,15.1,15.8,15.1,15.3,22000
2013-07-23,14.9,15.1,14.3,14.8,12000
2013-07-24,14.5,15.9,14.5,15.4,19500
2013-07-25,14.7,15.0,14.7,14.9,67500
2013-07-28,14.4,14.8,14.4,14.6,2000
2013-07-29,15.0,15.0,14.8,14.9,31500
2013-07-30,14.9,14.9,14.8,14.8,7500
2013-07-31,14.8,14.8,14.4,14.5,10500
2013-08-01,14.5,14.5,14.5,14.5,42500
2013-08-04,14.2,14.2,14.0,14.1,8000
2013-08-05,14.0,14.0,13.9,13.9,27000
2013-08-12,14.6,14.6,14.6,14.6,2000
2013-08-13,14.5,14.5,14.3,14.4,17000
2013-08-14,14.5,14.5,14.1,14.2,10500
2013-08-18,14.8,14.8,14.2,14.5,9500
2013-08-19,14.4,14.6,14.3,14.4,24500
2013-08-20,14.7,14.9,14.5,14.5,20000
2013-08-21,14.4,14.5,14.4,14.4,5000
2013-08-22,14.4,15.8,14.4,15.8,74000
2013-08-25,17.0,17.2,15.5,16.8,81000
2013-08-26,17.0,17.0,16.0,16.3,48500
2013-08-27,16.6,16.8,15.7,15.8,40500
2013-08-29,15.5,16.2,15.2,15.8,52500
2013-09-01,16.9,17.3,16.9,17.3,82000
2013-09-02,17.8,18.0,17.2,17.3,79000
2013-09-03,17.4,19.0,17.2,19.0,337500
2013-09-04,20.0,20.9,19.7,20.8,390500
2013-09-05,21.5,22.0,19.3,20.4,126000
2013-09-08,20.0,20.4,18.6,19.2,111000
2013-09-09,19.7,21.1,19.7,21.0,325000
2013-09-10,21.2,23.1,21.1,23.0,306000
2013-09-11,23.8,25.0,22.1,24.8,327000
2013-09-12,24.6,27.0,24.4,26.4,435500
2013-09-15,28.6,29.0,26.9,28.9,444500
2013-09-16,29.8,31.7,27.1,30.9,471500
2013-09-17,31.2,33.9,31.2,33.8,274500
2013-09-18,34.0,36.0,30.5,30.6,418500
2013-09-19,27.7,30.0,27.6,28.0,317000
2013-09-22,29.5,30.8,28.8,30.7,158000
2013-09-23,32.5,33.7,32.5,33.6,510500
2013-09-24,33.1,33.5,30.4,31.6,230500
2013-09-25,30.5,30.5,28.5,28.5,168000
2013-09-26,25.8,31.3,25.7,31.1,231000
2013-09-29,31.0,32.7,28.0,28.1,140500
2013-09-30,26.7,29.3,26.0,27.5,95500
2013-10-01,27.6,28.1,25.8,26.2,70000
2013-10-02,26.3,26.5,24.5,26.0,203000
2013-10-03,27.8,28.6,27.8,28.5,122500
2013-10-06,28.7,28.8,26.1,26.4,47000
2013-10-07,26.8,28.5,26.7,27.8,89500
2013-10-08,27.2,27.4,25.6,25.7,91500
2013-10-09,25.1,26.9,24.5,26.3,34000
2013-10-10,25.3,25.3,23.8,24.4,76000
2013-10-20,22.3,23.3,22.0,22.0,26500
2013-10-21,20.1,24.2,19.8,24.0,105500
2013-10-22,24.9,26.4,24.9,26.4,93000
2013-10-23,28.5,28.7,24.5,24.7,94000
2013-10-24,23.1,25.9,22.5,24.0,62500
2013-10-27,24.0,24.8,23.8,24.6,44000
2013-10-28,24.5,24.5,22.6,22.8,68000
2013-10-29,21.2,23.9,21.0,21.7,84000
2013-10-30,21.1,23.0,20.9,22.5,50500
2013-10-31,22.5,23.2,22.0,22.5,67500
2013-11-03,22.3,24.0,22.3,23.9,83000
2013-11-04,24.4,25.0,23.4,23.6,93500
2013-11-05,23.6,24.0,23.1,23.3,69500
2013-11-06,24.0,24.0,22.6,22.6,58500
2013-11-07,22.4,22.6,21.5,21.7,77500
2013-11-10,21.1,21.9,20.8,21.0,98000
2013-11-12,21.4,22.9,21.4,22.6,105500
2013-11-13,24.7,24.8,22.6,24.7,200000
2013-11-14,25.5,25.8,23.4,23.6,89000
2013-11-17,23.4,25.6,23.0,25.4,116500
2013-11-18,25.7,27.4,25.0,25.2,389500
2013-11-19,25.5,26.5,24.7,24.8,158500
2013-11-20,24.6,25.5,24.0,24.2,210000
2013-11-21,24.2,24.8,23.0,23.6,180500
2013-11-24,24.5,24.7,23.0,23.2,157000
2013-11-25,24.1,25.5,24.1,25.2,250000
2013-11-26,26.5,26.5,24.4,24.4,112000
2013-11-27,24.5,24.6,23.5,23.9,72500
2013-11-28,24.0,25.5,24.0,24.4,127000
2013-12-01,24.5,25.9,24.3,25.2,227000
2013-12-02,26.4,27.5,25.4,26.3,213500
2013-12-03,26.9,26.9,25.3,25.4,104500
2013-12-04,25.7,27.9,25.4,27.7,488500
2013-12-05,28.0,30.2,27.9,29.3,412500
2013-12-08,29.2,31.5,28.4,30.5,377500
2013-12-09,30.4,33.5,30.4,33.3,636000
2013-12-10,33.8,35.3,32.0,32.4,375500
2013-12-11,33.3,33.4,31.2,31.6,366000
2013-12-12,30.9,32.0,28.7,29.4,231000
2013-12-15,29.6,32.3,29.6,32.3,279000
2013-12-17,34.1,35.5,34.1,35.4,679500
2013-12-18,33.1,35.0,33.0,33.6,293000
2013-12-19,33.9,35.0,32.6,34.5,297000
2013-12-22,36.3,36.3,32.7,33.2,188500
2013-12-23,33.8,33.9,32.2,32.4,132500
2013-12-24,31.5,32.9,30.5,30.7,99000
2013-12-26,31.0,32.0,30.3,30.6,90500
2013-12-29,30.2,31.6,30.1,30.9,50000
2013-12-30,31.7,32.6,31.2,31.3,75500
2014-01-01,32.0,32.6,30.6,30.8,97000
2014-01-02,31.0,31.2,30.7,30.8,51000
2014-01-06,31.2,31.2,29.6,30.0,76500
2014-01-07,30.7,31.4,30.6,30.6,123500
2014-01-08,31.0,31.6,30.9,31.0,64000
2014-01-09,31.9,31.9,30.7,30.8,74000
2014-01-12,31.7,31.7,30.5,30.5,75500
2014-01-13,30.5,31.0,30.2,30.5,125500
2014-01-15,30.9,32.1,30.8,31.9,158000
2014-01-16,32.3,33.0,31.6,32.6,163000
2014-01-19,33.2,33.2,31.5,31.6,89000
2014-01-20,31.4,31.5,31.0,31.1,87000
2014-01-21,31.0,31.8,31.0,31.1,123500
2014-01-22,31.4,31.7,31.2,31.2,125500
2014-01-23,31.0,31.5,30.7,30.8,85000
2014-01-26,30.7,31.1,30.2,30.2,130500
2014-01-27,29.4,31.8,29.4,30.7,51000
2014-01-28,31.4,31.5,30.4,30.6,67500
2014-01-29,31.2,31.2,30.0,30.1,99000
2014-01-30,29.0,29.7,28.8,29.1,207500
2014-02-02,29.6,29.6,28.4,28.5,83000
2014-02-03,28.6,29.5,28.4,28.6,86000
2014-02-04,28.6,29.0,28.2,28.3,46000
2014-02-05,28.8,28.9,28.3,28.3,43500
2014-02-06,28.5,28.5,27.9,27.9,78000
2014-02-09,29.6,29.6,27.8,28.0,37000
2014-02-10,28.5,28.5,27.7,27.8,34500
2014-02-11,27.4,28.0,27.2,27.4,41000
2014-02-12,27.8,27.8,27.0,27.1,26000
2014-02-13,26.9,26.9,26.6,26.6,28000
2014-02-16,27.0,27.4,27.0,27.1,27500
2014-02-17,27.5,27.5,26.3,26.8,33000
2014-02-18,26.5,27.0,26.3,26.5,13500
2014-02-19,26.1,26.6,26.1,26.3,53500
2014-02-20,27.5,28.8,27.1,28.6,92500
2014-02-23,29.6,29.6,27.7,28.1,30000
2014-02-24,27.3,28.3,27.3,27.9,41500
2014-02-25,28.0,28.4,27.6,27.7,40000
2014-02-26,27.6,27.7,27.0,27.0,31500
2014-02-27,27.7,29.0,27.7,28.1,100500
2014-03-02,28.7,28.7,27.7,27.9,33000
2014-03-03,28.0,28.0,27.0,27.1,31000
2014-03-04,27.5,27.9,27.2,27.2,39000
2014-03-05,27.2,27.7,27.1,27.3,10000
2014-03-06,27.0,27.0,26.5,26.8,30500
2014-03-09,26.7,26.9,26.4,26.5,29000
2014-03-10,27.0,27.0,26.1,26.5,12500
2014-03-11,26.4,26.7,26.4,26.5,16500
2014-03-12,27.0,28.2,27.0,27.4,56000
2014-03-13,28.2,29.7,28.2,28.9,183000
2014-03-16,29.2,30.4,29.0,30.2,161000
2014-03-18,29.0,29.5,28.1,28.1,49000
2014-03-19,28.2,28.5,27.4,27.5,62500
2014-03-20,28.0,28.3,27.6,27.8,54000
2014-03-23,28.1,30.5,28.1,30.5,371000
2014-03-24,31.0,32.3,30.3,31.7,448500
2014-03-25,32.2,34.4,32.1,33.1,435000
2014-03-27,33.3,34.2,32.6,32.8,379500
2014-03-30,33.0,35.8,33.0,35.5,638000
2014-03-31,35.7,36.4,32.5,32.8,321500
2014-04-01,32.6,33.7,32.3,32.5,253000
2014-04-02,32.5,32.5,30.7,30.9,275000
2014-04-03,30.5,31.6,30.1,30.3,205000
2014-04-06,30.1,31.8,29.6,30.5,123500
2014-04-07,30.9,31.3,29.1,29.4,188000
2014-04-08,29.2,29.3,28.0,28.2,164000
2014-04-09,28.5,29.7,28.3,28.5,126000
2014-04-10,28.8,28.9,28.0,28.2,58000
2014-04-13,28.0,28.0,26.5,27.0,65000
2014-04-15,26.9,28.2,26.9,27.5,58500
2014-04-16,28.0,28.6,27.6,28.0,85000
2014-04-17,28.2,29.5,28.1,28.3,76000
2014-04-20,28.5,28.5,27.8,28.0,71000
2014-04-21,28.2,28.9,27.7,27.9,89500
2014-04-22,28.5,28.7,27.9,27.9,77500
2014-04-23,28.0,28.1,27.1,27.1,97500
2014-04-24,27.9,28.0,26.7,26.8,93500
2014-04-27,27.0,27.5,26.9,27.1,60000
2014-04-28,27.5,27.6,26.5,26.6,41500
2014-04-29,26.4,26.6,25.1,25.4,76500
2014-04-30,25.2,25.7,23.9,24.3,67000
2014-05-04,25.5,26.4,24.3,25.3,85500
2014-05-05,25.8,26.4,25.1,25.8,40500
