Date,Open,High,Low,Close,Volume
2012-10-01,72.9,73.3,72.0,72.7,3600
2012-10-02,72.0,74.8,70.1,71.1,12900
2012-10-03,73.0,73.0,71.4,71.5,24250
2012-10-04,71.5,72.8,70.5,70.8,20850
2012-10-07,72.5,72.5,67.5,68.2,3650
2012-10-08,67.5,68.0,64.1,64.9,9200
2012-10-09,69.2,69.4,65.3,66.1,3800
2012-10-10,66.3,67.5,66.2,66.6,4300
2012-10-11,67.7,67.7,64.2,64.5,2850
2012-10-14,66.3,66.5,61.1,63.4,2100
2012-10-15,61.2,65.4,61.1,64.1,1100
2012-10-16,66.0,66.0,64.0,64.4,1450
2012-10-17,63.4,64.0,63.4,63.6,4000
2012-10-18,65.9,65.9,62.2,64.0,1650
2012-10-21,64.5,64.5,62.1,63.4,5300
2012-10-22,64.9,64.9,62.0,63.2,5500
2012-10-23,65.5,67.6,65.0,65.5,7950
2012-10-30,64.4,66.4,64.4,65.5,2900
2012-10-31,67.0,67.8,66.0,66.8,3700
2012-11-01,67.0,71.0,67.0,70.1,19350
2012-11-04,70.0,74.5,70.0,71.2,44850
2012-11-05,73.0,78.3,71.3,78.3,120600
2012-11-06,81.9,86.1,80.0,86.1,155700
2012-11-07,88.0,94.7,88.0,94.6,174600
2012-11-08,90.0,94.8,87.2,89.0,68650
2012-11-11,89.0,89.0,82.8,84.2,87450
2012-11-12,86.6,88.7,83.0,84.1,51550
2012-11-13,86.0,88.3,84.8,87.0,41150
2012-11-14,87.8,90.0,83.3,88.4,73850
2012-11-15,92.0,95.7,92.0,92.7,103450
2012-11-18,93.9,97.5,92.1,95.7,111900
2012-11-19,98.0,99.0,94.0,95.5,99800
2012-11-20,95.6,98.0,90.3,92.6,28350
2012-11-21,95.8,95.8,91.3,92.5,55600
2012-11-22,101.7,101.7,89.0,90.3,64650
2012-11-26,88.6,88.6,81.9,82.6,28800
2012-11-27,80.5,84.5,79.5,80.5,47250
2012-11-28,83.8,83.8,77.1,78.6,18100
2012-11-29,81.0,86.2,81.0,85.4,47050
2012-12-02,85.8,85.8,78.6,79.7,21300
2012-12-03,79.7,80.0,76.2,78.1,12950
2012-12-04,78.2,84.0,76.1,83.1,37800
2012-12-05,84.9,84.9,77.2,79.6,19500
2012-12-06,78.0,81.6,77.0,78.0,17350
2012-12-09,76.2,78.0,76.0,76.3,2850
2012-12-10,76.0,77.6,73.9,74.1,12850
2012-12-11,73.6,75.9,73.6,75.2,5950
2012-12-12,75.2,77.2,74.0,74.3,11600
2012-12-13,74.5,75.8,73.3,73.9,13000
2012-12-17,73.2,76.7,73.0,73.2,6450
2012-12-18,75.9,75.9,72.5,73.6,8250
2012-12-19,74.5,77.8,74.0,74.5,13150
2012-12-20,77.0,78.1,75.0,77.3,13800
2012-12-23,76.0,76.0,74.8,74.9,4050
2012-12-24,75.0,76.7,74.3,74.9,12450
2012-12-26,73.8,74.9,73.0,73.9,29650
2012-12-27,75.0,75.0,73.0,73.7,10900
2012-12-30,73.5,74.9,73.4,73.7,6750
2013-01-01,74.0,74.0,72.8,73.2,2300
2013-01-02,72.0,72.0,71.3,71.4,2500
2013-01-03,71.6,71.6,70.4,70.8,5050
2013-01-06,73.7,73.7,69.3,69.6,13350
2013-01-07,70.0,71.4,69.5,70.5,3800
2013-01-08,70.3,74.8,70.3,73.5,28100
2013-01-09,73.5,74.9,71.5,72.1,12750
2013-01-10,71.1,72.6,71.0,72.2,9750
