Date,Open,High,Low,Close,Volume
2012-10-01,88.5,93.5,88.0,91.5,69800
2012-10-02,93.0,100.6,92.9,100.2,258700
2012-10-03,108.0,108.0,96.3,97.2,148300
2012-10-04,102.0,102.4,94.5,95.5,60700
2012-10-07,97.9,97.9,90.0,90.9,80800
2012-10-08,92.0,94.0,89.4,90.1,55200
2012-10-09,92.1,96.0,92.0,92.5,60600
2012-10-10,93.7,93.7,88.5,89.5,64300
2012-10-11,90.0,91.0,88.7,89.2,59500
2012-10-14,90.0,90.9,86.6,87.0,36900
2012-10-15,87.2,88.9,86.6,87.4,28500
2012-10-16,88.0,89.8,87.5,88.4,43000
2012-10-17,90.0,91.3,89.6,90.4,42600
2012-10-18,90.4,90.9,89.0,89.2,14100
2012-10-21,88.7,89.0,85.2,87.0,19800
2012-10-22,88.9,88.9,86.0,87.2,21000
2012-10-23,88.8,88.8,86.0,86.7,63300
2012-10-30,91.8,91.8,85.6,85.9,12900
2012-10-31,86.9,86.9,83.1,83.4,44800
2012-11-01,87.8,87.8,83.3,83.5,16200
2012-11-04,83.3,84.4,82.1,82.5,27600
2012-11-05,82.5,83.7,81.8,82.9,49700
2012-11-06,83.1,85.5,83.1,84.4,32700
2012-11-07,85.4,91.6,85.4,89.0,135300
2012-11-08,90.0,90.0,84.3,85.2,42500
2012-11-11,83.5,84.0,82.5,82.6,37700
2012-11-12,85.0,85.0,82.1,83.0,23700
2012-11-13,83.1,84.9,81.6,83.5,30000
2012-11-14,83.1,83.3,81.7,82.1,45200
2012-11-15,84.1,85.0,82.8,83.2,26900
2012-11-18,84.3,84.3,82.0,82.2,48500
2012-11-19,83.5,83.5,80.5,80.6,41200
2012-11-20,79.0,80.8,78.7,78.8,22400
2012-11-21,79.7,81.0,78.5,79.9,19600
2012-11-22,80.0,81.5,78.5,79.0,27300
2012-11-26,78.6,78.8,76.2,76.3,13000
2012-11-27,76.5,79.2,76.5,77.3,8300
2012-11-28,77.4,77.4,75.2,75.6,19100
2012-11-29,79.1,80.8,78.0,79.7,20200
2012-12-02,80.6,80.8,75.5,76.7,22200
2012-12-03,76.0,77.7,75.8,76.1,7200
2012-12-04,76.0,77.5,75.4,76.2,4300
2012-12-05,76.0,77.4,75.6,76.7,20500
2012-12-06,76.1,77.3,75.6,76.0,26600
2012-12-09,75.3,75.3,74.8,74.9,12100
2012-12-10,73.6,74.1,73.6,73.9,3200
2012-12-11,72.3,75.5,72.3,74.6,8600
2012-12-12,74.7,75.5,74.1,74.5,11800
2012-12-13,74.4,74.9,73.6,74.2,8300
2012-12-17,74.5,75.9,74.5,75.2,14500
2012-12-18,75.0,75.5,74.5,74.5,13000
2012-12-19,75.0,76.2,75.0,75.3,13600
2012-12-20,76.3,76.3,75.2,75.2,28400
2012-12-23,75.0,75.0,74.2,74.5,7200
2012-12-24,74.6,75.0,74.4,74.6,6400
2012-12-26,74.5,75.0,74.5,74.8,16700
2012-12-27,74.3,75.9,74.3,75.3,13100
2012-12-30,76.0,76.0,74.4,74.7,36300
2013-01-01,75.4,75.4,74.0,74.1,14900
2013-01-02,74.0,74.0,73.4,73.4,11200
2013-01-03,73.1,74.7,73.0,73.2,20600
2013-01-06,73.8,74.1,73.5,73.9,5400
2013-01-07,74.0,74.0,73.7,73.7,5100
2013-01-08,73.5,73.9,73.2,73.3,5200
2013-01-09,73.4,74.0,73.1,73.2,11800
2013-01-10,73.2,74.2,73.1,73.4,2500
2013-01-13,73.5,73.9,73.3,73.4,10800
2013-01-14,73.2,73.9,73.2,73.4,700
2013-01-15,73.8,74.7,73.2,73.7,9700
2013-01-16,73.4,74.0,73.4,73.5,2600
2013-01-17,73.4,74.9,73.3,74.4,11300
2013-01-20,75.0,75.5,74.4,74.5,13100
2013-01-21,74.2,76.8,74.2,76.6,76500
2013-01-22,77.2,82.9,76.8,82.5,146400
2013-01-23,83.2,83.7,80.1,81.6,75100
2013-01-24,81.0,82.5,80.1,80.3,53100
2013-01-27,80.2,81.1,79.2,80.3,77100
2013-01-28,80.6,84.7,80.0,82.5,46400
2013-01-29,82.2,83.9,82.1,82.5,32900
2013-01-30,83.4,83.4,80.3,80.4,35800
2013-01-31,80.0,81.8,80.0,80.8,47400
2013-02-03,81.0,83.9,81.0,82.0,68500
2013-02-04,82.1,82.8,81.3,81.4,15700
2013-02-05,80.5,82.0,80.5,81.8,21700
2013-02-06,82.0,82.5,81.6,81.7,13700
2013-02-07,82.0,82.1,80.6,81.0,24200
2013-02-10,82.0,83.5,81.9,82.6,34100
2013-02-11,83.0,86.0,83.0,84.2,62900
2013-02-12,84.5,84.8,82.3,82.9,52500
2013-02-13,82.7,83.4,82.0,82.1,34300
2013-02-14,82.9,84.0,82.5,83.4,52600
2013-02-17,83.4,83.5,82.4,82.5,27000
2013-02-18,84.7,84.7,82.7,83.1,49100
2013-02-19,83.0,84.2,82.0,82.4,44300
2013-02-20,81.2,82.2,80.8,80.8,20600
2013-02-24,80.5,81.0,78.5,78.8,10800
2013-02-25,79.9,79.9,77.0,77.1,11400
2013-02-26,81.2,81.2,78.0,78.0,14100
2013-02-27,78.2,78.2,74.5,74.8,27500
2013-02-28,75.0,77.0,73.1,74.3,6000
2013-03-03,71.1,71.8,68.4,68.9,23100
2013-03-04,71.5,72.4,71.0,71.4,12900
2013-03-05,71.6,71.9,70.5,70.9,5500
2013-03-06,71.0,72.5,71.0,71.5,27400
2013-03-07,72.0,73.5,72.0,73.1,23500
2013-03-10,73.0,73.0,71.7,72.6,3500
2013-03-11,70.7,72.1,70.2,71.0,3100
2013-03-12,70.5,72.4,70.2,71.8,10300
2013-03-13,72.0,72.5,72.0,72.2,3000
2013-03-14,72.0,72.9,72.0,72.5,13500
2013-03-18,71.2,73.0,71.2,72.5,3900
2013-03-19,73.0,74.5,73.0,73.5,9300
2013-03-20,73.6,74.0,73.0,73.3,5900
2013-03-24,71.0,71.0,69.5,69.7,11900
2013-03-25,71.0,71.0,69.5,69.8,11200
2013-03-27,68.3,70.0,68.3,68.9,1900
2013-03-28,71.0,71.0,69.0,69.7,7400
2013-03-31,69.2,69.9,68.6,68.6,16600
2013-04-01,67.1,68.0,65.1,65.5,21000
2013-04-02,67.5,67.5,65.4,65.9,9000
2013-04-03,66.9,66.9,65.5,65.9,3500
2013-04-04,66.0,66.4,65.7,66.0,11100
2013-04-07,65.5,67.0,65.4,65.9,2800
2013-04-08,66.0,67.4,66.0,66.9,4400
2013-04-09,66.8,70.1,66.8,68.9,17300
2013-04-10,69.9,70.4,68.4,69.8,15800
2013-04-11,69.4,71.0,69.4,70.6,31100
2013-04-15,71.5,72.5,71.5,72.0,18500
2013-04-16,72.3,72.3,69.8,69.9,9000
2013-04-17,70.1,71.0,69.5,70.4,16500
2013-04-18,71.9,73.8,70.0,70.4,19800
2013-04-21,72.9,77.4,72.9,74.8,85700
2013-04-22,74.0,78.0,73.6,76.5,144800
2013-04-23,75.5,79.4,75.5,76.9,59600
2013-04-24,77.0,77.1,74.6,76.6,30700
2013-04-25,76.4,76.5,74.1,74.6,27800
2013-04-28,75.0,75.0,71.0,71.7,24000
2013-04-29,72.9,73.0,71.7,71.9,26100
2013-04-30,71.9,73.0,71.2,72.4,12800
2013-05-02,71.7,73.0,71.4,71.9,37200
2013-05-05,73.9,76.3,73.0,73.1,32700
