Date,Open,High,Low,Close,Volume
2020-10-29,5060.0,5120.0,5060.0,5072.5,8
2020-11-01,5080.0,5140.0,5080.0,5092.0,10
2020-11-02,5092.0,5200.0,5092.0,5158.0,256
2020-11-03,5120.0,5120.0,5100.0,5110.0,3
2020-11-04,5100.0,5100.0,5100.0,5100.0,28
2020-11-05,5100.0,5110.0,5100.0,5101.0,19
2020-11-08,5100.0,5110.0,5100.0,5110.0,10
2020-11-09,5100.0,5150.0,5100.0,5145.0,40
2020-11-10,5110.0,5200.0,5110.0,5200.0,71
2020-11-11,5145.0,5230.0,5145.0,5220.0,78
2020-11-12,5200.0,5200.0,5200.0,5200.0,71
2020-11-15,5120.0,5200.0,5120.0,5194.0,22
2020-11-16,5120.0,5200.5,5100.0,5200.0,76
2020-11-17,5200.0,5200.0,5160.0,5199.5,80
2020-11-18,5170.0,5200.0,5170.0,5200.0,61
2020-11-19,5199.5,5200.0,5130.0,5162.5,23
2020-11-22,5160.0,5160.0,5120.0,5150.0,4
2020-11-23,5150.0,5200.0,5150.0,5166.5,3
2020-11-24,5200.0,5220.0,5200.0,5213.5,76
2020-11-25,5203.0,5203.0,5203.0,5203.0,4
2020-11-30,5200.0,5200.0,5100.0,5136.5,9
2020-12-02,5100.0,5100.0,5100.0,5100.0,2
2020-12-06,5100.0,5291.0,5100.0,5277.5,79
2020-12-07,5220.5,5220.5,5220.5,5220.5,3
2020-12-08,5200.0,5295.0,5200.0,5253.0,9
2020-12-09,5200.0,5294.5,5200.0,5227.5,29
2020-12-10,5300.0,5380.0,5300.0,5326.5,11
2020-12-13,5200.0,5220.0,5200.0,5207.0,14
2020-12-14,5340.0,5350.0,5300.0,5338.5,54
2020-12-15,5300.0,5300.0,5300.0,5300.0,7
2020-12-17,5200.0,5200.0,5200.0,5200.0,5
2020-12-20,5200.0,5200.0,5200.0,5200.0,26
2020-12-21,5220.0,5220.0,5220.0,5220.0,1
2020-12-22,5210.5,5210.5,5210.0,5210.0,14
2020-12-23,5210.0,5250.0,5210.0,5228.0,9
2020-12-24,5210.0,5210.0,5210.0,5210.0,3
2020-12-27,5210.0,5210.0,5210.0,5210.0,6
2020-12-28,5211.0,5211.0,5210.0,5210.0,11
2020-12-29,5210.0,5213.0,5210.0,5213.0,44
2020-12-30,5259.5,5259.5,5210.0,5218.5,12
2021-01-03,5413.0,5413.0,5200.5,5386.0,146
2021-01-05,5199.5,5199.5,5199.5,5199.5,200
2021-01-06,5005.0,5100.0,5005.0,5014.0,108
2021-01-07,5010.5,5050.5,5000.0,5043.0,18
2021-01-10,5000.0,5012.0,5000.0,5003.0,4
2021-01-11,5003.0,5025.0,5003.0,5020.0,13
2021-01-12,5000.0,5199.0,5000.0,5050.5,13
2021-01-13,5000.0,5200.0,5000.0,5037.5,8
2021-01-14,5000.0,5020.0,5000.0,5015.0,17
2021-01-17,5017.0,5017.0,5016.0,5016.5,4
2021-01-18,5016.5,5016.5,5015.0,5016.5,14
2021-01-19,5200.0,5200.0,5018.0,5102.5,11
2021-01-20,5025.0,5025.0,5010.0,5017.5,2
2021-01-21,5001.5,5002.0,5001.5,5001.5,3
2021-01-24,5005.0,5012.0,5005.0,5009.0,3
2021-01-26,5099.0,5196.5,5099.0,5196.5,2275
2021-01-27,5010.0,5010.0,5010.0,5010.0,1
2021-01-28,5012.0,5012.0,5012.0,5012.0,1
2021-01-31,5012.0,5020.0,5011.0,5017.5,7
2021-02-01,5021.0,5021.0,5021.0,5021.0,2
2021-02-02,5021.0,5021.0,5021.0,5021.0,3
2021-02-03,5021.0,5022.0,5021.0,5021.5,19
2021-02-04,5011.0,5021.5,5011.0,5021.5,889
2021-02-07,5000.0,5002.0,5000.0,5000.5,3
2021-02-08,5012.0,5016.0,5012.0,5014.5,3
2021-02-09,5005.0,5005.0,5005.0,5005.0,1
2021-02-10,5001.0,5001.0,5001.0,5001.0,2
2021-02-11,5002.0,5005.0,5002.0,5003.5,2
2021-02-14,5001.0,5001.0,5001.0,5001.0,2
2021-02-15,5001.0,5050.0,5000.0,5017.0,3
2021-02-16,5000.0,5011.0,5000.0,5004.0,8
2021-02-17,5004.0,5004.0,5004.0,5004.0,1
2021-02-18,5000.0,5000.0,5000.0,5000.0,2
2021-02-22,5000.0,5000.0,5000.0,5000.0,2
