Date,Open,High,Low,Close,Volume
2012-10-01,229.7,235.0,225.0,229.2,2600
2012-10-02,231.0,236.5,229.6,233.4,3000
2012-10-03,241.9,241.9,233.1,234.4,7900
2012-10-04,235.0,235.0,221.1,230.0,10600
2012-10-07,230.0,232.0,226.1,228.5,9000
2012-10-08,228.0,234.0,222.1,229.4,2900
2012-10-09,231.5,231.5,227.0,227.9,5400
2012-10-10,223.1,223.2,216.6,220.2,8750
2012-10-11,223.1,229.8,215.0,216.3,8300
2012-10-14,220.2,224.0,220.0,220.6,700
2012-10-15,226.8,226.8,216.6,218.1,1650
2012-10-16,220.0,225.0,220.0,221.9,750
2012-10-17,223.9,224.0,220.0,220.9,2450
2012-10-18,221.2,230.0,221.1,227.4,2350
2012-10-21,228.0,228.0,223.0,224.3,750
2012-10-22,222.1,223.0,221.0,222.1,450
2012-10-23,225.0,226.9,223.0,224.9,800
2012-10-30,231.8,231.9,231.8,231.8,150
2012-10-31,224.5,232.7,224.5,228.2,900
2012-11-01,224.4,224.4,219.0,221.0,1450
2012-11-04,224.8,224.8,220.0,220.3,1000
2012-11-05,220.0,225.3,220.0,223.7,800
2012-11-06,228.9,232.9,223.8,227.0,4300
2012-11-07,221.6,229.0,221.6,224.0,500
2012-11-08,224.1,231.9,224.0,229.2,12650
2012-11-11,223.2,223.2,223.0,223.0,750
2012-11-12,222.7,222.7,220.0,221.2,900
2012-11-13,218.0,224.5,218.0,219.3,4150
2012-11-14,221.1,223.5,219.0,222.0,1450
2012-11-15,225.0,241.0,225.0,235.5,19750
2012-11-18,231.0,231.0,227.0,227.6,1800
2012-11-19,224.2,224.2,223.0,223.7,1600
2012-11-20,221.1,222.0,218.4,220.8,2800
2012-11-21,221.0,227.8,218.2,226.2,6700
2012-11-22,227.0,233.3,225.0,231.9,6850
2012-11-26,231.5,231.5,221.0,225.9,5800
2012-11-27,224.7,238.9,224.7,234.7,12600
2012-11-28,235.5,238.8,227.2,237.2,7600
2012-11-29,238.0,242.0,238.0,241.0,10600
2012-12-02,243.0,246.0,228.0,233.2,4350
2012-12-03,225.1,225.1,223.0,223.4,1050
2012-12-04,227.0,232.0,222.0,224.4,3650
2012-12-05,225.1,225.1,222.1,223.1,1700
2012-12-06,222.0,222.0,217.1,219.0,3350
2012-12-09,218.0,222.0,216.1,219.3,3800
2012-12-10,219.0,225.5,219.0,221.7,1200
2012-12-11,224.8,224.9,218.1,223.5,250
2012-12-12,224.0,224.0,215.0,215.2,11250
2012-12-13,215.0,215.2,212.0,213.0,4100
2012-12-17,221.0,221.0,212.2,214.2,1050
2012-12-18,213.0,217.0,213.0,213.6,1550
2012-12-19,215.0,221.5,215.0,220.5,1900
2012-12-20,218.0,218.0,213.2,215.1,3050
2012-12-23,214.0,215.0,208.1,210.3,1550
2012-12-24,203.5,211.5,203.5,207.1,1900
2012-12-26,211.0,211.0,207.0,207.4,2500
2012-12-27,208.0,215.0,207.8,208.9,3500
2012-12-30,209.1,213.8,208.5,211.6,750
2013-01-01,209.3,216.3,209.3,213.6,850
2013-01-02,210.9,211.5,208.5,209.2,800
2013-01-03,212.0,212.5,203.1,206.6,2150
2013-01-06,209.5,209.5,203.0,203.4,2150
2013-01-07,201.0,203.5,200.0,200.9,1550
2013-01-08,202.1,208.0,202.1,206.8,750
2013-01-09,208.0,208.0,200.9,202.7,950
2013-01-10,200.7,202.9,199.0,201.0,2200
2013-01-13,200.0,201.0,200.0,200.3,350
2013-01-14,203.0,203.9,200.0,201.0,850
2013-01-15,201.0,201.6,201.0,201.3,1450
2013-01-16,202.4,204.8,202.4,203.4,2150
2013-01-17,204.5,209.9,204.5,207.8,1750
2013-01-20,204.1,204.1,204.0,204.0,200
2013-01-22,206.9,209.0,206.9,207.7,2550
2013-01-23,208.0,208.5,206.0,207.8,500
2013-01-24,208.0,210.0,208.0,208.3,800
2013-01-27,210.0,211.0,205.2,209.7,1150
2013-01-28,205.0,214.0,205.0,212.5,3200
2013-01-29,216.0,216.0,210.0,210.7,3650
2013-01-30,208.6,208.6,203.0,206.7,1550
2013-01-31,207.2,207.2,205.7,206.4,300
2013-02-03,209.0,212.0,206.4,207.9,2400
2013-02-04,208.0,208.0,206.4,207.2,700
2013-02-05,205.0,206.6,203.0,205.1,5500
2013-02-06,207.0,209.0,206.2,207.4,2300
2013-02-07,207.2,207.4,207.2,207.3,800
2013-02-10,206.0,219.0,206.0,215.6,10150
2013-02-11,215.1,221.0,215.1,216.0,9900
2013-02-12,214.2,215.3,214.2,214.9,5300
2013-02-13,215.0,218.0,215.0,216.9,1400
2013-02-14,217.0,224.8,217.0,220.0,18650
2013-02-17,225.0,225.0,218.0,222.0,4950
2013-02-18,224.0,224.0,216.0,221.5,2650
2013-02-19,220.0,222.0,220.0,220.1,5200
2013-02-20,217.0,221.5,216.2,217.9,2500
2013-02-24,216.0,216.5,216.0,216.0,3100
