Date,Open,High,Low,Close,Volume
2012-10-01,78.0,86.9,78.0,84.1,65500
2012-10-02,85.8,85.8,83.7,84.1,64500
2012-10-03,84.0,86.3,83.5,83.9,72500
2012-10-04,83.6,84.0,82.0,83.5,30500
2012-10-07,83.5,83.8,77.2,77.8,32000
2012-10-08,78.7,79.0,76.0,76.5,34500
2012-10-09,78.9,80.8,78.0,79.4,84500
2012-10-10,80.3,80.5,76.0,76.5,45500
2012-10-11,75.3,78.0,75.3,76.5,24000
2012-10-14,75.5,83.8,75.5,81.0,60000
2012-10-15,84.5,84.6,77.6,78.4,29500
2012-10-16,81.0,81.0,77.5,77.8,138000
2012-10-17,78.0,78.5,76.2,77.0,37000
2012-10-18,78.8,79.5,76.1,76.4,24000
2012-10-21,78.3,79.5,76.0,78.4,30000
2012-10-22,78.0,79.8,76.5,77.9,14000
2012-10-23,81.0,81.0,77.2,78.3,14500
2012-10-30,76.5,80.5,76.5,79.5,15500
2012-10-31,80.1,80.1,73.5,73.8,43000
2012-11-01,77.5,77.5,73.4,73.7,29000
2012-11-04,71.9,73.9,71.6,72.6,9500
2012-11-05,74.5,74.5,71.1,71.6,13500
2012-11-06,70.8,72.7,70.5,70.9,20000
2012-11-07,70.7,70.7,69.1,70.3,6500
2012-11-08,67.3,71.0,67.3,69.3,22500
2012-11-11,67.5,69.2,67.0,67.8,11000
2012-11-12,67.9,67.9,65.9,67.2,8000
2012-11-13,67.8,71.6,66.1,68.2,23000
2012-11-14,70.0,70.0,67.0,67.8,16500
2012-11-15,68.0,69.9,67.0,67.7,17000
2012-11-18,68.1,68.1,67.7,67.8,13000
2012-11-19,67.0,67.9,65.2,65.9,28000
2012-11-20,65.5,66.0,65.5,65.7,9000
2012-11-21,67.9,67.9,63.5,65.1,15500
2012-11-22,65.8,67.3,65.5,66.5,14000
2012-11-26,65.5,67.3,65.5,66.2,17000
2012-11-27,67.0,67.0,63.8,65.7,8500
2012-11-28,64.0,66.3,64.0,64.8,3500
2012-11-29,69.0,69.0,67.0,68.9,32500
2012-12-02,69.4,69.4,66.6,67.5,11000
2012-12-03,65.0,65.0,64.3,64.8,5000
2012-12-04,64.5,68.4,64.5,66.5,17500
2012-12-05,65.0,68.3,65.0,66.5,14500
2012-12-06,64.3,66.7,64.1,64.9,10000
2012-12-09,64.5,64.5,63.3,63.5,9500
2012-12-10,63.0,63.5,60.8,61.6,7000
2012-12-11,62.8,62.9,62.0,62.3,4000
2012-12-12,62.2,62.2,61.6,62.0,8000
2012-12-13,64.9,64.9,62.1,63.2,2500
2012-12-17,64.7,65.5,64.7,65.0,7000
2012-12-18,63.8,63.9,62.8,63.2,6000
2012-12-19,64.0,64.7,62.7,63.4,14000
2012-12-20,63.1,63.1,62.1,62.7,5500
2012-12-24,64.9,65.0,62.9,64.2,12500
2012-12-26,66.0,66.0,65.0,65.3,1500
2012-12-27,66.4,66.4,63.5,64.1,6500
2012-12-30,63.9,64.1,63.9,63.9,4500
2013-01-01,63.2,63.2,63.2,63.2,1000
2013-01-02,62.7,64.3,62.6,63.0,5000
2013-01-03,62.1,64.0,62.1,62.4,14500
2013-01-06,63.1,63.1,62.9,62.9,5000
2013-01-07,62.9,62.9,62.9,62.9,1500
2013-01-08,61.2,61.6,60.7,60.7,30000
2013-01-09,63.8,63.8,61.4,62.0,2000
2013-01-10,63.3,63.3,60.8,61.3,5000
2013-01-13,62.0,62.0,61.5,61.6,4000
2013-01-14,61.0,62.0,61.0,61.1,4000
2013-01-15,62.0,62.0,61.1,61.5,6500
2013-01-16,62.0,62.3,62.0,62.0,7500
2013-01-17,63.3,63.3,63.0,63.0,14000
2013-01-20,63.8,64.6,63.7,64.2,11500
2013-01-21,64.1,64.1,62.4,62.9,8000
2013-01-22,63.5,67.5,63.5,65.7,34500
2013-01-23,66.5,70.0,66.5,69.3,91500
2013-01-24,69.5,73.5,69.5,72.5,76000
2013-01-27,72.8,75.0,72.5,74.0,60500
2013-01-28,73.0,81.0,72.9,79.9,126500
2013-01-29,81.7,81.7,78.0,80.0,93500
2013-01-30,80.0,80.0,75.2,77.6,109500
