Date,Open,High,Low,Close,Volume
2012-10-01,40.0,42.2,39.0,41.7,258750
2012-10-02,42.0,43.1,41.6,42.3,196250
2012-10-03,42.7,44.9,41.6,43.0,466750
2012-10-04,42.0,43.5,41.5,41.9,198750
2012-10-07,42.5,42.5,40.3,40.4,132000
2012-10-08,40.1,41.2,39.6,39.8,210500
2012-10-09,40.7,42.0,40.2,40.7,85250
2012-10-10,40.6,41.1,39.0,39.3,139250
2012-10-11,40.0,40.1,38.6,39.0,97750
2012-10-14,39.5,39.5,38.7,38.8,89750
2012-10-15,39.1,40.0,38.5,38.8,138000
2012-10-16,39.0,40.0,39.0,39.3,84000
2012-10-17,39.1,40.5,39.0,39.6,99750
2012-10-18,39.1,40.1,38.9,39.8,51000
2012-10-21,39.1,39.2,38.0,38.2,87250
2012-10-22,38.0,39.0,37.9,38.7,35750
2012-10-23,38.8,39.8,38.8,39.0,36000
2012-10-30,38.7,38.9,38.5,38.6,16500
2012-10-31,39.1,39.4,37.6,38.0,53000
2012-11-01,39.0,39.7,39.0,39.0,142750
2012-11-04,39.0,39.0,37.5,37.7,87750
2012-11-05,37.6,38.0,37.0,37.1,67500
2012-11-06,37.5,37.5,36.5,36.9,33500
2012-11-07,36.2,37.3,36.2,36.6,65000
2012-11-08,36.5,37.2,36.1,36.3,53500
2012-11-11,36.1,36.6,35.2,36.4,115500
2012-11-12,35.2,36.7,35.2,36.4,88250
2012-11-13,35.8,37.6,35.8,37.2,43500
2012-11-14,38.5,38.5,37.3,37.4,52750
2012-11-15,37.1,37.8,37.1,37.5,107250
2012-11-18,36.7,37.9,36.7,37.4,53250
2012-11-19,36.7,36.8,35.6,36.3,33250
2012-11-20,35.6,36.0,34.6,34.9,39250
2012-11-21,35.3,35.3,35.0,35.0,15750
2012-11-22,34.5,36.0,34.5,35.7,34000
2012-11-26,35.2,35.2,34.5,34.7,19500
2012-11-27,34.3,34.9,34.0,34.0,20500
2012-11-28,34.2,34.5,33.5,33.7,21000
2012-11-29,35.4,36.5,34.6,36.2,24000
2012-12-02,36.5,37.0,35.2,36.1,50500
2012-12-03,34.8,35.5,34.8,35.0,29000
2012-12-04,34.4,35.5,34.4,34.7,7000
2012-12-05,34.7,34.8,33.7,34.0,35000
2012-12-06,33.9,34.3,33.7,34.1,16000
2012-12-09,33.3,34.3,33.3,34.1,8250
2012-12-10,34.0,34.3,33.3,33.6,27750
2012-12-11,34.0,34.1,33.7,33.7,16000
2012-12-12,33.9,34.2,33.5,33.8,13250
2012-12-13,33.9,35.2,33.9,34.7,24500
2012-12-17,35.0,35.9,35.0,35.6,25750
2012-12-18,35.0,35.0,34.6,34.8,8250
2012-12-19,35.5,36.1,35.1,35.6,17750
2012-12-20,36.8,36.8,35.1,35.6,33750
2012-12-23,34.8,35.0,34.2,34.3,17250
2012-12-24,34.4,35.2,34.3,34.8,22000
2012-12-26,34.9,35.0,34.1,34.9,22000
2012-12-27,35.4,35.5,34.8,35.0,23250
2012-12-30,35.2,35.4,35.0,35.2,54000
2013-01-01,35.3,35.3,34.8,34.8,6000
2013-01-02,34.3,34.7,34.3,34.5,7500
2013-01-03,34.7,35.0,34.6,34.8,7000
2013-01-06,34.7,34.8,34.5,34.5,26000
2013-01-07,34.2,34.7,34.2,34.3,22750
2013-01-08,34.3,34.5,34.3,34.3,20500
2013-01-09,34.0,34.0,33.8,33.8,9000
2013-01-10,34.8,34.8,33.8,33.9,2750
2013-01-13,33.8,34.4,33.8,33.8,15750
2013-01-14,33.7,33.9,33.5,33.7,8750
2013-01-15,33.5,34.1,33.2,33.6,15750
2013-01-16,34.0,34.2,33.8,33.9,6750
2013-01-17,34.1,34.5,34.0,34.3,19750
2013-01-20,34.2,34.5,34.0,34.2,13250
2013-01-21,34.3,34.3,33.6,33.8,12000
2013-01-22,33.7,34.0,33.6,33.8,15000
2013-01-23,34.4,34.8,34.2,34.3,41750
2013-01-24,34.7,35.3,34.6,34.7,32750
2013-01-27,34.4,34.8,34.3,34.4,25500
2013-01-28,34.5,35.4,34.3,35.1,48000
2013-01-29,35.5,37.1,35.5,36.1,83750
2013-01-30,36.3,36.4,35.8,35.8,32000
2013-01-31,36.0,37.2,35.9,36.7,53500
2013-02-03,37.0,39.0,37.0,38.5,138000
2013-02-04,38.8,38.9,37.4,37.5,50250
2013-02-05,36.5,38.0,36.5,37.6,47000
2013-02-06,38.0,38.0,37.0,37.2,33250
2013-02-07,38.4,39.3,37.0,37.4,101750
2013-02-10,37.1,38.0,37.1,37.4,48500
2013-02-11,37.4,38.5,37.4,38.3,65750
2013-02-12,38.5,38.6,37.6,38.0,63500
2013-02-13,38.0,38.3,37.6,38.0,39250
2013-02-14,38.2,39.7,38.1,39.4,148250
2013-02-17,40.0,40.0,38.0,38.4,88750
2013-02-18,38.6,39.0,37.9,38.0,45250
2013-02-19,37.8,38.4,37.1,37.2,41500
2013-02-20,37.5,37.5,36.4,36.8,88250
2013-02-24,36.5,36.9,35.5,36.0,27250
2013-02-25,36.5,37.0,34.1,35.3,38000
2013-02-26,35.5,36.0,35.0,35.7,36250
2013-02-27,35.2,35.7,34.7,35.0,59000
2013-02-28,35.9,35.9,34.5,35.2,41250
2013-03-03,33.2,33.7,32.8,33.0,30250
2013-03-04,33.0,34.9,33.0,34.0,23250
2013-03-05,34.9,34.9,33.7,33.8,30250
2013-03-06,33.3,33.9,33.2,33.8,65000
2013-03-07,33.0,34.6,33.0,33.7,47000
2013-03-10,33.5,33.9,33.5,33.5,40750
2013-03-11,33.1,33.8,32.0,33.1,37250
2013-03-12,32.1,33.5,32.1,33.0,18750
2013-03-13,33.5,33.9,33.4,33.6,18750
2013-03-14,33.2,33.9,32.8,33.6,26500
2013-03-18,33.0,34.5,33.0,33.8,20250
2013-03-19,34.9,34.9,33.5,34.0,6250
2013-03-20,34.0,34.0,33.5,33.7,35500
2013-03-24,33.2,33.7,33.2,33.2,19750
2013-03-25,32.9,33.1,32.8,32.9,36000
2013-03-27,32.0,34.0,31.5,32.0,13750
2013-03-28,31.9,32.5,31.9,32.1,10000
2013-03-31,31.5,32.4,30.0,32.0,46250
2013-04-01,30.5,32.6,30.5,31.3,64000
2013-04-02,31.1,31.9,31.0,31.5,22000
2013-04-03,32.0,32.5,31.6,31.8,23250
2013-04-04,31.8,32.4,31.5,31.9,113500
2013-04-07,31.9,32.0,31.0,31.4,31500
2013-04-08,31.0,31.9,30.4,31.0,4750
2013-04-09,32.0,32.1,31.5,31.9,8000
2013-04-10,31.8,32.4,31.7,32.0,22500
2013-04-11,32.0,32.0,31.1,31.4,10500
2013-04-15,31.9,33.0,31.8,32.6,26000
2013-04-16,32.0,32.0,31.5,31.7,15750
2013-04-17,30.7,32.0,30.7,31.8,18000
2013-04-18,31.5,31.8,31.5,31.5,8500
2013-04-21,31.0,32.0,30.9,31.2,10000
2013-04-22,31.2,31.2,29.7,30.4,7000
2013-04-23,29.5,30.0,29.5,29.8,11500
2013-04-24,29.4,29.8,29.1,29.4,6000
2013-04-25,29.2,29.2,28.0,28.1,21500
2013-04-28,27.5,29.1,27.5,28.5,5500
2013-04-29,28.2,28.8,28.2,28.4,12250
2013-04-30,28.7,28.9,28.0,28.4,12000
2013-05-02,28.5,28.6,27.9,28.1,24000
2013-05-05,27.9,28.3,27.7,27.9,17250
2013-05-06,28.4,28.4,27.8,27.9,6250
2013-05-07,28.6,29.5,28.5,29.2,18750
2013-05-08,29.2,29.4,28.8,29.0,13750
2013-05-09,25.5,29.5,25.5,28.8,49250
2013-05-12,29.3,31.0,29.3,30.9,81250
2013-05-13,31.2,33.5,30.5,33.0,299000
2013-05-14,32.7,35.3,32.7,35.1,187000
2013-05-15,33.6,35.5,33.6,34.7,114500
2013-05-16,35.5,37.8,34.5,36.8,255500
2013-05-19,35.5,37.4,35.5,37.0,296750
2013-05-21,34.2,34.9,32.5,32.7,210500
2013-05-22,32.0,32.4,31.6,31.8,109750
2013-05-26,32.0,32.0,30.2,30.6,31000
2013-05-27,30.4,31.4,30.4,30.9,29250
2013-05-28,30.9,31.2,30.8,30.9,54000
2013-05-29,31.3,31.9,31.2,31.4,120500
2013-05-30,31.6,32.1,31.5,31.6,98500
2013-06-02,31.5,32.7,31.3,32.2,131750
2013-06-03,32.3,32.3,31.6,32.0,84500
2013-06-04,32.1,32.2,31.6,31.8,97750
2013-06-05,31.8,32.2,31.7,31.9,138500
2013-06-06,31.8,32.0,31.4,31.4,110250
2013-06-09,31.4,31.5,30.6,30.9,89750
2013-06-10,31.2,31.5,30.7,31.2,52250
2013-06-11,31.2,32.0,31.2,31.6,92000
2013-06-12,31.6,32.5,31.6,32.3,144500
2013-06-13,32.1,33.6,32.1,32.8,111750
2013-06-16,33.2,33.9,32.8,33.7,80250
2013-06-17,33.6,33.8,32.0,32.3,122000
2013-06-18,31.7,32.6,31.7,31.9,59750
2013-06-19,32.2,32.7,31.9,32.0,103250
2013-06-20,34.9,34.9,31.8,32.0,67500
2013-06-23,31.0,32.2,31.0,31.7,130250
2013-06-24,31.1,31.7,30.9,31.0,21500
2013-06-26,31.2,31.8,31.0,31.1,54000
2013-06-27,31.1,31.5,31.1,31.2,40500
2013-06-30,30.0,30.7,30.0,30.3,18250
2013-07-02,30.2,32.3,30.2,31.8,55750
2013-07-03,31.7,31.9,31.3,31.6,67000
2013-07-04,32.4,33.0,31.1,31.9,91250
2013-07-07,33.0,33.0,32.1,32.1,42750
2013-07-08,32.0,32.0,31.0,31.1,138750
2013-07-09,32.5,33.7,30.9,31.1,161000
2013-07-10,29.6,31.8,29.5,30.7,78250
2013-07-11,30.7,31.0,30.0,30.1,85250
2013-07-14,30.1,30.1,29.2,29.4,54000
2013-07-15,29.3,31.9,28.6,29.4,80250
2013-07-16,31.5,31.6,28.8,28.9,177000
2013-07-17,28.9,31.0,28.9,29.1,134000
2013-07-18,30.6,30.6,28.9,29.2,118750
2013-07-21,29.0,29.0,28.1,28.9,62250
