Date,Open,High,Low,Close,Volume
2012-10-01,39.0,41.7,38.0,40.0,211000
2012-10-02,41.6,41.7,40.5,41.1,281000
2012-10-03,41.5,43.7,41.2,41.5,792000
2012-10-04,42.3,42.8,40.1,40.7,258000
2012-10-07,40.4,41.2,39.2,39.3,190000
2012-10-08,40.4,40.5,38.0,38.1,257000
2012-10-09,39.5,40.4,38.3,38.9,171000
2012-10-10,39.1,40.0,38.5,38.9,260500
2012-10-11,38.9,38.9,38.0,38.1,88500
2012-10-14,39.5,41.0,36.9,37.1,167500
2012-10-15,38.0,38.7,37.3,37.9,49500
2012-10-16,39.9,39.9,37.0,39.1,119500
2012-10-17,39.8,40.6,38.5,39.1,239000
2012-10-18,39.8,39.8,38.5,38.9,89000
2012-10-21,38.3,38.3,37.1,37.2,121000
2012-10-22,37.5,38.7,37.3,37.7,36000
2012-10-23,38.8,38.8,37.8,38.2,73500
2012-10-30,38.0,38.0,36.8,37.0,44500
2012-10-31,39.8,40.5,38.7,40.2,354000
2012-11-01,41.0,41.4,39.9,40.2,320000
2012-11-04,40.1,40.2,39.4,39.6,117000
2012-11-05,39.5,39.9,38.8,39.5,143000
2012-11-06,39.3,39.4,38.2,39.0,86500
2012-11-07,38.9,39.2,38.0,38.5,71500
2012-11-08,38.1,38.6,37.1,37.5,45000
2012-11-11,37.3,37.6,36.9,37.4,183500
2012-11-12,37.2,37.5,36.7,37.0,120500
2012-11-13,37.1,39.1,37.1,38.4,64500
2012-11-14,38.9,39.0,38.2,38.7,147000
2012-11-15,38.1,39.5,38.0,38.9,173000
2012-11-18,38.1,39.2,38.1,38.9,90500
2012-11-19,41.1,42.7,37.5,37.9,82500
2012-11-20,37.6,38.3,36.6,36.9,35000
2012-11-21,35.0,38.0,35.0,37.1,18000
2012-11-22,35.2,37.9,35.2,37.4,50000
2012-11-26,36.1,36.8,35.7,36.1,23500
2012-11-27,35.2,37.5,35.2,35.6,23000
2012-11-28,35.7,36.4,34.3,35.2,20500
2012-11-29,36.9,37.8,36.4,37.3,37000
2012-12-02,38.8,38.8,36.5,37.1,98000
2012-12-03,36.5,36.5,36.1,36.2,27000
2012-12-04,36.0,36.0,35.0,35.3,6500
2012-12-05,35.5,35.5,35.0,35.0,24000
2012-12-06,35.0,35.7,35.0,35.1,48500
2012-12-09,35.0,35.6,35.0,35.1,13000
2012-12-10,32.1,35.0,32.1,33.2,32000
2012-12-11,33.7,34.5,33.6,34.3,11500
2012-12-12,34.9,34.9,34.0,34.1,41500
2012-12-13,34.3,35.0,33.1,33.9,44000
2012-12-17,34.9,35.8,34.9,35.6,40000
2012-12-18,34.7,34.8,34.5,34.6,22000
2012-12-19,35.5,36.0,35.2,35.7,15500
2012-12-20,35.9,36.1,35.0,35.2,45000
2012-12-23,35.0,35.3,34.7,34.8,14500
2012-12-24,34.5,35.3,34.5,34.7,17500
2012-12-26,34.5,35.4,34.5,34.8,16500
2012-12-27,35.0,35.5,34.7,35.0,69000
2012-12-30,35.1,35.4,35.0,35.1,32000
2013-01-01,35.1,35.1,34.9,34.9,14500
2013-01-02,34.4,34.6,34.0,34.0,23500
2013-01-03,33.9,34.7,33.9,34.2,37000
2013-01-06,34.3,34.4,34.0,34.1,29500
2013-01-07,33.7,34.2,33.6,34.0,35000
2013-01-08,33.6,34.1,33.2,33.7,23000
2013-01-09,33.4,33.9,33.4,33.5,19000
2013-01-10,33.5,33.9,33.5,33.5,30500
2013-01-13,33.6,34.0,33.5,33.6,11000
2013-01-14,34.0,34.1,33.3,33.4,33000
2013-01-15,32.8,33.8,32.8,33.3,10500
2013-01-16,33.6,33.9,33.6,33.7,24000
2013-01-17,34.0,34.5,33.8,34.1,45500
2013-01-20,34.4,34.5,34.0,34.0,21500
