Date,Open,High,Low,Close,Volume
2012-10-01,23.0,25.2,22.8,24.5,182000
2012-10-02,25.0,26.3,25.0,25.6,668500
2012-10-03,25.6,26.0,24.8,25.3,472500
2012-10-04,25.8,25.8,24.5,24.9,176000
2012-10-07,24.5,25.1,24.1,24.4,193500
2012-10-08,24.5,25.5,23.8,24.0,239000
2012-10-09,24.5,25.0,23.8,23.8,445000
2012-10-10,24.0,24.1,23.1,23.3,205000
2012-10-11,23.9,23.9,23.3,23.6,418000
2012-10-14,23.5,23.5,23.0,23.0,92000
2012-10-15,23.0,23.9,23.0,23.5,189000
2012-10-16,23.5,24.1,23.5,23.9,75000
2012-10-17,23.8,24.1,23.7,23.9,419000
2012-10-18,24.0,24.1,23.6,23.9,164000
2012-10-21,23.8,24.3,23.8,23.9,108500
2012-10-22,24.0,25.0,24.0,24.4,341000
2012-10-23,24.8,25.0,24.3,24.5,43000
2012-10-30,24.5,24.5,24.0,24.1,31500
2012-10-31,23.1,23.3,22.3,22.5,438000
2012-11-01,22.8,22.8,21.5,21.6,428500
2012-11-04,22.8,22.8,21.3,21.5,166500
2012-11-05,21.5,21.8,21.3,21.4,104000
2012-11-06,21.3,22.0,21.3,21.8,1075000
2012-11-07,21.3,21.8,21.3,21.4,49500
2012-11-08,21.3,21.6,21.3,21.5,73500
2012-11-11,20.6,21.7,20.6,21.5,262000
2012-11-12,20.6,21.7,20.6,21.5,83000
2012-11-13,21.8,21.8,21.1,21.7,69500
2012-11-14,21.7,22.9,21.4,21.7,108500
2012-11-15,21.7,22.1,21.7,21.9,43000
2012-11-18,21.9,22.0,21.6,21.6,433000
2012-11-19,21.5,21.7,21.5,21.5,139000
2012-11-20,21.0,21.7,20.9,21.5,98500
2012-11-21,21.5,21.5,20.3,20.5,87500
2012-11-22,21.0,21.0,20.0,20.2,36500
2012-11-26,20.1,20.3,19.7,19.9,71000
2012-11-27,20.0,20.5,19.8,20.1,121500
2012-11-28,19.8,19.9,19.1,19.3,61000
2012-11-29,21.0,21.2,19.1,21.1,104500
2012-12-02,22.3,22.3,21.0,21.0,179500
2012-12-03,20.7,21.0,20.6,20.8,21500
2012-12-04,20.3,21.0,20.1,20.8,93000
2012-12-05,20.5,21.3,20.5,21.1,24000
2012-12-06,20.4,21.0,20.4,20.6,41000
2012-12-09,20.0,20.6,20.0,20.4,48500
2012-12-10,20.0,20.5,20.0,20.3,99500
2012-12-11,20.0,21.5,20.0,20.8,58000
2012-12-12,21.5,21.8,21.2,21.4,130000
2012-12-13,21.4,22.0,21.0,21.4,113000
2012-12-17,22.0,22.2,21.5,22.0,169000
2012-12-18,21.6,21.7,21.4,21.4,28000
2012-12-19,21.7,22.1,21.7,21.9,17500
2012-12-20,21.6,22.0,21.5,21.7,137500
2012-12-23,21.8,21.8,20.9,20.9,51000
2012-12-24,20.6,21.0,20.6,20.7,39000
2012-12-26,20.5,21.3,20.4,20.5,103000
2012-12-27,20.5,21.5,20.5,21.2,154500
2012-12-30,21.4,21.7,21.3,21.5,400000
2013-01-01,21.5,22.2,21.5,21.8,217500
2013-01-02,22.0,22.0,21.5,21.5,237500
2013-01-03,21.2,22.0,21.2,21.7,99500
2013-01-06,21.4,21.8,21.4,21.5,43000
2013-01-07,21.4,21.4,21.1,21.3,132500
2013-01-08,21.3,21.4,21.2,21.2,116500
2013-01-09,21.3,22.0,21.0,21.3,153500
2013-01-10,21.3,21.7,21.2,21.3,95000
2013-01-13,21.2,21.6,21.1,21.2,80500
2013-01-14,21.1,21.2,21.0,21.1,58000
2013-01-15,21.4,21.4,21.0,21.1,40000
2013-01-16,21.0,21.6,21.0,21.4,135500
2013-01-17,21.2,21.7,21.2,21.5,129500
2013-01-20,21.6,21.6,21.3,21.5,86500
2013-01-21,21.2,21.5,21.2,21.3,60500
2013-01-22,21.6,22.0,21.2,21.3,165000
2013-01-23,21.4,21.4,20.8,21.0,141500
2013-01-24,21.3,21.4,21.2,21.3,228500
2013-01-27,21.4,21.5,21.3,21.3,157000
2013-01-28,21.3,21.4,21.2,21.3,88000
2013-01-29,21.1,21.7,21.1,21.5,578500
2013-01-30,21.7,21.9,21.2,21.2,287500
2013-01-31,21.0,21.4,21.0,21.2,124500
2013-02-03,21.0,21.9,21.0,21.2,142000
2013-02-04,21.6,21.6,21.2,21.3,61500
2013-02-05,21.3,21.6,21.1,21.4,89000
2013-02-06,21.6,21.6,21.4,21.4,128500
2013-02-07,21.3,21.6,21.3,21.4,129000
2013-02-10,21.4,21.6,21.3,21.4,101500
2013-02-11,21.7,22.2,21.7,21.9,313500
2013-02-12,22.1,22.1,21.7,21.8,181000
2013-02-13,21.9,21.9,21.5,21.7,94000
2013-02-14,21.7,22.0,21.5,21.7,122000
2013-02-17,21.7,21.8,21.5,21.5,52000
2013-02-18,21.5,21.7,21.2,21.3,63500
2013-02-19,21.2,21.3,20.9,20.9,96000
2013-02-20,20.6,20.9,20.6,20.7,59000
2013-02-24,20.5,20.7,19.5,20.0,290000
2013-02-25,19.8,20.3,19.8,19.9,76000
2013-02-26,19.9,20.2,19.6,20.0,79500
2013-02-27,20.0,20.0,19.1,19.4,107000
2013-02-28,19.6,20.5,19.5,20.2,175500
2013-03-03,20.3,20.3,18.8,19.3,174000
2013-03-04,19.5,20.2,19.5,20.0,242000
2013-03-05,20.7,20.7,20.0,20.1,142000
2013-03-06,19.5,20.3,19.5,20.1,130500
2013-03-07,19.6,20.1,19.5,19.8,54000
2013-03-10,20.3,20.3,19.4,19.5,87500
2013-03-11,19.4,19.5,19.0,19.1,114000
2013-03-13,17.0,17.3,16.8,17.1,288500
2013-03-14,17.1,17.4,17.1,17.2,76000
2013-03-18,17.0,17.5,17.0,17.4,79000
2013-03-19,17.5,17.9,17.1,17.4,109500
2013-03-20,17.5,17.5,17.2,17.4,91500
2013-03-24,17.1,17.3,16.8,16.9,170000
2013-03-25,16.6,16.8,16.5,16.7,83500
2013-03-27,16.5,17.2,16.3,16.5,64000
2013-03-28,17.0,17.0,16.6,17.0,46000
2013-03-31,16.9,17.0,16.6,16.8,106000
2013-04-01,16.4,16.6,16.2,16.3,88000
2013-04-02,16.4,16.4,16.2,16.3,24000
2013-04-03,16.7,16.7,16.1,16.2,18500
2013-04-04,16.1,16.4,16.1,16.2,19000
2013-04-07,16.3,16.3,15.7,15.7,57000
2013-04-08,16.0,16.0,15.7,15.9,38000
2013-04-09,16.0,16.2,15.9,16.1,84500
2013-04-10,16.3,16.5,16.0,16.0,88500
2013-04-11,16.2,16.3,16.0,16.0,24500
2013-04-15,16.4,16.4,16.0,16.1,98000
2013-04-16,16.1,16.4,15.9,15.9,129000
2013-04-17,15.8,16.2,15.8,16.0,779000
2013-04-18,16.0,16.2,16.0,16.1,75000
2013-04-21,16.0,16.2,16.0,16.0,110500
2013-04-22,16.1,16.3,16.1,16.2,145500
2013-04-23,16.0,16.3,16.0,16.1,196500
2013-04-24,16.0,16.5,16.0,16.3,499000
2013-04-25,16.3,16.5,16.3,16.4,219000
2013-04-28,16.3,16.4,16.1,16.3,50500
2013-04-29,16.3,16.5,16.2,16.4,140500
2013-04-30,16.5,16.7,16.3,16.5,123000
2013-05-02,16.5,17.0,16.3,16.9,281000
2013-05-05,16.3,17.4,16.3,17.2,164000
2013-05-06,16.7,17.5,16.7,17.4,113500
2013-05-07,17.1,17.8,17.1,17.7,168500
2013-05-08,17.7,17.8,17.4,17.6,160000
2013-05-09,17.5,18.4,17.5,18.2,335500
2013-05-12,18.1,18.9,18.1,18.7,185000
2013-05-13,18.5,19.0,18.5,18.8,282000
2013-05-14,18.5,19.0,18.5,18.7,276500
2013-05-15,18.6,19.0,18.6,18.6,253500
2013-05-16,18.3,18.8,18.3,18.3,235000
2013-05-19,18.0,18.6,18.0,18.4,327500
2013-05-20,18.8,19.2,18.6,19.0,433000
2013-05-21,19.0,19.0,18.5,18.8,307000
2013-05-22,18.3,20.0,18.3,19.0,189500
2013-05-26,18.6,19.0,18.6,18.9,102000
2013-05-27,19.0,19.0,18.4,18.6,167000
2013-05-28,18.7,19.0,18.5,18.6,213000
2013-05-29,18.9,19.0,18.5,18.5,382000
2013-05-30,19.5,20.0,18.9,19.0,206000
2013-06-02,19.0,19.5,19.0,19.1,162000
2013-06-03,19.1,19.5,18.6,19.2,177000
2013-06-04,19.0,19.0,18.7,18.9,207500
2013-06-05,18.9,19.1,18.8,18.9,49500
2013-06-06,18.8,19.1,18.8,18.9,146500
2013-06-09,18.7,18.9,18.6,18.6,38000
2013-06-10,19.0,19.0,18.2,18.5,109000
2013-06-11,16.8,19.0,16.8,18.1,185000
2013-06-12,18.9,19.1,18.2,18.9,384500
2013-06-13,18.5,19.1,18.4,19.0,207500
2013-06-16,19.0,19.5,18.6,19.2,477500
2013-06-17,19.5,19.6,19.0,19.3,310000
2013-06-18,19.0,19.5,18.9,19.1,647500
2013-06-19,19.5,19.6,18.8,19.3,413500
2013-06-20,19.6,20.0,19.0,19.4,1107500
2013-06-23,19.5,19.5,19.1,19.1,606000
2013-06-24,19.0,19.5,19.0,19.1,316500
2013-06-26,19.3,19.5,18.7,18.7,262500
2013-06-27,18.8,19.1,18.7,18.8,684500
2013-06-30,19.5,20.5,18.6,19.3,372500
2013-07-02,19.3,19.4,18.7,18.9,339000
2013-07-03,18.5,19.5,18.5,19.3,177500
2013-07-04,18.6,19.2,18.6,18.9,427500
2013-07-07,19.0,19.3,18.8,18.9,336000
2013-07-08,18.6,19.3,18.2,18.3,359500
2013-07-09,18.3,18.4,17.7,17.8,393500
2013-07-10,18.5,19.1,18.2,18.8,999000
2013-07-11,19.0,19.0,18.5,18.5,74500
2013-07-14,18.7,18.7,18.1,18.1,78500
2013-07-15,18.0,18.6,18.0,18.4,248500
2013-07-16,18.1,18.1,17.6,17.7,282500
2013-07-17,18.5,18.7,18.0,18.4,398000
2013-07-18,18.2,18.7,18.0,18.6,214000
2013-07-21,18.6,18.9,18.5,18.5,235000
2013-07-22,18.4,18.9,18.4,18.5,272000
2013-07-23,18.5,18.8,18.2,18.5,470500
2013-07-24,18.1,19.0,18.1,18.7,751500
2013-07-25,18.3,18.6,18.3,18.4,152500
2013-07-28,18.2,18.2,18.1,18.1,5500
2013-07-29,17.7,18.8,17.7,18.2,217000
2013-07-30,18.1,18.5,18.1,18.5,667000
2013-07-31,18.3,18.7,18.3,18.5,310500
2013-08-01,18.0,18.6,18.0,18.4,93000
2013-08-04,18.5,18.5,18.0,18.2,32500
2013-08-05,18.3,18.3,18.1,18.1,11000
2013-08-12,18.2,18.2,18.2,18.2,61000
2013-08-13,18.2,18.6,18.2,18.5,431500
2013-08-14,18.4,18.8,18.2,18.4,413000
2013-08-18,18.2,18.8,18.2,18.5,105500
2013-08-19,18.5,19.9,18.4,19.0,239500
2013-08-20,19.1,19.6,19.1,19.3,406000
2013-08-21,19.3,19.6,19.3,19.5,400500
2013-08-22,19.3,19.5,19.3,19.3,380500
2013-08-25,19.0,19.1,18.9,18.9,121000
2013-08-26,19.1,19.5,19.1,19.3,295500
2013-08-27,19.5,19.9,19.0,19.8,782500
2013-08-29,19.1,19.8,19.0,19.1,217500
2013-09-01,19.3,19.6,19.3,19.4,84500
2013-09-02,19.4,19.5,19.4,19.4,24000
2013-09-03,19.2,19.5,19.2,19.3,80000
2013-09-04,19.1,19.4,19.1,19.2,68000
2013-09-05,19.1,19.4,18.9,19.1,70500
2013-09-08,18.5,19.4,18.5,19.1,129000
2013-09-09,18.7,19.2,18.6,19.0,68000
2013-09-10,18.6,19.2,18.6,19.1,45000
2013-09-11,19.2,19.5,19.1,19.3,432500
2013-09-12,18.9,19.6,18.9,19.1,207000
2013-09-15,19.1,19.6,19.1,19.5,135500
2013-09-16,18.8,20.3,18.8,19.9,75500
2013-09-17,19.2,19.8,19.0,19.6,195000
2013-09-18,19.2,19.7,19.2,19.5,47000
2013-09-19,19.3,19.5,19.2,19.3,132500
2013-09-22,19.2,19.5,19.2,19.4,322500
2013-09-23,19.0,19.4,19.0,19.1,9500
2013-09-24,19.1,19.4,19.0,19.1,141500
2013-09-25,19.1,19.4,19.0,19.2,81000
2013-09-26,19.5,19.6,19.1,19.4,124500
2013-09-29,19.3,19.6,19.3,19.5,132500
2013-09-30,19.3,19.8,19.3,19.7,416500
2013-10-01,19.3,19.4,19.3,19.3,17500
2013-10-02,19.3,19.4,19.2,19.2,26500
2013-10-03,19.2,19.3,19.2,19.2,147000
2013-10-06,19.2,19.2,18.8,18.8,93000
2013-10-07,18.9,18.9,18.6,18.6,706500
2013-10-08,18.7,18.7,18.3,18.4,372000
2013-10-09,18.3,18.5,18.2,18.4,428000
2013-10-10,18.5,18.7,18.4,18.5,56500
2013-10-20,18.7,18.7,18.1,18.3,76500
2013-10-21,18.0,18.1,17.5,17.9,68000
2013-10-22,18.5,18.5,18.0,18.2,31000
2013-10-23,18.6,18.8,18.1,18.6,319000
2013-10-24,18.3,18.5,18.2,18.2,34000
2013-10-27,18.5,18.8,18.5,18.7,107000
2013-10-28,19.0,20.5,18.6,20.0,634000
2013-10-29,19.8,20.4,19.2,19.9,306000
2013-10-30,19.4,19.6,18.7,18.7,141000
2013-10-31,18.5,19.2,18.5,18.6,150000
2013-11-03,18.9,19.1,18.3,18.3,199000
2013-11-04,18.6,19.6,18.5,19.3,318500
2013-11-05,19.6,20.0,19.1,19.3,308000
2013-11-06,19.5,20.3,19.5,19.8,280000
2013-11-07,20.0,20.0,19.1,19.9,546000
2013-11-10,19.7,21.8,19.5,21.1,2607500
2013-11-11,21.7,21.7,19.8,20.0,1199500
2013-11-12,20.8,20.8,19.8,19.9,401000
2013-11-13,20.7,20.7,19.7,19.9,783000
2013-11-14,19.9,20.7,19.8,19.9,447000
2013-11-17,20.3,20.3,19.5,19.5,434000
2013-11-18,19.5,20.0,19.4,19.5,370000
2013-11-19,19.5,20.3,19.5,19.7,491500
2013-11-20,19.9,20.0,19.6,19.7,421000
2013-11-21,19.7,19.8,19.3,19.3,758500
2013-11-24,19.3,19.6,18.9,18.9,344000
2013-11-25,19.4,19.5,18.7,18.9,269000
