Date,Open,High,Low,Close,Volume
2012-10-01,52.0,52.9,50.2,52.0,1196400
2012-10-02,53.0,54.7,50.6,51.3,1421400
2012-10-03,52.0,52.5,49.0,50.0,1138000
2012-10-04,50.4,51.7,49.0,49.4,985000
2012-10-07,50.3,50.4,46.5,47.5,989400
2012-10-09,42.7,43.1,41.4,43.1,2324000
2012-10-10,44.0,44.8,40.5,40.7,985800
2012-10-11,40.8,42.3,40.4,40.6,613400
2012-10-14,41.9,41.9,38.6,38.9,981800
2012-10-15,40.9,41.0,38.9,39.4,739200
2012-10-16,40.0,41.0,39.2,39.8,660800
2012-10-17,39.7,40.5,39.6,40.0,678200
2012-10-18,40.3,40.3,39.1,39.5,424000
2012-10-21,39.8,39.9,37.5,38.2,463000
2012-10-22,38.4,39.4,37.6,38.7,444800
2012-10-23,38.9,40.7,38.9,40.2,548600
2012-10-30,41.5,41.5,39.6,39.8,223600
2012-10-31,39.8,39.9,39.0,39.3,285800
2012-11-01,38.9,40.0,38.9,39.4,239600
2012-11-04,39.8,40.1,37.9,38.1,399000
2012-11-05,38.7,38.7,37.1,37.5,422600
2012-11-06,37.5,38.4,37.1,37.4,228800
2012-11-07,38.3,38.3,35.5,36.5,187400
2012-11-08,36.5,38.8,34.9,35.6,1147600
2012-11-11,35.9,37.4,34.1,34.4,381000
2012-11-12,34.5,35.5,33.2,33.6,219600
2012-11-13,33.7,35.4,33.2,34.9,327200
2012-11-14,34.9,35.2,33.9,34.0,229400
2012-11-15,34.7,35.1,33.6,34.4,240400
2012-11-18,34.8,35.7,33.0,33.8,599000
2012-11-19,34.0,34.2,32.4,32.7,362800
2012-11-20,33.0,33.4,31.8,32.1,356600
2012-11-21,33.2,33.3,31.5,31.9,636200
2012-11-22,32.5,32.9,32.0,32.5,532400
2012-11-26,32.4,32.5,31.0,31.1,431200
2012-11-27,30.0,31.4,30.0,30.6,381000
2012-11-28,31.6,31.6,30.0,30.5,422600
2012-11-29,31.7,33.5,31.1,33.4,988800
2012-12-02,33.7,35.0,32.3,33.1,799400
2012-12-03,32.6,33.1,32.1,32.3,365000
2012-12-04,32.0,33.0,31.8,32.7,357800
2012-12-05,33.0,33.0,32.3,32.5,261800
2012-12-06,32.2,32.9,31.9,32.0,380800
2012-12-09,31.9,32.0,31.1,31.2,115400
2012-12-10,31.4,31.5,30.5,30.7,185600
2012-12-11,31.1,31.1,30.5,30.9,188800
2012-12-12,30.8,31.6,30.5,30.6,254600
2012-12-13,31.0,31.4,30.2,30.6,234200
2012-12-17,31.2,32.1,31.1,31.8,315200
2012-12-18,31.7,32.2,31.3,31.5,251600
2012-12-19,31.3,33.0,31.3,32.5,760400
2012-12-20,32.7,34.1,32.5,33.3,672200
2012-12-23,33.0,33.7,32.3,32.8,280400
2012-12-24,32.8,33.0,31.9,32.1,286400
2012-12-26,32.4,32.9,32.1,32.4,418800
2012-12-27,32.5,33.1,32.4,32.5,501600
2012-12-30,32.5,33.0,32.5,32.6,410400
2013-01-01,33.0,33.2,32.2,32.3,466400
2013-01-02,32.2,32.2,31.7,31.8,268000
2013-01-03,31.8,32.4,31.6,32.2,257200
2013-01-06,32.4,32.6,31.9,31.9,183400
2013-01-07,31.8,31.9,31.4,31.5,214400
2013-01-08,31.5,31.9,31.3,31.4,190600
2013-01-09,31.4,31.7,30.7,30.9,411600
2013-01-10,31.1,31.2,30.9,31.0,187200
2013-01-13,31.1,31.3,30.7,30.8,249200
2013-01-14,31.1,31.1,30.5,30.8,302000
2013-01-15,31.1,31.1,30.6,30.9,153600
2013-01-16,30.9,31.2,30.8,31.0,150800
2013-01-17,31.1,31.4,31.1,31.2,171200
2013-01-20,31.1,31.1,30.7,30.7,108400
2013-01-21,30.8,30.9,30.4,30.5,166000
2013-01-22,30.7,30.9,30.4,30.7,405800
2013-01-23,30.9,31.2,30.7,31.0,288200
