Date,Open,High,Low,Close,Volume
2012-10-01,41.5,43.9,41.0,41.9,23600
2012-10-02,42.3,43.4,41.1,42.2,17300
2012-10-03,46.0,46.0,41.2,41.3,22550
2012-10-04,41.1,41.5,40.1,40.5,30150
2012-10-07,39.3,40.7,37.3,37.6,24800
2012-10-08,39.5,39.5,36.0,36.5,17350
2012-10-09,36.3,39.4,36.3,39.1,10800
2012-10-10,39.0,39.7,37.0,37.7,10800
2012-10-11,37.2,38.3,36.9,37.0,16000
2012-10-14,36.9,38.9,36.5,36.7,9900
2012-10-15,37.0,37.1,36.3,36.5,4500
2012-10-16,38.4,38.4,35.9,36.5,7400
2012-10-17,38.1,38.1,36.4,36.6,6150
2012-10-18,38.3,38.3,36.4,36.7,2750
2012-10-21,36.0,36.9,36.0,36.2,3600
2012-10-22,36.3,36.8,35.2,35.7,9850
2012-10-23,38.7,38.7,36.2,36.8,10350
2012-10-30,38.5,38.5,35.9,36.0,5450
2012-10-31,37.4,37.8,35.2,35.5,12050
2012-11-01,37.4,37.4,34.9,34.9,12400
2012-11-04,36.8,36.8,33.6,33.8,8550
2012-11-05,33.0,33.0,31.5,32.1,14050
2012-11-06,32.5,33.3,31.6,31.9,8200
2012-11-07,31.7,32.0,31.0,31.3,6600
2012-11-08,32.0,32.0,30.1,30.6,4100
2012-11-11,31.2,31.4,28.5,29.2,5600
2012-11-12,31.0,31.0,28.1,29.1,6450
2012-11-13,29.6,31.7,29.2,31.3,10450
2012-11-14,31.4,32.5,31.1,32.4,20100
2012-11-15,32.7,35.4,32.1,34.9,32100
2012-11-18,34.1,34.7,32.7,33.0,13250
2012-11-19,33.5,33.5,30.0,31.6,22250
2012-11-20,32.0,32.5,31.2,31.6,16800
2012-11-22,29.0,33.5,29.0,33.2,23500
2012-11-26,33.8,34.0,31.6,32.9,14800
2012-11-27,32.1,34.0,32.1,33.5,21300
2012-11-28,34.8,34.8,32.9,34.3,10000
2012-11-29,34.9,35.8,34.2,34.6,16800
2012-12-02,35.8,35.8,32.2,32.6,9900
2012-12-03,32.3,33.1,31.0,32.3,40600
2012-12-04,34.5,34.5,32.2,33.2,18400
