Date,Open,High,Low,Close,Volume
2012-10-01,132.7,144.8,132.0,135.8,13800
2012-10-02,135.8,140.0,133.0,133.7,26700
2012-10-03,134.1,134.1,131.0,131.4,7450
2012-10-04,130.8,131.0,128.9,129.3,5450
2012-10-07,133.0,133.0,129.1,129.3,7950
2012-10-08,130.0,132.5,127.1,127.5,4400
2012-10-09,131.0,131.0,127.9,128.1,3750
2012-10-10,129.0,129.0,126.1,126.9,11100
2012-10-11,126.0,127.6,125.2,125.5,3950
2012-10-14,123.8,126.9,123.7,125.4,2450
2012-10-15,126.0,127.9,125.2,126.4,1750
2012-10-16,126.1,126.1,125.3,125.7,1650
2012-10-17,125.5,125.9,125.5,125.6,2150
2012-10-18,125.0,127.0,125.0,125.0,5150
2012-10-21,123.4,133.9,123.4,131.7,12800
2012-10-22,130.0,132.8,126.9,128.3,2350
2012-10-23,130.0,130.0,129.1,129.4,2850
2012-10-30,128.0,130.9,126.0,126.7,8050
2012-10-31,125.5,126.8,125.2,125.2,2950
2012-11-01,131.5,131.5,122.1,124.2,1700
2012-11-04,124.0,126.0,123.1,124.1,1800
2012-11-05,122.2,125.4,122.2,122.8,1800
2012-11-06,125.9,126.0,124.0,125.3,2600
2012-11-07,124.0,124.0,123.0,123.3,2000
2012-11-08,121.7,123.3,121.7,122.8,1900
2012-11-11,121.0,122.0,120.1,120.4,4950
2012-11-12,120.5,123.0,120.3,122.5,5300
2012-11-13,120.0,121.0,118.0,119.3,2550
2012-11-14,120.5,121.0,120.0,120.4,7550
2012-11-15,124.0,129.8,122.5,123.2,5150
2012-11-18,124.0,125.0,123.7,123.8,3850
2012-11-19,121.0,124.6,121.0,121.2,1900
2012-11-20,119.1,122.0,119.1,119.9,2100
2012-11-21,118.5,118.9,118.4,118.6,900
2012-11-22,118.6,119.0,116.1,116.8,9850
2012-11-26,115.3,115.4,110.0,112.9,14500
2012-11-27,111.0,111.1,105.0,108.6,6450
2012-11-28,109.0,119.0,108.0,115.4,10600
2012-11-29,119.6,121.3,118.0,120.5,10500
2012-12-02,117.0,117.0,115.2,115.6,3050
2012-12-03,113.3,116.5,113.3,114.3,1050
2012-12-04,115.0,115.3,114.0,115.0,1600
2012-12-05,113.0,114.1,112.0,113.1,900
2012-12-06,113.1,113.1,111.0,111.2,1850
2012-12-09,110.0,110.0,108.9,109.2,1250
2012-12-10,109.6,109.6,109.3,109.5,1000
2012-12-11,108.0,115.0,108.0,114.0,5300
2012-12-12,114.0,115.0,110.0,111.5,2600
2012-12-13,110.1,112.9,110.0,110.6,250
2012-12-17,111.1,111.6,111.0,111.0,5350
2012-12-18,113.5,113.5,110.5,111.2,2850
2012-12-19,113.0,113.0,111.7,112.1,3650
2012-12-23,109.5,112.0,109.5,110.8,950
2012-12-24,112.8,112.8,110.0,110.6,1950
2012-12-26,111.0,111.0,110.5,110.5,450
2012-12-27,111.8,119.0,111.8,116.5,11050
2012-12-30,114.1,121.2,114.1,119.8,8500
2013-01-01,120.0,120.2,115.0,115.7,2100
2013-01-02,114.5,126.0,114.5,123.2,8450
2013-01-03,120.0,122.0,118.0,118.8,1750
2013-01-06,118.0,118.0,117.0,117.6,300
2013-01-07,117.0,117.0,116.7,116.8,350
2013-01-08,118.0,118.0,118.0,118.0,100
2013-01-09,118.5,118.5,117.0,117.1,1000
2013-01-10,119.8,119.8,117.0,117.7,250
2013-01-13,115.5,120.0,115.5,118.3,950
2013-01-14,118.0,118.2,118.0,118.0,900
2013-01-15,118.0,118.9,118.0,118.4,400
2013-01-16,121.8,121.8,118.9,119.1,1600
2013-01-17,120.0,120.0,118.1,118.9,3650
2013-01-20,118.0,118.2,116.3,117.8,2500
2013-01-21,118.0,118.0,117.1,117.2,1450
2013-01-22,116.3,116.8,116.1,116.5,1750
2013-01-23,117.3,119.0,117.3,117.8,1650
2013-01-24,118.0,118.0,117.1,117.4,2650
2013-01-27,118.2,118.2,118.0,118.1,800
2013-01-28,119.0,119.0,117.2,117.5,800
2013-01-29,120.8,120.8,118.9,119.9,4450
2013-01-30,120.5,123.5,119.5,120.6,5300
2013-01-31,120.6,121.7,120.6,121.2,1650
2013-02-03,122.0,122.0,120.6,121.3,1250
2013-02-04,122.9,122.9,120.6,121.6,1050
2013-02-05,120.9,122.0,120.8,121.4,1550
2013-02-06,122.2,123.6,120.1,121.8,2050
2013-02-07,121.5,121.5,121.1,121.1,1700
2013-02-10,121.0,121.1,120.3,120.5,7450
2013-02-11,123.0,123.0,120.3,120.4,3650
2013-02-12,120.7,120.9,120.0,120.3,5200
2013-02-13,121.0,122.5,120.0,120.5,1800
2013-02-14,121.0,122.0,120.6,120.9,2900
2013-02-17,121.0,121.8,120.0,120.7,1250
2013-02-18,120.0,121.0,118.0,118.8,5350
2013-02-19,118.0,121.9,118.0,120.1,950
2013-02-20,120.0,120.5,118.0,118.8,1200
2013-02-24,118.0,118.0,115.2,116.6,2550
2013-02-25,115.0,118.0,114.7,115.3,450
2013-02-26,118.5,118.5,118.5,118.5,50
2013-02-27,115.6,116.0,113.0,114.8,2300
2013-02-28,113.0,115.0,113.0,113.3,1450
2013-03-03,102.1,102.1,102.1,102.1,50
2013-03-04,105.0,112.0,105.0,109.9,400
2013-03-05,111.1,114.2,107.6,109.2,4000
2013-03-06,118.0,118.0,110.0,111.8,1200
2013-03-07,110.0,110.9,105.0,109.2,900
2013-03-10,110.5,110.5,110.0,110.1,250
2013-03-11,106.3,109.0,105.0,106.6,1650
2013-03-12,103.1,110.0,103.1,108.9,2200
2013-03-13,110.0,111.0,110.0,110.4,700
2013-03-14,109.9,109.9,109.9,109.9,50
2013-03-18,108.7,108.7,104.0,106.0,1350
2013-03-19,108.0,109.6,107.0,108.5,800
2013-03-20,109.0,109.9,109.0,109.2,1650
2013-03-24,105.1,105.1,101.6,103.4,700
2013-03-25,103.0,103.0,102.0,102.4,450
2013-03-27,101.0,101.0,98.0,99.9,650
2013-03-28,97.0,99.7,97.0,99.0,2500
2013-03-31,99.0,99.0,97.1,98.5,600
2013-04-01,94.0,94.0,92.1,92.8,450
2013-04-02,92.0,92.1,92.0,92.0,1600
2013-04-03,94.5,95.0,92.6,93.3,2800
2013-04-04,94.0,95.0,90.0,91.1,4700
2013-04-07,92.2,92.2,86.1,87.2,700
2013-04-08,84.1,85.0,81.6,82.6,2100
2013-04-09,81.0,84.5,81.0,84.1,8300
2013-04-10,85.9,85.9,83.7,84.7,2050
2013-04-11,82.6,89.0,82.6,88.1,6500
2013-04-15,88.0,89.5,87.0,87.3,12650
2013-04-16,85.1,87.3,85.1,86.6,8650
2013-04-18,81.1,95.2,81.1,95.2,25050
2013-04-21,103.0,104.7,100.0,104.6,35200
2013-04-22,102.5,107.9,102.5,103.4,5600
2013-04-23,98.1,104.5,98.0,99.8,14900
2013-04-24,100.3,100.8,92.0,93.5,13450
2013-04-25,94.0,95.5,90.5,91.7,6700
2013-04-28,90.0,90.1,89.5,89.8,650
2013-04-29,88.5,98.7,88.5,98.6,19700
2013-04-30,98.0,98.0,93.2,93.8,2950
2013-05-02,93.2,96.8,92.6,94.7,3300
2013-05-05,95.9,99.8,94.9,96.0,5650
2013-05-06,98.2,104.0,98.0,100.8,15400
2013-05-07,104.5,110.8,104.4,110.8,41950
2013-05-08,120.0,121.8,113.0,119.0,55600
2013-05-09,123.0,125.0,116.6,118.4,23450
2013-05-12,115.1,118.9,112.7,113.7,28050
2013-05-13,118.9,118.9,108.2,109.3,23950
2013-05-14,110.0,113.5,109.0,111.6,14750
