Date,Open,High,Low,Close,Volume
2022-01-24,11.0,11.0,11.0,11.0,265
2022-01-25,12.1,12.1,12.1,12.1,234
2022-01-26,13.3,13.3,13.3,13.3,265
2022-01-27,14.6,14.6,14.6,14.6,764
2022-01-30,16.0,16.0,16.0,16.0,777
2022-01-31,17.6,17.6,17.6,17.6,6317
2022-02-01,19.3,19.3,19.3,19.3,2088
2022-02-02,21.2,21.2,21.2,21.2,2770
2022-02-03,23.3,23.3,23.3,23.3,18476
2022-02-06,25.6,25.6,25.6,25.6,11173
2022-02-07,28.1,28.1,28.1,28.1,8019
2022-02-08,30.9,30.9,30.9,30.9,12819
2022-02-09,33.9,33.9,33.9,33.9,44622
2022-02-10,37.2,37.2,37.2,37.2,214970
2022-02-13,40.9,40.9,40.9,40.9,424636
2022-02-14,44.9,44.9,38.5,38.9,3864525
2022-02-15,38.1,40.0,36.9,38.0,800403
2022-02-16,38.0,38.4,36.4,36.8,1056307
2022-02-17,36.6,37.7,36.2,36.5,1023249
2022-02-20,36.6,36.8,34.4,35.4,734388
2022-02-22,35.5,37.5,35.1,37.1,974236
2022-02-23,37.5,38.5,37.2,38.1,1223954
2022-02-24,38.0,38.0,35.7,36.0,900525
2022-02-27,35.4,35.8,33.7,34.0,566608
2022-02-28,34.2,35.6,34.2,35.2,436996
2022-03-01,35.3,36.7,35.3,36.3,911263
2022-03-02,36.3,36.8,35.4,36.3,567137
2022-03-03,36.5,39.7,36.5,38.5,1848209
2022-03-06,38.3,42.3,38.3,42.3,1584907
2022-03-07,42.4,44.8,39.2,39.6,2354567
2022-03-08,39.9,43.5,39.6,43.5,2336662
2022-03-09,44.5,47.8,44.5,47.8,1857564
2022-03-10,48.5,49.8,46.9,46.9,1607770
2022-03-13,46.3,49.4,46.0,47.7,2318724
2022-03-14,48.0,48.1,46.8,46.8,1472136
2022-03-15,45.9,45.9,45.9,45.9,219806
2022-03-16,45.0,45.0,45.0,45.0,67980
2022-03-20,44.1,44.1,44.1,44.1,54775
2022-03-21,43.3,43.3,43.3,43.3,176828
2022-03-22,42.6,44.8,42.6,43.8,2270385
2022-03-23,44.1,44.5,43.0,43.0,579300
2022-03-24,42.2,42.9,42.2,42.2,570543
2022-03-27,41.6,43.0,41.4,41.4,660363
2022-03-28,41.4,41.6,40.6,40.6,592796
2022-03-29,41.0,42.7,41.0,42.4,1037611
2022-03-30,42.4,42.7,41.6,41.6,715020
2022-03-31,41.2,41.7,40.8,41.1,635162
2022-04-03,40.7,42.3,40.7,41.7,736703
2022-04-04,42.0,42.0,40.9,40.9,253258
2022-04-05,40.2,40.5,40.1,40.1,444691
2022-04-06,40.0,40.0,39.3,39.3,251219
2022-04-07,39.3,39.9,38.6,38.6,520721
2022-04-11,39.1,40.5,38.9,40.0,800119
2022-04-12,40.1,40.1,39.2,39.2,193178
2022-04-13,39.0,39.6,38.5,39.3,484289
2022-04-17,39.1,39.8,38.6,38.6,277909
2022-04-18,38.0,38.1,37.9,37.9,26427
2022-04-19,37.5,37.6,37.2,37.6,355578
2022-04-20,37.2,39.7,37.2,39.0,430097
2022-04-21,39.2,39.9,38.3,38.7,619722
2022-04-24,38.2,39.2,37.1,37.4,413566
2022-04-25,37.5,37.7,36.6,37.0,278685
2022-04-26,36.4,37.7,35.2,35.9,423759
2022-04-27,36.0,37.3,35.8,37.0,441180
2022-04-28,37.0,37.0,36.0,36.1,503441
2022-05-05,35.0,35.4,34.4,34.7,460060
2022-05-08,36.5,36.5,34.3,35.3,352996
2022-05-09,35.1,36.4,35.1,36.2,513193
2022-05-10,37.1,37.4,35.1,35.2,506964
2022-05-11,35.3,36.0,33.5,33.9,422180
2022-05-12,33.6,37.2,33.6,37.0,961362
2022-05-16,37.6,39.1,36.3,37.3,1524544
2022-05-17,37.9,38.6,35.7,37.1,675228
2022-05-18,37.7,40.5,37.6,39.1,1997583
2022-05-19,39.5,39.9,37.6,38.2,700606
2022-05-22,38.9,38.9,36.3,36.6,682785
2022-05-23,37.6,39.5,36.2,36.9,662528
2022-05-24,38.0,38.0,35.3,35.9,417177
2022-05-25,35.5,36.0,34.3,34.7,533859
2022-05-26,34.7,35.8,34.1,35.6,246898
2022-05-29,36.5,37.0,35.9,36.3,560164
2022-05-30,35.8,37.7,35.8,36.9,624384
2022-05-31,37.0,37.3,36.2,36.4,298982
2022-06-01,36.6,37.0,36.3,36.8,362954
2022-06-02,37.4,37.4,36.4,36.5,399653
2022-06-05,36.5,37.1,36.4,36.9,366630
2022-06-06,36.2,37.0,36.2,36.5,550074
2022-06-07,36.2,36.6,35.8,35.8,425775
2022-06-08,35.1,36.5,35.1,35.7,360019
2022-06-09,35.0,37.0,35.0,36.8,474312
2022-06-12,36.8,36.8,36.1,36.1,353227
2022-06-13,35.8,36.4,35.6,35.7,213689
2022-06-14,35.5,36.2,35.0,35.1,556130
2022-06-15,35.5,35.8,35.0,35.6,316483
2022-06-16,35.1,36.2,35.1,35.6,452180
2022-06-19,35.5,35.9,35.0,35.2,146061
2022-06-20,35.0,35.5,34.6,34.6,201226
2022-06-21,34.5,34.8,34.2,34.2,156965
2022-06-22,33.6,35.1,33.6,34.3,105790
2022-06-23,36.3,36.3,34.2,34.4,177735
2022-06-26,34.5,35.9,34.5,35.6,411536
2022-06-27,35.3,36.1,35.3,35.8,330133
2022-06-28,35.8,36.7,35.6,36.5,564543
2022-06-29,36.5,36.9,35.8,36.0,286671
2022-06-30,35.6,36.2,35.4,35.5,236930
2022-07-03,36.2,36.8,35.2,36.6,410804
2022-07-04,36.7,38.1,36.7,37.4,1695285
2022-07-05,37.4,38.0,36.9,37.0,465976
2022-07-06,37.0,37.0,36.3,36.3,674262
2022-07-07,36.1,36.4,35.6,36.2,405381
2022-07-12,37.9,37.9,35.6,36.8,331145
2022-07-13,36.5,37.8,36.1,36.4,538104
2022-07-14,36.0,36.7,35.9,36.2,211926
2022-07-17,36.1,37.3,36.0,37.0,579501
2022-07-18,36.7,36.9,36.3,36.3,212227
2022-07-19,35.6,35.9,35.6,35.6,257445
2022-07-20,34.9,36.0,34.9,35.4,220601
2022-07-21,36.9,36.9,35.4,35.5,228141
2022-07-24,35.5,35.6,34.8,34.8,184349
2022-07-25,34.2,35.6,34.2,35.4,241349
2022-07-26,37.9,37.9,34.9,35.2,262947
2022-07-27,35.3,35.9,34.5,34.5,264307
2022-07-28,34.0,34.8,33.9,34.5,224137
2022-07-31,34.9,36.6,34.8,36.4,359543
2022-08-01,35.5,39.1,35.5,38.2,1493012
2022-08-02,37.5,38.9,37.5,37.8,918388
2022-08-03,38.0,38.4,37.1,37.8,729258
2022-08-04,37.9,38.0,36.7,37.0,595496
2022-08-07,36.6,38.4,36.6,38.1,702041
2022-08-08,38.5,41.9,38.5,41.1,2390097
2022-08-10,40.0,41.3,38.0,38.3,1079069
2022-08-11,38.7,39.2,37.6,38.5,491771
2022-08-14,38.8,41.7,38.8,41.2,1294117
2022-08-16,41.3,43.0,40.8,41.2,1526442
2022-08-17,41.3,42.7,40.2,41.8,1293513
2022-08-21,41.8,42.6,39.7,40.2,1266594
2022-08-22,41.0,41.3,39.3,39.6,686000
2022-08-23,39.0,40.1,38.4,38.6,674463
2022-08-24,38.2,39.6,37.6,38.1,283755
2022-08-25,38.1,38.7,36.9,37.3,848378
2022-08-28,37.3,40.7,37.3,38.4,1207251
2022-08-29,38.8,38.8,37.5,37.7,355542
2022-08-30,37.0,38.7,37.0,38.1,383391
2022-08-31,38.0,38.9,37.1,37.3,569695
2022-09-01,37.6,38.0,37.2,37.4,376504
2022-09-04,37.3,38.0,36.0,36.5,553418
2022-09-05,37.5,38.9,35.5,35.7,381611
2022-09-06,35.4,37.6,35.4,37.0,485748
2022-09-07,38.2,38.5,37.0,37.6,936124
2022-09-08,37.5,38.1,37.2,37.7,345415
2022-09-11,37.7,38.7,37.4,38.4,892333
2022-09-12,38.6,40.1,38.3,39.7,892918
2022-09-13,39.0,41.9,39.0,41.2,1497211
2022-09-14,41.8,42.8,40.0,40.8,1540942
2022-09-15,39.8,43.3,39.8,42.5,1770907
2022-09-18,43.4,46.7,43.4,46.7,1591257
2022-09-19,47.5,48.0,45.8,46.2,1180644
2022-09-20,46.5,50.4,45.6,47.8,1544487
2022-09-21,47.2,49.5,47.2,48.9,1002582
2022-09-22,48.9,53.0,48.9,51.7,1843395
2022-09-25,51.9,52.0,47.0,47.8,1748180
2022-09-26,47.3,49.4,46.3,48.2,808985
2022-09-27,48.6,52.0,48.0,48.8,919009
2022-09-28,49.1,50.2,47.7,47.8,560490
2022-09-29,45.0,51.0,45.0,49.6,831064
2022-10-02,49.8,52.0,48.0,48.2,1350810
2022-10-03,48.3,48.5,45.5,46.3,648115
2022-10-04,46.9,46.9,43.5,44.4,484852
2022-10-06,44.4,46.6,44.1,44.4,397605
2022-10-10,44.2,45.3,40.0,40.5,414042
2022-10-11,40.5,42.3,40.4,40.9,190490
2022-10-12,41.0,44.5,40.3,44.0,431840
2022-10-13,45.0,45.5,42.0,42.5,412618
2022-10-16,42.5,43.1,41.6,41.9,256272
2022-10-17,43.5,44.2,41.4,43.3,492708
2022-10-18,43.0,45.1,42.9,43.3,561220
