Date,Open,High,Low,Close,Volume
2024-01-28,97.1,101.8,97.0,97.3,3009
2024-01-29,107.0,107.0,94.5,96.8,643
2024-01-30,102.7,102.7,102.7,102.7,1
2024-01-31,104.0,104.0,94.2,96.7,15
2024-02-01,96.0,96.0,92.0,92.4,7616
2024-02-04,95.1,95.3,92.5,93.4,8830
2024-02-05,98.6,98.6,92.0,92.2,5104
2024-02-06,98.7,98.7,95.1,95.1,101
2024-02-07,93.5,93.9,92.0,92.7,3295
2024-02-08,92.7,98.9,90.5,91.3,5360
2024-02-11,92.7,92.7,90.8,91.0,1482
2024-02-12,99.3,99.4,91.2,95.6,1120
2024-02-13,95.0,99.4,95.0,95.0,4712
2024-02-14,95.1,98.6,95.1,95.7,5372
2024-02-15,94.0,94.0,94.0,94.0,128
2024-02-18,91.9,99.1,91.9,98.7,16
2024-02-19,99.0,99.1,99.0,99.1,7
2024-02-20,99.3,99.3,94.5,94.5,5003
2024-02-22,99.7,99.7,98.5,98.7,14
2024-02-25,99.0,107.0,93.2,101.7,7463
2024-02-27,101.2,106.2,99.0,99.4,8280
2024-02-28,99.0,101.0,98.0,98.6,4614
2024-02-29,97.1,99.0,94.0,96.4,3894
2024-03-03,99.0,99.0,93.0,93.7,10142
2024-03-04,92.6,103.0,90.3,101.2,23879
2024-03-05,105.2,107.2,100.0,104.8,2806
2024-03-06,105.0,107.4,102.0,104.5,5807
2024-03-07,109.0,109.0,95.3,96.3,27989
2024-03-10,86.7,102.9,86.7,96.8,9454
2024-03-11,96.4,102.0,96.0,96.8,14132
2024-03-12,102.9,106.4,99.0,101.4,4585
2024-03-13,97.5,102.0,97.5,97.8,211
2024-03-14,105.7,105.7,105.7,105.7,1
2024-03-18,107.8,107.8,102.0,102.0,502
2024-03-19,102.0,107.0,102.0,106.3,15883
2024-03-20,107.0,115.4,105.4,113.4,23530
2024-03-21,113.2,115.0,109.1,114.2,9332
2024-03-24,106.6,114.9,106.6,110.3,4930
2024-03-25,105.1,112.8,105.0,105.1,178
2024-03-27,95.0,112.0,95.0,103.3,3097
