Date,Open,High,Low,Close,Volume
2013-04-16,59.9,60.0,52.0,55.0,5976200
2013-04-17,53.0,57.3,53.0,55.3,1839200
2013-04-18,57.0,62.5,55.4,60.9,1461000
2013-04-21,60.0,63.3,59.0,59.7,2462800
2013-04-22,58.5,59.9,57.4,57.7,1334800
2013-04-23,56.9,58.0,53.7,54.1,1281400
2013-04-24,54.5,54.7,49.9,50.2,1961600
2013-04-25,49.9,51.2,46.4,47.0,1042600
2013-04-28,46.2,46.3,42.6,42.8,973800
2013-04-29,42.4,47.0,41.6,46.9,908600
2013-04-30,48.0,48.5,44.8,47.2,852200
2013-05-02,46.6,47.0,45.0,45.4,623200
2013-05-05,45.0,45.6,42.5,42.8,876000
2013-05-06,42.0,42.8,40.3,41.1,837400
2013-05-07,41.8,43.4,41.5,42.8,610200
2013-05-08,43.1,44.6,42.3,42.4,726400
2013-05-09,42.5,43.4,41.9,42.8,563000
2013-05-12,43.7,45.8,43.3,45.5,943200
2013-05-13,46.0,46.5,44.5,44.8,709600
2013-05-14,45.0,46.8,45.0,46.0,1045600
2013-05-15,46.2,46.8,44.6,44.8,904400
2013-05-16,44.8,47.5,44.8,47.0,1041000
2013-05-19,48.0,51.6,47.9,51.4,1646400
2013-05-20,51.0,51.5,48.6,48.9,1230200
2013-05-21,49.3,49.8,47.1,47.6,917400
2013-05-22,47.0,48.4,45.4,46.1,742800
2013-05-26,46.0,46.8,44.3,44.5,304400
2013-05-27,44.0,46.3,44.0,45.9,313800
2013-05-28,46.4,47.1,45.4,46.5,576200
2013-05-29,46.8,47.5,46.5,46.8,579200
2013-05-30,47.6,48.0,46.5,46.7,667800
2013-06-02,47.4,49.0,46.8,48.6,1111200
2013-06-03,49.0,49.1,47.5,48.5,808600
2013-06-04,48.5,48.9,47.3,47.7,824600
2013-06-05,47.2,48.1,46.9,47.1,677400
2013-06-06,46.7,47.6,45.2,45.6,445800
2013-06-09,45.3,45.4,42.9,43.1,495200
2013-06-10,43.6,45.3,43.6,45.0,564200
2013-06-11,45.9,46.3,44.8,45.3,645800
2013-06-12,46.3,47.5,45.3,46.4,743400
2013-06-13,46.9,48.5,45.8,47.1,867400
2013-06-16,47.1,50.5,47.0,49.6,1135000
2013-06-17,50.7,50.8,46.9,47.1,852000
2013-06-18,47.3,48.3,46.4,47.7,491800
2013-06-19,47.3,50.3,47.2,47.7,1191400
2013-06-20,46.9,47.8,46.0,46.2,475800
2013-06-23,46.5,47.1,44.5,44.8,352200
2013-06-24,45.2,48.5,44.3,47.8,693000
2013-06-26,49.5,50.8,48.3,49.6,1832000
2013-06-27,49.6,50.7,48.4,48.6,811800
2013-06-30,48.0,48.4,46.2,47.8,419000
2013-07-02,48.0,51.3,48.0,50.9,924000
2013-07-03,51.0,53.2,50.9,51.7,1255000
2013-07-04,51.3,52.8,50.7,50.9,766200
2013-07-07,49.5,51.7,49.1,49.4,590400
2013-07-08,49.8,50.0,48.0,48.6,516800
2013-07-09,49.0,51.4,49.0,49.6,774800
2013-07-10,49.1,50.4,47.4,47.5,439000
2013-07-11,48.0,48.7,46.3,46.7,329400
2013-07-14,47.0,47.7,45.3,45.4,217400
2013-07-15,46.0,47.5,44.4,45.2,448800
2013-07-16,45.5,46.9,44.7,45.0,282600
2013-07-17,44.3,46.0,43.6,43.9,374400
2013-07-18,44.0,45.9,43.5,43.7,309400
2013-07-21,43.7,44.5,42.2,43.0,181400
2013-07-22,42.5,43.8,42.5,42.9,193400
2013-07-23,43.1,43.5,41.5,41.7,141000
2013-07-24,42.0,43.9,41.7,43.4,131400
2013-07-25,43.0,43.5,41.6,42.7,140600
2013-07-28,41.5,42.9,41.2,41.4,97200
2013-07-29,42.2,42.7,41.6,41.9,85200
2013-07-30,41.8,43.0,41.6,42.4,90600
2013-07-31,42.5,42.6,41.1,41.4,134000
2013-08-01,41.3,42.1,41.3,41.6,35600
2013-08-04,41.1,41.4,40.5,41.0,62600
2013-08-05,41.4,42.8,40.9,42.3,95200
2013-08-12,42.2,42.4,41.7,42.2,41800
2013-08-13,42.3,43.7,42.2,43.5,103200
2013-08-14,44.0,44.4,42.7,43.5,87800
2013-08-18,43.5,44.9,43.5,44.5,191000
2013-08-19,45.2,45.5,44.2,45.1,219200
2013-08-20,45.5,46.0,44.0,44.3,187200
2013-08-21,44.5,45.0,43.6,43.6,187600
2013-08-22,43.3,47.4,43.3,46.3,332800
2013-08-25,47.9,47.9,45.1,46.2,449000
2013-08-26,45.7,47.3,45.7,45.8,316000
2013-08-27,46.0,46.6,45.0,45.3,176400
2013-08-29,44.6,45.5,43.1,43.3,287000
2013-09-01,44.9,44.9,43.7,43.9,108600
2013-09-02,44.8,45.5,43.7,44.0,181600
2013-09-03,44.8,46.5,43.8,45.4,299000
2013-09-04,46.3,46.4,44.5,45.1,209200
2013-09-05,45.1,46.3,43.8,44.3,296200
2013-09-08,43.9,45.2,43.7,44.7,171400
2013-09-09,44.5,45.3,44.2,44.6,175800
2013-09-10,45.0,45.3,43.9,44.0,253800
2013-09-11,44.5,45.2,43.5,43.6,166200
2013-09-12,43.8,44.5,43.3,43.5,130400
2013-09-15,44.5,44.8,43.8,44.0,242000
2013-09-16,44.8,46.8,44.8,46.6,697200
2013-09-17,46.9,46.9,45.0,45.8,286400
2013-09-18,46.0,46.5,45.5,45.8,556400
2013-09-19,46.1,46.3,45.2,45.7,317400
2013-09-22,46.0,46.0,44.0,44.1,178400
2013-09-23,44.1,46.2,43.6,45.5,203400
2013-09-24,45.5,45.5,44.3,44.4,169200
2013-09-25,44.4,44.6,43.7,44.1,110800
2013-09-26,43.7,44.9,43.7,43.8,149600
2013-09-29,43.8,43.9,42.6,42.8,89200
2013-09-30,42.3,43.0,42.2,42.3,67400
2013-10-01,43.0,43.5,42.4,42.4,62000
2013-10-02,43.1,45.3,43.1,44.3,92800
2013-10-03,44.8,45.8,44.2,44.5,120000
2013-10-06,43.2,44.9,43.2,43.9,138800
2013-10-07,43.4,44.3,43.1,43.1,59800
2013-10-08,43.1,44.3,43.1,43.5,67800
2013-10-09,43.9,46.0,43.9,45.3,251200
2013-10-10,46.0,47.6,44.6,47.2,586400
2013-10-20,47.5,47.5,45.0,45.1,199600
2013-10-21,44.2,45.8,42.8,45.1,217800
2013-10-22,45.2,46.3,44.7,45.3,265400
2013-10-23,44.9,44.9,42.3,42.6,243600
2013-10-24,42.7,44.2,42.0,43.8,248800
2013-10-27,44.2,44.2,43.2,43.6,84400
2013-10-28,45.3,48.4,45.2,47.6,1101800
2013-10-29,50.0,50.0,46.8,47.5,930000
2013-10-30,48.0,48.4,46.6,47.2,274200
2013-10-31,47.5,47.7,46.0,46.5,234800
2013-11-03,46.0,46.4,45.3,45.4,296000
2013-11-04,45.7,47.6,45.7,46.7,542000
2013-11-05,47.0,47.2,46.5,46.8,399200
2013-11-06,46.3,47.5,46.1,46.2,383200
2013-11-07,47.0,47.3,46.3,46.4,402600
2013-11-10,46.4,46.4,44.9,45.1,308600
2013-11-11,45.5,45.9,45.1,45.2,164800
2013-11-12,44.8,46.0,44.7,45.4,419200
2013-11-13,46.0,48.2,45.6,47.9,1012200
2013-11-14,48.5,51.5,48.1,50.0,3044000
2013-11-18,50.9,50.9,48.8,50.9,3013200
2013-11-19,53.4,54.7,52.0,54.1,2846800
2013-11-20,55.5,59.5,54.1,57.9,2171800
2013-11-21,58.0,61.5,55.6,60.5,3182200
2013-11-24,60.9,62.4,56.8,60.7,3561000
2013-11-25,61.0,66.7,61.0,65.5,2991200
2013-11-26,68.0,68.7,62.7,63.4,2579800
2013-11-27,64.0,64.8,59.5,60.0,2262000
2013-11-28,60.4,61.7,57.9,60.1,1417000
2013-12-01,60.3,62.1,58.6,59.4,1090000
2013-12-02,59.2,65.1,58.2,63.3,2381000
2013-12-03,64.9,67.0,63.3,65.4,2069800
2013-12-04,65.6,66.0,61.7,62.3,1255400
2013-12-05,62.2,63.7,61.0,61.9,1314400
2013-12-08,63.9,67.3,62.8,65.9,1651400
2013-12-09,66.1,69.9,65.5,67.0,2645200
2013-12-10,67.7,68.6,64.2,64.6,1461800
2013-12-11,65.5,67.9,64.1,65.7,1518800
2013-12-12,65.9,68.0,63.8,65.0,1381000
2013-12-15,65.0,65.6,61.5,61.9,1710600
2013-12-17,63.1,66.1,62.6,64.8,1099800
2013-12-18,64.3,66.1,62.2,62.5,613000
2013-12-19,64.2,64.9,61.8,63.5,876400
2013-12-22,64.9,65.5,61.7,62.1,1127400
2013-12-23,62.8,63.5,61.7,62.1,512800
2013-12-24,62.2,65.1,62.0,62.3,841800
2013-12-26,63.7,65.2,62.8,63.9,1447800
2013-12-29,64.5,64.5,62.6,62.8,482400
2013-12-30,63.5,64.3,62.6,62.9,636000
2014-01-01,63.2,65.9,63.2,63.8,996200
2014-01-02,64.0,64.4,63.2,63.7,446000
2014-01-06,64.2,64.2,62.5,62.9,372400
2014-01-07,62.3,64.3,62.2,62.6,1210800
2014-01-08,63.8,65.4,63.2,64.7,1188200
2014-01-09,64.9,67.1,64.3,65.7,1985600
2014-01-12,66.8,69.1,66.8,68.0,2824800
2014-01-13,68.5,74.8,67.7,73.8,3961200
2014-01-15,74.5,75.5,70.4,70.9,2063000
2014-01-16,71.1,75.5,70.9,74.3,2626600
2014-01-19,75.2,76.4,70.8,71.5,1679800
2014-01-20,73.9,73.9,70.1,71.0,1282600
2014-01-21,71.9,73.7,70.7,72.3,1653800
2014-01-22,73.4,74.5,70.4,70.7,1372800
2014-01-23,71.5,71.8,68.3,69.3,1413200
2014-01-26,70.9,74.4,69.2,73.3,2069800
2014-01-27,68.8,68.8,66.0,66.0,556600
2014-01-28,62.0,64.7,62.0,62.8,1961200
2014-01-29,63.0,63.0,60.2,61.1,1407000
2014-01-30,62.0,64.2,61.4,62.5,909400
2014-02-02,63.2,63.6,60.5,60.9,722000
2014-02-03,61.0,61.3,58.4,58.5,934000
2014-02-04,59.0,59.7,56.5,57.3,812200
2014-02-05,59.0,59.0,55.2,55.9,691800
2014-02-06,56.7,60.7,56.6,58.9,973200
2014-02-09,58.9,60.8,57.8,58.4,680000
2014-02-10,58.9,59.0,56.7,56.9,449600
2014-02-11,57.1,58.5,56.5,56.9,366000
2014-02-12,57.1,57.6,55.2,55.4,907000
2014-02-13,56.2,58.0,55.7,57.3,656800
2014-02-16,57.8,59.3,56.8,57.3,310800
2014-02-17,57.1,58.6,56.9,57.0,405000
2014-02-18,57.4,58.2,56.9,56.9,278400
2014-02-19,57.1,59.0,57.1,58.8,660600
2014-02-20,59.1,62.3,59.0,61.7,1255000
2014-02-23,61.7,62.0,59.7,60.3,556000
2014-02-24,60.6,60.6,58.4,59.1,498800
2014-02-25,59.3,60.3,58.1,58.8,525000
2014-02-26,59.5,59.5,57.8,57.9,337600
