Date,Open,High,Low,Close,Volume
2012-10-01,502.0,502.0,495.0,499.3,1050
2012-10-02,501.1,510.0,501.0,502.3,650
2012-10-03,512.0,512.0,512.0,512.0,50
2012-10-04,514.6,514.7,501.0,510.1,150
2012-10-07,496.0,500.1,495.0,499.2,600
2012-10-08,500.0,500.0,499.2,499.8,250
2012-10-09,507.0,507.0,506.9,506.9,1450
2012-10-10,507.0,509.9,501.0,505.3,1450
2012-10-11,506.5,512.0,506.5,508.6,850
2012-10-15,505.0,509.0,505.0,505.2,1000
2012-10-16,502.4,505.0,501.1,503.2,1100
2012-10-17,504.1,504.1,504.0,504.0,100
2012-10-18,504.0,504.0,501.0,502.7,400
2012-10-22,500.0,500.0,500.0,500.0,150
2012-10-23,500.0,505.0,495.0,498.3,850
2012-11-04,497.0,500.0,497.0,498.0,150
2012-11-05,500.0,500.0,498.0,499.6,300
2012-11-06,503.7,503.7,503.6,503.6,100
2012-11-07,495.0,495.1,495.0,495.0,200
2012-11-08,500.0,532.5,500.0,532.1,11800
2012-11-11,549.0,549.0,510.0,533.7,1750
2012-11-12,544.5,544.5,531.0,531.4,2200
2012-11-13,531.6,543.5,531.5,537.5,1600
2012-11-14,540.0,577.8,538.0,576.3,4050
2012-11-15,599.0,619.5,599.0,618.0,11150
2012-11-18,620.0,634.0,618.5,623.0,2650
2012-11-19,590.0,593.0,577.2,584.0,2550
2012-11-20,570.0,575.0,570.0,572.1,2050
2012-11-21,570.0,594.9,566.5,576.4,950
2012-11-22,570.1,587.0,570.0,572.0,550
2012-11-26,555.0,555.0,529.2,542.1,200
2012-11-27,550.0,560.0,536.2,556.8,550
2012-11-28,552.1,558.0,541.0,548.7,650
2012-11-29,574.0,575.0,556.0,562.0,500
2012-12-02,559.0,559.5,549.0,554.8,900
2012-12-03,559.5,568.0,543.0,552.4,350
2012-12-04,535.1,554.8,535.1,543.8,600
2012-12-05,550.0,558.9,544.0,550.2,450
2012-12-06,545.5,546.0,545.5,545.7,200
2012-12-09,523.1,555.9,523.1,534.0,150
2012-12-10,560.0,560.0,537.0,550.0,650
2012-12-11,540.0,547.0,540.0,543.8,400
2012-12-18,520.0,520.0,520.0,520.0,200
2012-12-19,521.0,521.9,521.0,521.4,200
2012-12-20,522.0,529.0,518.5,522.6,700
2012-12-23,510.0,510.0,502.0,504.7,750
2012-12-26,515.1,515.1,515.0,515.0,100
2012-12-27,527.0,534.0,527.0,530.3,650
2013-01-02,530.0,530.0,525.0,527.5,200
2013-01-03,525.0,525.0,511.0,515.1,450
2013-01-06,501.0,530.0,501.0,512.6,750
2013-01-07,513.0,513.0,510.0,511.3,350
2013-01-08,508.0,508.0,505.0,505.7,600
2013-01-09,507.1,507.1,506.0,506.4,500
2013-01-10,507.0,507.0,505.1,506.2,400
2013-01-13,514.0,514.0,514.0,514.0,50
2013-01-14,507.1,508.6,507.0,507.7,300
2013-01-15,507.1,507.1,506.0,506.5,400
2013-01-16,535.0,535.0,510.0,519.1,1850
2013-01-17,525.0,543.5,525.0,541.5,3500
2013-01-20,545.0,550.0,526.3,532.7,1400
2013-01-21,518.0,535.0,518.0,528.9,600
2013-01-22,536.0,536.0,524.1,528.1,1600
2013-01-23,530.0,530.0,529.8,529.9,650
2013-01-24,527.0,527.0,512.0,523.4,1700
2013-01-27,518.0,518.0,513.0,515.0,1700
2013-01-28,522.0,522.5,510.0,516.5,800
2013-01-29,512.0,520.0,512.0,517.2,700
2013-01-30,521.9,521.9,510.5,512.3,950
2013-01-31,513.5,513.5,513.0,513.1,600
2013-02-03,515.0,515.0,509.5,511.4,450
2013-02-04,510.1,510.1,508.1,509.3,900
2013-02-05,509.9,525.0,509.9,513.2,850
2013-02-06,513.0,530.0,513.0,520.8,550
2013-02-07,519.0,524.0,519.0,520.6,2150
2013-02-10,525.0,525.0,522.0,523.0,1650
2013-02-11,520.1,520.3,520.0,520.0,2850
2013-02-12,522.0,522.0,522.0,522.0,50
2013-02-14,522.0,528.0,520.0,524.7,3150
2013-02-17,523.0,523.0,516.1,520.7,1000
2013-02-18,516.7,521.0,516.7,518.8,200
2013-02-19,520.0,528.0,516.0,517.6,600
2013-02-24,511.0,511.0,504.0,506.5,500
2013-02-25,512.0,512.0,510.0,510.5,2000
2013-02-26,519.6,524.5,519.6,523.1,1350
2013-02-27,520.0,526.5,520.0,520.0,3750
2013-02-28,527.5,527.5,521.0,525.3,600
2013-03-04,525.3,525.3,520.3,522.9,2500
2013-03-05,520.0,521.0,520.0,520.3,800
2013-03-06,521.0,550.0,521.0,536.5,5000
2013-03-07,530.0,536.0,530.0,533.1,350
2013-03-11,530.0,534.0,530.0,531.2,1750
2013-03-12,535.0,544.0,535.0,539.8,1450
2013-03-13,545.0,545.0,540.0,541.8,950
2013-03-14,548.8,549.0,530.0,544.5,2550
2013-03-18,545.0,554.5,545.0,548.5,4600
2013-03-19,548.9,548.9,541.0,542.0,6300
2013-03-20,560.0,560.0,536.3,546.7,1500
2013-03-24,538.0,550.0,538.0,545.7,450
2013-03-25,535.1,535.1,530.0,532.1,1200
2013-03-27,530.0,530.0,520.0,526.3,1350
2013-03-28,532.0,534.9,530.0,531.8,1350
2013-04-01,492.5,500.0,492.0,492.6,1250
2013-04-02,500.0,505.0,489.1,500.1,1200
2013-04-03,500.0,500.1,500.0,500.0,2750
2013-04-04,505.0,505.0,505.0,505.0,100
2013-04-07,500.0,506.0,478.0,501.6,1200
2013-04-08,506.0,506.0,505.0,505.4,2200
2013-04-09,500.0,508.5,500.0,507.5,1800
2013-04-10,507.5,507.5,503.1,504.3,1800
2013-04-11,500.0,501.0,496.0,499.1,1350
2013-04-15,497.0,498.1,497.0,497.8,350
2013-04-16,496.0,497.0,496.0,496.1,1800
2013-04-17,510.0,510.0,508.0,508.5,1050
2013-04-18,500.0,500.0,500.0,500.0,750
2013-04-21,510.0,510.0,500.0,505.5,400
2013-04-22,520.0,543.4,520.0,543.3,10600
2013-04-23,570.0,576.0,550.0,572.3,10450
2013-04-24,596.0,596.0,570.0,590.5,5350
2013-04-25,570.0,585.0,570.0,581.4,3400
2013-04-28,565.2,570.0,565.1,566.3,1550
2013-04-29,567.1,567.1,565.0,566.5,1100
2013-04-30,579.0,608.8,576.9,586.8,1850
2013-05-02,609.0,609.0,581.0,594.4,2350
2013-05-05,594.0,594.4,576.0,593.0,1300
2013-05-06,590.0,604.0,577.0,600.6,3250
2013-05-07,624.0,624.0,590.0,597.2,1650
2013-05-08,591.1,596.0,583.1,589.9,1300
2013-05-09,625.0,625.0,592.1,602.0,1150
2013-05-12,602.0,612.5,602.0,607.9,600
2013-05-13,571.0,619.5,571.0,582.2,1500
2013-05-14,624.0,625.8,620.1,625.4,7400
2013-05-15,625.0,632.0,620.0,620.4,4500
2013-05-16,630.0,666.9,630.0,658.1,4200
2013-05-19,657.0,700.0,657.0,699.0,3350
2013-05-20,700.0,706.0,673.1,703.3,4500
2013-05-21,680.1,704.9,680.1,697.7,3800
2013-05-22,696.0,713.5,690.0,694.5,1650
2013-05-26,690.0,699.0,690.0,697.2,1050
2013-05-27,680.1,694.0,680.0,687.6,500
2013-05-28,700.0,700.0,682.1,692.8,1900
2013-05-29,695.0,705.0,694.0,699.6,2250
2013-05-30,707.0,728.0,705.0,715.6,4500
2013-06-02,695.5,699.0,695.0,696.0,1900
2013-06-03,700.0,715.0,700.0,712.9,4800
2013-06-04,724.0,724.0,715.0,717.2,1600
2013-06-05,711.0,712.0,687.0,710.0,3150
2013-06-06,700.0,749.7,700.0,722.3,5400
2013-06-09,694.1,700.0,694.1,696.8,250
2013-06-10,724.9,725.0,700.0,707.3,1300
2013-06-11,694.0,722.0,693.2,716.4,5050
2013-06-12,715.0,715.0,710.7,711.5,3300
2013-06-13,719.0,725.0,719.0,721.8,1000
2013-06-16,701.0,703.5,700.1,702.4,950
2013-06-17,680.1,701.0,680.1,695.7,200
2013-06-18,701.0,701.0,700.0,700.1,1700
2013-06-19,710.0,715.0,690.0,704.7,11100
2013-06-20,690.5,692.1,690.5,691.5,150
2013-06-23,684.9,715.0,684.9,702.6,1450
2013-06-24,709.8,709.8,709.5,709.6,100
2013-06-26,723.4,725.0,710.0,718.6,6250
2013-06-27,720.0,720.0,710.0,719.4,5850
2013-06-30,715.0,724.5,714.0,716.3,2950
2013-07-02,725.0,747.0,725.0,729.3,1150
2013-07-03,743.0,750.0,739.9,746.1,1650
2013-07-04,710.0,710.0,710.0,710.0,150
2013-07-07,705.1,719.0,705.0,709.1,300
2013-07-08,710.0,710.0,710.0,710.0,250
2013-07-09,710.0,711.2,710.0,710.3,1250
2013-07-10,705.3,712.0,705.3,708.8,300
2013-07-11,710.5,735.0,710.0,711.7,5650
2013-07-14,711.0,719.0,711.0,713.0,450
2013-07-15,706.2,725.0,706.2,717.7,600
2013-07-17,739.0,740.0,730.0,735.5,2850
2013-07-18,736.0,736.0,715.2,729.0,150
2013-07-21,712.0,712.0,692.5,698.6,600
2013-07-23,710.0,719.0,675.0,706.7,800
2013-07-24,700.0,723.9,700.0,700.5,4100
2013-07-25,700.0,710.0,700.0,705.2,500
2013-07-28,710.0,715.0,710.0,713.3,300
2013-07-29,715.0,720.0,715.0,718.2,1150
2013-07-30,715.0,719.0,711.0,715.2,2050
2013-07-31,747.0,768.8,747.0,768.4,12650
2013-08-01,819.0,826.0,800.0,826.0,36350
2013-08-04,831.0,831.0,785.0,807.3,2200
2013-08-05,800.0,808.9,780.0,799.2,4650
2013-08-12,840.0,840.0,790.0,802.5,3200
2013-08-13,825.0,825.0,786.2,793.3,1600
2013-08-14,794.0,808.0,780.5,798.0,4000
2013-08-18,791.0,791.0,790.0,790.0,5050
2013-08-19,790.1,813.0,790.0,803.5,4450
2013-08-20,819.0,820.0,805.0,812.0,3550
2013-08-21,812.0,820.0,812.0,815.1,5400
2013-08-22,812.0,865.0,812.0,848.0,6000
2013-08-25,823.1,910.4,823.1,909.3,14100
2013-08-26,930.0,930.0,873.0,873.9,5800
2013-08-27,920.0,920.0,891.5,892.2,17300
2013-08-29,900.0,910.0,890.0,894.9,3200
2013-09-01,928.0,928.0,886.2,888.0,5500
2013-09-02,860.0,863.1,841.5,844.5,5300
2013-09-03,879.5,879.5,818.0,846.2,3700
2013-09-04,870.0,880.0,856.0,871.4,4550
2013-09-05,855.0,870.0,851.0,861.6,2050
2013-09-08,885.0,899.9,831.0,873.8,1700
2013-09-09,876.0,876.0,845.1,852.3,3500
2013-09-10,878.0,898.0,878.0,881.0,7650
2013-09-11,882.0,935.0,882.0,911.4,24050
2013-09-12,882.0,929.0,882.0,912.1,8050
2013-09-15,918.0,918.0,892.0,892.4,3750
2013-09-16,890.0,890.0,850.5,856.2,5600
2013-09-17,862.1,869.0,852.2,853.9,2000
2013-09-18,855.0,870.0,855.0,860.5,800
2013-09-19,832.1,856.0,831.0,843.6,800
2013-09-22,842.0,842.0,816.0,824.3,2050
2013-09-23,807.5,810.1,807.0,809.0,2350
2013-09-24,805.0,859.0,805.0,835.0,3250
2013-09-25,820.0,830.0,816.0,820.9,1950
2013-09-26,820.0,824.0,815.0,821.2,1300
2013-09-29,815.0,815.0,807.5,810.1,650
2013-09-30,793.3,830.0,793.2,824.7,6550
2013-10-01,780.0,815.0,780.0,802.8,1000
2013-10-02,819.0,830.0,786.0,819.3,4150
2013-10-03,819.3,819.3,819.3,819.3,750
2013-10-06,819.5,830.0,810.1,828.2,7300
2013-10-07,820.0,820.0,805.0,813.6,1950
2013-10-08,815.0,815.0,815.0,815.0,50
2013-10-09,810.0,822.0,810.0,821.2,1200
2013-10-10,810.0,810.0,805.0,809.0,250
2013-10-20,807.0,807.0,807.0,807.0,650
2013-10-21,785.0,804.0,785.0,793.4,500
2013-10-22,771.1,814.0,771.1,802.1,350
2013-10-23,803.0,820.0,803.0,814.7,400
2013-10-24,790.0,811.0,790.0,795.2,200
2013-10-27,809.9,809.9,804.9,805.3,650
2013-10-28,846.0,846.0,800.0,822.5,450
2013-10-29,837.9,837.9,793.1,806.5,750
2013-10-30,821.9,821.9,791.0,796.0,600
2013-10-31,835.0,835.0,787.0,792.7,3100
2013-11-03,790.0,795.0,786.0,787.6,800
2013-11-04,825.0,825.0,791.2,801.2,2300
2013-11-05,829.0,830.0,820.0,829.1,5300
2013-11-06,843.0,843.0,810.0,813.3,500
2013-11-07,834.5,834.5,803.0,815.6,1600
2013-11-10,832.0,832.0,796.0,804.2,1550
2013-11-11,800.0,800.0,790.2,797.2,10850
2013-11-12,801.0,830.0,800.0,828.7,4250
2013-11-13,839.9,841.8,805.0,839.3,5100
2013-11-14,848.4,860.0,830.0,851.3,15600
2013-11-17,840.0,850.0,840.0,848.0,10150
2013-11-18,858.0,858.0,843.0,847.7,850
2013-11-19,851.0,910.1,851.0,906.7,24100
2013-11-20,870.0,870.0,865.0,867.1,1100
2013-11-21,870.0,877.0,850.0,858.7,3500
2013-11-24,852.0,879.0,851.0,863.2,1500
2013-11-25,856.0,880.0,856.0,868.6,300
2013-11-26,884.0,895.5,836.0,885.1,14750
2013-11-27,836.0,846.0,835.0,838.4,1000
2013-11-28,858.0,858.0,835.1,847.0,250
2013-12-01,831.0,849.0,830.0,846.3,4650
2013-12-03,859.0,859.0,825.0,839.9,1200
2013-12-05,835.0,835.0,835.0,835.0,50
2013-12-08,859.0,860.0,859.0,859.3,150
2013-12-09,865.0,865.0,860.0,862.0,250
2013-12-10,869.7,869.7,835.0,857.2,550
2013-12-11,835.1,883.9,835.0,863.3,4400
2013-12-12,887.0,888.0,840.0,865.0,200
2013-12-15,850.0,880.0,850.0,855.6,5400
2013-12-17,874.0,874.0,850.0,852.7,1400
2013-12-18,850.0,850.0,821.0,844.7,1400
2013-12-19,850.0,850.0,840.0,847.0,1350
2013-12-22,851.0,865.9,845.0,850.0,3400
2013-12-23,850.1,850.1,845.2,849.3,3850
2013-12-24,851.0,851.0,850.0,850.5,100
2013-12-26,852.0,852.0,840.1,844.4,250
2013-12-29,840.5,840.5,840.0,840.1,300
2013-12-30,900.0,900.0,845.0,876.9,250
2014-01-01,900.0,900.0,860.0,883.6,300
2014-01-02,840.0,840.0,840.0,840.0,150
2014-01-06,850.0,860.0,850.0,852.5,300
2014-01-08,889.0,889.0,880.0,886.0,150
2014-01-09,860.0,880.0,860.0,868.1,2250
2014-01-12,879.9,880.0,878.8,879.6,350
2014-01-13,888.0,889.9,860.0,885.9,1850
2014-01-15,890.8,900.0,875.0,888.4,3000
2014-01-16,899.0,899.0,888.0,891.6,250
2014-01-19,896.7,896.9,860.1,882.2,400
2014-01-20,899.4,899.4,872.0,880.0,450
2014-01-21,880.0,894.0,875.0,881.2,500
2014-01-22,886.0,890.0,870.0,884.5,850
2014-01-23,885.0,891.0,860.2,871.0,1300
2014-01-26,885.0,885.0,861.3,871.9,950
2014-01-27,870.0,875.0,870.0,873.2,750
2014-01-28,885.0,900.0,865.0,873.8,3650
2014-01-29,865.2,870.0,853.3,862.5,2500
2014-01-30,858.1,865.5,856.0,858.6,4700
2014-02-02,860.0,884.0,852.0,860.1,1600
2014-02-03,870.0,870.0,854.0,856.9,2850
2014-02-04,860.0,860.0,840.0,851.9,2000
2014-02-05,862.9,870.0,861.0,869.0,11450
2014-02-06,875.0,915.0,875.0,894.4,11750
2014-02-09,906.0,906.0,885.1,887.5,11950
2014-02-10,876.2,887.0,868.1,872.8,6000
2014-02-11,862.1,862.1,852.0,859.8,7400
2014-02-12,852.8,874.0,852.7,868.8,13800
2014-02-13,893.5,893.5,867.0,875.3,6250
2014-02-16,867.0,886.0,851.0,861.0,9400
2014-02-17,862.0,868.7,858.0,867.3,2550
2014-02-18,866.0,866.0,852.2,852.8,1950
2014-02-19,863.0,878.0,858.5,868.1,1250
2014-02-20,861.3,880.0,860.5,871.8,1250
2014-02-23,878.0,908.8,875.0,901.6,6000
2014-02-24,901.0,908.8,883.0,905.5,8200
2014-02-25,903.0,930.0,903.0,928.6,14350
2014-02-26,935.0,941.0,927.4,928.1,5650
2014-02-27,939.0,954.0,930.0,952.5,6200
2014-03-02,979.9,1014.9,979.9,1014.4,45450
2014-03-03,987.0,987.1,981.0,984.3,5200
2014-03-04,956.3,994.0,956.3,969.8,4250
2014-03-05,989.0,1004.9,963.0,973.3,3950
2014-03-06,999.0,1010.0,995.0,1001.7,8250
2014-03-09,1015.0,1022.0,989.2,992.0,10050
2014-03-10,1000.0,1000.0,967.0,972.1,3900
2014-03-11,978.0,1000.0,978.0,990.8,6350
2014-03-12,997.5,997.5,985.0,991.5,3100
2014-03-13,994.0,997.0,987.0,991.4,4550
2014-03-16,982.0,1004.0,970.1,1001.6,4650
2014-03-18,938.0,1020.0,925.0,987.8,8500
2014-03-19,980.0,992.5,965.0,968.8,7750
2014-03-20,970.0,970.0,947.0,951.8,5500
2014-03-23,975.0,975.0,942.2,945.5,4900
2014-03-24,912.1,920.0,911.0,915.0,2300
2014-03-25,915.0,958.0,915.0,951.4,4000
2014-03-27,962.0,962.0,930.2,933.7,4350
2014-03-31,915.0,936.0,913.0,925.6,1950
2014-04-01,942.9,945.0,925.1,928.6,4850
2014-04-02,930.0,952.0,930.0,945.2,3200
2014-04-03,940.4,940.4,920.0,923.9,5550
2014-04-06,925.5,932.9,920.1,920.7,7400
2014-04-07,944.0,983.2,944.0,983.0,21450
2014-04-08,980.0,1016.9,980.0,991.8,16050
2014-04-09,983.0,995.0,976.0,981.5,6600
2014-04-10,966.0,978.0,962.6,967.2,3650
2014-04-13,987.0,1005.0,987.0,1000.1,3400
2014-04-15,1007.0,1013.9,997.1,1005.0,15250
2014-04-16,1008.9,1017.0,999.0,999.9,10950
2014-04-17,1000.0,1000.0,970.1,978.8,2850
2014-04-20,975.0,980.0,965.3,970.4,1900
2014-04-21,1000.0,1000.0,975.0,982.1,7750
2014-04-22,998.0,998.0,971.0,979.6,3850
2014-04-23,994.0,1029.0,994.0,1026.1,21450
2014-04-24,1056.0,1090.2,1045.0,1090.1,51800
2014-04-27,1119.0,1119.0,1080.0,1099.4,23150
2014-04-28,1113.0,1168.1,1100.0,1167.4,68050
2014-04-29,1199.0,1230.0,1170.1,1211.9,39300
2014-04-30,1224.0,1257.0,1206.0,1241.0,31550
2014-05-04,1280.0,1280.0,1205.0,1223.8,14250
2014-05-05,1246.5,1246.5,1152.0,1165.9,8400
2014-05-06,1159.0,1198.0,1142.0,1157.4,12450
2014-05-07,1168.0,1189.0,1153.0,1160.7,6550
2014-05-08,1170.0,1170.0,1134.8,1141.8,4000
2014-05-11,1130.0,1130.0,1080.0,1108.9,5900
2014-05-12,1110.0,1165.0,1110.0,1145.3,6050
2014-05-14,1145.0,1146.0,1112.0,1120.6,4400
2014-05-15,1125.0,1128.0,1090.0,1122.8,2700
2014-05-18,1125.0,1125.0,1111.1,1119.4,1700
2014-05-19,1114.0,1123.3,1100.0,1104.6,1850
2014-05-20,1110.0,1119.9,1075.1,1103.2,3600
2014-05-21,1061.0,1130.0,1061.0,1122.0,3050
2014-05-22,1123.5,1123.5,1100.0,1112.0,1850
2014-05-25,1100.0,1117.0,1090.0,1098.8,2950
2014-05-26,1101.0,1110.0,1090.0,1094.4,2100
2014-05-27,1110.0,1149.0,1110.0,1127.6,4350
2014-05-28,1145.0,1148.0,1125.0,1137.4,1450
2014-05-29,1132.0,1153.0,1126.0,1146.6,2800
2014-06-01,1146.0,1198.0,1145.2,1184.3,4400
2014-06-02,1187.0,1231.0,1187.0,1222.9,9800
2014-06-03,1211.0,1211.0,1178.0,1189.8,3100
2014-06-04,1200.0,1200.0,1175.5,1180.0,5100
2014-06-05,1172.0,1172.0,1162.5,1168.9,1150
2014-06-08,1184.5,1184.5,1131.0,1152.3,1550
2014-06-09,1134.5,1183.5,1133.0,1145.5,1800
2014-06-10,1179.9,1179.9,1120.0,1126.2,2400
2014-06-11,1129.0,1138.0,1111.0,1117.8,2100
2014-06-12,1105.0,1115.0,1090.0,1099.3,6100
2014-06-15,1091.1,1095.0,1091.0,1091.7,1700
2014-06-16,1067.1,1080.0,1057.0,1059.7,2900
2014-06-17,1060.0,1125.0,1060.0,1116.6,3950
2014-06-18,1146.9,1146.9,1105.0,1127.5,3300
2014-06-19,1105.0,1130.0,1100.0,1119.0,2350
2014-06-22,1066.1,1115.0,1066.1,1096.7,200
2014-06-23,1093.0,1094.0,1084.0,1090.2,1000
2014-06-24,1090.0,1100.0,1070.0,1077.2,1850
2014-06-25,1077.2,1095.0,1065.1,1071.1,2600
2014-06-26,1079.9,1079.9,1062.0,1072.1,2250
2014-06-29,1090.0,1124.0,1077.0,1110.4,2050
2014-06-30,1137.0,1139.0,1083.0,1127.4,1000
2014-07-02,1124.0,1126.0,1124.0,1125.0,900
2014-07-03,1100.0,1100.0,1099.8,1099.9,600
2014-07-06,1100.0,1100.0,1090.0,1097.3,850
2014-07-07,1093.0,1093.0,1085.0,1090.4,850
2014-07-08,1071.0,1082.0,1070.0,1074.2,1750
2014-07-09,1077.0,1099.0,1053.0,1069.4,4750
2014-07-10,1079.9,1079.9,1061.0,1072.5,1050
2014-07-13,1066.0,1066.0,1060.0,1061.3,2200
2014-07-14,1070.0,1070.0,1067.0,1068.3,850
2014-07-15,1050.0,1053.0,1050.0,1051.3,300
2014-07-16,1069.0,1069.0,1045.5,1052.2,2600
2014-07-17,1046.0,1050.0,1036.5,1042.0,1550
2014-07-20,1005.0,1035.0,1005.0,1016.4,1050
2014-07-21,1025.0,1051.0,1025.0,1038.7,1000
2014-07-22,1041.0,1054.4,1026.0,1033.9,2950
2014-07-23,1014.0,1014.0,1010.0,1011.3,850
2014-07-24,1015.0,1030.0,1015.0,1018.8,950
2014-08-03,1022.0,1022.0,993.0,997.4,5200
2014-08-04,1010.0,1015.0,992.0,999.8,5650
2014-08-05,1002.0,1002.0,999.0,999.9,1850
2014-08-06,1009.0,1009.0,996.0,999.8,4000
2014-08-07,1000.0,1035.0,1000.0,1025.7,14900
2014-08-10,1085.0,1085.0,1010.0,1023.1,6250
2014-08-11,1023.1,1055.0,1023.1,1049.8,11200
2014-08-12,1050.0,1055.0,1032.0,1049.3,12150
2014-08-13,1050.0,1060.0,1040.0,1056.6,2150
2014-08-14,1051.0,1074.0,1047.1,1050.8,5850
2014-08-18,1032.1,1065.0,1032.1,1057.5,10150
2014-08-19,1057.6,1080.0,1045.0,1078.7,22600
2014-08-20,1083.9,1084.0,1078.0,1078.3,7750
2014-08-21,1070.0,1079.0,1068.0,1069.9,5650
2014-08-24,1075.0,1080.0,1064.0,1067.5,7650
2014-08-25,1025.1,1043.0,1025.1,1036.8,2950
2014-08-26,1020.0,1100.0,1012.0,1081.0,21800
2014-08-27,1031.0,1080.0,1031.0,1054.0,2450
2014-08-28,1065.0,1069.0,1046.2,1051.7,650
2014-08-31,1075.0,1100.0,1050.8,1079.5,7700
2014-09-01,1100.0,1125.0,1060.0,1089.8,10450
2014-09-02,1071.0,1105.0,1071.0,1097.0,8750
2014-09-03,1105.0,1105.0,1080.0,1083.9,4700
2014-09-04,1100.0,1124.0,1100.0,1118.5,10600
2014-09-07,1100.0,1124.0,1090.0,1110.1,1650
2014-09-08,1113.0,1160.0,1113.0,1148.6,8350
2014-09-09,1184.9,1220.3,1184.9,1196.6,18450
2014-09-10,1201.1,1240.0,1190.1,1199.2,5400
2014-09-11,1180.0,1180.1,1150.0,1152.4,10200
2014-09-14,1190.0,1191.0,1145.0,1156.5,1750
2014-09-15,1170.0,1176.8,1130.1,1148.4,1300
2014-09-16,1189.9,1189.9,1136.2,1153.0,750
2014-09-17,1160.0,1160.0,1120.0,1132.7,1650
2014-09-18,1136.0,1147.0,1070.0,1090.7,4300
2014-09-21,1098.0,1099.0,1074.5,1075.2,2250
2014-09-22,1070.0,1086.0,1070.0,1080.1,550
2014-09-23,1050.0,1100.0,1050.0,1081.1,9650
