Date,Open,High,Low,Close,Volume
2012-10-01,70.0,71.5,68.0,70.0,1949700
2012-10-02,71.8,73.0,70.9,71.3,1845600
2012-10-03,73.9,74.4,70.9,71.3,3296700
2012-10-04,72.0,73.5,70.0,70.3,1939500
2012-10-07,70.5,71.8,67.0,67.3,1825000
2012-10-08,68.0,68.9,64.7,65.3,1903700
2012-10-09,66.9,68.8,66.6,66.9,1542600
2012-10-10,68.8,68.9,64.7,65.1,1444700
2012-10-11,68.0,68.0,64.6,65.0,1573600
2012-10-14,66.5,66.5,63.1,63.3,1470000
2012-10-15,64.5,68.3,63.6,67.6,2624000
2012-10-16,68.0,69.4,66.5,66.9,1807200
2012-10-17,67.7,69.4,66.8,67.2,2050800
2012-10-18,67.6,68.0,66.3,66.8,1208500
2012-10-21,68.0,68.0,65.1,65.6,898700
2012-10-22,65.0,66.5,64.9,65.9,938000
2012-10-23,66.3,67.7,66.3,66.8,922600
2012-10-30,65.0,66.8,65.0,66.1,418600
2012-10-31,66.1,67.6,65.1,65.5,1000900
2012-11-01,63.1,64.5,61.1,64.0,1616800
2012-11-04,64.0,64.7,62.7,62.9,700700
2012-11-05,63.5,63.5,61.8,62.4,773600
2012-11-06,62.8,62.9,61.5,61.8,769000
2012-11-07,61.8,62.0,60.0,60.2,1236100
2012-11-08,60.7,61.1,59.6,59.9,957300
2012-11-11,60.0,60.0,57.1,57.5,1042500
2012-11-12,58.5,58.7,56.6,56.7,806500
2012-11-13,57.1,58.5,56.3,57.9,838800
2012-11-14,58.4,58.6,57.1,57.5,740900
2012-11-15,57.1,58.5,57.1,57.9,666000
2012-11-18,58.5,58.6,57.2,57.5,792300
2012-11-19,57.1,57.6,55.1,55.3,990700
2012-11-20,56.0,56.0,53.9,54.0,943600
2012-11-21,54.7,55.5,53.4,53.6,950300
2012-11-22,54.7,54.7,53.8,53.9,763600
2012-11-26,54.2,54.2,52.5,52.6,697400
2012-11-27,52.9,53.1,52.1,52.2,551900
2012-11-28,52.8,53.0,51.7,52.2,495900
2012-11-29,53.4,56.9,53.0,56.4,1337300
2012-12-02,57.3,58.5,55.5,56.0,1078300
2012-12-03,55.1,56.0,54.0,54.3,605800
2012-12-04,54.0,55.9,53.5,54.9,765900
2012-12-05,55.2,56.0,54.7,55.5,729400
2012-12-06,55.1,55.5,53.6,54.7,588700
2012-12-09,54.0,54.0,52.9,53.1,433200
2012-12-10,53.5,53.6,52.1,52.3,551100
2012-12-11,53.0,53.7,52.2,53.0,344500
2012-12-12,53.4,54.2,52.6,53.0,510500
2012-12-13,52.9,53.6,52.7,53.2,346700
2012-12-17,53.8,55.0,53.6,54.7,713000
2012-12-18,54.2,55.0,53.8,54.0,578400
2012-12-19,54.6,59.4,54.0,59.1,3943000
2012-12-20,59.7,62.5,58.8,61.7,4033100
2012-12-23,62.2,65.3,61.2,64.1,3842300
2012-12-24,64.1,64.1,61.3,63.0,3112700
2012-12-26,63.0,66.5,62.2,65.8,3996400
2012-12-27,67.0,67.1,64.8,65.5,2134100
2012-12-30,65.5,66.5,63.5,64.4,2535100
2013-01-01,64.5,64.8,61.7,62.1,1371500
2013-01-02,61.4,62.0,60.1,60.3,1209600
2013-01-03,60.8,64.0,59.4,63.1,1774300
2013-01-06,63.5,65.7,63.3,65.0,2044800
2013-01-07,65.0,65.0,63.5,63.9,1158300
2013-01-08,63.9,65.0,63.6,64.7,1719700
2013-01-09,65.5,66.4,64.9,65.8,2005000
2013-01-10,66.1,66.2,64.0,64.3,1534400
2013-01-13,64.3,65.0,63.8,64.4,858800
2013-01-14,64.0,64.5,63.6,63.8,708700
2013-01-15,63.9,63.9,63.2,63.5,499800
2013-01-16,63.5,63.6,62.9,63.0,1024700
2013-01-17,63.7,64.9,63.2,64.4,1177900
2013-01-20,64.0,64.9,63.7,63.8,524100
2013-01-21,63.8,63.8,63.0,63.1,583100
2013-01-22,63.3,64.2,63.2,63.6,938200
2013-01-23,63.6,64.2,63.0,63.1,989200
2013-01-24,63.1,63.9,63.0,63.1,1173400
2013-01-27,64.0,64.3,63.1,63.2,766200
2013-01-28,63.4,63.8,63.0,63.5,768600
2013-01-29,64.0,66.3,64.0,65.7,2273800
2013-01-30,66.0,66.0,64.8,65.0,1312000
2013-01-31,64.7,65.2,64.1,64.3,1111100
2013-02-03,64.4,65.4,63.9,64.3,1380500
2013-02-04,64.9,65.3,64.0,64.1,1101900
2013-02-05,64.4,64.9,63.8,64.4,867900
2013-02-06,64.6,65.2,64.5,64.6,886900
2013-02-07,64.5,65.0,64.3,64.6,1222200
2013-02-10,65.4,68.5,65.1,68.1,3677200
2013-02-11,68.3,69.7,67.9,68.0,2280000
2013-02-12,68.4,68.5,66.9,67.0,1767100
2013-02-13,67.0,68.0,66.5,67.1,1868600
2013-02-14,68.5,69.7,67.4,69.4,2280000
2013-02-17,70.5,71.5,69.8,70.1,3217900
2013-02-18,71.0,71.2,69.5,69.6,1986400
2013-02-19,70.2,70.6,67.8,68.1,2003000
2013-02-20,68.1,69.3,66.0,66.3,1795900
2013-02-24,66.5,66.5,63.8,64.0,1401100
2013-02-25,64.2,65.4,62.8,63.0,1108700
2013-02-26,63.5,65.5,63.2,65.0,954700
2013-02-27,65.1,65.6,62.3,62.6,1277800
2013-02-28,62.5,63.1,61.1,62.2,923100
2013-03-03,60.7,61.0,57.1,57.5,979000
2013-03-04,59.0,61.5,58.2,61.0,960500
2013-03-05,62.0,62.5,60.6,61.1,929200
2013-03-06,61.3,61.7,60.0,60.2,769500
2013-03-07,60.0,60.1,58.7,59.1,737800
2013-03-10,60.9,61.0,58.5,58.8,678400
2013-03-11,58.1,59.8,56.4,58.1,826100
2013-03-12,57.1,60.1,56.8,59.4,661900
2013-03-13,59.6,61.8,59.6,60.9,1109500
2013-03-14,60.5,61.6,60.5,60.9,916100
2013-03-18,61.0,61.0,60.0,60.1,866300
2013-03-19,60.2,61.1,60.2,60.5,637300
2013-03-20,60.5,60.8,58.8,59.0,512400
2013-03-24,59.7,59.7,56.5,56.7,810300
2013-03-25,56.9,57.5,55.7,55.9,767800
2013-03-27,56.9,56.9,53.8,54.1,570200
2013-03-28,54.7,55.8,54.5,55.5,452200
2013-03-31,55.9,56.2,53.5,54.1,626300
2013-04-01,53.1,53.7,51.0,51.4,802400
2013-04-02,51.8,52.9,51.4,52.3,667800
2013-04-03,53.0,53.7,52.4,52.7,618900
2013-04-04,53.0,53.0,51.1,51.4,583700
2013-04-07,51.6,52.2,50.6,50.8,780200
2013-04-08,50.6,51.8,50.5,51.5,658600
2013-04-09,51.6,54.0,51.2,53.4,720200
2013-04-10,54.4,54.9,52.9,53.2,861300
2013-04-11,53.2,53.2,52.3,52.7,539100
2013-04-15,53.0,55.0,53.0,54.5,910400
2013-04-16,55.2,55.5,54.0,54.4,1246900
2013-04-17,54.9,54.9,53.2,53.7,690500
2013-04-18,54.2,54.3,52.8,53.0,1050300
2013-04-21,53.0,53.3,51.5,51.8,938900
2013-04-22,51.6,52.2,51.4,51.5,537000
2013-04-23,52.0,52.2,51.4,51.4,652500
2013-04-24,51.8,51.9,50.8,51.3,1074900
2013-04-25,51.5,51.5,50.4,50.5,1147700
2013-04-28,50.8,50.8,48.3,48.4,857000
2013-04-29,48.9,48.9,46.0,46.2,994700
2013-04-30,45.6,46.0,42.9,43.6,2138400
2013-05-02,40.0,45.0,40.0,44.2,1310300
2013-05-05,44.0,44.0,42.2,42.5,944600
2013-05-06,42.5,42.6,41.5,42.2,929300
2013-05-07,42.5,43.4,41.6,43.2,709000
2013-05-08,43.8,44.8,43.0,43.3,650300
2013-05-09,43.4,43.7,42.8,43.4,523500
2013-05-12,43.8,45.4,43.8,45.1,1222600
2013-05-13,46.0,47.2,44.8,46.4,1006800
2013-05-14,46.9,50.1,46.9,49.9,1716800
2013-05-15,50.9,50.9,47.6,47.7,1334000
2013-05-16,47.9,47.9,44.3,45.8,2614400
2013-05-19,45.5,47.1,44.0,46.9,2481200
2013-05-21,42.0,44.0,41.4,41.7,3887600
2013-05-22,42.0,42.0,40.5,40.8,1419000
2013-05-26,41.3,41.7,40.2,40.4,683600
2013-05-27,40.8,41.3,40.7,40.8,970900
2013-05-28,41.0,41.6,40.6,40.7,868100
2013-05-29,41.3,42.8,41.0,42.5,2199000
2013-05-30,43.3,43.6,42.5,43.0,2443400
2013-06-02,43.7,43.9,43.0,43.7,1433000
2013-06-03,44.0,44.2,43.2,43.5,1426100
2013-06-04,43.9,44.3,43.2,43.6,1666700
2013-06-05,43.9,46.2,43.2,45.7,2519100
2013-06-06,46.5,48.1,45.8,46.7,4065500
2013-06-09,47.0,47.0,43.8,43.9,1678000
2013-06-10,44.4,46.0,44.1,45.8,1445900
2013-06-11,46.0,46.5,44.6,44.8,1907500
2013-06-12,45.0,46.0,44.8,44.9,1803000
2013-06-13,45.5,45.7,44.5,44.6,1770900
2013-06-16,44.5,46.5,44.5,46.0,1977200
2013-06-17,46.6,48.4,46.4,46.6,2686000
2013-06-18,46.0,46.9,45.6,46.0,1558300
2013-06-19,46.8,47.7,45.9,46.2,1890000
2013-06-20,46.9,47.5,45.5,45.7,1309300
2013-06-23,46.4,46.4,43.8,44.3,1220600
2013-06-24,44.2,45.0,43.5,43.8,762800
2013-06-26,45.0,45.0,43.7,43.8,1211600
2013-06-27,43.9,44.5,42.9,43.0,1248000
2013-06-30,43.2,43.2,40.1,41.7,1828500
2013-07-02,42.7,43.2,41.8,42.2,2522300
2013-07-03,43.2,45.5,43.2,45.2,2502800
2013-07-04,45.9,46.7,45.3,45.6,1641400
2013-07-07,45.9,47.0,45.1,45.5,2037900
2013-07-08,45.1,45.9,44.0,44.1,1955000
2013-07-09,44.1,44.8,43.5,43.6,2651500
2013-07-10,43.4,44.8,43.1,43.4,1492800
2013-07-11,43.7,43.8,41.5,41.9,1704400
2013-07-14,43.9,43.9,40.8,41.2,1180600
2013-07-15,41.5,42.3,40.8,41.1,911600
2013-07-16,41.2,42.1,40.9,41.0,1315600
2013-07-17,41.0,41.7,40.7,40.9,1061300
2013-07-18,41.8,41.8,40.6,40.7,1363200
2013-07-21,41.0,41.6,39.7,40.1,912200
2013-07-22,40.8,40.9,39.1,39.3,748200
2013-07-23,39.3,39.5,37.8,38.0,884400
2013-07-24,38.5,39.4,37.6,38.6,883800
2013-07-25,39.7,39.7,37.6,37.8,713200
2013-07-28,38.3,38.3,36.4,36.5,537500
2013-07-29,36.8,37.9,36.1,36.9,774100
2013-07-30,37.7,38.3,36.8,37.0,1047300
2013-07-31,36.1,36.1,33.8,34.0,2137100
2013-08-01,33.3,34.2,32.2,32.3,2058200
2013-08-04,33.0,33.0,31.5,31.7,669300
2013-08-05,32.0,34.8,31.8,34.1,1053500
2013-08-12,33.8,34.1,33.3,33.8,560600
2013-08-13,34.0,34.5,33.7,34.1,505000
2013-08-14,34.1,34.1,33.5,33.6,625400
2013-08-18,34.3,34.3,33.6,33.7,733500
2013-08-19,34.0,34.0,33.5,33.7,840200
2013-08-20,34.0,34.9,33.7,33.8,1027600
2013-08-21,34.0,34.4,33.5,33.6,685000
2013-08-22,33.8,34.0,33.5,33.5,874900
2013-08-25,33.9,34.3,33.5,33.5,1211700
2013-08-26,34.0,34.0,33.1,33.1,657400
2013-08-27,33.2,33.5,32.5,32.5,951300
2013-08-29,32.6,32.6,31.9,32.0,804000
2013-09-01,32.3,33.4,31.9,32.3,844100
2013-09-02,32.9,32.9,32.1,32.1,791000
2013-09-03,32.4,32.4,32.0,32.0,636200
2013-09-04,32.5,32.5,31.9,32.0,910800
2013-09-05,32.2,35.0,32.0,34.2,2954900
2013-09-08,34.8,34.8,33.2,33.4,909700
2013-09-09,33.1,33.2,32.5,32.6,778300
2013-09-10,32.7,33.0,32.2,32.2,1299700
2013-09-11,32.5,32.8,32.0,32.1,817700
2013-09-12,32.8,32.8,31.8,31.8,1009200
2013-09-15,32.1,32.8,32.0,32.6,991600
2013-09-16,32.5,33.0,32.2,32.3,765400
2013-09-17,32.3,33.4,32.1,32.6,1416800
2013-09-18,32.9,34.1,32.9,33.0,1369200
2013-09-19,32.8,33.4,32.3,32.6,765200
2013-09-22,33.4,33.4,32.1,32.2,932800
2013-09-23,32.8,32.8,31.7,31.7,1432400
2013-09-24,31.8,32.0,31.5,31.6,923600
2013-09-25,31.6,31.8,31.2,31.2,699200
2013-09-26,31.2,31.5,31.0,31.2,727700
2013-09-29,31.8,31.8,30.6,30.8,713500
2013-09-30,30.6,30.9,29.6,29.7,829200
2013-10-01,30.2,30.6,29.6,30.0,1304000
2013-10-02,30.2,30.3,29.8,29.9,433100
2013-10-03,30.3,30.3,29.6,29.7,508400
2013-10-06,30.5,30.5,28.6,28.7,657200
2013-10-07,28.5,28.7,27.9,28.0,714000
2013-10-08,28.2,28.3,27.3,27.3,864300
2013-10-09,28.2,28.2,26.8,27.1,976400
2013-10-10,27.5,27.6,27.0,27.3,701700
2013-10-20,27.9,27.9,26.4,26.6,303100
2013-10-21,26.4,26.5,26.1,26.3,811100
2013-10-22,26.5,27.0,26.1,26.5,1312400
2013-10-23,27.0,27.8,26.6,26.9,1198400
2013-10-24,26.9,27.0,26.3,26.4,871400
2013-10-27,26.3,27.0,26.3,26.8,666400
2013-10-28,27.1,29.3,27.1,28.9,2247400
2013-10-29,29.0,31.7,28.0,31.6,3778800
2013-10-30,32.0,34.6,31.6,31.8,3148400
2013-10-31,31.5,33.3,29.0,29.1,5138700
2013-11-03,28.5,29.2,27.5,28.7,1490300
2013-11-04,28.7,29.5,28.5,29.0,1427500
2013-11-05,29.4,31.4,29.2,30.7,2299700
2013-11-06,30.9,33.0,30.6,31.7,4222200
2013-11-07,32.0,32.9,31.7,32.4,2316900
2013-11-10,32.9,33.5,31.0,31.9,3257800
2013-11-11,31.1,32.5,30.5,30.6,2288800
2013-11-12,30.8,33.5,30.8,32.4,3034100
2013-11-13,32.6,33.3,32.4,32.6,2026900
2013-11-14,33.0,33.0,31.9,32.0,1530500
2013-11-17,32.5,32.8,31.7,32.1,1618300
2013-11-18,32.6,34.0,32.0,33.7,3445900
2013-11-19,33.9,36.0,33.7,35.4,4637200
2013-11-20,36.0,38.7,35.2,38.1,5348700
2013-11-21,39.0,39.0,37.2,38.7,5462100
2013-11-24,38.4,39.4,36.6,36.8,2939300
2013-11-25,37.5,38.0,36.8,37.2,2093300
2013-11-26,37.2,38.4,36.3,36.7,3708600
2013-11-27,36.7,37.2,35.4,35.5,1740800
2013-11-28,35.9,36.0,34.3,34.6,1368800
2013-12-01,34.2,34.2,32.6,32.9,1276900
2013-12-02,33.0,33.9,32.6,33.3,948200
2013-12-03,34.0,34.8,33.7,34.6,1151100
2013-12-04,34.5,35.6,33.8,33.9,1441200
2013-12-05,33.5,34.3,33.3,33.4,822000
2013-12-08,33.8,34.5,33.5,33.7,1296800
2013-12-09,34.2,34.4,33.4,33.5,1165600
2013-12-10,33.6,34.5,33.5,33.6,1662800
2013-12-11,34.4,34.5,33.8,33.9,1940200
2013-12-12,34.1,35.5,33.7,34.7,1748100
2013-12-15,34.7,35.2,34.0,34.2,1037000
2013-12-17,34.1,34.5,34.0,34.2,1075000
2013-12-18,34.1,34.5,33.2,33.4,1129400
2013-12-19,34.0,34.0,33.1,33.4,837400
2013-12-22,33.5,33.9,33.4,33.4,1747800
2013-12-23,33.7,34.5,33.3,33.4,1128200
2013-12-24,33.9,33.9,32.7,32.8,733400
2013-12-26,32.8,33.1,32.0,32.1,855900
2013-12-29,32.2,32.3,31.7,31.9,516400
2013-12-30,32.2,32.9,32.1,32.2,689500
2014-01-01,32.8,33.0,32.1,32.3,813400
2014-01-02,32.6,33.7,32.4,33.5,1612000
2014-01-06,34.0,35.2,33.8,33.9,1861700
2014-01-07,34.2,34.7,34.0,34.0,1255000
2014-01-08,34.5,36.2,34.4,36.0,4479300
2014-01-09,36.8,36.9,36.0,36.4,2787500
2014-01-12,37.0,37.5,36.0,36.3,2296200
2014-01-13,37.0,37.0,35.5,35.5,2391400
2014-01-15,35.6,36.5,35.1,35.2,1609100
2014-01-16,35.4,35.6,35.0,35.2,1813900
2014-01-19,35.3,35.5,34.6,34.7,1664800
2014-01-20,34.9,35.1,34.6,34.6,1121500
2014-01-21,34.8,36.0,34.5,35.5,1703100
2014-01-22,35.8,36.4,35.5,35.6,1632200
2014-01-23,36.0,36.0,35.2,35.6,1521000
2014-01-26,35.9,35.9,35.5,35.5,1534700
2014-01-27,35.8,35.9,35.4,35.5,1131800
2014-01-28,35.5,35.9,35.2,35.3,1304500
2014-01-29,35.5,35.7,35.1,35.3,1013400
2014-01-30,35.8,36.6,35.4,36.0,2345100
2014-02-02,36.5,36.9,36.1,36.3,1417800
2014-02-03,36.4,36.6,35.5,35.8,1355200
2014-02-04,35.7,36.1,35.3,35.4,1270800
2014-02-05,35.5,35.5,35.0,35.1,1216700
2014-02-06,35.1,35.6,35.0,35.2,910100
2014-02-09,35.5,36.0,35.0,35.1,1086100
2014-02-10,35.2,35.2,34.5,34.5,1468300
2014-02-11,34.5,34.8,33.9,34.0,1049800
2014-02-12,34.1,34.5,33.6,33.6,749400
2014-02-13,33.7,34.1,33.4,33.6,833200
2014-02-16,33.9,34.2,33.4,33.5,690600
2014-02-17,33.4,33.7,33.0,33.1,596400
2014-02-18,33.3,33.5,32.9,33.0,559300
2014-02-19,33.0,33.9,33.0,33.6,543100
2014-02-20,34.0,34.1,33.6,33.7,571300
2014-02-23,33.7,34.0,33.4,33.4,434900
2014-02-24,33.5,33.5,33.0,33.1,575200
2014-02-25,33.1,33.4,32.9,33.0,797800
2014-02-26,32.9,33.2,32.8,32.8,441700
2014-02-27,33.0,33.0,32.2,32.3,960800
2014-03-02,32.0,32.8,31.6,31.7,640400
2014-03-03,31.8,32.1,30.9,31.0,724600
2014-03-04,31.4,32.0,30.5,31.5,704900
2014-03-05,32.0,32.3,31.4,31.5,656700
2014-03-06,32.0,32.0,31.5,31.6,539000
2014-03-09,31.7,31.7,30.7,31.2,844700
2014-03-10,31.2,34.2,31.2,33.2,2642800
2014-03-11,33.5,33.6,32.4,32.5,1016800
2014-03-12,32.5,33.3,32.1,32.2,828900
2014-03-13,32.5,32.5,31.8,31.8,520000
2014-03-16,31.9,32.0,31.2,31.3,631100
2014-03-18,31.3,31.8,31.1,31.2,482300
2014-03-19,31.1,31.5,30.9,31.0,518500
2014-03-20,31.2,31.4,30.8,30.9,551400
2014-03-23,31.0,31.3,30.8,30.9,279100
2014-03-24,31.0,31.1,30.8,30.8,465700
2014-03-25,30.9,31.0,30.6,30.6,495200
2014-03-27,30.7,30.9,30.3,30.3,454800
2014-03-30,31.0,31.0,30.0,30.1,499300
2014-03-31,30.2,30.4,29.7,29.9,502700
2014-04-01,30.1,30.3,29.8,29.9,417600
2014-04-02,30.0,31.3,30.0,31.1,566400
2014-04-03,31.0,31.2,30.3,30.4,671900
2014-04-06,30.5,30.7,30.0,30.0,428400
2014-04-07,30.0,30.4,29.8,29.8,580800
2014-04-08,29.8,29.9,28.9,29.0,640700
2014-04-09,29.4,29.4,28.8,29.1,575100
2014-04-10,29.2,29.4,28.7,28.9,571300
2014-04-13,29.3,29.3,28.4,28.7,267400
2014-04-15,28.7,29.0,28.0,28.2,465300
2014-04-16,28.0,28.0,27.2,27.5,910500
2014-04-17,27.5,28.0,27.3,27.8,592800
2014-04-20,28.2,29.3,27.9,28.9,848900
2014-04-21,29.2,29.6,28.6,28.7,965000
2014-04-22,28.7,28.9,28.4,28.6,451100
2014-04-23,28.5,28.6,27.8,28.1,1164100
2014-04-24,28.5,28.8,27.9,28.0,701700
2014-04-27,28.6,28.8,28.0,28.6,704400
2014-04-28,28.9,28.9,28.1,28.3,600100
2014-04-29,28.3,28.3,27.0,27.2,751800
2014-04-30,27.5,27.7,26.2,27.0,1114000
2014-05-04,27.0,27.5,26.2,26.3,555400
2014-05-05,26.4,26.7,26.1,26.2,607800
2014-05-06,26.3,27.0,26.0,26.7,1056300
2014-05-07,27.2,27.7,27.1,27.2,576200
2014-05-08,27.0,27.4,26.7,26.8,512300
2014-05-11,26.8,27.0,26.6,26.6,519100
2014-05-12,26.5,27.0,26.5,26.6,603300
2014-05-14,26.9,26.9,25.9,26.0,744900
2014-05-15,26.1,26.3,25.9,26.1,1172500
2014-05-19,23.0,23.2,22.5,22.5,848700
2014-05-20,22.5,23.0,22.5,22.6,593700
2014-05-21,22.8,23.1,22.7,22.8,605200
2014-05-22,23.0,24.4,23.0,23.7,1664800
2014-05-25,23.9,24.0,23.3,23.3,493000
2014-05-26,23.2,23.4,22.8,22.8,561400
2014-05-27,23.1,23.1,22.5,22.6,643100
2014-05-28,22.9,23.1,22.6,22.8,503700
2014-05-29,22.8,23.6,22.8,23.2,1000400
2014-06-01,23.3,23.3,22.8,22.8,586200
2014-06-02,23.1,23.2,22.4,22.5,538600
2014-06-03,22.5,22.6,22.0,22.1,815200
2014-06-04,22.2,22.5,21.4,21.5,732600
2014-06-05,21.5,22.0,21.4,21.8,671800
2014-06-08,21.6,21.6,21.1,21.2,585900
2014-06-09,21.2,22.0,21.2,21.6,549000
2014-06-10,22.0,22.1,21.6,21.9,700000
2014-06-11,22.1,23.7,22.1,22.9,1246400
2014-06-12,23.0,24.8,22.9,24.6,3524600
2014-06-15,24.6,26.4,24.0,25.0,2883400
2014-06-16,25.0,25.3,23.6,24.1,1593800
2014-06-17,24.1,26.2,24.1,26.0,4113800
2014-06-18,26.1,27.8,25.8,27.4,4482300
2014-06-19,27.8,27.8,26.5,26.9,3381400
2014-06-22,26.9,27.0,26.1,26.7,2498100
2014-06-23,26.8,28.0,26.8,27.7,4073200
2014-06-24,28.0,29.8,27.8,29.5,6315300
2014-06-25,29.8,30.5,28.8,29.1,4798200
2014-06-26,29.0,31.7,28.4,31.2,7975700
2014-06-29,31.2,34.1,31.1,33.8,8057100
2014-06-30,33.6,34.2,32.0,32.3,6467400
2014-07-02,32.9,34.9,32.0,34.5,9252500
2014-07-03,34.6,35.5,33.7,34.2,5976400
2014-07-06,34.2,35.2,33.4,33.6,5306400
2014-07-07,33.6,33.9,31.5,31.8,5095500
2014-07-08,33.9,33.9,30.9,31.6,3513900
2014-07-09,31.6,32.6,30.9,31.2,1936900
2014-07-10,31.2,31.4,29.1,29.4,3630000
2014-07-13,30.0,32.3,29.2,31.9,3906200
2014-07-14,32.3,34.4,32.1,34.1,6762600
2014-07-15,34.1,34.8,33.3,34.3,6404300
2014-07-16,34.2,36.2,34.2,35.0,10767500
2014-07-17,35.1,35.8,34.2,35.2,6717700
2014-07-20,34.6,36.0,34.3,35.5,8665700
2014-07-21,35.5,38.0,35.5,37.6,11483700
2014-07-22,37.9,39.3,37.1,37.9,12833600
2014-07-23,37.5,37.8,34.6,34.8,16765800
2014-07-24,35.1,36.2,34.5,35.9,8716500
2014-08-03,33.9,33.9,32.4,32.8,16007200
2014-08-04,32.5,35.4,32.4,35.1,7995200
2014-08-05,35.4,36.4,34.9,36.1,9793800
2014-08-06,36.3,36.8,35.0,35.2,7375400
2014-08-07,35.1,35.4,34.0,34.1,6760000
2014-08-10,34.9,35.0,33.1,33.4,7645500
2014-08-11,33.8,34.7,33.6,34.0,4601800
2014-08-12,34.4,35.7,34.3,34.5,5542300
2014-08-13,34.8,35.3,34.0,34.0,3708200
2014-08-14,34.1,35.2,33.7,34.5,5563700
2014-08-18,34.8,35.2,34.5,34.6,4245100
2014-08-19,34.7,37.5,34.7,37.3,13400000
2014-08-20,37.7,38.6,37.4,37.5,9826900
2014-08-21,37.7,39.9,37.1,39.2,12413300
2014-08-24,39.2,42.6,38.8,41.3,15883900
2014-08-25,42.0,44.0,40.8,43.4,11279600
2014-08-26,44.0,44.8,42.8,43.3,11437900
2014-08-27,43.1,43.5,41.6,42.1,8532200
2014-08-28,42.4,44.4,41.5,43.1,11357800
2014-08-31,43.3,44.1,41.4,41.7,9461900
2014-09-01,42.1,42.8,41.2,41.4,5244900
2014-09-02,41.5,42.5,40.7,42.2,5969100
2014-09-03,42.9,43.7,42.0,42.4,5303600
2014-09-04,42.9,43.4,41.6,41.7,5435900
2014-09-07,42.5,42.5,40.5,40.8,4193500
2014-09-08,41.0,41.8,40.0,40.6,4806900
2014-09-09,40.7,41.4,39.2,40.1,4148900
2014-09-10,40.9,42.6,40.0,41.8,6475300
2014-09-11,42.5,42.9,41.0,41.2,4815100
2014-09-14,41.9,41.9,40.1,40.3,6518100
2014-09-15,40.8,42.3,40.6,41.0,5695300
2014-09-16,41.8,43.7,41.3,43.4,10586700
2014-09-17,44.0,45.0,43.2,43.4,8217300
2014-09-18,44.0,44.4,43.0,43.2,8746300
2014-09-21,43.6,47.2,43.6,46.9,13272700
2014-09-22,47.0,47.9,45.6,45.9,8170000
2014-09-23,46.5,46.5,44.4,45.1,9136200
2014-09-24,45.5,47.0,45.3,45.8,6911000
2014-09-25,46.4,47.7,45.5,46.9,9553400
2014-09-28,47.5,49.5,46.8,47.5,7256600
2014-09-29,48.8,48.8,45.6,45.8,6301700
2014-09-30,46.5,47.2,44.6,44.9,6057400
2014-10-01,45.9,46.5,44.9,45.0,4510300
2014-10-02,45.5,46.0,44.8,45.2,3993900
2014-10-12,46.2,46.4,45.0,45.8,3354100
2014-10-13,46.0,46.7,45.5,45.5,3844900
2014-10-14,46.0,46.0,44.4,44.5,5792900
2014-10-15,44.8,45.0,43.1,43.3,5257200
2014-10-16,43.3,43.6,42.6,42.7,3659700
2014-10-19,42.9,43.1,40.5,40.7,3576000
2014-10-20,40.1,41.8,40.1,40.5,3607600
2014-10-21,41.1,42.5,41.1,42.0,3216100
