Date,Open,High,Low,Close,Volume
2012-10-01,38.0,40.0,37.1,39.0,412700
2012-10-02,41.4,41.4,39.7,40.8,543900
2012-10-03,40.8,44.2,40.8,42.3,1319900
2012-10-04,42.9,43.7,42.0,42.4,639500
2012-10-07,42.2,42.8,40.1,40.3,319500
2012-10-08,40.3,41.3,38.8,39.4,280600
2012-10-09,40.2,41.6,39.5,40.0,194800
2012-10-10,41.0,42.1,39.7,40.3,289500
2012-10-11,40.1,40.5,39.1,39.3,173400
2012-10-14,39.9,40.4,37.6,37.9,233000
2012-10-15,37.4,39.5,37.4,38.8,119300
2012-10-16,39.4,39.9,39.1,39.4,134800
2012-10-17,39.0,40.8,39.0,39.6,165600
2012-10-18,39.7,40.0,39.2,39.4,77600
2012-10-21,38.9,39.3,37.0,37.6,115000
2012-10-22,37.8,38.7,37.7,38.4,55300
2012-10-23,38.4,39.4,38.1,38.5,71400
2012-10-30,38.1,38.3,37.5,37.9,32300
2012-10-31,37.9,38.6,37.6,37.9,108200
2012-11-01,38.2,39.0,37.8,38.5,92200
2012-11-04,39.8,39.8,36.9,37.2,54400
2012-11-05,37.2,37.4,36.1,37.1,67700
2012-11-06,37.4,37.4,36.1,36.4,54600
2012-11-07,36.3,36.8,36.0,36.4,82400
2012-11-08,36.5,36.9,34.0,34.8,63300
2012-11-11,33.9,34.9,33.9,34.7,93900
2012-11-12,34.6,35.2,34.0,34.5,87700
2012-11-13,33.9,35.0,33.9,34.7,79700
2012-11-14,34.2,35.1,34.1,34.8,167500
2012-11-15,35.0,35.5,34.3,35.1,58700
2012-11-18,34.1,35.3,34.0,35.0,76900
2012-11-19,34.7,34.8,33.1,33.3,72600
2012-11-20,32.7,33.8,32.3,32.5,57200
2012-11-21,33.8,33.8,32.0,32.5,105300
2012-11-22,33.1,33.4,32.0,32.3,88400
2012-11-26,32.3,32.5,31.2,31.3,32400
2012-11-27,31.3,31.9,30.9,31.0,32400
2012-11-28,31.1,31.3,29.6,29.8,60800
2012-11-29,30.9,32.7,30.9,32.6,91300
2012-12-02,33.5,34.0,31.6,32.4,106200
2012-12-03,32.0,32.3,31.4,31.5,55800
2012-12-04,31.4,31.8,31.0,31.4,13700
2012-12-05,32.7,32.7,31.0,31.1,174400
2012-12-06,31.3,31.6,30.7,31.2,27300
2012-12-09,31.0,31.6,30.7,31.3,84000
2012-12-10,31.2,31.5,30.4,30.5,111500
2012-12-11,30.3,31.2,29.9,30.6,86100
2012-12-12,30.8,31.6,30.4,30.5,33800
2012-12-13,30.9,31.6,30.5,30.9,142800
2012-12-17,31.7,32.7,31.7,32.3,74300
2012-12-18,31.8,32.5,31.8,32.2,77500
2012-12-19,32.5,32.8,32.0,32.6,21800
2012-12-20,32.9,33.5,32.3,32.4,116900
2012-12-23,32.1,32.1,31.6,31.9,24900
2012-12-24,31.8,32.0,31.7,31.8,13500
2012-12-26,31.9,32.5,31.6,31.7,36000
2012-12-27,32.9,32.9,31.6,31.8,94400
2012-12-30,32.0,32.8,31.7,32.2,97300
2013-01-01,32.6,33.0,31.6,31.6,44100
2013-01-02,31.5,31.7,30.8,31.0,66300
2013-01-03,31.3,31.6,31.0,31.3,35200
2013-01-06,31.5,31.5,30.7,30.8,34700
2013-01-07,31.2,31.2,30.5,30.7,38100
2013-01-08,30.9,31.2,30.3,30.5,41200
2013-01-09,30.5,31.2,30.0,30.0,49800
2013-01-10,30.3,30.6,30.0,30.3,47500
2013-01-13,30.5,30.5,30.1,30.3,12000
2013-01-14,30.1,30.6,30.1,30.4,28300
2013-01-15,30.2,30.4,29.9,30.1,105400
2013-01-16,30.1,30.5,30.1,30.3,30100
2013-01-17,30.5,31.1,30.5,30.6,78200
2013-01-20,30.9,31.0,30.3,30.5,45400
2013-01-21,30.4,30.6,30.2,30.4,20400
2013-01-22,30.4,30.7,30.4,30.6,42700
2013-01-23,31.0,31.4,30.6,30.8,75700
2013-01-24,31.1,31.5,31.0,31.1,49700
2013-01-27,31.3,31.6,30.7,30.7,75000
2013-01-28,31.0,31.2,30.6,30.9,53700
2013-01-29,31.5,32.0,31.1,31.7,97900
2013-01-30,32.2,32.2,31.2,31.5,52100
2013-01-31,31.3,32.7,31.3,32.4,272300
2013-02-03,32.0,34.1,32.0,34.0,415100
2013-02-04,35.0,35.3,33.3,33.9,310000
2013-02-05,33.8,34.0,33.2,33.7,173800
2013-02-06,34.3,34.3,33.3,33.5,107100
2013-02-07,33.5,33.6,32.9,32.9,106000
2013-02-10,33.0,34.0,33.0,33.6,89300
2013-02-11,33.6,34.6,33.6,34.3,176800
2013-02-12,34.5,35.0,33.5,33.7,83400
2013-02-13,34.2,34.5,33.7,34.0,94000
2013-02-14,34.0,35.2,34.0,34.6,287400
2013-02-17,34.6,35.0,34.0,34.0,126600
2013-02-18,34.4,34.4,33.7,33.7,98400
2013-02-19,33.8,34.2,33.0,33.2,97500
2013-02-20,33.8,33.8,32.4,32.6,87200
2013-02-24,32.3,32.4,31.5,31.6,63600
2013-02-25,31.9,32.3,30.7,31.5,179700
2013-02-26,31.8,32.2,31.5,32.0,47200
2013-02-27,32.0,32.0,30.6,30.8,49900
2013-02-28,30.5,31.0,30.1,30.7,45200
2013-03-03,30.0,30.0,28.8,28.8,40800
2013-03-04,28.1,30.2,28.1,29.2,66100
2013-03-05,29.8,29.8,29.1,29.3,55300
2013-03-06,29.5,29.5,29.0,29.3,64300
2013-03-07,28.3,29.7,28.2,29.4,44900
2013-03-10,29.7,29.7,28.6,29.0,69600
2013-03-11,28.8,29.3,28.1,29.1,31200
2013-03-12,28.7,29.4,28.5,29.1,49600
2013-03-13,29.5,29.7,29.1,29.2,42600
2013-03-14,29.4,29.6,29.3,29.5,27100
2013-03-18,29.5,29.6,29.0,29.3,13700
2013-03-19,29.6,29.8,29.3,29.5,65000
2013-03-20,29.2,29.7,29.2,29.2,38600
2013-03-24,28.5,29.4,28.3,28.9,156900
2013-03-25,28.1,29.2,28.1,28.8,72300
2013-03-27,29.5,29.5,28.3,28.8,127100
2013-03-28,28.7,29.0,28.2,28.5,77200
2013-03-31,28.2,28.5,27.3,27.5,52600
2013-04-01,27.9,27.9,25.1,26.4,79100
2013-04-03,24.8,25.0,23.9,24.3,176800
2013-04-04,23.9,24.6,23.7,24.4,114700
2013-04-07,24.4,24.5,24.0,24.1,41000
