Date,Open,High,Low,Close,Volume
2018-07-02,141.2,155.0,129.4,130.8,6308834
2018-07-03,129.6,160.0,126.3,158.1,3439060
2018-07-04,159.0,173.9,156.0,173.9,3527280
2018-07-05,184.0,190.5,176.0,181.6,3216025
2018-07-08,178.0,183.8,163.9,165.7,3811394
2018-07-09,166.0,175.0,162.1,166.9,2396144
2018-07-10,169.0,174.9,156.0,158.5,2770189
2018-07-11,158.5,163.0,145.0,146.7,2617460
2018-07-12,148.2,158.7,148.2,153.2,1394960
2018-07-15,156.0,156.0,139.0,141.1,1696763
2018-07-16,144.4,147.1,140.5,141.2,1179761
2018-07-17,143.7,145.0,134.5,135.1,1375468
2018-07-18,137.0,145.5,131.2,142.9,1762568
2018-07-19,144.0,147.8,137.5,139.1,1147734
2018-07-22,139.0,142.7,132.1,133.0,1354249
2018-07-23,133.6,144.9,133.3,140.9,1362303
2018-07-24,142.0,143.2,135.9,136.5,1071081
2018-07-25,138.0,138.8,133.1,133.6,1095260
2018-07-26,135.9,138.9,134.0,137.0,1066252
2018-07-29,138.4,139.8,133.0,133.7,699988
2018-07-30,134.0,135.4,129.8,131.5,683339
2018-07-31,133.0,133.2,129.4,129.6,936741
2018-08-01,131.0,134.2,128.0,128.5,622454
2018-08-02,130.0,130.0,124.9,125.2,770621
2018-08-05,125.2,126.0,120.1,120.5,598521
2018-08-06,121.0,125.0,118.1,121.8,692571
2018-08-07,123.7,126.9,123.5,123.9,564729
2018-08-08,124.9,125.6,119.6,120.0,546249
2018-08-09,120.4,121.4,117.0,117.2,553063
2018-08-12,118.4,119.9,114.1,114.9,514128
2018-08-13,114.9,117.0,109.9,110.3,392014
2018-08-14,110.4,121.3,110.3,120.1,968885
2018-08-16,123.5,129.0,123.0,125.9,1207388
2018-08-19,125.9,126.0,117.0,117.9,499653
2018-08-20,117.9,123.4,115.4,121.3,411554
2018-08-26,122.5,124.4,121.0,121.4,312496
2018-08-27,122.6,123.9,120.5,123.0,300690
2018-08-28,123.5,124.9,122.0,122.8,423199
2018-08-29,123.0,124.2,120.4,120.8,297696
2018-08-30,120.3,122.0,118.0,118.9,332923
2018-09-03,119.8,121.3,118.0,118.6,238620
2018-09-04,119.1,125.0,118.8,123.8,763214
2018-09-05,124.7,135.9,124.1,132.2,1172998
2018-09-06,133.0,134.5,126.0,126.6,636731
2018-09-09,126.6,127.8,121.0,122.5,472958
2018-09-10,123.9,127.2,122.7,123.7,466274
2018-09-11,125.0,126.6,123.8,124.2,281505
2018-09-12,125.8,126.6,123.5,124.2,463538
2018-09-13,125.8,129.5,124.6,125.3,636314
2018-09-16,126.0,127.4,123.0,123.5,323077
2018-09-17,125.6,126.3,119.5,120.5,373362
2018-09-18,121.0,122.8,118.0,118.9,328518
2018-09-19,119.0,121.2,119.0,119.3,360186
2018-09-20,119.3,122.5,119.0,119.2,318322
2018-09-23,120.2,121.0,116.8,117.1,231073
2018-09-24,117.1,117.2,112.0,112.4,298977
2018-09-25,112.7,114.9,110.4,114.0,246263
2018-09-26,114.5,118.0,114.2,115.0,214087
2018-09-27,115.1,116.1,111.5,112.4,224138
2018-09-30,113.0,115.9,112.6,113.5,231300
2018-10-01,113.6,117.7,110.8,112.1,1107030
2018-10-02,112.3,114.7,111.5,111.9,576268
2018-10-03,112.5,113.4,111.3,111.6,379858
2018-10-04,112.0,119.0,111.1,118.0,1135448
2018-10-07,119.0,122.0,116.9,121.2,1022394
2018-10-08,121.2,122.5,115.5,116.2,653499
2018-10-09,116.2,117.4,113.7,114.3,509233
2018-10-10,114.3,116.7,112.8,113.0,342353
2018-10-11,114.9,114.9,112.2,112.6,324079
2018-10-14,112.6,113.9,111.4,111.7,382766
2018-10-15,112.9,114.4,111.5,111.9,339357
2018-10-16,112.9,113.9,111.7,112.0,218488
2018-10-17,112.9,112.9,109.6,109.9,346100
2018-10-18,109.9,110.3,105.3,106.1,471238
2018-10-21,105.8,107.8,101.0,102.1,235094
2018-10-22,103.6,103.6,97.0,99.0,237956
2018-10-23,99.4,101.0,96.3,97.5,284339
2018-10-24,99.0,102.3,97.5,98.0,474289
2018-10-25,99.0,99.7,96.1,97.2,248830
2018-10-28,97.9,98.0,91.3,92.0,337873
2018-10-29,92.0,97.4,89.9,95.9,458907
2018-10-30,97.0,99.7,96.0,96.8,375371
2018-10-31,96.8,97.4,94.5,95.2,399434
2018-11-01,95.0,98.4,94.6,95.0,254845
2018-11-04,95.5,104.5,95.4,104.5,685558
2018-11-05,106.5,109.6,102.9,103.6,777042
2018-11-06,103.0,103.6,98.5,99.6,439309
2018-11-07,100.0,104.0,100.0,102.5,393313
2018-11-08,102.5,104.4,100.1,100.8,416080
2018-11-11,102.0,102.8,98.0,98.6,305210
2018-11-12,100.0,100.0,95.2,95.5,254739
2018-11-13,95.5,96.9,95.2,95.7,210694
2018-11-14,96.9,98.9,92.1,95.1,324192
2018-11-15,98.0,101.0,97.3,98.6,393308
2018-11-18,103.0,103.8,98.8,102.1,494825
2018-11-19,102.5,103.8,99.4,99.9,294914
2018-11-20,99.9,100.0,98.0,99.2,334050
2018-11-25,97.1,97.9,94.6,94.9,226008
2018-11-26,95.0,97.0,94.5,95.3,137015
2018-11-27,95.8,96.1,94.0,94.1,185309
