Date,Open,High,Low,Close,Volume
2021-07-15,31.9,31.9,31.9,31.9,27033
2021-07-18,35.0,35.0,35.0,35.0,4410
2021-07-19,38.5,38.5,38.5,38.5,7032
2021-07-25,42.3,42.3,42.3,42.3,123531
2021-07-26,46.5,46.5,45.6,46.5,16202625
2021-07-27,50.0,50.0,43.2,43.9,11234707
2021-07-28,43.5,44.6,42.2,43.3,4844959
2021-07-29,43.9,45.8,42.9,44.7,3559976
2021-08-02,45.3,45.4,43.7,44.0,3923578
2021-08-03,44.0,44.7,43.6,43.8,3738120
2021-08-05,44.0,44.4,43.5,43.6,3433613
2021-08-09,43.8,45.4,43.1,45.0,4556839
2021-08-10,45.4,45.9,44.2,44.4,3035561
2021-08-11,44.4,44.8,43.7,44.1,2246390
2021-08-12,44.2,44.4,43.6,43.7,2625379
2021-08-16,43.9,44.9,43.7,44.2,3075488
2021-08-17,44.4,44.6,43.8,43.9,1852555
2021-08-18,44.0,45.5,43.7,44.5,4166453
2021-08-19,44.5,45.0,44.3,44.4,1618777
2021-08-22,44.7,45.4,44.5,44.7,3045851
2021-08-23,44.9,47.7,44.9,47.0,6916771
2021-08-24,47.4,47.7,46.2,46.3,3061115
2021-08-25,46.4,46.6,44.9,45.2,3378443
2021-08-26,45.5,45.5,44.7,44.8,1946486
2021-08-29,44.8,46.3,44.7,45.2,1897030
2021-08-31,45.6,46.0,45.0,45.1,2067062
2021-09-01,45.5,46.5,45.1,46.3,2596865
2021-09-02,46.8,47.7,46.5,46.9,4649119
2021-09-05,47.2,47.4,46.7,47.3,3865895
2021-09-06,47.9,52.0,47.8,51.4,10928700
2021-09-07,52.5,54.3,50.2,50.6,6914209
2021-09-08,50.4,50.5,49.4,49.6,4371444
2021-09-09,49.9,50.0,48.4,48.5,3495585
2021-09-12,48.6,49.7,47.0,47.1,3099161
2021-09-13,47.1,47.7,46.7,47.1,1598163
2021-09-14,47.2,47.9,46.3,46.5,1916349
2021-09-15,46.7,47.2,46.0,46.2,1633450
2021-09-16,46.7,47.6,46.6,47.1,2151139
2021-09-19,47.6,47.6,46.1,46.2,1560693
2021-09-20,46.4,46.5,45.8,46.0,1407821
2021-09-21,46.1,46.6,45.8,45.9,1263815
2021-09-22,46.1,46.6,45.5,45.7,1295299
2021-09-23,46.0,46.1,45.5,45.8,752191
2021-09-26,46.0,46.7,45.7,46.0,1688586
2021-09-27,46.3,48.0,46.2,47.8,3726136
2021-09-28,48.3,50.8,48.3,50.0,6634842
2021-09-29,50.0,50.5,47.9,48.1,3341358
2021-09-30,48.2,52.0,48.2,51.4,7639105
2021-10-03,51.8,53.5,51.5,53.0,7354265
2021-10-04,53.0,54.9,49.0,50.6,8304925
2021-10-05,50.9,51.7,49.6,51.2,6070744
2021-10-06,51.9,55.0,51.9,54.0,8378672
2021-10-07,54.9,54.9,51.5,51.7,7023626
2021-10-10,52.0,52.5,50.0,50.6,3838638
2021-10-11,50.5,51.6,49.5,49.9,2465458
2021-10-12,50.0,50.5,47.8,48.1,3002085
2021-10-13,48.7,48.7,47.2,47.4,2460387
2021-10-14,47.5,48.4,47.1,48.1,1527097
2021-10-17,48.2,48.7,46.1,46.2,1636713
2021-10-18,46.4,47.1,44.9,45.3,1606862
2021-10-19,46.0,46.7,44.3,44.6,1351242
2021-10-21,45.8,45.8,44.5,45.4,1360903
2021-10-24,45.8,45.8,42.0,43.2,1076468
2021-10-25,43.3,43.7,40.8,41.5,1968186
2021-10-26,41.6,44.2,41.6,43.7,1372721
2021-10-27,43.7,44.0,42.2,42.5,1246162
2021-10-28,43.0,44.0,41.9,43.8,997313
2021-10-31,44.9,46.4,43.9,44.1,2196942
2021-11-01,44.4,44.5,43.2,43.7,1054161
2021-11-02,44.2,44.2,42.4,42.8,916259
2021-11-03,43.2,43.3,41.6,41.8,1127762
2021-11-04,42.5,42.5,41.3,41.5,1072442
2021-11-07,41.6,42.1,40.7,40.9,786403
2021-11-08,40.8,41.1,39.4,39.6,1149979
2021-11-09,39.9,40.4,39.5,40.1,1506195
2021-11-10,40.6,41.3,40.2,41.0,1494206
2021-11-11,41.4,42.5,40.9,41.7,1704929
2021-11-14,41.8,41.8,40.0,40.4,925897
2021-11-15,40.5,40.8,39.5,39.6,996185
2021-11-16,40.4,40.8,40.0,40.2,960502
2021-11-17,40.3,40.6,39.2,39.4,986148
2021-11-18,39.5,40.2,38.9,39.2,1216456
2021-11-21,39.5,39.5,38.1,38.4,1241613
2021-11-22,38.4,39.1,38.2,38.6,457136
2021-11-23,38.8,39.2,38.2,38.3,1444689
2021-11-25,37.3,37.3,36.5,36.6,1034925
2021-11-28,36.5,36.9,36.1,36.3,518211
2021-11-29,36.4,37.1,36.4,36.9,388579
2021-11-30,37.0,37.3,36.5,36.6,418605
2021-12-01,37.1,37.9,37.0,37.5,556342
2021-12-02,37.2,39.0,36.6,38.6,1258882
2021-12-05,38.9,39.1,38.0,38.3,761421
2021-12-06,38.1,38.8,38.0,38.4,709887
2021-12-07,38.8,39.4,38.6,39.2,907297
2021-12-08,39.0,39.5,38.1,38.3,1162672
2021-12-09,38.8,38.9,38.4,38.6,381895
2021-12-12,39.0,39.4,38.6,38.7,811771
2021-12-13,38.9,39.0,38.5,38.7,325582
2021-12-14,38.8,39.0,37.4,37.6,682247
2021-12-15,37.4,37.7,36.7,36.9,659819
2021-12-19,36.8,37.0,36.0,36.1,559858
2021-12-20,36.0,36.5,35.3,35.4,447858
2021-12-21,35.4,36.9,35.3,35.4,482990
2021-12-22,35.2,35.7,35.0,35.2,352410
2021-12-23,35.5,35.5,34.4,34.5,582616
2021-12-26,34.8,34.8,33.4,33.6,786008
2021-12-27,33.6,34.4,33.5,33.6,554761
2021-12-28,33.6,34.8,33.6,34.5,1024639
2021-12-29,34.5,35.5,34.5,34.6,690746
2021-12-30,34.6,34.8,34.1,34.2,604996
2022-01-02,34.3,35.6,34.2,35.2,689035
2022-01-03,35.5,36.6,35.2,35.8,968753
2022-01-04,35.5,36.2,35.4,35.6,492948
2022-01-05,36.0,37.3,36.0,36.6,1104469
2022-01-06,37.1,38.6,36.6,38.3,1655818
2022-01-09,38.5,39.0,37.0,37.2,1225063
2022-01-10,37.2,38.3,36.6,38.0,987940
2022-01-11,38.5,39.4,38.3,38.5,2098438
2022-01-12,38.9,39.4,37.1,37.4,1344634
2022-01-13,37.3,37.7,36.9,37.3,736876
2022-01-16,37.2,37.6,36.7,36.8,846257
2022-01-17,37.3,37.5,36.7,37.0,691020
2022-01-18,37.5,37.5,36.7,36.8,648836
2022-01-19,37.0,37.4,36.8,36.9,533095
2022-01-20,36.9,37.4,36.6,36.7,535599
2022-01-23,37.0,37.2,36.2,36.3,432595
2022-01-24,36.7,36.8,35.6,35.7,414754
2022-01-25,36.0,36.2,35.2,35.5,392479
2022-01-26,35.5,36.0,35.5,35.6,310696
2022-01-27,35.5,35.9,35.4,35.5,329678
2022-01-30,35.6,35.6,35.0,35.0,555047
2022-01-31,35.0,35.0,34.0,34.3,672420
2022-02-01,34.8,35.0,34.3,34.8,446390
2022-02-02,34.9,36.0,34.9,35.4,721842
2022-02-03,35.5,35.7,35.3,35.5,318216
2022-02-06,35.4,35.5,35.0,35.1,495442
2022-02-07,35.1,35.3,34.6,34.6,789624
2022-02-08,34.7,35.9,34.5,35.5,696278
2022-02-09,35.7,36.1,35.1,35.4,400973
2022-02-10,35.2,35.5,35.2,35.3,326349
2022-02-13,35.7,35.7,35.1,35.2,379482
2022-02-14,35.2,35.4,34.8,34.8,508363
2022-02-15,34.9,34.9,34.4,34.5,383721
2022-02-16,34.5,34.9,34.4,34.5,253843
2022-02-17,34.5,34.8,34.0,34.0,407120
2022-02-20,34.0,34.0,33.6,33.7,258754
