Date,Open,High,Low,Close,Volume
2012-10-01,31.8,35.0,31.8,34.5,352500
2012-10-02,34.5,37.3,34.5,35.9,652000
2012-10-03,36.4,37.0,35.0,35.1,543500
2012-10-04,35.0,35.9,35.0,35.5,339000
2012-10-07,36.0,36.5,34.2,34.6,357500
2012-10-08,34.1,35.6,34.0,34.4,431500
2012-10-09,36.5,36.9,34.8,35.5,565000
2012-10-10,36.0,36.3,34.7,35.1,560500
2012-10-11,35.5,35.5,34.2,34.5,332500
2012-10-14,34.0,34.3,33.8,34.0,191000
2012-10-15,33.8,34.2,33.7,33.9,251500
2012-10-16,34.3,34.9,33.9,34.1,132500
2012-10-17,34.1,34.2,33.4,33.6,61500
2012-10-18,33.5,34.2,33.5,34.0,178000
2012-10-21,34.0,34.9,33.7,33.9,138000
2012-10-22,34.1,34.6,34.0,34.2,93500
2012-10-23,34.9,34.9,34.3,34.5,186000
2012-10-30,34.8,34.9,33.6,33.9,97000
2012-10-31,34.0,34.2,33.8,33.8,206500
2012-11-01,33.9,34.6,33.9,34.2,212000
2012-11-04,34.7,34.7,33.8,33.8,90500
2012-11-05,33.7,33.9,33.3,33.5,88000
2012-11-06,34.0,34.1,33.4,33.9,211000
2012-11-07,33.2,33.7,33.1,33.1,100000
2012-11-08,33.1,33.6,33.1,33.3,115000
2012-11-11,33.1,33.7,33.1,33.5,214500
2012-11-12,33.2,33.9,33.2,33.5,260500
2012-11-13,33.4,34.0,33.4,33.7,156000
2012-11-14,34.0,34.4,33.3,33.5,119500
2012-11-15,33.8,34.4,33.5,34.0,192500
2012-11-18,34.0,34.3,33.6,33.7,44500
2012-11-19,32.7,33.8,32.7,33.0,119000
2012-11-20,32.9,33.6,32.9,33.4,185000
2012-11-21,33.0,33.7,31.9,32.1,113000
2012-11-22,32.7,32.7,32.3,32.3,28500
2012-11-26,31.0,33.0,31.0,32.0,43000
2012-11-27,31.8,32.2,31.7,31.8,86000
2012-11-28,32.2,32.6,31.2,31.3,72500
2012-11-29,32.3,34.4,32.3,33.8,144500
2012-12-02,33.8,34.1,33.6,33.7,196500
2012-12-03,33.8,35.0,33.6,33.8,179500
2012-12-04,33.5,33.7,33.2,33.3,67500
2012-12-05,33.3,33.4,33.0,33.1,52500
2012-12-06,33.1,33.1,32.4,32.8,21000
2012-12-09,32.1,32.9,31.7,32.2,33000
2012-12-10,31.9,33.7,31.7,32.9,67000
2012-12-11,32.2,34.0,32.2,33.5,103000
2012-12-12,34.0,34.2,33.5,33.5,254000
2012-12-13,33.9,34.2,33.9,34.0,103000
2012-12-17,34.1,34.9,34.1,34.4,193000
2012-12-18,34.4,34.5,34.0,34.0,218500
2012-12-19,34.1,34.6,34.1,34.4,204500
2012-12-20,34.4,34.7,34.0,34.3,203500
2012-12-23,34.3,34.4,33.9,34.2,229500
2012-12-24,34.2,35.0,34.1,34.1,198500
2012-12-26,34.4,34.6,34.1,34.1,69500
2012-12-27,34.2,34.6,34.1,34.5,116000
2012-12-30,34.5,35.0,34.1,34.8,343500
2013-01-01,35.5,35.5,34.7,34.8,138000
2013-01-02,34.4,34.5,34.0,34.0,154000
2013-01-03,34.0,35.0,33.8,34.8,191500
2013-01-06,34.5,35.0,34.2,34.9,74000
2013-01-07,35.2,35.2,34.0,34.1,192000
2013-01-08,34.0,34.8,34.0,34.4,60000
2013-01-09,34.3,35.9,34.0,34.9,222500
2013-01-10,34.9,35.0,34.5,34.7,98000
2013-01-13,34.8,35.5,34.8,35.0,245500
2013-01-14,34.6,35.2,34.5,35.0,136000
2013-01-15,34.8,35.7,34.8,35.6,466000
2013-01-16,35.6,36.2,35.6,36.0,503500
2013-01-17,36.2,36.5,36.2,36.2,366500
2013-01-20,36.0,36.2,35.0,35.2,170500
2013-01-21,35.2,35.7,35.0,35.2,181000
2013-01-22,35.7,36.2,35.7,36.0,308500
2013-01-23,35.9,36.1,35.1,35.3,176500
2013-01-24,35.5,35.7,35.2,35.5,112000
2013-01-27,35.7,36.3,35.7,35.8,420500
2013-01-28,35.5,36.2,35.5,36.0,113500
2013-01-29,36.0,36.3,35.5,35.9,255000
2013-01-30,36.2,36.3,35.5,35.6,350000
2013-01-31,35.5,35.7,35.4,35.6,152500
2013-02-03,35.6,36.1,35.5,35.6,259500
2013-02-04,35.3,35.9,35.3,35.8,202500
2013-02-05,35.5,36.0,35.5,35.9,63000
2013-02-06,35.7,36.0,35.6,35.9,176000
2013-02-07,35.5,35.8,35.5,35.5,126500
2013-02-10,35.3,36.0,35.2,35.8,113000
2013-02-11,35.9,36.2,35.8,35.9,266500
2013-02-12,36.0,36.3,35.8,36.0,359500
2013-02-13,35.7,36.0,35.7,35.9,89500
2013-02-14,36.0,37.9,35.9,36.7,340500
2013-02-17,36.3,36.7,36.2,36.4,89000
2013-02-18,36.4,36.5,35.7,35.9,190500
2013-02-19,35.6,36.1,35.6,35.8,285000
2013-02-20,35.4,35.8,35.3,35.5,148500
2013-02-24,35.2,35.7,35.0,35.5,248500
2013-02-25,35.4,35.7,35.1,35.3,289500
2013-02-26,35.3,35.3,34.9,35.1,117000
2013-02-27,33.9,35.8,33.9,34.1,137500
2013-02-28,34.1,34.5,34.0,34.3,43500
2013-03-03,33.9,33.9,32.4,33.3,231500
2013-03-04,33.0,34.4,33.0,34.1,84500
2013-03-05,35.8,35.8,34.2,34.5,143500
2013-03-06,34.5,35.3,34.2,34.6,203500
2013-03-07,34.3,35.0,34.2,34.7,75500
2013-03-10,34.7,35.5,34.7,35.0,614000
2013-03-11,34.4,35.3,34.4,35.1,204000
2013-03-12,34.9,36.1,34.9,35.9,540000
2013-03-13,35.5,36.5,35.5,35.9,350500
2013-03-14,36.2,36.2,35.9,36.0,359500
2013-03-18,36.0,36.3,35.8,36.1,176500
2013-03-19,36.0,36.2,35.3,35.4,186500
2013-03-20,35.4,35.5,35.0,35.4,195500
2013-03-24,35.2,35.5,34.9,34.9,307000
2013-03-25,34.9,35.1,34.0,34.4,353500
2013-03-27,32.5,32.5,30.2,31.7,186000
