Date,Open,High,Low,Close,Volume
2012-10-01,292.0,300.0,285.0,296.5,12675
2012-10-02,300.25,308.0,300.0,301.0,13385
2012-10-03,300.0,305.0,296.0,297.25,16110
2012-10-04,293.5,304.5,292.0,295.25,14145
2012-10-07,286.0,302.0,286.0,288.25,10130
2012-10-08,285.0,294.75,280.0,282.0,12750
2012-10-09,297.0,297.0,285.25,292.5,10055
2012-10-10,300.0,300.0,285.0,286.5,8225
2012-10-11,282.25,289.0,282.0,283.25,7195
2012-10-14,281.0,286.0,276.0,277.25,11910
2012-10-15,285.0,285.0,277.25,278.0,7560
2012-10-16,282.0,282.0,276.0,278.25,5825
2012-10-17,285.0,285.0,273.5,274.75,7365
2012-10-18,272.5,278.0,272.5,275.75,4050
2012-10-21,276.25,278.0,270.0,271.25,5470
2012-10-22,271.5,273.0,270.0,271.0,6205
2012-10-23,271.0,278.0,271.0,273.5,6430
2012-10-30,260.25,279.75,260.25,271.25,3670
2012-10-31,270.25,272.0,268.0,268.5,4450
2012-11-01,262.5,275.0,262.5,267.5,3595
2012-11-04,267.5,272.0,263.25,264.0,5985
2012-11-05,262.5,268.0,262.0,262.75,5340
2012-11-06,263.5,264.0,260.0,261.0,5925
2012-11-07,261.0,262.0,255.25,256.0,8040
2012-11-08,255.0,278.25,255.0,278.25,13130
2012-11-11,299.0,302.5,282.0,292.75,47445
2012-11-12,292.5,297.0,278.0,282.5,12540
2012-11-13,276.75,288.0,276.75,284.0,7505
2012-11-14,290.0,290.0,278.75,280.75,6120
2012-11-15,280.25,285.75,280.25,284.25,7630
2012-11-18,284.0,286.25,279.75,280.25,6430
2012-11-19,278.0,279.0,271.5,272.0,6865
2012-11-20,268.75,274.5,265.75,266.25,5975
2012-11-21,274.0,274.0,263.75,265.5,4370
2012-11-22,270.0,270.0,262.0,262.75,8185
2012-11-26,262.75,268.5,259.25,260.25,4300
2012-11-27,259.25,262.0,257.0,259.0,4540
2012-11-28,263.0,263.0,255.25,257.75,4855
2012-11-29,260.0,272.5,260.0,271.0,6345
2012-12-02,280.0,285.0,265.0,268.5,7240
2012-12-03,270.0,270.0,264.0,265.0,4000
2012-12-04,266.5,282.0,264.0,274.5,11475
2012-12-05,276.0,280.0,272.0,273.75,8155
2012-12-06,268.0,273.0,268.0,269.5,3645
2012-12-09,270.0,270.0,264.25,265.25,4375
2012-12-10,259.0,263.75,259.0,262.75,4545
2012-12-11,269.75,270.0,260.0,262.75,6165
2012-12-12,261.0,271.0,261.0,267.75,8195
2012-12-13,265.0,270.0,264.25,265.75,8585
2012-12-17,269.0,269.75,264.0,267.5,8830
2012-12-18,264.0,268.0,263.0,263.5,6575
2012-12-19,264.0,267.0,264.0,265.25,8595
2012-12-20,265.0,269.0,265.0,267.5,4695
2012-12-23,266.0,269.5,263.25,264.75,4900
2012-12-24,265.0,267.0,263.5,265.0,5555
2012-12-26,267.5,283.25,265.25,278.75,26530
2012-12-27,280.0,286.0,275.25,276.25,12615
2012-12-30,275.5,275.75,273.0,273.5,7120
2013-01-01,273.25,278.5,273.25,274.25,7700
2013-01-02,274.0,274.0,269.75,271.5,4170
2013-01-03,272.0,273.5,270.0,272.25,5015
2013-01-06,272.0,274.25,271.25,272.0,4995
2013-01-07,273.75,273.75,269.0,270.0,4825
2013-01-08,270.25,273.0,270.25,271.75,4770
2013-01-09,273.75,277.0,271.75,272.25,8750
2013-01-10,272.5,283.0,272.5,278.0,20565
2013-01-13,280.0,282.0,275.75,276.75,6315
2013-01-14,280.0,280.0,274.25,275.5,4800
2013-01-15,274.25,277.75,274.0,274.75,4585
2013-01-16,272.75,275.0,272.75,273.0,6500
2013-01-17,272.75,276.75,272.75,274.5,4325
2013-01-20,275.25,275.25,272.25,272.75,4650
2013-01-21,272.0,272.25,270.0,270.25,5905
2013-01-22,275.0,275.0,270.0,272.0,4300
2013-01-23,271.0,273.25,271.0,272.0,3845
2013-01-24,271.0,276.25,270.75,274.25,9070
2013-01-27,273.5,276.0,271.75,271.75,12765
2013-01-28,272.25,274.0,270.75,271.25,5695
2013-01-29,272.75,275.5,271.75,272.25,11555
2013-01-30,272.5,275.0,271.5,272.0,7585
2013-01-31,270.25,272.5,270.25,271.25,7240
2013-02-03,272.0,274.5,270.0,270.5,13050
2013-02-04,270.0,273.0,270.0,270.0,9535
2013-02-05,275.0,275.0,268.25,269.25,12340
2013-02-06,270.0,272.0,265.75,269.25,7695
2013-02-07,271.0,272.0,268.25,269.25,7995
2013-02-10,275.0,292.75,275.0,292.75,56485
2013-02-11,305.0,314.75,298.25,300.25,47265
