Date,Open,High,Low,Close,Volume
2012-10-01,147.0,159.1,141.6,158.9,1682300
2012-10-02,161.8,161.8,149.2,149.9,2383700
2012-10-03,153.0,154.0,143.3,144.2,1290200
2012-10-04,149.0,149.7,135.0,137.9,977200
2012-10-07,142.0,149.0,138.1,142.1,1159700
2012-10-08,145.5,156.0,144.2,154.8,1595600
2012-10-09,158.0,170.0,158.0,168.9,2354200
2012-10-10,172.9,174.0,162.9,165.1,1973900
2012-10-11,167.0,173.9,163.5,172.0,2058200
2012-10-14,176.0,176.0,164.3,165.6,2195300
2012-10-15,166.0,167.7,158.2,160.4,1561400
2012-10-16,162.0,163.9,156.5,157.7,1058000
2012-10-17,159.8,159.9,155.3,155.9,730300
2012-10-18,159.0,159.4,154.3,155.0,520500
2012-10-21,158.0,158.0,147.5,150.2,721900
2012-10-22,151.9,159.8,147.5,158.5,630700
2012-10-23,161.0,161.9,155.0,156.5,687800
2012-10-30,155.1,156.5,152.5,152.9,321700
2012-10-31,152.0,154.5,151.3,151.8,459200
2012-11-01,152.0,155.0,152.0,152.2,369000
2012-11-04,151.2,154.5,145.1,146.1,490200
2012-11-05,147.8,152.9,144.4,151.5,721900
2012-11-06,152.5,156.0,149.6,150.8,577700
2012-11-07,152.9,152.9,146.1,146.9,384400
2012-11-08,147.0,148.5,144.5,144.8,596400
2012-11-11,146.7,146.8,136.6,137.7,628900
2012-11-12,139.0,142.0,136.0,138.8,375700
2012-11-13,139.1,144.7,136.6,143.3,429200
2012-11-14,145.0,145.7,141.0,142.2,490500
2012-11-15,141.5,145.4,141.4,144.1,412400
2012-11-18,144.6,146.0,138.0,140.2,338700
2012-11-19,138.3,140.0,134.0,134.7,419400
2012-11-20,135.0,135.7,126.1,128.7,430100
2012-11-21,130.0,132.3,125.0,125.6,609100
2012-11-22,128.0,128.9,124.2,124.7,460400
2012-11-26,124.9,128.0,121.6,124.4,963500
2012-11-27,125.0,126.5,122.9,123.3,419100
2012-11-28,123.5,127.0,123.5,124.1,484500
2012-11-29,128.0,136.5,128.0,136.5,1110300
2012-12-02,141.9,146.7,138.4,139.7,1001900
2012-12-03,139.5,141.4,133.0,134.6,495400
2012-12-04,132.3,139.0,132.2,137.8,499100
2012-12-05,139.0,141.9,135.0,140.5,799700
2012-12-06,140.4,147.4,137.0,144.9,1517200
2012-12-09,143.0,143.0,137.3,138.7,480600
2012-12-10,137.8,141.3,136.3,138.8,492500
2012-12-11,138.0,139.9,136.6,138.1,383500
2012-12-12,139.0,142.4,135.1,136.7,391800
2012-12-13,136.5,138.4,135.5,136.4,321900
2012-12-17,138.6,139.5,135.5,136.7,341700
2012-12-18,135.2,137.9,132.8,133.3,453300
2012-12-19,134.8,135.3,130.6,131.0,478600
2012-12-20,132.6,133.4,129.8,130.1,281400
2012-12-23,129.3,131.0,127.5,127.8,255700
2012-12-24,130.8,132.8,127.1,131.8,412400
2012-12-26,133.4,136.2,132.2,135.0,498000
2012-12-27,135.9,135.9,132.9,134.8,535900
2012-12-30,134.0,134.7,132.3,132.9,407900
2013-01-01,133.9,134.8,130.6,131.2,266900
2013-01-02,131.5,132.0,129.8,129.9,265500
2013-01-03,130.1,131.7,129.0,129.8,265300
2013-01-06,130.5,131.0,129.2,129.3,171900
2013-01-07,129.5,129.5,127.5,127.7,166500
2013-01-08,127.3,129.0,127.2,127.4,174100
2013-01-09,129.9,130.0,125.6,126.0,265200
2013-01-10,127.3,129.0,126.0,127.2,161700
2013-01-13,128.5,128.5,125.5,126.2,137400
2013-01-14,127.7,127.7,125.3,125.8,134900
2013-01-15,126.8,126.8,125.2,125.7,154900
2013-01-16,125.7,126.3,124.3,124.5,245400
2013-01-17,127.0,128.0,125.9,126.7,344900
2013-01-20,127.4,127.4,126.1,126.1,158500
2013-01-21,126.0,126.3,125.0,125.1,138300
2013-01-22,125.2,126.1,125.0,125.9,130700
2013-01-23,127.7,129.6,126.5,128.3,391000
2013-01-24,129.0,133.3,129.0,132.4,669300
2013-01-27,133.2,134.0,130.0,130.1,349700
2013-01-28,131.0,132.0,129.7,130.4,369300
2013-01-29,131.5,132.9,130.0,130.4,470000
2013-01-30,131.1,133.4,130.0,130.4,533200
2013-01-31,130.0,132.1,128.9,129.7,425800
2013-02-03,128.5,131.7,128.5,129.4,333300
2013-02-04,128.8,130.5,128.3,129.3,471800
2013-02-05,128.9,130.8,128.3,129.9,395700
2013-02-06,131.0,131.8,130.0,130.2,289400
2013-02-07,130.2,130.4,127.8,128.1,364400
2013-02-10,129.5,132.1,128.6,131.5,518200
2013-02-11,132.2,135.0,131.9,133.7,710800
2013-02-12,134.9,135.4,130.9,131.2,546000
2013-02-13,132.9,133.6,130.5,130.8,474800
2013-02-14,132.0,133.6,131.0,132.6,646700
2013-02-17,133.6,140.5,133.2,139.4,1502600
2013-02-18,140.0,144.5,137.4,138.8,1043500
2013-02-19,139.0,140.8,135.7,136.2,530500
2013-02-20,136.5,138.0,132.6,133.1,537300
2013-02-24,131.0,133.5,128.2,129.9,576900
2013-02-25,132.4,132.4,126.1,127.4,489000
2013-02-26,129.1,132.8,126.3,130.3,643700
2013-02-27,131.2,131.4,123.1,124.6,474200
2013-02-28,125.0,127.5,124.5,126.8,201800
2013-03-03,124.0,124.5,118.1,119.7,368500
2013-03-04,122.0,123.2,121.0,121.6,249200
2013-03-05,123.0,123.0,118.0,118.8,239700
2013-03-06,120.3,120.9,114.1,114.6,425300
2013-03-07,114.5,114.5,111.4,112.7,196900
2013-03-10,115.0,116.6,113.7,114.3,183500
2013-03-11,114.5,115.3,111.6,114.6,242700
2013-03-12,112.3,117.9,112.2,117.3,356700
2013-03-13,118.5,126.7,117.9,124.1,533700
2013-03-14,124.2,125.8,122.3,123.5,268100
2013-03-18,124.0,124.0,121.2,123.3,144600
2013-03-19,124.7,129.4,124.0,126.6,495800
2013-03-20,126.0,128.4,123.7,124.3,218100
2013-03-24,125.0,125.0,119.6,120.5,310200
2013-03-25,119.5,122.0,118.1,119.7,262700
2013-03-27,117.3,119.4,115.6,116.5,209200
2013-03-28,118.7,119.4,116.5,118.3,143700
2013-03-31,116.8,120.6,116.8,118.9,363400
2013-04-01,119.5,119.5,116.0,116.1,239600
2013-04-02,117.9,118.0,114.9,116.8,132500
