Date,Open,High,Low,Close,Volume
2012-10-01,83.2,87.8,83.1,86.7,667500
2012-10-02,87.0,89.5,87.0,87.5,634500
2012-10-03,88.5,88.5,85.0,85.2,575500
2012-10-04,86.0,88.0,84.4,84.6,372000
2012-10-07,85.9,85.9,81.4,82.1,335500
2012-10-08,80.2,83.5,80.0,80.8,306000
2012-10-09,83.4,85.0,81.6,82.8,606500
2012-10-10,83.5,83.9,80.4,81.0,372500
2012-10-11,81.2,82.2,79.3,79.7,360000
2012-10-14,81.8,85.5,80.5,83.3,597000
2012-10-15,84.0,85.1,82.4,82.7,320000
2012-10-16,82.9,83.0,81.2,82.4,461000
2012-10-17,82.1,83.0,80.3,80.5,366000
2012-10-18,81.0,81.0,79.8,80.2,235500
2012-10-21,81.6,81.6,78.5,79.7,201000
2012-10-22,80.0,80.8,78.9,80.0,184500
2012-10-23,81.9,81.9,80.0,80.6,275500
2012-10-30,79.0,79.0,75.7,76.1,446000
2012-10-31,75.2,75.5,74.2,74.3,356000
2012-11-01,75.0,75.8,74.4,74.6,151500
2012-11-04,75.0,75.0,72.5,72.9,165500
2012-11-05,73.2,74.0,72.1,72.7,143500
2012-11-06,74.4,74.4,72.0,72.3,137500
2012-11-07,72.4,72.6,71.2,71.4,57500
2012-11-08,72.0,72.1,70.1,70.7,199000
2012-11-11,70.7,70.8,67.6,67.9,111000
2012-11-12,68.9,69.0,66.3,66.6,111000
2012-11-13,66.5,69.9,65.7,68.1,155000
2012-11-14,67.7,70.3,67.7,68.9,163500
2012-11-15,69.8,70.7,68.3,69.3,195000
2012-11-18,69.3,69.6,66.0,66.9,192500
2012-11-19,65.5,66.9,65.5,65.9,176000
2012-11-20,65.4,66.7,64.0,64.5,190500
2012-11-21,66.7,66.7,64.0,64.3,130000
2012-11-22,66.0,66.0,64.9,65.5,100500
2012-11-26,66.0,66.0,63.0,63.3,94500
2012-11-27,62.2,63.1,61.5,62.3,86000
2012-11-28,62.5,64.1,61.5,62.2,157500
2012-11-29,63.8,68.3,63.6,67.9,338500
2012-12-02,70.9,71.5,66.9,67.1,284000
2012-12-03,66.5,67.4,65.3,66.5,100500
2012-12-04,65.3,66.9,64.8,65.9,157500
2012-12-05,66.4,67.5,65.5,66.3,171000
2012-12-06,64.9,66.9,62.4,63.6,252000
2012-12-09,64.1,64.2,61.5,62.0,103000
2012-12-10,61.7,62.8,61.0,61.7,283000
2012-12-11,61.2,63.0,61.0,62.3,141500
2012-12-12,62.9,63.3,61.5,61.6,123000
2012-12-13,62.2,63.1,62.0,62.7,71000
2012-12-17,63.8,64.9,63.4,64.2,134500
2012-12-18,63.9,63.9,62.7,62.9,77500
2012-12-19,63.7,64.4,62.7,63.8,111000
2012-12-20,65.0,65.5,63.7,64.1,309000
2012-12-23,64.2,64.7,63.7,64.1,157000
2012-12-24,64.0,65.0,64.0,64.4,95500
2012-12-26,64.9,65.0,64.1,64.5,150500
2012-12-27,65.0,66.1,64.6,65.8,180500
2012-12-30,66.5,69.7,66.5,67.9,414500
2013-01-01,69.0,69.0,66.2,66.4,111500
2013-01-02,66.2,66.2,64.6,64.8,119500
2013-01-03,65.0,65.5,64.6,65.1,176500
2013-01-06,65.2,65.9,65.0,65.3,90500
2013-01-07,65.2,65.5,64.2,64.2,86500
2013-01-08,64.5,65.2,64.0,64.4,76500
2013-01-09,67.5,67.7,64.8,65.6,133000
2013-01-10,65.6,66.2,64.9,65.9,104000
2013-01-13,65.7,66.0,65.4,65.6,43000
2013-01-14,65.5,65.7,64.9,65.1,52000
2013-01-15,65.3,65.6,64.9,65.4,97000
2013-01-16,65.8,66.2,65.5,66.0,120000
2013-01-17,66.4,67.9,66.0,67.2,234000
2013-01-20,67.5,69.3,67.4,67.7,436000
2013-01-21,67.2,67.8,66.6,66.8,99000
2013-01-22,67.0,68.2,66.7,68.0,179000
2013-01-23,68.0,68.8,67.1,67.6,178500
2013-01-24,67.7,68.0,67.0,67.3,269500
2013-01-27,69.5,69.5,67.2,67.4,165500
2013-01-28,68.9,69.5,67.9,69.0,424500
2013-01-29,70.7,70.7,69.1,69.7,348500
2013-01-30,69.8,70.0,67.6,67.9,280500
2013-01-31,67.6,69.4,67.5,68.3,366000
2013-02-03,68.5,68.8,67.7,67.9,275500
2013-02-04,70.0,70.3,68.7,69.8,562000
2013-02-05,69.1,70.2,68.7,69.4,288000
2013-02-06,69.4,70.8,69.1,70.2,376000
2013-02-07,71.4,71.7,70.0,70.4,288000
2013-02-10,71.5,71.7,70.9,71.2,347000
2013-02-11,71.4,73.5,71.4,71.9,362000
2013-02-12,72.4,72.4,70.3,70.5,254000
2013-02-13,70.8,71.0,69.5,69.8,383500
2013-02-14,70.0,70.9,69.9,70.6,489000
2013-02-17,71.9,71.9,70.5,70.9,328500
2013-02-18,71.9,71.9,69.5,70.1,268000
2013-02-19,71.1,71.1,67.2,67.7,259500
2013-02-20,69.0,69.0,66.5,67.0,214000
2013-02-24,66.3,67.2,65.1,65.3,171500
2013-02-25,66.0,67.0,64.8,64.9,162500
2013-02-26,66.9,66.9,64.1,65.5,145000
