Date,Open,High,Low,Close,Volume
2012-10-01,57.1,59.3,56.1,58.1,399900
2012-10-02,58.9,61.0,57.9,60.2,692550
2012-10-03,61.6,62.5,58.2,58.8,687450
2012-10-04,59.2,61.0,58.0,58.4,481200
2012-10-07,59.2,59.2,57.1,57.5,526000
2012-10-08,58.5,58.8,56.3,56.8,369750
2012-10-09,55.7,58.7,55.7,57.0,389250
2012-10-10,57.5,58.3,55.4,55.5,313050
2012-10-11,55.5,56.0,54.7,54.8,549250
2012-10-14,55.5,56.0,53.0,53.5,397650
2012-10-15,52.2,56.0,52.2,55.0,798500
2012-10-16,55.5,57.1,55.1,56.0,292250
2012-10-17,56.7,57.0,55.3,55.4,638700
2012-10-18,55.0,56.0,54.8,55.2,228050
2012-10-21,55.3,55.8,54.8,54.9,140350
2012-10-22,55.3,56.3,54.6,55.8,135950
2012-10-23,56.2,57.0,55.6,55.9,174850
2012-10-30,55.0,55.9,55.0,55.5,124250
2012-10-31,57.0,58.0,56.0,56.9,392100
2012-11-01,56.9,57.0,55.5,55.6,171850
2012-11-04,56.5,56.5,55.1,55.3,135300
2012-11-05,55.4,55.6,54.5,54.8,204650
2012-11-06,55.0,55.4,53.7,53.8,199750
2012-11-07,55.0,55.0,53.1,53.3,245200
2012-11-08,54.4,54.4,52.5,52.9,194250
2012-11-11,51.7,52.9,51.3,51.7,196900
2012-11-12,51.9,52.9,51.1,51.3,113750
2012-11-13,51.6,52.9,50.9,52.7,194350
2012-11-14,53.8,53.8,51.5,52.7,214500
2012-11-15,52.5,53.7,52.5,53.1,163250
2012-11-18,53.0,53.5,52.4,52.7,122400
2012-11-19,52.9,52.9,50.9,51.2,203000
2012-11-20,51.7,53.0,50.8,51.3,341650
2012-11-21,52.0,52.0,50.5,50.7,98100
2012-11-22,52.5,52.5,50.4,50.5,146550
2012-11-26,50.6,50.6,49.2,49.3,141500
2012-11-27,49.5,50.0,48.9,49.2,105800
2012-11-28,51.0,51.0,48.7,49.2,80700
2012-11-29,51.0,52.4,49.7,51.8,316600
2012-12-02,52.5,52.8,51.5,51.9,489200
2012-12-03,50.5,51.6,50.1,50.2,148700
2012-12-04,50.5,51.2,49.6,50.3,259000
2012-12-05,50.7,50.9,49.9,50.1,181200
2012-12-06,50.2,50.5,49.6,50.2,418650
2012-12-09,49.7,50.5,49.5,49.7,294300
2012-12-10,50.0,50.0,49.2,49.3,269450
2012-12-11,49.1,51.4,49.1,50.4,329400
2012-12-12,51.0,51.1,50.1,50.3,184750
