Date,Open,High,Low,Close,Volume
2012-10-01,32.0,34.2,30.8,32.8,1044800
2012-10-02,34.4,35.0,32.7,32.9,1294400
2012-10-03,32.7,34.9,32.7,32.9,1248600
2012-10-04,33.7,33.9,31.6,31.9,837400
2012-10-07,32.3,32.7,29.5,29.9,914600
2012-10-08,30.9,31.6,29.0,30.1,669600
2012-10-09,31.0,32.6,30.9,32.4,710800
2012-10-10,32.5,32.8,30.5,30.7,656200
2012-10-11,31.0,31.2,30.0,30.2,654000
2012-10-14,32.0,32.0,29.0,29.3,650000
2012-10-15,29.3,31.2,29.3,30.6,567200
2012-10-16,31.4,31.6,29.6,29.9,608600
2012-10-17,30.4,30.8,29.1,29.3,533400
2012-10-18,30.2,30.2,29.1,29.2,408400
2012-10-21,30.0,30.0,27.9,28.3,391400
2012-10-22,28.4,29.1,27.9,28.7,344800
2012-10-23,29.5,29.9,28.7,28.9,416200
2012-10-30,29.5,29.5,28.1,28.3,269800
2012-10-31,28.5,28.8,27.8,27.9,239400
2012-11-01,26.0,26.7,25.7,26.1,1129400
2012-11-04,26.4,26.5,25.5,25.6,449400
2012-11-05,25.5,25.9,25.0,25.3,389000
2012-11-06,25.3,26.0,25.1,25.2,288800
2012-11-07,25.5,25.7,25.1,25.2,295200
2012-11-08,25.1,25.6,24.5,24.7,269000
2012-11-11,24.6,24.7,23.2,23.5,301600
2012-11-12,23.5,24.4,23.1,23.3,206000
2012-11-13,23.6,24.8,23.3,24.5,448600
2012-11-14,24.4,24.8,23.7,24.0,233000
2012-11-15,24.2,24.4,23.7,24.2,235800
2012-11-18,24.3,25.4,24.0,24.3,462600
2012-11-19,24.1,24.3,23.1,23.2,458400
2012-11-20,23.5,23.6,22.7,22.9,315200
2012-11-21,23.2,23.6,22.7,23.0,246600
2012-11-22,23.2,24.1,23.2,23.6,312000
2012-11-26,23.5,23.5,22.6,22.6,221600
2012-11-27,22.6,22.9,22.1,22.2,261800
2012-11-28,22.6,22.8,21.8,22.0,320400
2012-11-29,23.2,24.2,22.6,24.1,468600
2012-12-02,24.5,24.8,23.1,23.3,524000
2012-12-03,23.5,23.5,22.4,22.5,395400
2012-12-04,22.4,22.9,22.3,22.6,236200
2012-12-05,22.8,23.0,22.4,22.8,317200
2012-12-06,22.5,22.9,22.1,22.2,411400
2012-12-09,22.2,22.4,21.5,21.7,247600
2012-12-10,21.8,21.9,20.4,20.7,426600
2012-12-11,20.5,21.3,20.5,21.1,241000
2012-12-12,21.5,21.7,20.8,20.9,258800
2012-12-13,21.0,21.4,20.7,21.2,281200
2012-12-17,21.6,22.1,21.4,22.0,295800
2012-12-18,22.0,22.6,22.0,22.4,716000
2012-12-19,22.4,24.6,22.4,24.5,1774800
2012-12-20,25.2,25.8,24.3,25.1,846000
2012-12-23,24.9,25.6,24.0,24.3,656200
2012-12-24,24.3,24.3,23.3,23.4,521200
2012-12-26,23.9,24.8,23.5,24.5,577200
2012-12-27,24.8,25.3,24.4,24.6,788600
2012-12-30,24.7,24.9,24.2,24.3,423200
2013-01-01,24.4,24.4,23.4,23.5,359600
2013-01-02,23.7,23.7,22.9,23.0,290000
2013-01-03,23.1,24.1,22.8,23.7,460000
2013-01-06,24.2,24.5,23.8,23.8,425400
2013-01-07,23.8,23.9,23.4,23.5,253800
2013-01-08,23.6,24.2,23.5,23.7,386600
2013-01-09,24.2,24.5,23.8,23.9,472600
2013-01-10,24.2,24.2,23.7,23.7,242800
2013-01-13,24.0,24.0,23.5,23.5,274000
2013-01-14,23.6,23.7,23.5,23.5,159800
2013-01-15,23.5,23.6,23.2,23.3,241800
2013-01-16,23.5,23.5,23.2,23.4,212800
2013-01-17,23.5,24.2,23.4,24.0,481000
2013-01-20,24.4,24.4,23.6,23.7,321400
2013-01-21,23.6,23.8,23.5,23.5,191800
2013-01-22,23.7,24.0,23.6,23.7,232400
2013-01-23,23.9,24.2,23.6,23.6,435200
2013-01-24,23.9,24.2,23.8,23.9,508800
2013-01-27,24.3,24.3,23.6,23.6,359000
2013-01-28,23.7,23.9,23.6,23.7,348600
2013-01-29,24.0,24.8,24.0,24.3,696800
2013-01-30,24.8,24.9,24.0,24.0,529800
2013-01-31,23.9,24.8,23.9,24.5,1063000
2013-02-03,24.2,26.2,24.2,26.0,1471600
2013-02-04,26.2,26.2,25.3,25.4,497600
2013-02-05,24.8,26.0,24.8,25.8,883200
2013-02-06,25.9,26.3,25.8,25.9,847800
2013-02-07,25.5,26.1,25.5,25.6,542200
2013-02-10,25.9,26.8,25.9,26.6,810200
2013-02-11,27.0,27.0,26.1,26.2,823000
2013-02-12,26.5,26.5,25.5,25.6,1186600
2013-02-13,26.0,26.3,25.5,26.0,730600
2013-02-14,26.5,27.8,26.2,27.5,1397000
2013-02-17,27.6,28.1,26.8,26.9,1173000
2013-02-18,27.1,27.3,26.7,26.8,721600
2013-02-19,27.0,28.2,26.8,27.0,1355400
2013-02-20,27.6,27.6,26.1,26.4,697000
2013-02-24,26.4,26.6,25.1,25.2,462800
2013-02-25,25.5,25.8,24.1,24.4,510600
2013-02-26,25.0,26.2,24.7,26.0,328200
2013-02-27,25.8,26.5,24.9,25.1,534800
2013-02-28,24.8,25.5,24.4,25.2,307400
2013-03-03,24.5,24.5,23.3,23.5,286800
2013-03-04,24.4,25.0,23.8,24.7,228600
2013-03-05,24.9,25.0,24.0,24.4,369000
2013-03-06,24.4,24.8,24.0,24.0,305000
2013-03-07,24.0,24.5,23.8,23.9,231800
2013-03-10,23.6,24.5,23.3,23.5,298800
2013-03-11,24.0,24.0,23.2,23.5,288800
2013-03-12,23.4,24.0,23.1,23.8,153000
2013-03-13,24.0,24.8,23.9,24.3,360000
2013-03-14,24.4,24.4,23.9,24.0,278600
2013-03-18,24.0,24.3,23.8,24.1,143000
2013-03-19,24.2,24.4,24.1,24.1,170000
2013-03-20,24.4,24.4,23.4,23.5,230200
2013-03-24,23.5,23.5,22.3,22.4,316200
2013-03-25,22.9,23.0,21.5,21.8,253800
2013-03-27,22.0,22.0,20.6,21.1,233200
2013-03-28,21.3,22.0,21.3,21.8,195200
2013-03-31,22.3,22.3,21.0,21.1,222200
2013-04-01,20.8,20.8,19.8,20.0,214800
2013-04-02,20.7,20.7,20.0,20.3,257800
2013-04-03,19.6,21.1,19.6,20.3,237400
2013-04-04,20.1,20.4,19.8,19.9,274400
2013-04-07,20.5,20.5,19.9,20.0,190400
2013-04-08,20.0,20.6,19.9,20.3,204400
2013-04-09,20.5,21.9,20.5,21.7,533400
2013-04-10,21.9,22.5,21.3,21.4,409200
2013-04-11,21.5,21.7,21.1,21.5,247000
2013-04-15,22.0,23.0,21.7,22.7,504600
2013-04-16,22.8,22.8,21.6,21.7,302400
2013-04-17,22.4,22.4,21.3,21.6,181200
2013-04-18,22.0,22.0,21.4,21.5,264400
2013-04-21,21.6,21.9,21.0,21.0,223400
2013-04-22,21.0,21.6,20.9,21.0,140000
2013-04-23,21.5,21.5,21.0,21.1,121200
2013-04-24,21.4,21.6,21.0,21.2,138200
2013-04-25,21.7,21.7,21.2,21.2,156600
2013-04-28,21.0,21.0,20.1,20.2,217000
2013-04-29,20.2,20.3,19.4,19.5,263400
2013-04-30,19.6,19.6,18.8,19.2,224600
2013-05-02,18.7,19.6,18.5,19.3,299400
2013-05-05,19.3,19.4,18.9,18.9,219800
2013-05-06,18.8,19.1,18.4,18.6,162800
2013-05-07,19.0,19.2,18.9,19.0,268800
2013-05-08,19.2,19.6,18.9,19.0,205200
2013-05-09,19.6,19.6,18.8,19.2,147600
2013-05-12,19.1,20.5,19.1,20.4,474200
2013-05-13,20.5,21.3,20.1,21.0,579200
2013-05-14,21.5,22.2,21.2,22.0,642400
2013-05-15,21.8,22.6,21.2,21.4,616600
2013-05-16,21.0,21.7,20.7,21.4,1038200
2013-05-19,21.5,22.5,21.5,22.3,1318000
2013-05-21,21.5,21.5,19.5,19.7,1188000
2013-05-22,19.8,20.2,19.0,19.1,424800
2013-05-26,19.4,19.6,18.6,18.7,177600
2013-05-27,19.2,19.3,19.0,19.1,268400
2013-05-28,19.4,19.6,18.9,18.9,271800
2013-05-29,19.2,19.8,19.2,19.6,296000
2013-05-30,20.0,20.2,19.6,19.6,433800
2013-06-02,20.0,20.2,19.8,20.1,468000
2013-06-03,20.4,20.6,20.0,20.2,562600
2013-06-04,20.2,20.4,19.8,19.9,724000
2013-06-05,19.9,21.5,19.8,21.1,1249000
2013-06-06,21.4,21.7,20.6,20.8,785400
2013-06-09,20.0,20.5,19.6,19.7,447200
2013-06-10,20.0,20.6,19.9,20.4,489000
2013-06-11,20.6,21.0,20.1,20.1,529800
2013-06-12,20.4,20.7,20.0,20.1,441200
2013-06-13,20.3,20.5,19.9,20.0,608200
2013-06-16,20.2,20.7,20.2,20.6,581000
2013-06-17,20.9,21.4,20.3,20.4,769600
2013-06-18,20.7,20.8,20.0,20.0,652000
2013-06-19,20.3,20.7,19.9,20.0,872400
2013-06-20,20.1,20.5,19.7,19.8,635800
2013-06-23,19.8,20.0,18.6,18.9,502200
2013-06-24,19.4,19.5,18.5,18.6,330600
2013-06-26,19.2,19.3,18.8,18.8,212800
2013-06-27,18.7,19.0,18.1,18.2,335400
2013-06-30,18.0,18.2,17.6,17.7,308600
2013-07-02,18.0,19.2,18.0,18.8,312800
2013-07-03,19.1,19.8,19.0,19.6,529200
2013-07-04,19.6,20.0,19.5,19.7,468400
2013-07-07,20.1,20.4,19.4,19.6,599200
2013-07-08,19.6,19.9,19.0,19.1,736000
2013-07-09,19.2,19.4,18.4,18.5,737200
2013-07-10,19.6,19.6,18.3,18.5,473200
2013-07-11,18.6,18.7,18.0,18.1,290000
2013-07-14,18.2,18.4,17.8,17.8,227600
2013-07-15,18.0,18.2,17.2,17.6,309400
2013-07-16,18.0,18.2,17.3,17.4,346000
2013-07-17,17.6,17.7,17.0,17.1,391200
2013-07-18,17.2,17.9,17.2,17.3,354400
2013-07-21,17.8,17.8,17.0,17.1,290400
2013-07-22,17.1,17.3,16.5,16.6,404600
2013-07-23,16.8,17.0,16.1,16.2,226000
2013-07-24,16.3,16.9,16.0,16.5,222600
2013-07-25,16.7,16.8,16.0,16.1,183800
2013-07-28,16.4,16.4,15.9,15.9,118600
2013-07-29,16.0,16.5,16.0,16.1,152200
2013-07-30,16.4,16.5,16.0,16.0,104400
2013-07-31,15.0,15.3,14.5,14.7,548400
2013-08-01,14.4,14.5,14.0,14.1,267200
2013-08-04,14.5,14.5,13.7,13.8,175800
2013-08-05,13.7,14.9,13.7,14.6,278000
2013-08-12,14.4,14.7,14.2,14.5,119600
2013-08-13,14.3,14.7,14.2,14.4,159400
2013-08-14,14.6,14.7,14.3,14.4,109400
2013-08-18,14.6,14.7,14.4,14.4,144000
2013-08-19,14.6,15.0,14.4,14.8,214000
2013-08-20,14.8,15.5,14.8,15.0,305000
2013-08-21,15.0,15.2,14.7,14.8,146000
2013-08-22,15.0,15.6,14.9,15.2,252800
2013-08-25,15.5,15.6,14.8,14.9,308000
2013-08-26,14.9,15.2,14.7,14.7,175400
2013-08-27,14.7,15.2,14.5,14.6,306000
2013-08-29,14.7,14.8,14.5,14.5,170000
2013-09-01,14.8,15.0,14.7,14.7,167400
2013-09-02,14.3,15.0,14.3,14.6,73000
2013-09-03,15.0,15.0,14.5,14.7,194000
2013-09-04,14.7,15.1,14.7,14.9,382800
2013-09-05,15.0,16.3,15.0,16.2,1550000
2013-09-08,16.5,16.7,15.7,15.8,287600
2013-09-09,15.4,15.9,15.4,15.5,289000
2013-09-10,15.7,15.9,15.2,15.3,487400
2013-09-11,15.2,15.6,15.0,15.1,339600
2013-09-12,15.1,15.4,14.9,14.9,248000
2013-09-15,15.1,16.2,15.1,16.1,641400
2013-09-16,16.1,16.4,15.8,15.8,339000
2013-09-17,16.2,17.3,15.9,17.3,1355600
2013-09-18,17.0,19.0,17.0,17.8,2018000
2013-09-19,17.6,18.5,17.1,18.0,604400
2013-09-22,18.7,18.8,17.5,17.6,700400
2013-09-23,17.6,18.0,17.3,17.4,558400
2013-09-24,16.8,17.7,16.8,17.0,402000
2013-09-25,16.9,17.3,16.5,16.6,277400
2013-09-26,16.8,16.8,16.3,16.5,267200
2013-09-29,16.6,17.1,16.0,16.1,299000
2013-09-30,16.4,16.4,15.5,15.6,230600
2013-10-01,15.7,16.2,15.5,15.6,184400
2013-10-02,15.8,16.5,15.6,16.2,415600
2013-10-03,16.9,16.9,16.0,16.1,217000
2013-10-06,16.0,16.0,15.5,15.5,184000
2013-10-07,15.5,15.8,15.2,15.3,211800
2013-10-08,15.4,15.6,15.2,15.2,135200
2013-10-09,15.3,15.9,15.1,15.5,148400
2013-10-10,15.7,15.8,15.4,15.4,135600
2013-10-20,15.5,15.5,14.8,14.9,99600
2013-10-21,14.6,15.4,14.5,15.0,156600
2013-10-22,15.0,15.5,15.0,15.1,126400
2013-10-23,15.5,16.1,15.2,15.3,186600
2013-10-24,15.0,15.5,14.9,15.0,102600
2013-10-27,15.2,15.3,14.9,15.1,155200
2013-10-28,15.5,16.4,15.5,15.7,347800
2013-10-29,15.8,17.0,15.0,16.8,737600
2013-10-30,16.8,18.0,16.3,16.4,545400
2013-10-31,16.0,16.9,15.0,15.1,864000
2013-11-03,15.7,15.7,15.0,15.2,229400
2013-11-04,15.6,15.7,15.2,15.4,325400
2013-11-05,15.6,16.1,15.4,15.5,303800
2013-11-06,15.8,16.4,15.7,15.7,447000
2013-11-07,16.0,16.0,15.5,15.6,533800
2013-11-10,16.0,16.1,15.4,15.6,492200
2013-11-11,15.5,15.7,15.4,15.4,423400
2013-11-12,15.8,16.5,15.7,16.0,484200
2013-11-13,16.0,16.4,15.9,16.0,326200
2013-11-14,16.3,16.3,15.7,15.7,288400
2013-11-17,15.9,16.1,15.7,15.9,210200
2013-11-18,16.0,16.8,15.8,16.6,653800
2013-11-19,16.9,17.9,16.5,17.5,1472800
2013-11-20,17.4,18.8,17.4,18.2,1104000
2013-11-21,18.4,18.4,17.2,17.9,775400
2013-11-24,18.0,19.0,17.2,17.3,735400
2013-11-25,17.3,17.9,17.3,17.6,608800
2013-11-26,17.5,18.8,17.2,17.9,1911400
2013-11-27,18.0,18.3,17.6,17.6,558400
2013-11-28,17.8,18.0,17.0,17.2,439800
2013-12-01,17.2,17.2,16.3,16.3,440400
2013-12-02,16.5,17.0,16.3,16.5,195600
2013-12-03,16.6,17.1,16.6,16.9,312800
2013-12-04,17.4,17.5,16.6,16.6,359200
2013-12-05,16.8,16.9,16.5,16.5,204800
2013-12-08,16.8,17.1,16.7,16.9,297200
2013-12-09,16.9,17.2,16.8,16.8,445800
2013-12-10,17.0,17.5,16.8,17.2,539200
2013-12-11,17.3,18.4,17.2,17.6,989800
2013-12-12,18.1,18.2,17.4,17.6,604800
2013-12-15,17.9,18.1,17.5,17.6,322200
2013-12-17,18.0,18.0,17.6,17.8,612000
2013-12-18,17.9,18.0,17.3,17.3,449400
2013-12-19,17.5,17.7,17.3,17.5,358800
2013-12-22,17.6,18.0,17.4,17.4,466000
2013-12-23,17.7,17.8,17.4,17.4,359600
2013-12-24,17.4,17.5,17.1,17.1,137000
2013-12-26,17.1,17.2,16.7,16.8,199000
2013-12-29,16.8,17.0,16.5,16.5,204200
2013-12-30,16.9,16.9,16.7,16.7,162000
2014-01-01,17.0,17.0,16.7,16.7,106400
2014-01-02,16.9,17.3,16.7,17.2,347200
2014-01-06,17.4,17.9,17.1,17.2,296600
2014-01-07,17.4,17.4,17.1,17.2,164200
2014-01-08,17.5,18.0,17.3,17.9,532400
2014-01-09,18.1,18.2,17.7,17.7,403400
2014-01-12,18.1,18.1,17.6,17.7,482200
2014-01-13,17.7,17.8,17.4,17.5,286000
2014-01-15,17.5,17.7,17.4,17.4,279400
2014-01-16,17.5,17.6,17.4,17.4,260000
2014-01-19,17.5,17.6,17.4,17.4,268200
2014-01-20,17.5,17.6,17.3,17.4,359000
2014-01-21,17.6,17.8,17.3,17.6,296600
2014-01-22,17.8,17.9,17.6,17.7,352600
2014-01-23,17.7,17.9,17.5,17.6,281400
2014-01-26,17.7,17.9,17.6,17.6,353600
2014-01-27,17.7,17.7,17.5,17.5,367200
2014-01-28,17.7,17.8,17.5,17.5,258600
2014-01-29,17.5,17.8,17.5,17.5,216400
2014-01-30,17.7,18.1,17.6,17.9,808400
2014-02-02,18.2,18.4,18.0,18.1,576600
2014-02-03,18.2,18.3,18.0,18.0,476000
2014-02-04,18.1,18.2,17.9,17.9,477200
2014-02-05,18.0,18.0,17.6,17.6,210000
2014-02-06,17.5,17.9,17.5,17.6,253400
2014-02-09,17.7,17.8,17.5,17.5,241800
2014-02-10,17.5,17.5,17.3,17.3,431600
2014-02-11,17.3,17.3,17.1,17.1,166600
2014-02-12,17.2,17.3,17.0,17.0,142600
2014-02-13,17.0,17.2,16.9,16.9,237400
2014-02-16,16.9,17.3,16.8,16.8,155600
2014-02-17,16.8,17.0,16.6,16.6,114000
2014-02-18,16.9,16.9,16.4,16.5,141800
2014-02-19,16.7,16.9,16.6,16.7,180800
2014-02-20,16.9,17.1,16.8,16.8,166000
2014-02-23,17.1,17.1,16.7,16.7,146200
2014-02-24,16.7,16.9,16.6,16.6,192600
2014-02-25,16.7,16.8,16.5,16.5,182400
2014-02-26,16.5,16.8,16.4,16.4,98200
2014-02-27,16.5,16.6,16.2,16.3,124000
2014-03-02,16.4,16.5,15.9,16.0,152400
2014-03-03,16.3,16.3,15.7,15.8,154400
2014-03-04,15.7,16.3,15.7,16.1,149000
2014-03-05,16.1,16.3,15.9,15.9,227200
2014-03-06,16.1,16.1,15.8,15.9,77600
2014-03-09,16.1,16.1,15.7,15.8,104800
2014-03-10,16.0,17.3,16.0,16.8,984800
2014-03-11,17.0,17.4,16.6,16.7,206000
2014-03-12,17.0,17.0,16.5,16.6,132200
2014-03-13,16.4,16.6,16.0,16.1,203800
2014-03-16,16.1,16.1,15.7,15.9,177000
2014-03-18,16.0,16.1,15.8,15.8,118600
2014-03-19,15.9,15.9,15.6,15.7,160600
2014-03-20,16.0,16.1,15.7,15.8,96600
2014-03-23,15.7,16.2,15.7,15.8,70600
2014-03-24,15.9,15.9,15.7,15.7,116000
2014-03-25,15.8,15.9,15.7,15.7,90800
2014-03-27,15.7,15.8,15.6,15.6,82200
2014-03-30,15.8,15.8,15.4,15.4,158600
2014-03-31,15.5,15.5,15.3,15.3,88600
2014-04-01,15.6,15.6,15.1,15.2,104200
2014-04-02,15.2,16.1,15.2,15.9,122000
2014-04-03,15.8,16.0,15.4,15.5,130800
2014-04-06,15.5,15.7,15.3,15.3,100800
2014-04-07,15.4,15.4,15.0,15.0,149800
2014-04-08,15.0,15.2,14.8,14.8,118400
2014-04-09,14.8,15.1,14.8,14.9,96400
2014-04-10,14.9,15.0,14.8,14.8,108400
2014-04-13,14.9,14.9,14.7,14.7,36800
2014-04-15,14.7,14.9,14.4,14.5,88000
2014-04-16,14.6,14.7,14.1,14.2,129600
2014-04-17,14.2,14.5,14.1,14.3,99200
2014-04-20,14.3,15.1,14.3,14.9,76400
2014-04-21,15.0,15.2,14.6,14.7,99800
2014-04-22,14.6,14.8,14.5,14.6,117200
2014-04-23,14.2,14.9,14.2,14.5,78600
2014-04-24,14.7,14.8,14.4,14.5,108800
2014-04-27,14.9,15.0,14.5,14.8,176400
2014-04-28,14.9,14.9,14.5,14.6,122200
2014-04-29,14.5,14.6,13.3,13.5,358800
2014-04-30,10.1,10.2,9.0,9.6,998800
2014-05-04,9.3,10.0,9.2,9.4,190200
2014-05-05,9.3,9.3,9.0,9.2,154800
2014-05-06,9.3,9.5,9.2,9.4,197600
2014-05-07,9.6,9.8,9.4,9.6,199800
2014-05-08,9.6,9.8,9.5,9.6,125400
2014-05-11,9.7,9.7,9.6,9.6,110000
2014-05-12,9.6,9.7,9.3,9.4,165200
2014-05-14,9.6,10.3,9.6,10.0,541200
2014-05-15,10.0,10.2,9.7,9.9,166600
2014-05-19,9.5,10.0,9.5,9.9,80800
2014-05-20,9.8,9.9,9.6,9.7,41600
2014-05-21,9.7,9.8,9.7,9.7,44800
2014-05-22,9.9,10.2,9.8,9.8,93800
2014-05-25,9.7,9.9,9.7,9.8,24400
2014-05-26,10.1,10.1,9.8,9.8,57400
2014-05-27,9.8,9.9,9.7,9.7,44800
2014-05-28,9.6,9.7,9.4,9.6,71200
2014-05-29,9.7,9.7,9.6,9.6,22000
2014-06-01,9.9,9.9,9.4,9.5,16000
2014-06-02,9.6,9.6,9.4,9.4,26000
2014-06-03,9.5,9.5,9.2,9.2,56600
2014-06-04,9.2,9.2,8.8,8.9,61600
2014-06-05,8.9,9.0,8.7,8.7,174000
2014-06-08,8.6,8.9,8.6,8.6,46600
2014-06-09,9.2,9.2,8.9,9.1,71000
2014-06-10,9.4,9.5,9.1,9.3,97400
2014-06-11,9.7,9.8,9.4,9.5,57600
2014-06-12,9.8,10.3,9.3,10.0,290200
2014-06-15,10.0,10.8,10.0,10.1,403400
2014-06-16,9.8,10.1,9.4,9.4,151400
2014-06-17,9.4,9.8,9.0,9.6,140400
2014-06-18,9.5,9.9,9.4,9.8,115200
2014-06-19,9.8,10.0,9.6,9.7,64600
2014-06-22,9.6,9.8,9.6,9.6,45800
2014-06-23,10.0,10.4,9.9,10.2,442000
2014-06-24,10.3,11.0,10.3,10.8,449200
2014-06-25,11.0,11.2,10.7,10.9,231400
2014-06-26,9.9,11.2,9.9,11.0,198600
2014-06-29,10.1,11.7,10.1,11.6,206200
2014-06-30,11.5,11.7,10.9,11.1,153000
2014-07-02,11.0,11.8,10.8,11.5,170400
2014-07-03,11.6,11.8,11.1,11.2,73200
2014-07-06,11.0,11.2,10.8,10.8,41600
2014-07-07,10.8,10.8,10.5,10.5,40400
2014-07-08,10.4,10.7,10.4,10.4,50600
2014-07-09,10.4,10.7,10.4,10.4,31400
2014-07-10,10.4,10.4,10.2,10.2,43800
2014-07-13,10.3,10.6,10.2,10.5,55800
2014-07-14,10.6,10.8,10.3,10.5,144600
2014-07-15,10.5,10.5,10.3,10.4,88600
2014-07-16,10.5,10.8,10.5,10.5,100200
2014-07-17,10.5,10.5,10.1,10.2,85800
2014-07-20,10.2,10.7,10.2,10.3,54200
2014-07-21,10.8,11.2,10.4,10.8,165200
2014-07-22,10.8,11.4,10.6,10.8,108400
2014-07-23,10.7,10.9,10.5,10.5,115600
2014-07-24,11.1,11.2,10.8,10.8,176400
2014-08-03,10.7,10.8,10.5,10.5,118200
2014-08-04,10.8,10.8,10.3,10.4,145200
2014-08-05,10.9,11.1,10.5,10.5,47000
2014-08-06,10.9,10.9,10.4,10.4,54200
2014-08-07,10.4,10.5,10.2,10.2,48000
2014-08-10,10.4,10.5,10.2,10.2,61800
2014-08-11,10.3,10.3,10.1,10.1,136000
2014-08-12,10.3,10.3,10.1,10.1,64000
2014-08-13,10.2,10.2,10.1,10.1,33400
2014-08-14,10.1,10.3,10.0,10.1,143800
