Date,Open,High,Low,Close,Volume
2012-10-01,38.0,40.4,38.0,39.9,108000
2012-10-02,41.0,43.8,40.8,42.8,379200
2012-10-03,42.5,44.7,42.0,42.4,423600
2012-10-04,43.0,43.7,41.7,42.0,183400
2012-10-07,42.0,42.0,40.0,40.3,121200
2012-10-08,40.0,41.3,39.0,40.9,190800
2012-10-09,41.2,41.9,40.2,40.8,95200
2012-10-10,41.0,42.8,39.7,39.9,69000
2012-10-11,41.1,41.2,39.0,39.8,183200
2012-10-14,40.0,41.5,38.0,38.1,150800
2012-10-15,38.4,39.6,38.2,38.6,41200
2012-10-16,40.0,41.2,39.7,40.2,65400
2012-10-17,41.4,41.8,39.5,39.9,70600
2012-10-18,39.8,40.0,38.2,39.4,55200
2012-10-21,38.8,40.0,38.0,38.1,29200
2012-10-22,37.1,39.4,37.1,38.5,41200
2012-10-23,39.0,39.5,38.0,38.8,34600
2012-10-30,38.7,39.0,38.0,38.4,13000
2012-10-31,39.3,39.3,38.0,38.2,61000
2012-11-01,39.0,39.5,38.0,38.1,26600
2012-11-04,38.5,38.7,37.0,37.1,39000
2012-11-05,37.1,37.3,36.9,37.1,35400
2012-11-06,37.0,38.6,36.8,36.9,17800
2012-11-07,37.6,37.9,35.1,35.7,76800
2012-11-08,36.9,36.9,35.2,35.3,43600
2012-11-11,35.0,35.8,34.1,35.3,88000
2012-11-12,35.2,35.7,34.6,35.0,43200
2012-11-13,34.3,36.0,34.3,35.5,40200
2012-11-14,35.8,36.1,35.5,35.6,109200
2012-11-15,36.2,36.4,35.8,35.9,28800
2012-11-18,36.4,36.6,35.6,36.2,45400
2012-11-19,35.3,36.2,35.3,35.7,34000
2012-11-20,34.3,35.5,34.1,34.7,14200
2012-11-21,35.0,35.0,34.2,34.5,8200
2012-11-22,34.8,35.6,34.8,35.0,24000
2012-11-26,33.2,34.2,33.2,33.7,21400
2012-11-27,33.9,34.3,33.1,33.8,15200
2012-11-28,33.3,33.4,33.0,33.2,3400
2012-11-29,33.2,35.7,33.2,35.2,70800
2012-12-02,34.5,35.4,34.1,35.1,55800
2012-12-03,34.2,34.3,33.8,34.1,11200
2012-12-04,33.6,35.0,33.6,34.2,5400
2012-12-05,34.0,34.1,33.0,33.3,7200
2012-12-06,32.9,34.0,32.9,33.6,9800
2012-12-09,32.4,33.9,32.4,33.7,21400
2012-12-10,33.0,33.4,32.9,33.0,6000
2012-12-11,33.0,33.6,33.0,33.2,3800
2012-12-12,33.5,33.7,32.5,33.0,8200
2012-12-13,33.1,33.6,33.1,33.1,9000
2012-12-17,33.9,34.8,33.8,34.2,6000
2012-12-18,34.5,34.5,33.5,33.9,7600
2012-12-19,34.1,34.1,33.4,33.8,2800
2012-12-20,34.6,34.8,34.0,34.6,11600
2012-12-23,33.9,34.2,33.3,33.5,2200
2012-12-24,33.6,33.7,33.5,33.5,7400
2012-12-26,33.2,34.4,33.2,33.8,4800
2012-12-27,34.2,34.5,33.8,34.1,22200
2012-12-30,34.5,34.7,34.2,34.3,8000
2013-01-01,34.6,34.7,33.4,34.0,8800
2013-01-02,34.0,34.0,33.3,33.6,400
2013-01-03,33.7,33.9,33.7,33.7,5000
2013-01-06,34.0,34.0,33.4,33.4,3000
2013-01-07,33.3,33.3,33.3,33.3,10800
2013-01-08,31.6,33.2,31.6,32.8,1800
2013-01-09,32.9,33.0,32.9,32.9,800
2013-01-10,33.4,33.4,33.0,33.1,4600
2013-01-13,34.3,34.3,32.6,32.9,4200
2013-01-14,32.7,33.7,32.7,33.3,13600
2013-01-15,32.8,33.4,32.5,33.4,42000
2013-01-16,33.3,33.9,33.0,33.5,11600
2013-01-17,33.8,34.2,33.4,33.9,33400
2013-01-20,34.1,34.5,33.8,34.1,28200
2013-01-21,33.5,35.0,33.4,34.5,16600
2013-01-22,34.4,34.7,34.0,34.3,1800
2013-01-23,34.5,35.0,34.2,34.6,25800
2013-01-24,35.0,35.0,34.5,34.7,8000
2013-01-27,34.6,34.6,34.0,34.2,7200
2013-01-28,33.9,34.8,33.8,33.9,7200
2013-01-29,35.0,35.6,34.5,34.7,50400
2013-01-30,35.8,35.8,34.5,34.7,21800
2013-01-31,34.8,35.6,34.6,35.4,18000
2013-02-03,35.8,37.2,35.8,36.8,70600
2013-02-04,37.3,37.3,35.5,35.7,13200
2013-02-05,35.0,36.0,35.0,35.6,10600
2013-02-06,36.8,36.8,35.5,35.6,33200
2013-02-07,35.7,36.0,35.3,35.7,23200
2013-02-10,36.2,36.8,35.8,36.1,28400
2013-02-11,36.4,36.9,36.4,36.6,44600
2013-02-12,37.0,37.3,36.0,36.3,37400
2013-02-13,36.6,38.0,35.6,37.6,96800
2013-02-14,38.4,38.4,37.6,38.0,67600
2013-02-17,39.0,39.0,37.5,37.8,54000
2013-02-18,37.8,38.0,36.8,37.0,31600
2013-02-19,37.0,37.1,35.5,36.1,43400
2013-02-20,37.0,37.0,35.4,35.8,43000
2013-02-24,35.8,35.8,34.6,35.0,11400
2013-02-25,35.1,35.5,34.3,34.8,72000
2013-02-26,35.0,35.8,34.9,35.5,18400
2013-02-27,36.1,36.1,33.6,33.7,12000
2013-02-28,34.0,34.0,33.1,33.4,11600
2013-03-03,31.2,32.6,30.5,30.8,36600
2013-03-04,32.9,33.0,31.8,32.7,15800
2013-03-05,32.8,33.8,32.1,32.8,28400
2013-03-06,31.5,33.0,31.5,32.6,51800
2013-03-07,33.7,33.7,32.5,32.8,22200
2013-03-10,32.1,32.8,31.6,32.3,16600
2013-03-11,31.2,32.5,31.0,32.4,17800
2013-03-12,32.0,32.6,32.0,32.4,34600
2013-03-13,32.9,34.2,32.4,32.8,44400
2013-03-14,32.8,33.0,32.6,32.8,48200
2013-03-18,33.0,33.1,32.6,32.6,3400
2013-03-19,32.6,32.8,32.4,32.6,24200
2013-03-20,33.0,33.3,32.1,32.6,2200
2013-03-24,32.8,32.9,31.5,31.6,10800
2013-03-25,31.0,31.0,30.7,30.8,21600
2013-03-27,30.1,30.4,30.1,30.1,13000
2013-03-28,30.1,31.3,29.5,30.3,17600
2013-03-31,29.3,30.4,29.3,30.3,11200
2013-04-01,29.1,30.5,29.0,30.3,90000
2013-04-02,30.5,30.5,30.4,30.4,3400
2013-04-03,31.0,31.0,30.5,30.5,44800
2013-04-04,30.0,31.2,30.0,30.6,19000
2013-04-07,30.6,30.7,29.4,29.6,20400
2013-04-08,29.9,29.9,29.0,29.0,57800
2013-04-09,29.9,30.3,29.9,30.1,15000
2013-04-10,31.0,31.0,30.0,30.4,5400
2013-04-11,30.5,30.9,30.0,30.5,32000
2013-04-15,30.9,33.2,30.7,31.9,41800
2013-04-16,33.0,33.0,30.7,31.3,15000
2013-04-17,30.8,31.5,30.3,31.1,30600
2013-04-18,30.5,30.5,29.1,29.6,29600
2013-04-21,29.7,30.1,28.5,29.0,8600
2013-04-22,29.3,30.5,28.4,28.7,28200
2013-04-23,28.7,29.7,28.6,28.9,85600
2013-04-24,29.8,29.8,28.8,29.0,41200
2013-04-25,29.0,29.2,28.4,28.9,12400
2013-04-28,29.1,29.1,28.3,28.6,13000
2013-04-29,29.0,29.7,29.0,29.4,43600
2013-05-02,25.0,26.0,24.5,25.8,44200
2013-05-05,25.1,25.6,25.0,25.2,13200
2013-05-06,24.5,25.6,24.4,24.5,4000
2013-05-07,25.5,25.5,24.7,24.9,5400
2013-05-08,25.5,26.0,24.5,24.8,9800
2013-05-09,26.8,26.8,24.2,24.7,27200
2013-05-12,26.6,26.6,25.0,26.3,39600
2013-05-13,27.6,27.6,26.1,26.9,69000
2013-05-14,27.4,29.5,27.2,29.4,155400
2013-05-15,30.0,30.6,29.4,29.9,129600
2013-05-16,30.6,32.8,30.4,32.5,182800
2013-05-19,32.0,33.4,32.0,32.9,168200
2013-05-20,32.9,32.9,31.7,32.5,94200
2013-05-21,32.0,32.4,31.0,31.6,104800
2013-05-22,30.5,31.4,30.0,30.2,29800
2013-05-26,29.6,30.5,28.8,29.5,29200
2013-05-27,29.8,31.0,29.2,29.9,57600
2013-05-28,31.1,31.3,29.7,30.0,42000
2013-05-29,31.2,31.7,30.1,31.1,43400
2013-05-30,31.7,31.7,30.2,30.5,41400
2013-06-02,32.8,32.8,31.0,31.4,37600
2013-06-03,31.9,31.9,31.0,31.3,52000
2013-06-04,31.1,31.9,30.7,30.9,78400
2013-06-05,31.7,31.7,30.7,31.1,61200
2013-06-06,31.5,31.5,30.0,30.3,69200
2013-06-09,30.5,30.5,29.1,29.7,38600
2013-06-10,29.9,31.1,29.6,30.2,16400
2013-06-11,31.0,31.0,29.7,29.8,41200
2013-06-12,31.0,31.2,30.0,30.9,44800
2013-06-13,31.3,32.1,30.4,31.3,144600
2013-06-16,32.0,33.4,31.6,32.5,153800
2013-06-17,32.6,32.9,32.0,32.2,73200
2013-06-18,32.0,32.0,30.7,31.9,81400
2013-06-19,31.8,32.5,31.4,31.5,97600
2013-06-20,31.0,32.6,31.0,31.1,74800
2013-06-23,33.8,33.8,30.6,30.7,70200
2013-06-24,31.6,31.6,30.4,30.6,149400
2013-06-26,30.4,30.7,29.5,30.5,62200
2013-06-27,30.5,32.4,30.5,30.5,90800
2013-06-30,32.4,32.4,29.9,30.0,66800
2013-07-02,30.5,31.3,29.5,29.7,84400
2013-07-03,29.9,31.8,29.8,29.9,59600
2013-07-04,30.9,32.0,30.4,31.2,101600
2013-07-07,32.1,32.1,30.7,31.1,98800
2013-07-08,30.8,31.0,30.1,30.4,51400
2013-07-09,30.8,33.3,30.8,31.8,244800
2013-07-10,31.9,32.2,31.2,31.3,90600
2013-07-11,30.5,31.1,29.6,29.9,54600
2013-07-14,30.0,30.1,29.7,30.0,67400
2013-07-15,29.9,30.7,29.9,30.3,28400
2013-07-16,32.6,32.6,30.1,30.4,105600
2013-07-17,31.0,32.1,30.8,31.0,78000
2013-07-18,31.1,32.3,31.1,31.6,112800
2013-07-21,32.4,32.4,30.1,30.7,23200
2013-07-22,30.7,30.9,30.7,30.8,10400
2013-07-23,30.1,31.0,30.0,30.6,45800
2013-07-24,30.0,31.1,30.0,30.8,34600
2013-07-25,30.1,30.2,29.5,29.7,15200
2013-07-28,29.5,29.8,29.0,29.4,26200
2013-07-29,29.4,30.5,29.4,29.8,8000
2013-07-30,29.8,29.8,29.1,29.4,10200
2013-07-31,29.0,29.6,28.8,29.1,9600
2013-08-01,28.3,28.3,28.2,28.2,600
2013-08-04,27.9,28.5,27.9,28.1,15600
2013-08-05,28.6,28.6,28.2,28.3,31400
2013-08-12,29.0,29.0,28.5,28.6,3000
2013-08-13,29.2,29.2,28.5,28.8,3600
2013-08-14,29.3,29.3,28.8,28.9,3200
2013-08-18,28.9,30.0,28.5,29.5,19200
2013-08-19,30.5,30.5,29.0,29.2,21200
2013-08-20,29.6,29.6,28.9,29.1,15200
2013-08-21,29.1,29.1,28.2,28.4,32600
2013-08-22,28.1,29.4,27.9,29.0,65400
2013-08-25,28.8,29.8,28.7,29.4,39000
2013-08-26,32.0,32.0,28.9,29.0,40000
2013-08-27,29.4,31.4,29.2,29.3,82000
2013-08-29,29.5,29.5,28.8,28.9,8600
2013-09-01,29.0,29.7,28.5,28.6,45400
2013-09-02,28.8,29.2,28.5,28.6,33400
2013-09-03,28.2,28.8,28.2,28.2,58600
2013-09-04,28.4,29.0,28.1,28.2,50800
2013-09-05,29.0,29.0,27.8,27.9,36600
2013-09-08,28.0,28.1,27.9,28.0,2400
2013-09-09,28.1,28.1,27.2,27.8,8400
2013-09-10,28.8,28.8,26.6,27.2,26600
2013-09-11,28.2,28.9,27.7,28.5,37800
2013-09-12,29.0,30.3,28.9,29.3,42800
2013-09-15,29.9,30.5,29.0,30.1,87000
2013-09-16,30.2,30.3,29.3,29.5,17800
2013-09-17,29.1,29.8,28.4,28.6,27600
2013-09-18,29.4,29.4,28.1,28.2,22400
2013-09-19,28.1,28.6,28.1,28.2,18400
2013-09-22,28.2,28.2,27.5,27.7,16800
2013-09-23,28.0,28.7,27.2,28.3,28200
2013-09-24,30.1,30.8,29.5,30.1,125400
2013-09-25,30.3,31.0,28.8,29.1,93200
2013-09-26,30.2,30.5,28.7,30.2,40000
2013-09-29,30.3,30.3,29.0,29.7,39800
2013-09-30,28.6,29.0,28.4,28.6,30200
2013-10-01,28.9,30.5,28.9,30.4,54600
2013-10-02,30.5,31.2,29.2,29.9,38400
2013-10-03,29.3,30.2,29.0,29.9,100200
2013-10-06,29.9,30.2,29.1,29.4,51000
2013-10-07,29.4,29.5,28.9,29.1,6000
2013-10-08,29.3,30.1,28.9,29.1,96400
2013-10-09,30.0,30.0,29.2,29.2,68200
2013-10-10,28.6,30.0,28.5,29.8,32800
2013-10-20,29.7,29.7,28.3,29.5,34600
2013-10-21,28.9,28.9,28.9,28.9,13000
2013-10-22,29.1,29.3,28.6,29.0,2400
2013-10-23,29.0,29.0,28.2,28.5,9400
2013-10-24,28.4,28.4,27.9,27.9,26600
2013-10-27,28.4,29.2,28.1,28.3,7800
2013-10-28,29.5,29.5,27.7,27.8,42800
2013-10-29,29.1,29.1,28.1,28.3,6400
2013-10-30,29.4,29.5,28.1,28.9,12200
2013-10-31,29.8,30.5,28.0,28.8,42400
2013-11-03,29.2,29.2,29.0,29.0,1000
2013-11-04,29.7,29.7,28.7,28.9,17200
2013-11-05,29.9,30.3,29.2,30.0,62200
2013-11-06,30.4,30.4,29.1,29.4,7000
2013-11-07,29.9,31.0,29.9,30.9,53000
2013-11-10,30.5,32.0,30.5,31.8,127800
2013-11-11,31.9,32.3,30.7,31.0,45000
2013-11-12,30.7,30.7,29.7,29.9,18200
2013-11-13,30.6,31.4,30.4,30.6,22600
2013-11-14,30.2,31.4,30.2,30.8,8800
2013-11-17,31.1,31.5,30.5,31.0,82800
2013-11-18,31.4,31.7,31.0,31.2,39800
2013-11-19,31.9,31.9,30.9,31.3,69200
2013-11-20,31.8,32.7,31.3,32.0,116800
2013-11-21,31.6,32.1,31.3,31.5,57400
2013-11-24,31.3,31.5,30.7,31.1,18000
2013-11-25,30.3,31.3,30.3,30.8,35400
2013-11-26,30.4,31.2,30.1,30.3,29200
2013-11-27,30.0,30.3,29.5,29.6,38800
2013-11-28,29.6,29.6,29.3,29.4,28800
2013-12-01,29.1,29.5,28.6,29.0,8200
2013-12-02,29.9,29.9,29.0,29.1,4400
2013-12-03,29.5,30.3,29.5,30.0,9600
2013-12-04,29.7,29.9,29.1,29.4,30200
2013-12-05,29.2,29.7,29.1,29.2,19400
2013-12-08,29.5,29.9,29.4,29.8,5000
2013-12-09,29.4,30.3,29.4,29.6,36200
2013-12-10,29.3,29.9,29.3,29.4,64400
2013-12-11,29.7,30.4,29.7,30.1,62400
2013-12-12,29.7,31.7,29.6,30.7,48800
2013-12-15,30.6,30.6,29.8,30.0,28800
2013-12-17,30.0,30.5,30.0,30.1,34000
2013-12-18,30.9,31.0,29.8,29.9,30400
2013-12-19,29.8,29.8,29.5,29.6,51800
2013-12-22,29.6,30.3,29.6,30.0,27800
2013-12-23,30.2,30.3,29.6,29.7,33200
2013-12-24,29.5,30.0,29.4,29.6,7400
2013-12-26,29.9,29.9,28.8,29.2,24200
2013-12-29,29.0,29.5,28.5,28.8,8000
2013-12-30,28.2,30.0,28.2,29.3,7000
2014-01-01,30.0,30.0,29.4,29.8,6600
2014-01-02,29.5,29.9,29.0,29.0,18000
2014-01-06,29.2,29.3,29.2,29.2,6600
2014-01-07,29.3,29.9,29.3,29.5,9600
2014-01-08,30.5,30.5,29.6,29.8,16400
2014-01-09,29.0,30.5,29.0,29.8,10400
2014-01-12,30.1,30.3,29.6,29.7,34200
2014-01-13,29.8,30.0,29.5,29.7,12200
2014-01-15,29.5,30.4,29.5,30.0,27600
2014-01-16,30.0,31.2,30.0,30.9,80400
2014-01-19,31.0,31.7,31.0,31.4,64800
2014-01-20,31.5,31.5,30.5,31.3,43200
2014-01-21,31.2,32.2,31.2,31.9,75200
2014-01-22,33.0,33.1,31.8,32.0,58800
2014-01-23,32.3,32.5,31.5,32.2,27000
2014-01-26,32.1,33.3,32.1,33.1,88000
2014-01-27,33.2,33.5,32.7,32.8,93800
2014-01-28,32.7,33.0,32.0,32.8,271200
2014-01-29,33.2,33.7,32.7,33.3,154800
2014-01-30,33.5,34.7,33.5,34.1,136800
2014-02-02,34.1,34.4,33.5,33.9,108400
2014-02-03,35.0,35.0,34.1,34.3,94200
2014-02-04,34.9,34.9,33.8,33.8,45400
2014-02-05,34.0,34.0,33.0,33.1,54000
2014-02-06,33.9,34.0,33.2,33.3,40600
2014-02-09,33.1,33.4,32.5,32.7,23200
2014-02-10,32.3,32.4,32.0,32.2,16800
2014-02-11,31.9,32.2,31.7,31.8,20800
2014-02-12,32.8,32.8,30.3,31.1,22400
2014-02-13,31.1,31.2,30.7,31.0,21200
2014-02-16,32.8,32.8,31.0,31.5,33800
2014-02-17,31.5,32.2,31.3,31.6,18800
2014-02-18,31.3,31.4,31.0,31.2,20000
2014-02-19,30.1,31.7,30.0,31.3,32200
2014-02-20,31.3,31.3,30.9,31.0,30800
2014-02-23,31.2,31.2,30.9,31.0,7200
2014-02-24,31.0,31.0,30.4,30.6,7000
2014-02-25,31.0,31.0,30.8,30.8,8000
2014-02-26,30.4,30.5,30.1,30.1,13200
2014-02-27,30.1,30.3,29.5,29.7,29600
2014-03-02,29.5,30.9,29.5,30.4,35200
2014-03-03,29.9,30.3,29.5,29.7,32600
2014-03-04,29.8,30.0,29.7,29.8,7400
2014-03-05,29.8,29.8,29.2,29.7,15200
2014-03-06,29.8,29.8,29.2,29.2,32400
2014-03-09,29.2,29.8,28.7,28.7,17600
2014-03-10,28.5,29.4,28.5,28.8,12800
2014-03-11,29.0,29.5,28.9,28.9,15400
2014-03-12,29.0,29.9,28.7,29.1,20000
2014-03-13,31.2,31.2,28.9,28.9,60600
2014-03-16,28.6,29.4,28.6,29.0,4000
2014-03-18,28.7,28.8,28.5,28.7,3800
2014-03-19,29.8,29.9,28.9,29.6,15600
2014-03-20,29.0,29.5,29.0,29.4,21800
2014-03-23,28.6,29.0,28.6,28.9,1400
2014-03-24,28.5,28.7,28.4,28.6,25000
2014-03-25,26.7,29.7,26.7,29.4,53400
2014-03-27,29.0,29.0,28.0,28.5,24800
2014-03-30,28.1,28.6,28.1,28.4,14200
2014-03-31,28.5,28.6,28.5,28.5,4200
2014-04-01,28.5,28.5,28.0,28.3,14000
2014-04-02,28.0,28.3,28.0,28.1,800
2014-04-03,28.1,28.1,27.5,27.6,12800
2014-04-06,27.8,27.8,27.0,27.2,40800
