Date,Open,High,Low,Close,Volume
2022-10-30,11.0,11.0,11.0,11.0,547
2022-10-31,12.1,12.1,12.1,12.1,682
2022-11-01,13.3,13.3,13.3,13.3,773
2022-11-02,14.6,14.6,14.6,14.6,468
2022-11-03,16.0,16.0,16.0,16.0,548
2022-11-06,17.6,17.6,17.6,17.6,613
2022-11-07,19.3,19.3,19.3,19.3,872
2022-11-08,21.2,21.2,21.2,21.2,849
2022-11-09,23.3,23.3,23.3,23.3,658
2022-11-10,25.6,25.6,25.6,25.6,455
2022-11-13,28.1,28.1,28.1,28.1,1050
2022-11-14,30.9,30.9,30.9,30.9,1203
2022-11-15,33.9,33.9,33.9,33.9,2535
2022-11-16,37.2,37.2,37.2,37.2,3568
2022-11-17,40.9,40.9,40.9,40.9,13465
2022-11-20,44.9,44.9,44.9,44.9,29520
2022-11-21,49.3,49.3,49.3,49.3,58507
2022-11-22,54.2,54.2,54.2,54.2,171928
2022-11-23,59.6,59.6,59.6,59.6,176940
2022-11-24,65.5,65.5,64.8,65.5,3293876
2022-11-27,66.0,72.0,66.0,72.0,795930
2022-11-28,72.0,78.0,66.8,68.7,4537770
2022-11-29,68.7,73.9,63.7,72.0,1651420
2022-11-30,70.1,74.8,66.2,68.1,2853697
2022-12-01,64.1,71.7,64.1,68.4,1400883
2022-12-04,69.0,69.2,63.2,63.7,1743094
2022-12-05,62.1,64.9,60.1,61.1,1207024
2022-12-06,60.5,62.5,60.0,60.7,1273010
2022-12-07,61.0,62.3,61.0,61.9,892632
2022-12-08,61.8,62.3,60.4,61.1,857602
2022-12-11,62.2,65.5,62.0,64.2,1729813
2022-12-12,64.1,66.6,63.6,64.8,1429022
2022-12-13,64.8,66.6,62.7,63.3,1738153
2022-12-14,63.3,64.4,62.1,62.4,752217
2022-12-15,62.1,62.9,60.1,61.4,560808
2022-12-18,61.5,61.9,60.5,61.0,418428
2022-12-19,61.1,61.6,60.2,60.3,338304
2022-12-20,60.3,61.1,59.8,60.1,390219
2022-12-21,60.0,60.0,55.2,56.3,477065
2022-12-22,55.8,57.3,55.8,56.8,315128
2022-12-26,56.5,57.3,56.3,56.8,212670
2022-12-27,56.3,56.9,56.3,56.4,197940
2022-12-28,55.9,59.6,55.9,59.1,464301
2022-12-29,58.6,62.6,58.6,61.4,864819
2023-01-01,61.6,61.8,60.8,60.8,465024
2023-01-02,60.2,61.3,60.2,60.3,956360
2023-01-03,59.8,60.4,59.7,59.8,376533
2023-01-04,62.6,62.6,59.4,62.3,509054
2023-01-05,62.4,64.0,61.7,62.9,965854
2023-01-08,64.0,64.6,62.3,62.7,768885
2023-01-09,62.1,62.6,62.1,62.1,749474
2023-01-10,61.6,62.2,61.5,61.6,579053
2023-01-11,61.0,63.8,61.0,62.5,1210458
2023-01-12,62.6,66.3,62.5,65.2,1623584
2023-01-15,65.5,69.9,64.6,68.7,1790395
2023-01-16,68.6,70.0,68.1,68.1,984403
2023-01-17,67.5,69.5,67.5,68.2,1025155
2023-01-18,67.6,73.3,67.6,69.6,1933769
2023-01-19,69.0,70.2,69.0,69.6,713517
2023-01-22,69.6,71.6,69.0,69.0,735359
2023-01-23,68.4,69.3,68.4,68.4,783041
2023-01-24,68.0,68.9,67.8,67.8,566208
2023-01-25,69.0,70.7,67.2,69.4,1495697
2023-01-26,69.4,71.9,68.8,69.2,1007886
2023-01-29,69.0,69.0,68.6,68.6,392648
2023-01-30,68.0,68.0,68.0,68.0,9695
2023-01-31,67.4,68.9,67.4,67.4,650284
2023-02-01,67.4,67.5,66.8,66.8,160927
2023-02-02,66.2,66.7,66.2,66.2,374016
2023-02-05,65.7,66.9,65.6,65.6,144264
2023-02-06,65.0,65.0,65.0,65.0,19498
2023-02-07,64.4,65.0,64.4,64.4,269260
2023-02-08,63.8,64.5,63.8,63.8,416330
2023-02-09,63.2,64.0,63.2,63.2,182053
