Date,Open,High,Low,Close,Volume
2012-10-01,38.0,39.8,37.1,39.0,175500
2012-10-02,40.2,41.0,40.0,40.3,279500
2012-10-03,41.0,43.3,40.5,41.0,713500
2012-10-04,41.9,42.5,40.0,40.5,207500
2012-10-07,39.9,41.5,37.6,38.1,361000
2012-10-08,37.6,39.9,36.5,37.0,229500
2012-10-09,39.3,39.7,37.4,37.9,283500
2012-10-10,37.8,39.4,36.8,38.4,316000
2012-10-11,39.4,39.4,38.0,38.5,182000
2012-10-14,38.5,40.3,37.3,37.8,367500
2012-10-15,36.8,39.2,36.8,38.3,146500
2012-10-16,39.4,40.6,39.0,39.3,304500
2012-10-17,39.4,40.5,38.5,38.8,309500
2012-10-18,39.5,39.6,38.4,38.7,291500
2012-10-21,38.0,38.9,37.5,37.7,78000
2012-10-22,37.9,38.0,37.4,37.6,66500
2012-10-23,38.1,38.1,37.1,37.6,104500
2012-10-30,37.5,38.0,36.6,37.7,136000
2012-10-31,38.0,38.5,37.0,37.4,104000
2012-11-01,38.0,38.5,37.0,37.3,102500
2012-11-04,37.3,37.4,36.4,36.4,49000
2012-11-05,36.3,36.8,36.0,36.4,59500
2012-11-06,36.5,37.3,36.1,36.8,48500
2012-11-07,36.8,37.0,35.2,35.8,150000
2012-11-08,37.0,37.0,34.4,34.9,47500
2012-11-11,34.2,35.4,34.0,34.9,142500
2012-11-12,35.5,36.2,33.8,34.7,76500
2012-11-13,34.6,35.4,34.6,35.1,119500
2012-11-14,35.2,36.4,34.2,35.2,289000
2012-11-15,35.7,36.0,35.3,35.5,98000
2012-11-18,35.8,35.8,34.6,35.3,116000
2012-11-19,34.7,35.0,33.4,33.5,58000
2012-11-20,33.2,34.0,32.5,32.7,25500
2012-11-21,32.6,33.1,32.0,32.4,15500
2012-11-22,33.0,33.3,32.2,32.5,64500
2012-11-26,33.4,33.4,31.1,31.3,18000
2012-11-27,31.9,32.8,31.1,31.3,20000
2012-11-28,31.4,31.4,30.4,30.7,43000
2012-11-29,32.9,33.2,31.0,32.9,48500
2012-12-02,33.8,33.9,31.7,32.3,89500
2012-12-03,32.0,32.2,31.7,31.9,16500
2012-12-04,31.0,31.6,30.6,31.3,33000
2012-12-05,32.2,32.4,31.5,31.9,36000
2012-12-06,31.3,32.0,31.2,31.9,107000
2012-12-09,31.1,32.0,30.8,31.7,78500
2012-12-10,31.6,31.8,31.1,31.6,37000
2012-12-11,31.2,31.9,31.1,31.7,67500
2012-12-12,32.4,32.5,31.7,31.8,23500
2012-12-13,31.9,32.0,31.9,31.9,58000
2012-12-17,32.7,33.6,32.7,33.3,27000
2012-12-18,32.2,33.2,32.2,32.6,17500
2012-12-19,32.9,33.5,32.6,33.0,36000
2012-12-20,33.1,33.5,32.4,32.5,50000
2012-12-23,32.3,32.4,31.5,31.7,18500
2012-12-24,32.0,32.0,32.0,32.0,1000
2012-12-26,32.1,32.1,31.9,32.0,11500
2012-12-27,32.0,32.7,32.0,32.4,18000
2012-12-30,32.1,32.8,32.1,32.6,57000
2013-01-01,32.6,33.0,32.6,32.9,45000
2013-01-02,32.0,32.0,32.0,32.0,1500
2013-01-03,32.0,32.8,31.1,31.8,9000
2013-01-06,31.9,32.7,31.6,31.7,34500
2013-01-07,31.7,31.9,31.7,31.8,17000
2013-01-08,31.7,31.8,31.7,31.7,10500
2013-01-09,31.8,32.0,31.0,31.3,30500
2013-01-10,30.7,31.1,30.7,30.9,12500
2013-01-13,30.9,31.7,30.9,31.1,9500
2013-01-14,31.0,31.4,31.0,31.1,15500
2013-01-15,31.6,31.6,31.2,31.3,6000
2013-01-16,31.2,31.5,31.2,31.3,7500
2013-01-17,31.6,32.2,31.2,32.0,27000
2013-01-20,31.9,32.5,31.9,32.1,29500
2013-01-21,32.0,32.2,31.7,32.1,33000
2013-01-22,32.4,32.8,32.2,32.6,25000
2013-01-23,32.9,33.6,32.6,32.9,56000
2013-01-24,33.0,33.5,33.0,33.3,28000
2013-01-27,33.3,33.5,32.0,32.2,60500
2013-01-28,32.5,33.5,32.3,32.9,38000
2013-01-29,33.7,34.4,33.7,33.8,75500
2013-01-30,33.5,34.9,33.1,34.4,78500
2013-01-31,33.7,35.1,33.7,35.0,127000
2013-02-03,35.9,36.8,35.3,36.3,148500
2013-02-04,36.7,36.8,35.0,35.8,67000
2013-02-05,35.8,36.1,35.2,35.9,54000
2013-02-06,35.6,35.9,35.5,35.6,35500
2013-02-07,35.5,35.6,34.8,34.9,32000
2013-02-10,34.7,35.9,34.7,34.9,101500
2013-02-11,36.0,36.7,35.1,36.2,107500
2013-02-12,36.9,37.2,35.9,35.9,147000
2013-02-13,36.1,36.4,35.7,35.9,44500
2013-02-14,36.1,37.3,36.1,36.8,187500
2013-02-17,36.9,37.2,36.2,36.4,79500
2013-02-18,36.0,36.7,35.8,36.1,33500
2013-02-19,35.2,36.7,34.7,35.1,29000
2013-02-20,35.0,35.4,34.0,34.4,39500
2013-02-24,33.9,33.9,33.2,33.3,23500
2013-02-25,33.6,33.9,33.0,33.3,65000
2013-02-26,33.4,34.0,33.3,33.5,14500
2013-02-27,33.7,33.9,32.0,32.9,7500
2013-02-28,32.0,33.0,31.7,32.0,42500
2013-03-03,30.5,30.5,29.5,29.8,41000
2013-03-04,31.0,31.0,30.0,30.1,31500
2013-03-05,30.3,31.0,29.3,30.0,41000
2013-03-06,30.1,30.5,30.0,30.0,24500
2013-03-07,31.3,31.3,30.3,30.3,17500
2013-03-10,30.3,30.5,29.5,29.9,66500
2013-03-11,30.0,30.4,30.0,30.1,6500
2013-03-12,30.1,30.2,30.0,30.0,98000
2013-03-13,30.1,30.5,29.7,30.0,43500
2013-03-14,30.0,30.4,30.0,30.0,87000
2013-03-18,29.7,30.5,29.7,30.3,7000
2013-03-19,30.3,30.8,30.3,30.5,17500
2013-03-20,30.5,30.6,30.1,30.4,34500
2013-03-24,29.8,30.0,29.8,29.8,36500
2013-03-25,29.6,29.9,29.6,29.6,14000
2013-03-27,28.0,28.3,27.3,28.0,23000
2013-03-28,28.0,28.1,27.3,27.9,37000
2013-03-31,25.2,26.6,25.0,26.1,76500
2013-04-01,26.6,26.6,24.3,25.7,69500
2013-04-02,25.4,25.9,25.1,25.8,47000
2013-04-03,25.9,26.1,25.9,26.0,45000
2013-04-04,25.8,26.2,25.5,26.1,82000
2013-04-07,25.9,28.0,25.9,27.0,71500
2013-04-08,26.5,27.0,25.6,26.7,96000
2013-04-09,26.1,27.2,26.0,26.6,17500
2013-04-10,26.7,26.9,26.0,26.2,90500
2013-04-11,26.3,26.9,25.5,26.4,90500
2013-04-16,25.5,26.0,24.7,24.9,54000
2013-04-17,25.7,26.0,25.0,25.4,29000
2013-04-18,25.0,25.0,24.6,24.8,21500
2013-04-21,24.3,24.5,24.0,24.1,22000
2013-04-22,24.2,24.2,24.1,24.1,2500
2013-04-23,24.0,24.1,24.0,24.0,12500
2013-04-24,23.0,23.6,23.0,23.2,18000
2013-04-25,24.0,24.0,23.1,23.3,14000
2013-04-28,23.0,23.7,22.3,22.4,26000
2013-04-29,23.1,23.9,23.1,23.8,41000
2013-04-30,24.3,24.7,24.2,24.4,25500
