Date,Open,High,Low,Close,Volume
2024-05-16,11.0,11.0,11.0,11.0,1
2024-05-19,12.1,12.1,12.1,12.1,2
2024-05-20,13.3,13.3,13.3,13.3,1
2024-05-21,14.6,14.6,14.6,14.6,1
2024-05-23,16.0,16.0,16.0,16.0,1
2024-05-26,17.6,17.6,17.6,17.6,1
2024-05-27,19.3,19.3,19.3,19.3,320
2024-05-28,21.2,21.2,21.2,21.2,1
2024-05-29,23.3,23.3,23.3,23.3,2
2024-05-30,25.6,25.6,25.6,25.6,31
2024-06-02,28.1,28.1,28.1,28.1,21
2024-06-03,30.9,30.9,30.9,30.9,22
2024-06-04,33.9,33.9,33.9,33.9,3202
2024-06-05,37.2,37.2,37.2,37.2,30820
2024-06-06,39.9,40.9,36.0,40.9,2669709
2024-06-09,42.0,44.8,41.4,42.0,706869
2024-06-10,42.0,42.0,37.8,37.8,812044
2024-06-11,38.9,38.9,37.0,37.3,172130
2024-06-12,37.3,38.0,34.8,35.2,281680
2024-06-13,35.9,35.9,33.6,34.6,175442
2024-06-19,37.0,38.0,34.7,37.3,93251
2024-06-20,37.4,38.1,35.5,36.0,127135
2024-06-23,37.5,37.5,35.5,35.9,111337
2024-06-24,35.5,35.7,34.0,34.4,96469
2024-06-25,35.5,36.9,34.7,36.3,106527
2024-06-26,37.4,37.4,35.7,36.0,68994
2024-06-27,37.0,37.0,35.6,36.0,134216
2024-06-30,36.2,36.9,34.9,35.1,174625
2024-07-02,36.0,36.0,35.5,35.6,43017
2024-07-03,36.6,37.3,35.8,36.2,149238
2024-07-04,36.2,37.7,36.0,37.4,130780
2024-07-07,38.7,38.7,36.3,37.0,77139
2024-07-08,37.6,40.7,37.4,40.0,997057
2024-07-09,40.1,42.0,40.0,41.7,545944
2024-07-10,41.7,44.0,39.3,39.8,484292
2024-07-11,41.4,41.4,38.1,38.5,81291
2024-07-14,35.5,39.0,35.5,37.3,204667
2024-07-15,37.9,39.6,37.5,39.1,240206
2024-07-16,40.0,40.0,38.6,39.6,156067
2024-07-18,39.9,40.6,39.0,40.3,221653
2024-07-24,39.5,40.7,39.1,39.5,60650
2024-07-25,39.8,41.0,39.5,40.1,161999
2024-07-28,40.1,41.8,40.1,41.3,234726
2024-07-29,42.0,43.2,41.0,41.1,330529
2024-07-30,40.3,41.2,39.6,40.1,73201
2024-07-31,41.9,41.9,40.5,41.0,46913
2024-08-01,41.0,41.5,40.0,41.3,109989
2024-08-04,38.5,39.3,38.5,39.1,12500
2024-08-06,42.9,42.9,40.0,40.0,33109
2024-08-07,40.0,40.8,38.4,38.8,72399
2024-08-08,39.0,41.0,38.5,40.3,176853
2024-08-11,40.0,40.6,39.8,39.9,40430
2024-08-12,37.1,39.5,37.1,38.2,34353
2024-08-13,39.0,39.0,37.0,39.0,4415
2024-08-14,37.0,38.9,37.0,37.8,9646
2024-08-15,41.0,41.0,37.0,39.4,26123
2024-08-18,40.0,40.0,36.6,38.8,7400
2024-08-19,39.4,39.4,38.1,38.7,6018
2024-08-20,39.3,39.3,37.4,38.1,4677
2024-08-21,37.1,39.0,37.0,37.1,14133
2024-08-22,38.4,38.4,38.4,38.4,100
2024-08-25,38.3,38.3,37.3,37.4,6682
2024-08-27,40.4,40.4,34.1,36.0,30637
2024-08-28,39.0,39.0,39.0,39.0,10
2024-08-29,39.0,39.0,35.3,35.6,6834
2024-09-01,37.8,37.8,35.3,36.3,28540
2024-09-02,36.9,36.9,36.5,36.5,4722
2024-09-03,38.9,38.9,35.3,36.9,4050
2024-09-04,39.5,39.5,36.0,36.8,4943
2024-09-05,36.8,36.8,36.4,36.8,2005
2024-09-08,39.8,39.8,35.9,36.2,560
2024-09-09,38.9,38.9,35.1,36.0,2292
2024-09-10,35.6,36.5,33.2,35.2,7375
2024-09-11,38.6,38.6,37.4,37.6,77
2024-09-12,37.9,37.9,34.9,36.5,1367
2024-09-15,39.0,39.0,37.0,37.7,3226
2024-09-17,36.0,37.5,36.0,36.0,2111
2024-09-18,37.3,37.8,33.0,33.7,55851
2024-09-19,36.8,36.8,36.8,36.8,100
2024-09-22,40.0,40.0,34.0,35.7,16736
2024-09-23,39.0,39.0,33.2,35.2,2502
2024-09-24,38.5,38.5,31.8,35.4,12550
2024-09-25,38.7,38.7,32.7,34.9,9356
2024-09-26,35.9,35.9,33.1,35.0,18613
2024-09-29,34.9,34.9,33.1,34.1,13373
2024-09-30,33.1,34.4,33.1,34.2,1577
2024-10-01,37.5,37.5,33.0,34.5,4684
2024-10-02,34.9,34.9,34.9,34.9,1
2024-10-03,38.1,38.1,34.9,35.0,3020
2024-10-06,38.0,38.0,31.7,34.8,110149
2024-10-07,34.4,34.8,32.0,34.2,7790
2024-10-08,31.4,34.4,31.1,32.7,28179
2024-10-09,35.4,35.4,33.4,35.1,17916
2024-10-14,36.9,36.9,35.1,35.1,2003
2024-10-15,35.9,35.9,35.9,35.9,40
2024-10-16,33.0,35.4,33.0,34.1,8486
2024-10-17,32.0,32.0,31.8,31.9,2977
2024-10-20,34.9,34.9,31.5,34.6,16
2024-10-21,34.5,35.8,33.0,34.4,56249
2024-10-22,32.0,34.5,31.5,34.0,11586
2024-10-23,37.4,37.4,30.6,33.5,21026
2024-10-24,35.3,35.3,32.0,34.8,12
2024-10-27,35.8,35.8,32.6,34.8,5070
2024-10-28,32.0,34.7,32.0,34.6,20588
2024-10-29,35.7,35.7,33.5,35.7,21514
2024-10-30,35.2,35.2,32.2,33.5,3454
2024-10-31,34.3,34.4,33.2,34.0,2302
2024-11-03,31.5,33.8,31.1,32.1,54300
2024-11-04,33.6,33.6,31.1,32.3,4265
2024-11-05,33.6,34.4,31.0,33.0,92500
2024-11-06,31.3,32.7,30.1,31.8,18657
2024-11-07,31.7,31.7,31.6,31.6,3085
2024-11-10,30.3,33.1,30.1,30.4,4299
2024-11-11,32.8,32.8,29.6,30.8,21920
2024-11-12,31.5,32.4,29.7,31.6,485
2024-11-13,29.1,31.7,28.5,30.9,68062
2024-11-14,31.9,31.9,31.0,31.5,20
2024-11-17,32.8,32.8,29.6,31.1,10096
2024-11-19,32.3,32.3,28.0,29.4,55103
2024-11-20,30.5,30.5,26.7,27.0,49052
2024-11-21,27.1,29.0,26.1,26.7,31311
2024-11-24,29.0,29.0,28.5,28.7,6000
2024-11-25,31.4,31.4,26.0,27.3,57695
2024-11-26,27.5,27.5,26.1,26.2,24838
2024-11-27,25.6,27.5,25.5,26.7,22787
2024-11-28,28.8,28.8,25.5,26.4,11887
2024-12-01,26.8,26.9,25.9,26.3,2935
2024-12-02,26.9,28.5,26.9,28.3,32427
2024-12-03,28.9,30.5,28.9,29.8,92968
2024-12-04,30.7,31.0,30.0,30.2,30802
2024-12-05,30.5,30.6,30.1,30.5,15699
2024-12-08,30.9,31.1,30.6,30.9,26001
2024-12-09,31.6,31.6,31.0,31.0,18292
2024-12-10,31.9,31.9,30.2,30.5,55002
2024-12-11,31.4,31.4,29.0,29.4,17210
2024-12-12,30.0,30.0,27.1,27.8,3006
2024-12-15,29.9,30.5,29.9,30.4,49499
2024-12-17,31.5,31.5,30.4,30.7,18250
2024-12-18,31.7,31.7,31.0,31.0,5352
2024-12-19,31.4,31.4,29.0,29.6,21934
2024-12-22,31.1,31.1,29.6,29.6,7306
2024-12-23,27.3,31.0,27.3,29.1,552
2024-12-24,31.1,31.1,29.1,29.2,4454
2024-12-26,31.7,31.7,29.5,29.5,500
2024-12-30,31.0,31.0,29.5,29.5,3027
2025-01-01,31.9,31.9,31.9,31.9,10
2025-01-02,31.5,31.5,31.5,31.5,10
2025-01-05,31.5,31.5,31.5,31.5,5
2025-01-06,31.6,31.9,30.3,30.9,36589
2025-01-07,32.6,33.9,31.0,32.3,142561
2025-01-08,32.3,32.3,30.2,30.6,2667
2025-01-09,32.9,32.9,30.3,30.4,1303
2025-01-12,33.0,33.0,30.9,31.2,1110
2025-01-13,32.4,32.4,32.4,32.4,10
2025-01-14,32.7,33.0,32.0,32.7,11311
2025-01-15,32.7,32.7,32.7,32.7,10
2025-01-16,33.0,33.0,31.0,31.0,2410
2025-01-19,33.8,33.8,30.6,31.2,511
2025-01-20,33.2,33.2,33.2,33.2,20
2025-01-21,33.3,33.3,31.3,31.4,5505
2025-01-22,33.0,33.0,30.5,30.9,4587
2025-01-23,32.6,32.7,31.5,31.8,30721
2025-01-26,34.0,34.0,31.0,31.3,1385
2025-01-27,32.5,32.5,31.0,31.1,9605
2025-01-28,32.0,32.0,30.5,30.6,2105
2025-01-29,30.5,32.5,30.5,30.5,649
2025-01-30,32.8,32.8,30.7,31.3,19952
2025-02-02,34.2,34.2,28.2,28.3,205490
2025-02-03,30.0,31.1,30.0,30.3,3954
2025-02-04,29.0,31.0,29.0,29.3,520
2025-02-05,29.0,31.4,29.0,29.9,21827
2025-02-06,32.3,32.3,30.0,30.0,3005
2025-02-09,31.7,31.7,30.3,31.7,10310
2025-02-10,31.8,31.8,30.6,31.0,37545
2025-02-11,32.0,32.0,30.3,30.4,10011
