Date,Open,High,Low,Close,Volume
2012-10-01,68.2,69.8,68.2,68.3,48000
2012-10-02,70.0,70.0,68.3,68.4,98500
2012-10-03,69.0,69.0,66.2,66.9,63500
2012-10-04,68.8,68.8,64.2,64.8,59500
2012-10-07,65.2,65.4,63.7,64.1,56000
2012-10-08,63.3,64.9,63.0,63.6,56000
2012-10-09,64.5,65.0,64.2,64.6,28000
2012-10-10,64.8,64.8,61.8,62.7,27500
2012-10-11,61.7,63.0,61.6,62.3,28500
2012-10-14,61.5,62.0,61.1,61.6,35000
2012-10-15,61.5,61.7,60.0,61.1,78500
2012-10-16,62.0,62.4,60.3,60.9,42000
2012-10-17,60.9,61.9,60.4,60.7,24000
2012-10-18,61.8,61.8,60.6,60.8,14500
2012-10-21,61.0,61.4,60.1,60.8,24500
2012-10-22,60.2,61.5,60.2,60.9,15500
2012-10-23,62.3,62.3,60.4,60.8,28500
2012-10-30,61.1,61.1,60.2,60.5,14500
2012-10-31,60.7,61.0,60.1,60.3,61500
2012-11-01,60.3,61.9,60.2,60.8,33500
2012-11-04,61.2,61.8,60.0,60.3,15500
2012-11-05,59.3,61.4,59.3,60.1,11000
2012-11-06,60.3,61.9,60.2,60.8,17000
2012-11-07,62.4,62.4,60.5,60.7,55500
2012-11-08,61.7,61.7,60.5,60.5,29500
2012-11-11,60.0,60.0,58.0,58.1,22000
2012-11-12,58.1,59.6,56.3,57.4,24000
2012-11-13,58.0,58.8,57.1,57.5,75000
2012-11-14,57.8,60.5,57.4,59.5,115000
2012-11-15,62.6,65.0,60.2,63.1,62000
2012-11-18,62.1,63.2,61.2,62.9,49500
2012-11-19,60.1,60.9,60.1,60.5,40000
2012-11-20,60.5,60.5,58.1,58.9,20000
2012-11-21,59.5,60.6,57.1,57.7,54500
2012-11-22,57.4,58.4,57.0,57.6,14000
2012-11-26,57.6,57.6,55.0,55.2,29000
2012-11-27,54.2,55.5,53.2,54.2,43500
2012-11-28,54.2,55.0,53.0,53.8,28000
2012-11-29,55.5,58.6,54.3,57.0,31500
2012-12-02,57.0,57.8,56.6,57.1,32000
2012-12-03,55.5,55.9,55.3,55.4,5500
2012-12-04,54.0,57.3,53.7,55.2,37000
2012-12-05,54.0,56.0,54.0,55.1,12500
2012-12-06,54.1,55.3,53.9,55.1,64500
2012-12-09,53.4,55.9,53.4,55.2,17000
2012-12-10,55.3,55.3,53.7,54.9,24500
2012-12-11,54.8,55.8,54.8,55.0,17500
2012-12-12,56.4,56.4,54.0,54.3,6000
2012-12-13,54.5,54.9,54.4,54.6,25000
2012-12-17,56.5,56.5,55.3,56.0,12000
2012-12-18,55.5,55.5,54.5,55.1,10500
2012-12-19,55.0,56.2,54.9,55.8,47500
2012-12-20,56.4,56.4,55.0,55.4,3500
2012-12-23,54.6,55.5,54.2,55.1,24000
2012-12-24,55.9,55.9,54.6,55.2,11500
2012-12-26,55.4,56.3,55.1,55.4,22000
2012-12-27,56.0,56.4,55.0,56.0,60500
2012-12-30,56.5,56.7,55.9,56.0,48000
2013-01-01,55.0,55.2,55.0,55.1,5500
2013-01-02,54.5,54.9,54.2,54.4,8000
2013-01-03,54.5,55.0,54.5,54.6,11000
2013-01-06,54.5,55.4,54.5,54.8,1500
2013-01-07,54.8,54.8,53.1,53.7,6500
2013-01-08,54.1,54.7,54.1,54.3,3000
2013-01-09,55.5,55.5,53.3,53.6,5500
2013-01-10,53.3,54.4,53.3,53.4,9000
2013-01-13,53.7,53.7,53.5,53.5,19500
2013-01-14,52.8,54.7,52.8,53.5,11000
