Date,Open,High,Low,Close,Volume
2012-10-01,63.9,65.9,61.4,65.0,305000
2012-10-02,66.0,67.8,65.2,66.0,195500
2012-10-03,67.7,69.5,64.2,64.6,293000
2012-10-04,67.4,67.4,63.8,64.1,181000
2012-10-07,63.2,65.3,60.9,61.5,110500
2012-10-08,62.3,63.4,59.6,60.7,154500
2012-10-09,63.5,64.5,62.0,62.6,143000
2012-10-10,63.0,63.1,59.6,60.3,160500
2012-10-11,61.9,62.0,60.3,60.7,136000
2012-10-14,61.8,62.0,59.6,60.0,125000
2012-10-15,61.0,61.4,58.9,60.5,73500
2012-10-16,61.2,62.4,61.0,61.8,129000
2012-10-17,62.0,64.0,61.8,62.3,139000
2012-10-18,62.7,62.8,61.3,61.6,68500
2012-10-21,62.8,62.8,60.2,60.4,46000
2012-10-22,61.0,61.5,60.2,61.0,29000
2012-10-23,59.7,59.9,57.2,57.7,286500
2012-10-30,58.1,58.7,57.8,58.2,25500
2012-10-31,58.7,58.7,57.0,57.6,27000
2012-11-01,55.0,58.0,55.0,56.9,47500
2012-11-04,57.4,57.4,53.9,55.1,59500
2012-11-05,54.3,55.9,53.6,55.2,54500
2012-11-06,55.4,55.9,54.1,54.5,40500
2012-11-07,54.4,54.9,53.0,53.3,29000
2012-11-08,53.7,54.0,53.3,53.6,59000
2012-11-11,53.2,53.2,52.0,52.2,61000
2012-11-12,51.5,53.5,51.5,52.1,51500
2012-11-13,52.1,54.3,51.9,54.0,40000
2012-11-14,54.0,54.5,52.5,52.5,66000
2012-11-15,52.3,53.9,52.0,53.3,65000
2012-11-18,53.6,54.0,53.0,53.4,80500
2012-11-19,52.7,53.0,52.0,52.0,38000
2012-11-20,51.8,52.3,51.7,51.8,96000
2012-11-21,53.0,53.0,51.6,51.7,51000
2012-11-22,51.1,52.9,51.1,52.0,6000
2012-11-26,52.9,52.9,51.7,51.7,31000
2012-11-27,51.2,52.4,50.3,50.9,21500
2012-11-28,51.0,51.8,50.8,51.3,49000
2012-11-29,52.7,54.5,52.5,53.9,40500
2012-12-02,54.5,54.8,51.1,52.5,36500
2012-12-03,52.8,52.9,51.1,51.3,25000
2012-12-04,51.0,52.0,51.0,51.5,13000
2012-12-05,51.9,52.0,50.8,51.6,43000
2012-12-06,50.1,51.5,50.0,51.1,27500
2012-12-09,51.5,51.5,49.2,49.2,55500
2012-12-10,48.4,51.0,48.4,49.8,11500
2012-12-11,48.5,49.9,48.5,49.0,4000
2012-12-12,51.5,51.5,50.1,50.3,17000
2012-12-13,51.8,51.8,49.4,50.3,13000
2012-12-17,52.0,53.9,52.0,53.2,45000
2012-12-18,52.8,52.8,51.9,52.2,14000
2012-12-19,51.7,53.4,51.7,52.7,32000
2012-12-20,53.3,53.6,52.0,52.4,27500
2012-12-23,53.3,53.3,51.8,51.9,17000
2012-12-24,52.0,52.0,51.0,51.2,41500
2012-12-26,52.0,52.0,51.2,51.4,15500
2012-12-27,51.5,52.4,51.2,52.0,25500
2012-12-30,52.0,52.2,51.8,52.0,33000
2013-01-01,52.7,52.9,51.2,51.6,32500
