Date,Open,High,Low,Close,Volume
2016-04-06,90.0,90.0,55.0,83.7,8537310
2016-04-07,82.0,85.0,76.2,78.5,2008870
2016-04-10,76.1,81.8,71.1,72.3,4194220
2016-04-11,74.0,78.9,74.0,75.9,1923090
2016-04-12,75.0,76.4,70.5,71.0,2107830
2016-04-13,71.6,71.6,65.5,65.8,2358780
2016-04-17,65.9,71.4,63.5,69.7,1672550
2016-04-18,70.0,70.8,64.8,65.3,1694880
2016-04-19,65.3,66.3,61.7,62.0,1701180
2016-04-20,62.6,65.7,62.4,62.9,1439590
2016-04-21,63.9,67.7,63.2,66.7,1872390
2016-04-24,67.7,69.0,65.4,65.9,1420280
2016-04-25,66.1,66.7,62.5,62.9,1336040
2016-04-26,63.1,63.5,59.6,60.3,1244000
2016-04-27,60.3,61.5,56.1,57.5,1062200
2016-04-28,58.0,60.0,55.8,56.3,831857
2016-05-02,54.5,54.5,50.7,50.7,1645110
2016-05-03,50.2,53.2,50.1,50.9,946740
2016-05-04,51.1,54.3,50.8,52.6,1333310
2016-05-05,53.3,57.4,53.2,56.7,1316220
2016-05-08,56.7,57.7,53.7,54.6,1312800
2016-05-09,54.0,54.9,51.7,52.0,1364300
2016-05-10,52.8,53.9,52.3,52.9,776412
2016-05-11,53.1,57.2,53.1,56.4,1739430
2016-05-12,57.0,58.3,55.5,56.2,1276270
2016-05-15,55.7,60.7,55.5,60.2,2058120
2016-05-16,60.8,62.6,60.5,60.8,1596120
2016-05-17,60.8,64.0,60.3,62.8,1747520
2016-05-18,63.5,64.9,61.5,63.9,1467130
2016-05-19,65.0,66.7,63.6,64.3,1432900
2016-05-22,63.9,65.7,63.3,65.2,1561930
2016-05-24,66.5,67.6,65.6,65.9,1301000
2016-05-25,66.0,66.7,63.4,63.8,1386790
2016-05-26,63.5,64.7,61.9,64.0,1196070
2016-05-29,64.8,65.5,62.2,62.6,1365510
2016-05-30,63.9,63.9,62.5,63.2,1007890
2016-05-31,63.3,65.6,63.3,65.0,1426560
2016-06-01,65.5,67.6,65.5,67.3,1753210
2016-06-02,67.1,67.8,65.9,66.7,1407450
2016-06-05,66.8,67.5,64.7,64.9,1194780
2016-06-06,64.9,64.9,63.5,63.8,824587
2016-06-07,63.5,63.5,61.5,61.8,1166760
2016-06-08,62.6,64.0,62.3,63.7,510030
2016-06-09,63.8,65.0,63.6,64.2,951207
2016-06-12,64.9,66.2,64.8,65.3,1173400
2016-06-13,65.5,65.8,63.6,63.7,956369
2016-06-14,64.8,64.8,62.9,63.6,1012270
2016-06-15,64.8,65.9,64.5,65.0,1001740
2016-06-16,65.4,67.4,65.1,66.7,1925580
2016-06-19,67.4,68.4,66.4,66.9,1248030
2016-06-20,67.8,67.9,63.4,63.7,1822160
2016-06-21,64.0,64.0,62.8,63.3,734159
2016-06-22,63.5,63.8,62.3,62.4,665918
2016-06-23,63.1,63.3,62.1,62.3,511808
2016-06-26,62.4,62.4,61.1,61.4,603102
2016-06-27,61.6,63.1,61.6,62.7,413381
2016-06-28,63.2,63.3,62.1,62.5,392383
2016-06-29,63.0,64.3,62.7,63.1,708880
2016-06-30,63.3,63.7,62.8,63.0,408847
2016-07-10,62.8,62.8,62.1,62.5,305768
2016-07-11,62.6,63.7,62.6,62.8,412703
2016-07-12,63.0,63.4,62.7,62.8,467276
2016-07-13,63.0,63.6,62.6,62.8,463279
2016-07-14,63.0,64.8,62.6,64.6,903136
2016-07-16,64.8,64.9,63.3,63.7,570134
2016-07-17,63.7,63.8,62.7,62.8,573851
2016-07-18,62.7,63.5,61.8,62.2,660246
2016-07-19,62.2,62.7,61.9,62.0,417673
2016-07-20,62.1,62.4,61.6,61.9,309817
2016-07-21,62.4,62.7,61.1,61.5,554750
2016-07-24,61.9,62.3,61.2,61.4,245049
2016-07-25,61.5,61.8,60.4,60.6,431722
2016-07-26,60.1,62.2,60.1,61.9,532333
2016-07-27,61.7,62.2,60.8,60.9,276016
2016-07-28,60.4,61.0,60.3,60.4,247276
2016-07-31,60.6,60.7,56.2,56.8,682154
2016-08-01,56.9,58.4,56.5,57.6,308415
2016-08-02,57.8,58.6,56.7,57.0,335424
2016-08-03,57.2,57.3,55.2,55.5,740265
2016-08-04,56.5,57.4,55.6,56.8,353307
2016-08-07,56.6,56.8,55.5,55.6,326702
2016-08-08,55.7,56.5,55.5,55.7,338709
2016-08-09,56.0,58.6,55.9,57.9,749879
2016-08-10,58.1,58.1,56.5,56.6,255459
2016-08-11,56.6,57.0,55.7,56.0,418154
2016-08-14,56.6,57.8,56.0,57.4,309679
2016-08-16,57.4,58.2,57.1,57.3,309922
2016-08-17,57.0,57.2,56.3,56.5,315083
2016-08-18,56.7,57.8,56.0,57.3,363308
2016-08-21,57.7,59.7,57.4,58.8,807191
2016-08-22,58.9,59.5,57.4,57.9,557112
2016-08-23,57.4,59.7,57.0,59.4,981824
2016-08-24,59.9,62.0,59.9,61.3,1404150
2016-08-28,61.5,61.7,59.5,59.9,696353
2016-08-29,59.9,61.4,59.1,61.2,755127
2016-08-30,61.5,63.8,61.5,63.4,2123740
2016-08-31,63.4,64.6,62.6,62.9,1224780
2016-09-01,63.0,65.9,62.9,65.6,2125180
2016-09-04,66.0,68.0,65.5,67.3,2594320
2016-09-05,67.0,68.9,66.3,68.6,2150680
2016-09-06,67.1,72.8,66.6,72.4,3008850
2016-09-07,73.0,74.7,71.3,71.9,1851330
2016-09-08,72.1,73.8,71.1,73.2,1622990
2016-09-18,73.3,73.8,72.0,72.3,743811
2016-09-19,72.5,74.0,71.0,73.6,1126920
2016-09-20,74.0,77.4,74.0,76.8,1537930
2016-09-21,77.0,77.0,74.6,75.0,1417360
2016-09-22,75.0,76.4,74.2,74.5,931706
2016-09-24,74.5,75.1,71.0,72.0,704324
2016-09-25,72.1,72.9,71.2,72.5,674603
2016-09-26,73.0,73.0,69.2,70.3,1558090
2016-09-27,71.3,72.5,70.9,71.5,501850
2016-09-28,71.5,71.8,69.8,70.4,610787
2016-09-29,72.0,73.0,69.5,70.4,2945190
2016-10-02,70.4,70.5,68.0,68.8,1174190
2016-10-03,68.5,69.4,66.0,67.5,760185
2016-10-04,67.2,70.7,66.4,69.7,1055050
2016-10-05,70.5,71.2,69.7,70.2,799051
2016-10-06,70.0,70.7,68.6,68.9,696099
2016-10-09,69.0,69.0,66.6,67.2,496624
2016-10-10,68.0,70.6,68.0,70.0,1039260
2016-10-13,70.0,70.6,68.8,69.2,356249
2016-10-16,69.5,71.5,69.5,70.1,1143300
2016-10-17,68.4,74.4,68.4,72.9,2509120
2016-10-18,73.3,74.2,72.5,73.9,2144620
2016-10-19,74.2,79.6,74.2,77.2,2747410
2016-10-20,77.3,81.9,76.6,80.9,3412230
2016-10-23,86.0,105.0,86.0,98.6,5462490
2016-10-24,99.3,108.4,99.0,101.1,3158270
2016-10-25,101.2,111.2,99.6,111.2,3778220
2016-10-26,114.0,119.4,108.2,115.8,3249580
2016-10-27,116.0,126.9,113.7,123.7,2796910
2016-10-30,125.9,130.7,122.2,123.7,2973220
2016-10-31,115.0,119.9,111.4,111.9,2380010
2016-11-01,111.7,118.5,110.2,116.9,1333530
2016-11-02,119.3,123.7,118.2,119.9,1436090
2016-11-03,120.0,121.7,116.3,119.2,1267600
2016-11-06,121.0,131.1,120.9,131.1,1740010
2016-11-07,135.0,144.0,135.0,141.8,1986870
2016-11-08,144.5,148.0,133.0,135.4,1742810
2016-11-09,135.0,138.8,129.1,134.7,632510
2016-11-10,136.3,141.4,134.7,139.4,1241710
2016-11-14,115.0,124.9,115.0,119.0,2230730
2016-11-15,120.9,123.0,110.8,112.3,1455140
2016-11-16,112.5,116.8,111.5,113.2,837733
2016-11-17,114.5,115.5,110.5,114.0,998869
2016-11-20,113.7,114.5,108.6,109.2,955649
2016-11-21,110.5,112.7,106.6,109.4,755533
2016-11-22,111.0,114.8,110.5,111.5,635517
2016-11-23,113.4,116.4,112.8,115.9,1355580
2016-11-24,119.0,124.0,115.8,123.3,2259760
2016-11-27,125.0,129.8,124.4,127.0,1958610
2016-11-28,127.0,127.8,122.8,123.4,1407620
2016-11-29,124.0,126.0,120.2,120.9,1381400
2016-11-30,122.0,127.5,121.9,125.1,1125943
2016-12-01,127.0,129.8,122.3,123.3,1292625
2016-12-04,123.4,125.0,118.5,119.2,966987
2016-12-05,119.8,121.0,115.4,116.0,1074652
2016-12-06,117.0,117.8,112.6,113.1,795722
2016-12-07,113.9,117.7,113.1,114.3,699118
2016-12-08,116.0,116.2,111.6,112.9,775841
2016-12-11,115.0,115.4,110.3,110.9,625073
2016-12-12,111.1,113.2,110.0,111.5,487080
2016-12-14,112.9,113.3,108.2,109.3,800187
2016-12-15,110.5,110.9,104.3,105.7,925699
2016-12-18,106.9,108.8,103.0,107.6,898815
2016-12-19,109.0,113.6,109.0,109.9,1218287
2016-12-20,111.0,111.0,104.8,105.9,685175
2016-12-21,107.0,110.0,103.8,108.9,1271652
2016-12-22,110.0,112.0,106.3,107.3,1170027
2016-12-26,107.1,109.8,104.0,104.5,971416
2016-12-27,105.5,107.0,103.5,104.0,761274
2016-12-28,104.0,105.0,101.7,102.0,652321
2016-12-29,103.0,104.0,100.8,102.3,724486
2017-01-01,102.7,112.0,102.7,111.6,1460974
2017-01-02,112.9,114.5,108.2,108.7,1031638
2017-01-03,109.1,116.9,107.9,114.3,2344903
2017-01-04,115.0,117.0,110.7,111.6,1049800
2017-01-05,112.0,115.8,110.0,110.7,1554708
2017-01-08,113.0,113.0,108.9,110.0,626788
2017-01-09,110.6,114.1,110.6,113.4,956869
2017-01-10,115.0,120.0,113.8,117.8,2546283
2017-01-11,117.5,123.2,116.9,117.3,2207736
2017-01-12,117.6,119.0,112.8,113.3,1053113
2017-01-15,116.2,116.2,109.0,110.1,1437623
2017-01-16,110.5,113.0,107.0,108.4,954068
2017-01-17,109.0,111.8,106.1,107.6,1049212
2017-01-18,109.7,110.0,105.0,106.0,766080
2017-01-19,106.2,109.7,105.9,108.0,601154
2017-01-22,109.4,112.7,109.2,111.9,806222
2017-01-23,112.5,115.0,109.3,110.7,1105351
2017-01-24,111.9,112.0,107.3,107.7,697863
2017-01-25,108.1,108.9,104.4,104.9,679178
2017-01-26,105.1,106.8,102.8,103.5,732481
2017-01-29,104.4,109.3,103.3,108.0,779106
2017-01-30,109.3,110.6,107.0,109.1,834857
2017-01-31,114.0,115.9,110.2,111.2,2057771
2017-02-01,112.8,112.8,107.9,108.6,789608
2017-02-02,108.6,110.7,106.2,106.7,563432
2017-02-05,107.0,109.0,105.0,106.9,453214
2017-02-06,107.1,108.9,106.7,108.1,318466
2017-02-07,108.2,112.9,107.5,112.2,1131848
2017-02-08,113.0,114.5,111.4,111.8,842944
2017-02-09,112.2,112.7,110.3,111.9,648972
2017-02-12,113.4,116.8,112.7,115.1,1633157
2017-02-13,115.9,121.4,115.2,119.7,2287971
2017-02-14,119.8,123.1,117.5,119.0,1862471
2017-02-15,119.8,121.8,118.0,118.7,1235858
2017-02-16,119.1,124.8,118.7,123.1,1603778
2017-02-19,124.0,127.9,124.0,127.3,1788541
2017-02-20,128.0,128.5,123.5,123.8,1473802
2017-02-22,124.3,126.5,123.5,125.2,1090813
2017-02-23,126.0,126.5,121.0,121.9,1329888
2017-02-26,122.0,127.5,122.0,124.1,1842574
2017-02-27,124.7,124.7,121.2,122.1,992210
2017-02-28,122.1,123.5,120.2,121.1,1082335
2017-03-01,121.1,122.3,117.8,118.3,852951
2017-03-02,119.6,119.7,115.8,116.6,880834
2017-03-05,118.5,122.7,117.1,121.3,858731
2017-03-06,122.5,122.9,118.9,119.5,801968
2017-03-07,119.6,120.5,118.1,118.7,582600
2017-03-08,118.9,119.0,116.3,116.8,773373
2017-03-09,118.5,121.9,117.2,119.9,1160681
2017-03-12,120.0,121.2,116.8,117.1,680466
2017-03-13,118.0,118.3,115.5,115.9,522638
2017-03-14,115.8,118.5,115.1,117.4,480314
2017-03-15,118.5,119.7,117.5,118.2,685950
2017-03-16,118.2,119.9,117.0,118.7,750422
2017-03-19,119.3,119.3,116.0,116.8,363543
2017-03-20,118.0,118.9,117.0,117.9,396219
2017-03-21,118.4,118.4,115.7,116.2,339596
2017-03-22,116.9,116.9,115.1,115.4,458008
2017-03-23,116.0,116.0,113.8,114.0,370911
2017-03-27,114.0,115.8,112.5,114.1,432427
2017-03-28,115.8,116.5,112.6,113.7,350535
2017-03-29,113.5,116.9,112.8,114.9,455279
2017-03-30,114.5,116.6,114.4,115.0,261413
2017-04-02,116.0,118.6,115.1,118.1,743757
2017-04-03,118.9,121.9,118.9,121.4,1627661
2017-04-04,122.5,123.1,119.4,119.6,987522
2017-04-05,120.7,120.7,116.7,117.2,892544
2017-04-06,120.0,122.0,117.1,117.3,1024541
2017-04-09,117.9,119.0,114.8,115.2,385857
2017-04-10,116.5,117.5,115.2,116.2,341452
2017-04-11,117.0,118.2,116.7,117.3,258612
2017-04-12,117.8,121.0,117.8,120.7,1061903
2017-04-13,121.5,123.8,120.6,121.5,1282080
2017-04-16,122.0,122.0,118.9,119.3,560335
2017-04-17,120.8,123.0,119.1,120.1,2134450
2017-04-18,120.1,120.5,116.8,117.2,757052
2017-04-19,117.8,119.5,116.3,118.5,596880
2017-04-20,118.8,119.4,116.5,116.8,457845
2017-04-23,116.5,116.5,115.0,115.3,458930
2017-04-24,116.9,116.9,114.6,115.1,370808
2017-04-25,115.3,118.0,115.0,116.2,484738
2017-04-26,116.5,119.0,115.9,117.5,431999
2017-04-27,118.0,119.7,116.4,116.8,522074
2017-04-30,117.0,117.1,115.2,115.9,350619
2017-05-02,116.1,120.6,116.1,120.2,1156249
2017-05-03,120.8,122.4,118.3,118.9,745785
2017-05-04,119.0,121.7,118.9,120.9,1133923
2017-05-07,121.0,126.3,121.0,125.9,3611072
2017-05-08,126.5,127.6,123.9,124.2,1193686
2017-05-09,124.6,132.4,123.8,130.9,3976866
2017-05-11,131.5,135.9,131.1,131.6,3018335
2017-05-14,132.0,135.2,131.2,132.8,2297963
2017-05-15,133.0,134.9,129.3,130.1,1455666
2017-05-16,131.0,138.7,130.3,137.7,2163688
2017-05-17,138.9,139.7,134.2,135.3,1412673
2017-05-18,136.0,138.2,132.7,134.0,1620822
2017-05-21,133.1,137.7,132.7,137.0,1056774
2017-05-22,137.0,142.8,137.0,141.9,1637537
2017-05-23,142.0,143.5,139.5,141.6,1322536
2017-05-24,142.6,142.6,138.2,138.7,639155
2017-05-25,139.5,141.6,137.0,138.1,1023078
2017-05-28,138.1,139.3,135.0,136.4,536356
2017-05-29,137.8,137.8,134.9,136.3,296982
2017-05-30,135.7,142.0,135.6,141.0,973095
2017-05-31,141.8,144.5,140.9,143.3,967791
2017-06-01,143.0,144.6,141.1,144.0,621581
2017-06-04,143.0,147.4,142.8,146.5,914809
2017-06-05,147.9,147.9,142.5,143.3,809016
2017-06-06,143.4,144.5,141.1,143.8,719696
2017-06-07,145.0,145.1,140.4,141.1,870445
2017-06-08,141.2,142.6,140.8,141.3,451450
2017-06-11,141.9,141.9,138.3,138.9,598335
2017-06-12,138.9,140.8,136.8,137.8,551133
2017-06-13,138.9,139.2,137.0,137.9,410688
2017-06-14,138.9,139.0,135.9,136.0,657555
2017-06-15,136.7,136.8,134.9,135.9,457935
2017-06-18,137.0,137.8,135.5,135.9,356713
2017-06-19,136.0,136.2,135.0,135.6,264574
2017-06-20,136.5,139.2,136.0,139.0,336976
2017-06-21,139.0,140.4,137.6,138.2,259627
2017-06-22,139.0,141.5,139.0,140.1,801459
2017-06-28,141.0,143.8,140.2,142.6,869179
2017-06-29,143.5,149.9,141.0,149.3,2319015
2017-07-02,150.0,155.4,148.0,152.2,2046745
2017-07-03,153.5,153.5,149.6,150.5,1724608
2017-07-04,148.2,150.0,148.1,148.8,996391
2017-07-05,149.0,151.5,147.8,150.0,777831
2017-07-06,149.2,158.0,149.2,156.1,1308563
2017-07-09,157.5,157.5,152.0,152.9,772528
2017-07-10,153.8,154.8,151.5,151.9,794257
2017-07-11,152.2,152.9,149.0,150.1,484206
2017-07-12,151.0,152.6,148.9,149.7,742439
2017-07-13,149.1,150.8,147.0,148.1,1854038
2017-07-16,149.0,149.8,145.8,147.9,3285528
2017-07-17,149.6,150.8,146.4,149.2,2074265
2017-07-18,149.5,151.8,148.3,151.3,2287925
2017-07-19,151.5,152.8,148.3,149.1,2926477
2017-07-20,149.2,149.2,145.9,146.2,1032542
2017-07-23,146.5,147.5,144.7,145.1,435800
2017-07-24,145.0,147.4,144.7,146.7,522678
2017-07-25,147.5,148.3,145.8,146.1,341468
2017-07-26,147.5,147.5,145.4,146.7,378441
2017-07-27,146.8,147.0,144.6,145.1,353495
2017-07-30,145.2,145.4,143.5,143.9,342436
2017-07-31,145.1,146.0,143.2,143.6,386407
2017-08-01,144.0,144.7,142.6,143.5,358708
2017-08-02,144.0,144.1,141.1,141.9,382154
2017-08-03,142.0,145.4,142.0,144.8,452534
2017-08-06,145.2,146.0,143.3,143.7,338775
2017-08-07,144.9,144.9,141.7,142.1,248437
2017-08-08,142.3,142.9,141.0,141.8,309287
2017-08-09,141.8,143.7,141.8,142.8,255575
2017-08-10,143.5,143.5,140.1,141.1,409025
2017-08-13,141.3,142.0,138.3,138.7,288978
2017-08-16,138.7,139.3,136.3,136.6,364031
2017-08-17,138.0,142.2,136.3,140.1,804635
2017-08-20,141.7,144.0,138.6,139.0,434941
2017-08-21,140.8,140.8,136.6,136.9,375633
2017-08-22,137.0,138.2,136.8,137.5,438145
2017-08-23,137.1,139.0,136.1,136.7,485323
2017-08-24,135.9,139.5,135.9,136.9,212670
2017-08-27,137.1,139.0,135.3,135.9,452095
2017-08-28,136.2,140.9,136.2,139.4,522098
2017-08-29,139.9,140.5,137.2,137.5,285696
2017-08-30,139.0,139.0,137.1,137.9,153611
2017-08-31,137.1,138.9,137.1,137.9,184487
2017-09-04,139.4,139.4,137.3,137.7,146417
