Date,Open,High,Low,Close,Volume
2012-10-01,39.0,39.6,37.3,39.1,14400
2012-10-02,38.2,40.0,37.9,38.5,14900
2012-10-03,40.5,40.5,37.0,39.0,12900
2012-10-04,39.8,39.8,37.2,38.2,3800
2012-10-07,37.6,38.3,36.9,37.0,7400
2012-10-08,38.0,38.0,33.5,34.4,7800
2012-10-09,36.0,37.5,36.0,37.1,20900
2012-10-10,37.5,38.2,36.5,37.2,8200
2012-10-11,36.9,37.5,36.0,36.8,11700
2012-10-14,36.1,38.7,36.0,36.7,5500
2012-10-15,36.4,36.4,35.0,35.4,3300
2012-10-16,36.8,36.8,35.7,36.4,1200
2012-10-17,35.6,35.6,35.0,35.0,5000
2012-10-18,36.9,36.9,35.0,35.2,2300
2012-10-21,34.5,34.6,33.5,33.9,8800
2012-10-22,33.1,36.2,33.0,34.3,2100
2012-10-23,34.5,36.0,34.0,35.3,4800
2012-10-30,34.2,35.0,34.0,34.0,18100
2012-10-31,35.0,36.0,34.3,35.0,11200
2012-11-01,35.1,35.1,34.5,34.7,2900
2012-11-04,33.6,34.2,33.6,33.7,4900
2012-11-05,35.9,35.9,33.8,33.8,6100
2012-11-06,34.0,34.5,33.8,34.0,8900
2012-11-07,34.0,34.2,33.6,33.8,5000
2012-11-08,34.0,36.0,34.0,34.8,14500
2012-11-11,35.2,35.2,32.0,32.6,5400
2012-11-12,33.6,33.6,32.0,32.5,3800
2012-11-13,32.0,33.5,32.0,33.0,6100
2012-11-14,33.4,33.5,32.5,33.3,11500
2012-11-18,31.3,32.2,31.0,31.5,14100
2012-11-19,30.6,30.6,30.1,30.3,2300
2012-11-20,29.8,29.8,29.1,29.1,4000
2012-11-21,30.0,30.9,28.7,29.0,5200
2012-11-22,30.5,31.5,29.0,31.1,25600
2012-11-26,31.0,31.0,29.4,29.8,1800
2012-11-27,30.5,30.5,29.7,29.8,2400
2012-11-28,30.5,30.6,28.9,29.5,6800
2012-11-29,30.9,31.0,30.2,30.5,10200
2012-12-02,30.5,30.5,29.5,29.7,3700
2012-12-03,30.0,30.0,29.4,29.6,3300
