Date,Open,High,Low,Close,Volume
2012-10-01,13.2,14.7,12.8,14.2,34100
2012-10-02,15.2,15.2,13.9,13.9,16000
2012-10-03,13.1,14.0,13.1,13.6,12000
2012-10-04,13.5,14.0,12.3,13.3,18700
2012-10-07,13.3,13.3,12.0,12.3,10200
2012-10-08,12.5,12.7,11.4,12.2,23200
2012-10-09,12.9,13.0,12.3,12.4,19100
2012-10-10,12.0,12.8,12.0,12.5,12900
2012-10-11,12.8,12.8,12.0,12.1,3100
2012-10-14,12.1,12.2,12.0,12.1,5300
2012-10-15,11.1,12.2,11.0,11.9,13300
2012-10-16,11.8,12.3,11.5,11.9,7600
2012-10-17,12.0,12.1,11.1,11.5,6700
2012-10-18,11.5,12.5,11.5,12.0,6100
2012-10-21,12.4,12.5,12.0,12.3,2100
2012-10-22,12.0,12.5,12.0,12.2,9200
2012-10-23,12.0,12.6,11.9,12.1,2400
2012-10-30,12.5,12.5,12.0,12.2,2200
2012-10-31,12.2,12.2,12.2,12.2,200
2012-11-01,11.8,11.9,11.5,11.6,4600
2012-11-04,11.2,11.2,10.6,11.1,5600
2012-11-05,10.7,11.5,10.2,10.5,1800
2012-11-06,10.8,11.3,10.8,10.9,2900
2012-11-07,10.3,11.1,10.3,10.7,2500
2012-11-08,11.2,11.2,10.1,10.5,1500
2012-11-11,11.0,11.0,9.7,9.8,8900
2012-11-12,9.2,10.0,9.2,9.5,6400
2012-11-13,10.2,10.4,9.5,10.4,8100
2012-11-14,10.2,10.5,10.0,10.1,8900
2012-11-15,10.4,10.4,10.4,10.4,2000
2012-11-18,10.6,11.0,10.5,10.5,2600
2012-11-19,10.5,10.5,10.4,10.4,1300
2012-11-20,10.2,10.4,9.5,10.0,6600
2012-11-21,10.0,10.1,9.8,9.9,8600
2012-11-22,10.0,10.0,9.8,9.8,15700
2012-11-26,9.7,9.7,9.2,9.3,6900
2012-11-27,9.5,9.6,9.5,9.5,7600
2012-11-28,9.4,9.4,9.2,9.3,3500
2012-11-29,9.9,10.2,9.8,10.0,15100
2012-12-02,10.3,10.3,9.4,9.8,5600
2012-12-04,9.3,9.9,9.2,9.4,400
2012-12-05,9.6,9.6,9.3,9.5,1500
2012-12-06,9.6,9.9,9.4,9.5,1700
2012-12-10,8.9,9.9,8.9,9.1,3200
2012-12-11,9.8,9.9,9.3,9.7,6600
2012-12-12,9.5,9.7,9.5,9.6,1000
2012-12-13,9.8,10.0,9.7,9.7,1400
2012-12-17,9.3,9.9,9.3,9.5,1900
2012-12-18,9.4,9.7,9.4,9.5,2300
2012-12-19,9.9,9.9,9.5,9.8,900
2012-12-20,10.1,10.2,9.6,9.8,1900
2012-12-23,9.5,9.9,9.5,9.5,5300
2012-12-24,9.4,9.6,9.4,9.4,3900
2012-12-26,9.5,9.6,9.5,9.5,2400
2012-12-27,9.4,9.5,8.8,9.1,9900
2012-12-30,9.3,9.4,9.0,9.1,9800
2013-01-01,9.1,9.4,9.1,9.2,1600
2013-01-02,9.2,9.2,9.2,9.2,100
2013-01-03,9.2,9.3,9.0,9.1,7900
2013-01-06,9.1,9.3,9.0,9.0,5100
2013-01-07,9.1,9.3,9.0,9.0,6900
2013-01-08,9.0,9.0,9.0,9.0,2600
2013-01-09,9.0,9.0,8.8,8.9,4300
2013-01-10,9.3,9.3,8.8,8.9,5200
2013-01-13,8.5,9.1,8.5,8.9,4800
2013-01-14,8.7,8.9,8.5,8.6,3000
2013-01-15,9.0,9.0,8.6,8.6,4200
2013-01-16,8.6,9.0,8.6,8.7,1300
2013-01-17,8.7,8.7,8.7,8.7,2000
2013-01-20,9.0,9.1,8.9,8.9,3700
2013-01-21,9.0,9.0,9.0,9.0,1800
2013-01-22,9.1,9.1,9.1,9.1,100
2013-01-23,8.9,9.0,8.9,8.9,2100
2013-01-24,9.0,9.0,8.9,8.9,3300
2013-01-27,9.0,9.0,9.0,9.0,1300
2013-01-28,9.0,9.2,9.0,9.1,4800
2013-01-29,9.1,9.3,9.1,9.1,5200
2013-01-30,9.1,9.1,9.0,9.0,3900
2013-01-31,9.7,9.7,9.1,9.2,5600
2013-02-03,9.3,9.5,9.3,9.3,16200
2013-02-04,9.4,9.4,9.3,9.3,2800
2013-02-05,9.1,9.4,9.1,9.1,3000
2013-02-06,9.1,9.3,9.1,9.1,1500
2013-02-07,9.1,9.1,9.1,9.1,500
2013-02-10,9.2,9.3,9.1,9.1,2300
2013-02-11,8.8,9.5,8.8,9.3,4300
2013-02-12,9.6,9.6,9.1,9.2,2100
2013-02-13,9.2,9.5,9.2,9.2,6600
2013-02-14,9.4,9.4,9.2,9.2,6500
2013-02-17,9.3,9.4,9.1,9.1,5300
2013-02-18,9.1,9.1,9.1,9.1,1400
2013-02-19,9.2,9.2,9.0,9.1,7600
2013-02-20,9.2,9.2,9.1,9.1,1200
2013-02-24,9.1,9.1,8.8,8.9,1500
2013-02-25,8.9,8.9,8.7,8.7,5100
2013-02-26,8.7,9.1,8.7,8.9,600
2013-02-27,8.5,8.5,8.2,8.2,15600
2013-02-28,8.5,8.8,8.1,8.2,9000
2013-03-03,7.9,8.1,7.9,7.9,2600
2013-03-04,7.5,8.0,7.5,7.5,800
2013-03-05,8.2,8.2,8.2,8.2,100
2013-03-06,8.0,8.0,8.0,8.0,700
2013-03-07,8.5,8.5,8.5,8.5,1900
2013-03-10,8.4,8.4,8.1,8.2,6400
2013-03-11,8.1,8.1,7.9,8.0,200
2013-03-12,7.9,8.1,7.9,8.0,800
2013-03-13,8.5,8.5,8.2,8.2,1300
2013-03-14,8.2,8.2,8.2,8.2,100
2013-03-19,8.2,8.2,8.0,8.1,1600
2013-03-20,7.9,7.9,7.8,7.8,700
2013-03-24,7.5,8.0,7.5,7.7,600
2013-03-25,7.6,7.8,7.5,7.6,2000
2013-03-27,7.9,7.9,7.5,7.8,4700
2013-03-28,7.8,7.8,7.8,7.8,100
2013-03-31,7.8,7.9,7.8,7.8,800
2013-04-01,7.3,7.9,7.3,7.6,300
2013-04-02,8.0,8.0,7.5,7.6,1100
2013-04-03,8.0,8.0,7.9,7.9,7200
2013-04-04,8.1,8.1,8.0,8.0,300
2013-04-07,7.9,8.0,7.9,7.9,1700
2013-04-08,8.2,8.6,8.0,8.2,5000
2013-04-09,8.1,8.4,8.1,8.2,3800
2013-04-10,8.3,8.3,8.3,8.3,500
2013-04-11,8.0,8.5,8.0,8.2,2100
2013-04-15,8.9,8.9,8.5,8.7,8300
2013-04-16,8.2,8.2,8.1,8.1,3300
2013-04-17,8.1,8.2,8.1,8.1,1300
2013-04-18,8.0,8.2,8.0,8.0,9500
2013-04-21,8.5,8.7,8.0,8.5,5500
2013-04-22,9.0,9.1,8.3,8.7,3900
2013-04-23,8.4,8.9,8.2,8.4,4500
2013-04-24,8.8,8.8,8.8,8.8,1100
2013-04-25,8.8,8.8,8.5,8.6,700
2013-04-28,8.7,8.7,8.7,8.7,100
2013-04-29,8.4,8.4,8.3,8.3,1600
2013-04-30,8.0,8.0,7.8,7.8,2500
2013-05-02,8.0,8.0,8.0,8.0,700
2013-05-05,8.0,8.4,7.9,8.3,1200
2013-05-06,8.6,8.6,8.1,8.3,1200
2013-05-07,8.4,8.4,8.2,8.3,2200
2013-05-08,8.0,8.0,8.0,8.0,100
2013-05-09,8.1,8.1,8.0,8.0,2100
2013-05-12,8.1,8.3,8.1,8.1,2500
2013-05-13,8.4,8.4,8.4,8.4,100
2013-05-14,8.5,8.5,8.2,8.2,4900
2013-05-15,9.0,9.0,8.4,8.5,2800
2013-05-16,8.5,8.7,8.5,8.6,7400
2013-05-19,9.2,9.2,8.8,8.9,10900
2013-05-20,9.0,9.1,8.7,8.7,8500
2013-05-21,8.8,8.9,8.7,8.7,2000
2013-05-22,8.7,8.7,8.6,8.6,1200
2013-05-27,8.5,8.5,8.5,8.5,300
2013-05-29,8.5,8.7,8.5,8.5,1500
2013-05-30,8.5,8.7,8.4,8.5,13500
2013-06-02,8.5,8.7,8.4,8.5,9900
2013-06-03,8.3,8.5,8.0,8.3,9900
2013-06-04,8.2,8.5,8.2,8.2,9500
2013-06-05,8.5,8.7,8.5,8.6,4600
2013-06-06,8.5,8.6,8.3,8.4,7300
2013-06-09,8.4,9.1,8.1,8.2,8300
2013-06-10,8.2,8.9,8.2,8.6,5300
2013-06-11,9.0,9.0,8.2,8.2,15200
2013-06-12,8.6,8.8,8.5,8.6,5800
2013-06-13,8.4,8.5,8.4,8.4,6300
2013-06-16,8.4,8.9,8.4,8.6,7300
