Date,Open,High,Low,Close,Volume
2012-10-01,42.5,44.3,42.2,43.8,42400
2012-10-02,45.3,47.2,44.0,45.8,76000
2012-10-03,45.3,49.0,45.3,45.9,127400
2012-10-04,46.9,46.9,44.2,45.0,52800
2012-10-07,44.8,44.8,42.6,42.9,36800
2012-10-08,43.9,43.9,42.4,42.8,87000
2012-10-09,43.5,45.5,43.5,44.1,29800
2012-10-10,44.0,44.0,42.3,42.4,78200
2012-10-11,42.2,42.3,41.2,41.6,77400
2012-10-14,42.0,42.1,41.0,41.0,52200
2012-10-15,41.4,42.3,41.1,41.7,28000
2012-10-16,42.4,43.5,42.2,42.8,48400
2012-10-17,41.7,43.6,41.7,42.6,67600
2012-10-18,42.4,43.0,42.4,42.7,21000
2012-10-21,43.8,43.8,41.0,41.3,30400
2012-10-22,41.3,42.4,41.3,41.8,12000
2012-10-23,42.2,42.6,41.7,41.9,45800
2012-10-30,41.0,42.1,41.0,41.9,9800
2012-10-31,42.5,42.5,40.9,41.9,41400
2012-11-01,41.9,42.1,41.3,41.6,25600
2012-11-04,40.8,41.9,40.2,40.3,32600
2012-11-05,40.2,40.6,39.5,40.1,20000
2012-11-06,40.8,40.8,39.0,39.5,13200
2012-11-07,40.4,40.9,38.7,39.2,31000
2012-11-08,39.5,39.5,38.7,39.2,10000
2012-11-11,38.9,38.9,37.8,38.2,10800
2012-11-12,38.9,38.9,37.2,37.5,17200
2012-11-13,38.5,39.0,38.5,38.8,5800
2012-11-14,38.7,39.1,38.6,38.7,17800
2012-11-15,39.0,39.5,39.0,39.4,6600
2012-11-18,39.5,39.8,38.1,39.1,12800
2012-11-19,38.1,38.9,37.6,38.1,10800
2012-11-20,37.4,37.9,37.1,37.3,2200
2012-11-21,37.0,37.7,36.9,37.1,4600
2012-11-22,37.9,38.5,37.9,38.0,2200
2012-11-26,38.0,38.0,36.3,37.0,4400
2012-11-27,36.1,36.2,35.6,35.8,6800
2012-11-28,36.0,36.8,35.4,35.7,14600
2012-11-29,37.5,38.0,37.2,37.8,5600
2012-12-02,37.8,37.9,37.2,37.8,17200
2012-12-03,35.7,36.5,35.7,36.3,2600
2012-12-04,36.9,37.0,35.8,36.1,4800
2012-12-05,36.1,36.2,35.9,36.0,3000
2012-12-06,35.8,36.9,35.2,36.0,73400
2012-12-09,35.1,37.2,35.0,36.1,42800
2012-12-10,35.4,35.4,35.4,35.4,200
2012-12-11,36.2,36.5,35.5,36.1,3200
2012-12-12,36.3,36.5,35.5,35.9,5400
2012-12-13,36.0,36.6,36.0,36.0,13800
2012-12-17,36.5,37.3,36.3,36.5,11800
2012-12-18,36.0,36.0,35.6,35.7,3000
2012-12-19,36.4,36.8,36.0,36.4,10200
2012-12-20,37.2,37.2,36.2,36.5,14200
2012-12-23,36.7,36.7,36.0,36.0,8000
2012-12-24,36.0,36.3,36.0,36.1,17000
2012-12-26,36.4,36.5,36.0,36.1,15200
2012-12-27,36.2,36.9,36.0,36.6,12600
2012-12-30,36.9,37.0,36.7,36.8,15400
2013-01-01,36.8,36.8,36.4,36.5,3600
2013-01-02,36.1,36.1,36.0,36.0,1400
2013-01-03,36.5,36.5,36.1,36.1,3400
2013-01-06,36.0,36.6,36.0,36.3,4000
2013-01-07,36.1,36.1,35.9,36.0,6800
2013-01-08,35.7,36.5,35.7,35.8,4400
2013-01-09,35.6,35.6,35.6,35.6,400
2013-01-10,34.8,34.8,34.8,34.8,600
2013-01-13,35.1,36.0,35.1,35.2,2200
2013-01-14,35.0,35.4,35.0,35.2,3600
2013-01-15,34.7,35.3,34.7,35.1,8200
2013-01-16,35.9,36.0,35.8,35.9,7000
2013-01-17,36.0,36.0,35.1,35.7,3800
2013-01-20,35.7,36.0,35.6,35.9,14600
2013-01-21,35.5,36.0,35.5,35.9,4400
2013-01-22,35.8,36.3,35.8,36.0,6200
2013-01-23,36.8,37.5,36.5,36.8,9200
2013-01-24,38.7,38.7,37.0,37.6,3600
2013-01-27,36.2,37.8,36.2,37.2,5200
2013-01-28,37.2,39.8,37.2,38.3,11400
2013-01-29,39.9,41.5,39.3,40.3,38200
2013-01-30,40.5,40.5,38.3,39.0,10600
2013-01-31,38.3,39.9,38.3,39.5,14400
2013-02-03,40.5,42.0,39.5,41.2,43200
2013-02-04,42.4,42.4,40.5,40.7,64800
2013-02-05,40.9,41.4,39.7,40.4,19200
2013-02-06,41.0,41.0,40.0,40.4,3600
2013-02-07,40.3,40.7,39.2,39.4,32800
2013-02-10,39.4,40.4,39.4,39.9,33400
2013-02-11,40.8,41.9,39.8,40.3,25800
2013-02-12,41.6,41.8,39.9,40.2,15400
2013-02-13,39.2,41.5,39.2,40.0,36200
2013-02-14,41.9,42.5,41.1,42.1,56000
2013-02-17,42.9,43.4,41.5,41.6,22200
2013-02-18,40.7,41.2,40.5,40.6,23800
2013-02-19,40.1,40.1,39.3,39.5,34400
2013-02-20,39.5,39.7,38.6,38.8,12400
2013-02-24,38.4,38.9,37.7,38.1,13400
2013-02-25,38.7,38.7,37.2,37.5,13800
2013-02-26,37.5,38.8,37.2,38.0,15000
2013-02-27,38.9,38.9,36.4,36.7,23000
2013-02-28,36.8,37.8,36.8,37.0,11000
2013-03-03,35.1,35.1,35.0,35.0,13000
2013-03-04,35.4,37.0,35.2,35.8,7800
2013-03-05,36.5,37.0,36.5,36.6,1600
2013-03-06,36.5,36.5,35.7,35.8,5000
2013-03-07,34.1,36.9,34.1,36.1,5800
2013-03-11,35.2,36.2,35.2,36.0,18000
2013-03-12,36.0,36.5,36.0,36.1,6200
2013-03-13,36.5,36.5,36.0,36.2,20200
2013-03-14,36.2,37.9,36.2,37.4,10000
2013-03-18,37.0,37.0,37.0,37.0,600
2013-03-19,36.5,36.5,36.5,36.5,6800
2013-03-20,36.3,36.4,36.3,36.3,4200
2013-03-24,35.7,36.1,35.7,35.8,10400
2013-03-25,35.2,35.2,35.2,35.2,7800
2013-03-27,35.0,35.0,34.0,34.3,800
2013-03-28,34.4,34.4,34.3,34.3,2200
2013-03-31,33.7,34.0,33.0,33.6,13000
2013-04-01,32.7,33.7,32.7,33.6,42200
2013-04-02,33.5,34.0,33.0,33.5,8800
2013-04-03,33.2,34.0,33.0,33.4,15400
2013-04-04,32.0,33.8,32.0,33.4,9200
2013-04-07,33.0,34.2,33.0,33.4,4400
2013-04-08,33.9,33.9,33.4,33.5,1000
2013-04-09,33.1,33.7,33.1,33.5,3800
2013-04-10,34.9,35.0,34.0,34.2,10600
2013-04-11,33.0,33.1,32.9,32.9,10000
2013-04-15,34.3,34.3,34.0,34.1,6600
2013-04-16,33.2,33.2,32.6,33.1,11200
2013-04-17,33.0,33.5,33.0,33.1,8200
2013-04-18,33.8,33.8,32.8,33.0,3200
2013-04-21,32.7,32.9,32.0,32.4,6000
2013-04-22,33.0,33.0,32.4,32.7,400
2013-04-23,32.0,32.0,31.8,31.9,3400
2013-04-24,31.8,31.8,31.0,31.3,6600
2013-04-25,31.5,31.8,31.3,31.3,33800
2013-04-28,30.2,30.3,29.0,29.6,13800
2013-04-29,28.3,29.8,28.1,28.1,28000
2013-04-30,29.5,30.5,28.6,29.9,52000
2013-05-02,29.1,32.8,29.1,31.0,48200
2013-05-05,31.9,31.9,31.2,31.4,11600
2013-05-06,31.4,32.0,30.7,31.7,20800
2013-05-07,31.9,32.2,31.9,32.0,10400
2013-05-08,32.6,32.6,32.1,32.2,23400
2013-05-09,31.5,33.1,31.5,32.6,42400
2013-05-12,33.0,34.5,33.0,34.1,44200
2013-05-13,34.9,35.3,34.0,35.0,113800
2013-05-14,35.0,38.5,34.9,38.1,244800
2013-05-16,37.9,39.3,37.1,38.5,212000
2013-05-19,38.9,39.4,38.2,39.0,78600
2013-05-20,40.5,40.5,37.6,37.7,66800
2013-05-21,38.2,38.2,35.9,36.3,65600
2013-05-22,36.2,36.8,35.1,35.8,43000
2013-05-26,35.5,35.8,33.9,34.2,29800
2013-05-27,33.9,36.0,33.9,35.6,6600
2013-05-28,36.7,36.7,35.4,35.6,21600
2013-05-29,36.7,36.7,35.7,36.2,23200
