Date,Open,High,Low,Close,Volume
2012-10-01,75.0,77.0,73.6,76.1,90400
2012-10-02,78.7,78.7,76.1,77.0,115800
2012-10-03,78.0,82.4,76.9,77.3,255800
2012-10-04,81.7,81.8,77.0,77.1,169000
2012-10-07,77.0,78.0,73.1,74.2,67200
2012-10-08,76.1,76.1,73.0,73.8,46000
2012-10-09,74.4,76.8,73.5,74.2,114000
2012-10-10,74.3,75.0,72.8,73.2,176800
2012-10-11,74.7,76.9,72.7,74.0,184600
2012-10-14,79.0,79.0,72.5,72.8,102400
2012-10-15,75.0,75.7,73.0,73.2,71200
2012-10-16,75.0,75.0,73.0,73.1,52600
2012-10-17,74.4,75.0,73.0,73.3,61200
2012-10-18,73.3,74.0,73.0,73.3,27000
2012-10-21,72.6,73.5,71.3,71.4,56200
2012-10-22,72.9,73.8,71.6,73.0,56400
2012-10-23,73.5,74.8,72.2,72.8,91800
2012-10-30,74.0,74.0,68.6,68.7,96200
2012-10-31,69.8,70.0,67.2,68.0,62600
2012-11-01,69.6,69.6,67.2,68.7,23800
2012-11-04,67.4,67.8,66.3,66.8,32400
2012-11-05,66.0,67.5,65.9,66.5,13800
2012-11-06,67.0,67.0,64.6,65.0,38600
2012-11-07,64.8,65.9,64.1,64.6,17400
2012-11-08,64.0,64.0,62.6,62.9,33400
2012-11-11,62.8,62.8,60.0,60.5,30600
2012-11-12,62.9,62.9,60.5,60.7,16600
2012-11-13,60.8,63.0,60.8,62.0,33600
2012-11-14,62.9,63.5,62.2,62.3,58800
2012-11-15,61.1,63.0,60.8,62.2,44800
2012-11-18,62.9,63.1,62.2,62.6,55000
2012-11-19,61.6,61.6,59.4,59.7,32400
2012-11-20,60.9,61.2,58.7,59.6,18200
2012-11-21,59.0,61.7,59.0,59.7,13400
2012-11-22,59.8,61.3,59.2,59.7,39200
2012-11-26,60.1,60.9,58.9,59.0,20200
2012-11-27,58.1,59.0,57.1,57.4,10800
2012-11-28,57.3,57.3,54.0,55.1,12200
2012-11-29,56.5,59.7,56.3,59.1,66600
2012-12-02,60.4,61.5,57.0,57.9,25000
2012-12-03,56.7,56.7,55.1,55.5,11800
2012-12-04,55.2,55.8,54.4,55.5,18000
2012-12-05,55.0,56.1,55.0,55.9,8400
2012-12-06,55.2,56.8,55.1,55.5,25600
2012-12-09,57.8,57.8,55.1,55.7,24400
2012-12-10,55.0,55.1,54.5,54.8,5400
2012-12-11,55.5,55.5,54.7,55.1,4000
2012-12-12,55.4,55.5,53.3,53.6,25200
2012-12-13,53.8,54.0,52.9,53.0,33800
2012-12-17,55.5,55.7,54.6,55.2,12800
2012-12-18,56.0,57.0,54.7,55.0,31200
2012-12-19,56.0,56.5,55.3,55.8,22400
2012-12-20,57.0,57.9,55.9,56.4,34200
2012-12-23,55.3,56.0,55.2,55.5,11200
2012-12-24,55.7,56.1,55.4,55.6,18000
2012-12-26,55.3,56.0,55.2,55.5,64200
2012-12-27,58.7,58.7,55.6,56.3,76800
2012-12-30,57.1,57.1,56.2,56.6,47600
2013-01-01,57.0,57.3,56.2,56.4,16400
2013-01-02,55.9,55.9,55.2,55.4,11600
2013-01-03,55.1,56.0,54.7,55.1,17200
2013-01-06,55.6,55.6,55.1,55.1,14000
2013-01-07,55.1,55.2,54.6,54.7,32200
2013-01-08,54.7,55.0,54.6,54.8,15200
2013-01-09,54.9,55.0,54.0,54.0,20200
2013-01-10,54.2,55.0,54.2,54.4,8200
2013-01-13,54.1,55.2,54.1,54.3,9600
2013-01-14,54.3,54.3,53.8,53.9,12200
2013-01-15,54.0,54.7,53.4,54.4,14000
2013-01-16,54.2,54.4,53.4,54.2,9600
2013-01-17,54.2,54.9,54.0,54.6,52400
2013-01-20,54.7,55.0,54.3,54.4,31200
2013-01-21,54.5,55.0,54.4,54.8,16000
2013-01-22,54.7,56.4,54.7,55.9,55000
2013-01-23,56.0,59.2,56.0,58.8,147800
2013-01-24,59.0,59.4,58.2,59.1,52200
2013-01-27,59.5,60.0,58.6,58.9,88800
2013-01-28,59.5,60.7,59.0,60.1,49200
2013-01-29,61.8,62.6,61.1,61.2,71800
2013-01-30,62.1,62.2,60.3,60.8,60400
2013-01-31,60.6,63.6,60.6,62.6,50200
2013-02-03,61.3,66.4,61.3,65.6,142400
2013-02-04,65.6,66.3,63.5,63.9,57000
