Date,Open,High,Low,Close,Volume
2012-10-01,275.1,299.0,275.1,285.1,700
2012-10-02,290.0,290.0,290.0,290.0,100
2012-10-03,285.1,300.0,285.1,293.8,4650
2012-10-04,305.1,305.1,298.3,303.7,550
2012-10-07,298.0,306.0,294.1,298.9,850
2012-10-08,285.0,285.0,281.5,282.8,350
2012-10-09,281.6,288.0,281.6,282.6,500
2012-10-10,287.0,287.0,286.0,286.6,150
2012-10-11,288.0,288.0,282.0,282.7,450
2012-10-14,280.3,289.9,280.2,284.1,300
2012-10-15,286.0,286.0,286.0,286.0,250
2012-10-16,283.0,283.0,282.8,282.8,150
2012-10-17,281.6,281.6,281.6,281.6,100
2012-10-18,275.5,281.9,275.1,277.4,500
2012-10-21,277.0,277.0,277.0,277.0,50
2012-10-22,279.0,279.0,279.0,279.0,150
2012-10-23,275.0,276.0,275.0,275.2,250
2012-10-31,282.0,282.0,276.0,281.0,600
2012-11-01,279.3,279.3,279.3,279.3,400
2012-11-04,280.0,281.1,280.0,280.5,200
2012-11-05,290.0,302.0,288.0,291.0,550
2012-11-06,296.0,315.0,296.0,314.5,5200
2012-11-07,315.0,315.0,300.0,311.4,600
2012-11-08,300.0,312.0,300.0,305.0,250
2012-11-11,292.1,294.0,286.0,288.6,1850
2012-11-12,278.1,279.0,276.0,276.9,2800
2012-11-13,289.0,296.0,289.0,293.3,900
2012-11-14,292.0,295.0,290.9,293.2,1400
2012-11-15,291.0,292.0,291.0,291.3,2200
2012-11-18,296.1,296.1,292.1,292.6,800
2012-11-19,290.0,290.0,290.0,290.0,100
2012-11-20,280.2,280.2,280.2,280.2,250
2012-11-22,280.2,280.2,280.2,280.2,1050
2012-11-26,275.0,275.0,275.0,275.0,300
2012-11-27,273.0,274.0,273.0,273.2,900
2012-11-29,266.0,279.5,265.0,274.7,700
2012-12-03,279.1,279.1,265.0,270.6,250
2012-12-26,254.0,254.0,254.0,254.0,300
2012-12-27,240.0,240.0,232.0,234.5,250
2012-12-30,226.0,240.0,226.0,233.2,250
2013-01-06,235.0,238.0,235.0,237.0,300
2013-01-10,237.0,237.0,237.0,237.0,100
2013-01-13,249.0,249.0,235.0,241.3,600
2013-01-16,240.0,240.0,240.0,240.0,50
2013-01-17,235.0,235.0,235.0,235.0,100
2013-01-20,230.0,230.2,230.0,230.1,250
2013-01-22,234.9,235.0,234.9,234.9,100
2013-01-28,250.0,254.0,250.0,252.0,100
2013-02-05,250.9,250.9,240.0,247.2,300
2013-02-06,240.0,240.0,240.0,240.0,150
2013-02-11,241.0,241.0,241.0,241.0,100
