Date,Open,High,Low,Close,Volume
2012-10-01,11.6,12.4,10.8,12.3,2912500
2012-10-02,12.9,13.5,12.8,13.5,2202000
2012-10-03,14.8,14.8,12.6,13.2,5880000
2012-10-04,13.0,13.6,11.9,13.0,4448000
2012-10-07,13.3,13.4,11.7,11.7,1595000
2012-10-08,11.8,11.8,10.6,11.1,2933500
2012-10-09,11.8,12.1,11.2,11.8,2167500
2012-10-10,11.8,12.5,10.7,10.8,1121500
2012-10-11,10.8,11.1,10.2,10.4,1589500
2012-10-14,10.8,11.0,9.9,10.0,1340000
2012-10-15,10.1,11.0,9.8,10.9,1615000
2012-10-16,11.0,11.7,10.4,10.7,1831500
2012-10-17,10.6,10.9,10.3,10.6,944000
2012-10-18,10.4,11.2,10.4,10.8,926000
2012-10-21,11.2,11.2,10.2,10.3,900500
2012-10-22,10.3,10.6,10.1,10.5,628500
2012-10-23,10.4,11.1,10.3,10.3,1087000
2012-10-30,10.4,10.4,10.0,10.2,953500
2012-10-31,10.2,10.9,10.2,10.5,963500
2012-11-01,10.8,10.9,10.3,10.4,1199000
2012-11-04,10.5,10.5,10.2,10.2,1293500
2012-11-05,10.3,10.5,10.2,10.2,650500
2012-11-06,10.4,10.9,10.4,10.7,1512000
2012-11-07,10.9,11.0,10.5,10.6,2476500
2012-11-08,10.5,10.7,10.3,10.3,896000
2012-11-11,10.3,10.4,9.7,9.8,1384500
2012-11-12,9.8,10.2,9.4,9.5,751500
2012-11-13,9.9,9.9,9.5,9.6,644500
2012-11-14,9.6,9.8,9.4,9.4,681000
2012-11-15,9.4,10.3,9.4,10.2,1563500
2012-11-18,10.5,10.6,9.9,10.1,1557500
2012-11-19,10.0,10.1,9.7,9.7,842000
2012-11-20,9.3,10.0,9.2,9.5,502500
2012-11-21,9.9,9.9,9.6,9.7,359000
2012-11-22,9.9,10.0,9.6,9.6,871500
2012-11-26,9.7,9.8,9.5,9.5,328000
2012-11-27,9.5,9.6,9.2,9.3,350000
2012-11-28,9.7,9.7,9.0,9.2,430000
2012-11-29,9.5,9.8,9.3,9.6,629000
2012-12-02,9.8,9.9,9.2,9.3,613500
2012-12-03,9.3,9.4,9.0,9.1,330000
2012-12-04,9.2,9.2,8.9,9.0,606500
2012-12-05,9.1,9.1,8.9,9.0,402500
2012-12-06,9.0,9.0,8.8,8.8,571500
2012-12-09,8.8,8.8,8.6,8.7,329500
2012-12-10,8.6,8.7,8.5,8.5,397500
