Date,Open,High,Low,Close,Volume
2012-10-01,71.5,73.2,70.0,72.0,587200
2012-10-02,74.0,74.8,70.8,71.1,755800
2012-10-03,71.3,72.3,69.2,69.4,498000
2012-10-04,70.8,71.0,68.1,68.5,323200
2012-10-07,69.5,69.5,65.1,65.7,260600
2012-10-08,67.5,68.2,63.9,64.6,226800
2012-10-09,68.0,68.5,66.2,67.6,232400
2012-10-10,69.8,69.8,65.1,65.7,248000
2012-10-11,66.9,67.4,64.6,65.0,240000
2012-10-14,64.5,65.4,63.5,64.0,246400
2012-10-15,64.7,65.4,62.7,63.3,271800
2012-10-16,64.7,66.4,63.8,65.1,283800
2012-10-17,65.4,65.8,63.6,64.1,136000
2012-10-18,64.4,64.4,63.0,63.3,106000
2012-10-21,63.6,64.1,62.0,62.1,119000
2012-10-22,62.5,63.2,62.0,62.8,114800
2012-10-23,64.3,64.3,62.8,63.0,169800
2012-10-30,63.7,63.7,61.8,62.0,92200
2012-10-31,62.3,62.6,61.0,61.1,141800
2012-11-01,62.0,63.2,61.5,62.1,145000
2012-11-04,62.3,63.9,61.1,61.4,149000
2012-11-05,61.6,61.7,58.2,58.9,245600
2012-11-06,59.9,59.9,54.7,55.1,343600
2012-11-07,59.9,62.2,57.4,60.8,697600
2012-11-08,62.4,62.4,58.8,59.1,185600
2012-11-11,59.0,59.2,57.0,57.8,258000
2012-11-12,58.0,58.5,55.4,56.1,118600
2012-11-13,56.1,58.4,55.6,57.9,229600
2012-11-14,57.5,59.3,57.1,58.2,324600
2012-11-18,54.0,54.0,51.5,51.8,302000
2012-11-19,51.9,52.0,49.4,49.5,115000
2012-11-20,49.5,49.8,47.8,48.0,125200
2012-11-21,48.9,49.0,47.1,47.4,100600
2012-11-22,47.8,48.5,47.4,47.9,97400
2012-11-26,49.6,49.6,46.5,46.6,65600
2012-11-27,46.1,46.8,44.6,45.1,93800
2012-11-28,45.6,46.2,44.1,44.4,69800
2012-11-29,45.5,48.0,45.1,47.6,139600
2012-12-02,47.9,49.0,46.4,46.9,228400
