Date,Open,High,Low,Close,Volume
2020-08-24,15.0,15.0,15.0,15.0,87768
2020-08-25,22.5,22.5,22.5,22.5,2757466
2020-08-26,24.7,24.7,24.0,24.7,5618737
2020-08-27,26.0,27.0,25.4,26.0,5779284
2020-08-31,26.3,27.7,25.5,25.7,4068428
2020-09-01,26.2,28.2,26.1,28.2,5698287
2020-09-02,29.0,30.9,28.6,30.9,3584941
2020-09-03,31.0,32.4,28.0,28.6,7080146
2020-09-06,28.6,29.3,26.9,27.3,3504299
2020-09-07,27.5,29.9,26.9,29.6,3875110
2020-09-08,29.7,31.0,28.2,28.6,4482971
2020-09-09,28.8,30.5,28.1,29.0,3486542
2020-09-10,30.8,30.8,29.0,29.3,3407805
2020-09-13,29.7,32.2,29.5,32.0,5842320
2020-09-14,32.5,33.5,30.7,31.3,4419431
2020-09-15,28.2,30.9,26.5,29.8,5652827
2020-09-16,30.0,32.3,29.1,29.9,3593282
2020-09-17,30.0,30.4,28.1,28.4,3486617
2020-09-20,28.4,29.3,27.0,27.2,3429086
2020-09-21,27.8,28.4,26.6,26.9,2608411
2020-09-22,27.4,27.9,26.9,27.3,1804558
2020-09-23,27.4,29.9,27.3,29.4,4039660
2020-09-24,29.5,32.3,28.7,32.0,5236132
2020-09-27,33.0,34.5,29.7,31.0,5639824
2020-09-28,31.4,31.4,29.3,29.7,2803966
2020-09-29,29.9,32.6,29.3,32.6,4279490
2020-09-30,33.8,33.8,31.2,31.5,3450079
2020-10-01,31.5,32.7,30.6,31.0,2666082
2020-10-04,31.1,33.4,30.5,32.8,2637744
2020-10-05,33.1,36.0,32.4,36.0,6760421
2020-10-06,37.9,39.6,34.4,34.6,7895951
2020-10-07,35.2,38.0,34.6,36.6,5858835
2020-10-08,37.0,39.0,35.0,38.0,3087142
2020-10-11,37.9,39.3,36.7,37.2,4854554
2020-10-12,37.7,38.2,33.5,33.5,2645548
2020-10-13,34.2,35.4,32.6,33.2,2628856
2020-10-14,34.2,34.2,29.9,30.4,2834524
2020-10-15,30.6,33.3,30.0,33.1,1702960
2020-10-18,33.5,34.7,32.0,33.4,2138673
2020-10-19,34.0,34.5,32.3,34.1,1899379
2020-10-21,34.5,37.5,34.5,37.5,5577371
2020-10-22,38.9,39.5,36.6,37.9,4408521
2020-10-25,38.0,39.2,36.8,37.2,4574874
2020-10-27,37.4,40.9,37.1,40.9,6188405
2020-10-28,43.9,44.9,42.6,44.7,4709014
2020-10-29,45.7,45.9,40.3,40.5,6147790
2020-11-01,40.8,44.3,40.4,43.2,2980037
2020-11-02,44.5,44.8,37.1,37.7,5131861
2020-11-03,38.0,38.9,35.9,36.8,2801700
2020-11-04,37.7,39.2,37.3,38.0,2472660
2020-11-05,38.4,38.8,35.0,35.4,3177567
2020-11-08,36.5,36.5,33.0,33.2,2751900
2020-11-09,33.5,35.1,32.9,34.1,1467819
2020-11-10,34.1,35.4,32.8,33.2,1715537
2020-11-11,33.6,33.7,30.4,30.7,1822928
2020-11-12,30.7,33.7,30.7,33.5,1435384
2020-11-15,33.6,34.5,31.2,31.5,1468169
2020-11-16,31.8,32.8,30.4,30.7,1047556
2020-11-17,31.1,32.0,29.3,29.5,1075678
2020-11-18,29.7,30.4,28.6,29.1,589612
2020-11-19,29.6,29.9,28.2,28.3,777807
2020-11-23,28.7,31.1,28.7,31.1,2082350
2020-11-24,32.4,33.6,31.6,31.9,1582938
2020-11-25,32.0,33.8,31.8,33.2,1796403
2020-11-26,33.3,34.4,32.5,32.9,1958433
2020-11-29,32.7,33.8,32.4,33.2,2279891
2020-11-30,33.6,35.0,33.6,33.7,2457651
2020-12-01,34.2,34.2,32.8,33.0,1524433
2020-12-02,33.2,33.9,32.3,32.5,1099853
2020-12-03,32.5,33.0,32.1,32.3,834629
2020-12-06,32.7,32.9,31.0,31.1,1033826
2020-12-07,31.5,31.8,30.5,31.2,836713
2020-12-08,31.7,33.4,31.6,33.0,1271751
2020-12-09,33.2,33.8,32.2,32.4,1429914
2020-12-10,32.8,33.9,32.5,33.4,2041456
2020-12-13,33.1,33.4,31.9,32.2,1135917
2020-12-14,32.5,33.5,32.4,32.8,1347385
2020-12-15,33.2,34.7,33.0,34.1,2618444
2020-12-17,34.6,36.9,34.5,35.4,2889402
2020-12-20,36.3,37.8,35.6,37.3,3065912
2020-12-21,38.2,38.9,34.3,35.3,3713154
2020-12-22,35.5,36.7,34.7,36.0,2663905
2020-12-23,36.6,37.4,35.3,35.7,2485509
2020-12-24,35.9,36.6,34.5,34.7,1734471
2020-12-27,35.5,35.8,33.6,34.0,1511505
2020-12-28,34.1,34.8,32.8,33.2,1115500
2020-12-29,33.7,34.7,33.4,33.7,794451
2020-12-30,34.6,35.3,33.2,33.4,1261717
2021-01-03,34.0,34.5,32.8,33.8,1138870
2021-01-04,34.5,35.5,34.0,34.1,1465472
2021-01-05,34.3,34.3,31.7,32.0,1040423
2021-01-06,32.3,32.3,30.5,30.7,734965
2021-01-07,30.9,31.8,30.7,31.3,781060
2021-01-10,32.0,32.2,30.9,31.0,482932
2021-01-11,31.2,32.2,29.9,32.0,1057397
2021-01-12,32.3,32.9,30.5,30.9,752281
2021-01-13,31.1,31.5,29.0,29.4,759275
2021-01-14,30.0,30.7,29.0,29.5,920867
2021-01-17,29.9,30.0,28.0,28.9,835035
2021-01-18,28.8,29.1,27.1,27.6,448829
2021-01-19,28.8,30.3,28.8,30.3,548259
2021-01-20,31.5,32.9,29.0,29.2,1188548
2021-01-21,29.3,29.5,28.0,28.3,516591
2021-01-24,28.2,29.5,28.1,29.2,574997
2021-01-25,29.7,30.9,29.2,29.5,949051
2021-01-26,29.8,30.1,28.2,28.5,477060
2021-01-27,28.6,29.0,27.6,27.9,377456
2021-01-28,28.0,28.6,27.2,27.7,181046
2021-01-31,28.0,28.1,26.5,26.8,396488
2021-02-01,27.3,28.9,26.8,28.3,293673
2021-02-02,28.9,29.1,27.2,27.4,300417
2021-02-03,27.5,27.9,26.8,26.9,214681
2021-02-04,27.0,27.5,26.6,26.7,332723
2021-02-07,27.2,27.7,26.5,26.8,419762
2021-02-08,26.8,27.2,24.3,24.9,367055
