Date,Open,High,Low,Close,Volume
2021-01-19,46.5,46.5,46.5,46.5,805
2021-01-20,69.7,69.7,69.7,69.7,483708
2021-01-21,76.6,76.6,76.6,76.6,2570
2021-01-24,84.2,84.2,84.2,84.2,308828
2021-01-25,92.6,92.6,92.6,92.6,754068
2021-01-26,101.8,101.8,83.4,83.4,12180576
2021-01-27,76.0,80.2,75.1,76.4,4704540
2021-01-28,77.0,79.4,71.0,71.7,3417796
2021-01-31,67.9,70.9,65.6,66.4,4656389
2021-02-01,67.5,69.2,65.4,65.9,2351788
2021-02-02,67.0,68.4,65.4,65.7,2716947
2021-02-03,65.7,66.1,59.2,59.2,3831741
2021-02-04,57.2,57.9,53.7,54.4,3736790
2021-02-07,54.6,57.6,53.3,54.1,2093994
2021-02-08,54.7,56.0,51.0,51.5,2739605
2021-02-09,53.6,56.6,51.7,56.6,2667004
2021-02-10,57.8,58.9,54.3,55.1,3572485
2021-02-11,55.0,55.4,51.5,51.7,2241629
2021-02-14,51.9,51.9,48.0,48.5,2221323
2021-02-15,48.9,51.9,48.6,50.5,1696260
2021-02-16,50.3,51.4,48.2,48.5,2063359
2021-02-17,49.1,51.0,48.0,50.0,1667739
2021-02-18,50.3,51.2,48.8,49.2,1332327
2021-02-22,49.2,49.4,46.4,46.9,1205843
2021-02-23,47.0,48.4,45.8,46.1,1175781
2021-02-24,47.5,49.5,47.1,48.8,1701122
2021-02-25,49.0,50.8,47.7,49.6,2048881
2021-02-28,50.0,51.6,49.5,49.8,1597909
2021-03-01,50.0,50.9,49.4,50.6,1562372
2021-03-02,51.0,52.7,51.0,51.7,1788324
2021-03-03,52.0,54.2,51.7,53.8,2963961
2021-03-04,54.1,54.7,52.6,52.8,2240683
2021-03-07,53.0,53.4,52.1,53.2,1888312
2021-03-08,53.5,55.5,53.5,54.5,2212534
2021-03-09,54.9,55.0,53.0,53.5,2693099
2021-03-10,53.5,53.5,51.1,51.4,1774955
2021-03-11,51.6,52.5,50.2,50.6,1274940
2021-03-14,50.9,51.1,48.2,48.4,1197574
2021-03-15,48.9,49.4,48.3,49.0,669094
2021-03-16,49.7,50.2,48.0,48.2,995282
2021-03-18,48.0,48.0,46.3,46.5,928237
2021-03-21,46.7,46.7,44.5,45.0,914356
2021-03-22,45.4,46.0,44.0,45.6,873918
2021-03-23,45.9,46.5,44.7,45.0,627246
2021-03-24,44.9,44.9,42.9,43.0,805188
2021-03-25,43.2,44.5,42.7,43.3,534083
2021-03-28,43.6,43.7,42.9,43.2,422972
2021-03-29,43.3,44.7,43.2,44.3,734663
2021-03-31,44.0,44.0,42.5,42.6,752818
2021-04-01,42.2,43.0,41.8,42.4,529969
2021-04-04,41.9,41.9,38.2,38.2,795169
2021-04-05,39.2,40.2,38.4,39.5,403755
2021-04-06,39.9,42.6,39.9,41.9,560293
2021-04-07,42.5,43.4,41.9,42.5,558378
2021-04-08,40.6,41.8,40.6,41.0,315406
2021-04-11,39.2,40.9,38.6,38.8,463111
2021-04-12,39.0,40.2,38.8,39.0,512123
2021-04-13,36.7,40.9,36.7,40.6,453699
2021-04-15,40.6,42.2,40.6,42.0,497009
2021-04-18,42.5,42.5,41.2,42.0,537306
2021-04-19,42.0,42.7,41.7,42.0,592785
2021-04-20,41.8,42.9,41.7,42.6,670900
2021-04-21,43.4,44.0,42.8,43.0,471377
2021-04-22,43.0,43.1,42.4,42.6,466255
2021-04-25,42.7,44.2,42.7,43.8,883618
2021-04-26,43.8,44.7,43.8,43.9,751517
2021-04-27,43.7,43.7,42.4,42.6,628456
2021-04-28,42.8,43.4,42.2,42.9,478237
2021-04-29,43.3,43.6,42.5,42.6,666942
