Date,Open,High,Low,Close,Volume
2012-10-01,119.0,120.9,117.2,118.2,121650
2012-10-02,122.5,125.7,119.0,120.1,177600
2012-10-03,122.6,126.0,120.3,121.1,238100
2012-10-04,123.0,124.0,120.0,121.1,69500
2012-10-07,120.3,123.0,118.1,118.7,109200
2012-10-08,118.4,120.2,117.0,117.5,66250
2012-10-09,118.0,120.7,118.0,118.5,44400
2012-10-10,118.5,119.8,116.0,116.5,89750
2012-10-11,117.5,117.5,114.1,114.6,64250
2012-10-14,116.5,116.9,112.5,113.3,40700
2012-10-15,113.7,116.1,113.2,113.8,35150
2012-10-16,114.8,115.9,113.4,113.9,44000
2012-10-17,114.0,114.8,113.0,113.4,79600
2012-10-18,114.0,115.0,112.1,113.2,25450
2012-10-21,113.5,114.6,112.2,112.3,22000
2012-10-22,114.3,115.8,111.5,114.7,17550
2012-10-23,112.5,116.5,112.5,114.6,18250
2012-10-30,117.9,117.9,113.1,114.2,26750
2012-10-31,114.0,115.0,113.5,114.3,58750
2012-11-01,115.0,115.0,112.5,112.9,52250
2012-11-04,114.0,114.0,110.0,110.6,29550
2012-11-05,109.5,112.0,109.1,110.5,25700
2012-11-06,111.0,111.4,107.3,108.9,36350
2012-11-07,108.8,109.0,107.0,107.3,33300
2012-11-08,106.8,108.5,106.0,106.4,26250
2012-11-11,105.2,105.2,102.0,102.8,57800
2012-11-12,104.4,105.8,102.9,103.5,39750
2012-11-13,104.4,111.9,104.0,111.3,45200
2012-11-14,110.0,111.6,106.1,111.3,136250
2012-11-15,109.8,112.5,109.0,111.5,21150
2012-11-18,114.2,114.2,109.6,110.7,41300
2012-11-19,108.8,109.9,106.1,106.3,19250
2012-11-20,105.5,108.0,105.0,105.5,17150
2012-11-21,108.3,108.4,105.4,105.8,15300
2012-11-22,106.0,107.2,105.2,105.9,12050
2012-11-26,105.0,105.0,103.1,103.5,19350
2012-11-27,103.6,105.0,100.0,101.5,16700
2012-11-28,105.3,105.4,100.3,101.4,15000
2012-11-29,104.9,107.1,102.1,106.9,35050
2012-12-02,107.9,108.8,105.0,106.0,53200
2012-12-03,104.4,104.5,103.4,103.6,25900
2012-12-04,102.6,104.0,102.0,103.6,18350
2012-12-05,105.0,105.0,103.5,104.1,11650
2012-12-06,105.0,105.0,102.5,104.2,18600
2012-12-09,104.9,104.9,101.1,103.3,38550
