Date,Open,High,Low,Close,Volume
2012-10-01,27.1,28.0,25.1,27.8,65500
2012-10-02,28.9,29.9,27.0,27.5,152000
2012-10-03,27.5,28.8,25.6,26.5,165000
2012-10-04,26.8,27.2,26.0,26.1,56000
2012-10-07,26.5,26.8,25.1,25.3,38500
2012-10-08,25.1,25.1,23.8,24.2,98000
2012-10-09,25.7,26.6,25.1,25.9,52500
2012-10-10,26.0,26.0,24.4,24.7,77500
2012-10-11,25.5,25.9,24.6,24.9,19000
2012-10-14,25.3,25.3,23.4,23.5,62000
2012-10-15,23.9,24.0,23.1,23.6,26000
2012-10-16,23.8,24.6,23.4,23.5,40000
2012-10-17,23.6,23.9,23.0,23.1,30000
2012-10-18,23.3,23.6,22.5,22.6,58000
2012-10-21,23.0,24.0,22.6,23.7,59000
2012-10-22,24.0,25.8,24.0,25.4,112000
2012-10-23,24.8,25.8,24.8,24.9,38000
2012-10-30,26.0,26.3,25.1,25.5,70000
2012-10-31,25.0,25.3,24.4,24.5,45000
2012-11-01,25.0,25.5,24.7,25.2,151000
2012-11-04,25.4,25.4,24.4,24.7,63500
2012-11-05,24.5,24.6,23.8,24.2,33500
2012-11-06,24.3,24.5,24.0,24.1,31000
2012-11-07,24.0,24.5,23.7,24.0,83000
2012-11-11,20.5,21.1,19.7,19.7,69500
2012-11-12,18.5,19.7,18.3,18.5,31500
2012-11-13,18.9,19.9,18.9,19.7,47500
2012-11-14,20.4,20.4,19.3,19.6,17000
2012-11-15,19.5,19.6,19.0,19.1,53000
2012-11-18,19.5,19.7,19.0,19.1,33000
2012-11-19,18.7,19.5,18.4,18.6,32500
2012-11-20,18.4,19.0,18.2,18.3,41500
2012-11-21,18.4,18.8,17.9,18.4,47000
2012-11-22,18.7,18.9,18.4,18.5,23500
2012-11-26,18.4,18.4,17.5,17.6,34500
2012-11-27,18.0,18.0,17.0,17.1,76000
2012-11-28,17.9,17.9,17.3,17.5,25500
2012-11-29,18.8,19.2,18.0,19.1,91500
2012-12-02,20.1,20.2,18.5,18.9,73500
2012-12-03,18.6,18.6,18.3,18.3,24000
2012-12-04,18.0,18.6,17.8,18.2,11000
2012-12-05,19.3,19.3,18.0,18.7,38000
2012-12-06,18.3,18.7,18.2,18.3,9500
2012-12-09,18.1,18.1,17.8,17.8,38000
2012-12-10,17.7,18.0,17.4,17.6,18500
2012-12-11,17.2,18.0,17.1,17.6,15500
2012-12-12,18.0,18.1,17.5,17.7,14500
2012-12-13,18.5,18.5,17.5,17.7,7000
2012-12-17,18.1,18.1,17.8,17.9,32000
2012-12-18,17.8,18.3,17.8,17.9,11000
2012-12-19,18.0,18.7,18.0,18.5,34500
2012-12-20,18.8,18.9,18.2,18.4,14000
2012-12-23,18.1,18.3,17.9,18.0,16000
