Date,Open,High,Low,Close,Volume
2012-10-01,190.0,209.0,184.1,199.0,2050
2012-10-02,215.0,215.0,200.0,204.2,2450
2012-10-03,209.0,210.0,200.0,202.1,4500
2012-10-04,211.9,211.9,195.0,200.9,1850
2012-10-07,195.0,196.0,184.0,194.1,2200
2012-10-08,190.0,190.0,181.5,185.5,300
2012-10-09,195.2,200.0,195.0,197.3,1150
2012-10-10,196.0,196.0,196.0,196.0,100
2012-10-11,186.1,186.1,180.5,184.5,250
2012-10-14,186.0,196.9,186.0,191.4,100
2012-10-15,198.0,198.0,188.0,194.3,150
2012-10-16,199.9,199.9,189.0,193.8,1200
2012-10-17,199.0,201.0,194.0,197.0,1200
2012-10-18,194.1,194.1,194.1,194.1,150
2012-10-21,187.1,191.0,187.0,189.5,1350
2012-10-22,190.0,199.9,189.5,195.9,2150
2012-10-23,193.0,210.0,193.0,207.1,2550
2012-10-30,214.2,214.5,208.0,210.6,1300
2012-10-31,210.8,210.8,210.8,210.8,50
2012-11-01,211.5,211.5,211.5,211.5,100
2012-11-04,212.0,215.0,200.7,205.3,2250
2012-11-05,198.6,214.6,198.4,210.9,3000
2012-11-06,214.5,219.0,209.0,215.6,2850
2012-11-07,212.0,233.0,212.0,231.3,13050
2012-11-08,237.5,237.8,221.0,223.8,4900
2012-11-11,220.0,220.0,205.3,218.6,1950
2012-11-12,219.0,222.0,205.4,207.5,2650
2012-11-13,204.3,218.9,203.4,208.1,3900
2012-11-14,204.0,218.8,204.0,214.5,1950
2012-11-15,235.0,235.0,200.2,204.0,5750
2012-11-18,204.0,208.0,195.1,202.6,3000
2012-11-19,197.0,204.0,188.0,197.4,950
2012-11-20,179.9,198.0,179.9,187.6,950
2012-11-21,180.3,181.9,176.1,180.2,3100
2012-11-22,180.0,188.9,180.0,182.6,950
2012-11-26,181.1,182.0,180.0,180.7,1300
2012-11-28,184.7,184.8,184.7,184.7,100
2012-11-29,187.0,190.0,183.3,189.1,1750
2012-12-02,195.0,195.0,177.1,182.5,850
2012-12-03,188.0,188.0,181.0,184.5,100
2012-12-04,188.9,199.0,182.0,198.8,4900
2012-12-05,200.9,200.9,192.0,194.6,800
2012-12-06,198.5,198.5,186.1,190.8,350
2012-12-11,175.2,175.3,175.1,175.2,750
2012-12-12,180.1,180.2,180.1,180.1,200
2012-12-13,189.9,189.9,189.9,189.9,50
2012-12-17,180.3,180.3,180.2,180.2,150
2012-12-18,180.0,180.5,180.0,180.0,1000
2012-12-19,182.0,189.0,181.0,183.9,1450
2012-12-20,185.0,185.0,185.0,185.0,100
2012-12-23,189.9,189.9,189.9,189.9,50
2012-12-24,190.8,190.8,190.8,190.8,100
2012-12-26,182.1,190.7,182.0,184.0,1300
2012-12-27,189.0,189.0,189.0,189.0,200
2012-12-30,185.0,193.4,184.9,187.1,1950
2013-01-03,185.0,189.9,183.9,186.9,300
2013-01-06,178.1,178.1,178.1,178.1,50
2013-01-07,189.9,189.9,175.1,178.3,300
2013-01-09,179.9,184.9,179.9,183.1,200
2013-01-10,180.0,186.0,180.0,184.0,600
2013-01-13,189.0,192.0,189.0,190.0,150
2013-01-14,193.5,195.0,189.0,191.7,2000
2013-01-15,194.9,195.0,186.5,189.3,300
2013-01-16,190.0,190.0,187.6,189.2,300
2013-01-17,190.0,192.0,189.9,190.7,800
2013-01-20,189.0,189.5,188.0,188.7,450
2013-01-21,191.5,193.4,188.5,191.5,1550
2013-01-22,195.0,196.5,195.0,195.2,800
2013-01-23,198.0,198.0,191.0,194.1,250
2013-01-28,194.0,196.0,194.0,194.5,350
2013-01-29,194.7,194.9,193.0,194.6,600
2013-01-30,196.0,196.0,191.0,193.1,350
2013-01-31,195.9,196.0,195.9,195.9,450
2013-02-03,196.8,197.0,196.8,196.9,300
2013-02-04,190.0,190.0,189.0,189.1,300
2013-02-05,193.0,193.0,193.0,193.0,100
2013-02-06,196.0,197.0,196.0,196.3,150
2013-02-07,188.0,188.0,178.9,179.5,1750
2013-02-10,182.0,184.0,162.0,163.8,9100
2013-02-11,157.2,165.0,155.0,158.0,2900
2013-02-12,155.0,158.0,150.0,150.6,5950
2013-02-13,150.5,150.5,143.2,144.1,8050
2013-02-14,146.0,149.0,140.0,140.8,12550
2013-02-17,142.8,152.9,142.6,150.4,2950
2013-02-18,150.8,150.8,145.3,147.8,650
2013-02-19,146.4,146.4,142.4,144.2,2250
2013-02-20,144.9,145.0,140.0,141.5,3900
2013-02-24,139.0,139.0,135.0,136.2,1400
2013-02-25,134.1,134.1,132.1,133.3,750
2013-02-26,135.0,135.2,135.0,135.0,550
2013-02-27,135.5,135.5,126.0,130.2,1000
2013-02-28,135.3,135.3,122.1,126.1,1500
