Date,Open,High,Low,Close,Volume
2019-02-06,44.9,59.0,44.0,56.5,8150026
2019-02-07,57.0,61.7,54.5,55.4,1294762
2019-02-10,54.3,55.6,49.9,50.3,3640514
2019-02-11,48.1,54.8,46.0,53.3,2277058
2019-02-12,53.3,55.6,50.0,51.8,2468724
2019-02-13,51.7,54.7,50.2,52.5,2069790
2019-02-14,54.5,54.9,48.7,49.2,2235543
2019-02-17,49.5,51.2,47.1,49.1,1390231
2019-02-18,49.9,50.6,47.0,47.3,1073338
2019-02-19,47.1,48.4,45.5,46.2,1153217
2019-02-20,46.7,47.2,44.8,45.1,1095888
2019-02-24,45.8,45.9,43.4,43.7,712048
2019-02-25,43.7,46.9,43.7,45.7,1108607
2019-02-26,48.5,48.5,43.6,44.0,804693
2019-02-27,44.4,44.5,42.1,42.7,1045356
2019-03-03,43.8,44.8,43.1,43.3,522736
2019-03-04,44.6,46.5,43.3,45.3,1407736
2019-03-05,45.6,45.6,43.2,43.4,559041
2019-03-06,43.9,45.3,43.5,45.0,899194
2019-03-07,45.4,47.3,44.9,45.7,1362208
2019-03-10,46.0,46.7,45.3,45.6,687724
2019-03-11,46.0,47.0,45.7,46.6,805740
2019-03-12,47.0,49.4,47.0,47.5,1423257
2019-03-13,48.3,48.3,45.5,45.7,861779
2019-03-14,46.3,46.3,41.6,42.2,1745416
2019-03-18,42.5,43.3,41.8,42.9,441015
2019-03-19,43.0,44.3,43.0,43.6,436408
2019-03-20,44.4,44.6,42.7,43.0,471585
2019-03-21,42.3,43.4,41.8,42.5,404930
2019-03-24,42.8,43.1,41.9,42.1,217147
2019-03-25,42.3,43.4,42.3,42.6,385893
2019-03-27,42.5,44.2,42.5,43.5,440997
2019-03-28,43.5,44.4,42.8,43.0,316947
2019-03-31,43.0,43.7,41.7,41.8,325877
2019-04-01,42.0,42.4,41.4,41.8,374811
2019-04-02,42.3,42.6,41.6,41.8,347996
2019-04-03,41.8,42.0,39.6,39.8,737438
2019-04-04,40.2,41.2,38.7,40.6,530827
2019-04-07,40.8,40.8,37.8,38.3,632637
2019-04-08,38.3,38.7,36.7,36.8,516760
2019-04-09,36.8,37.9,36.0,36.5,255089
2019-04-10,36.7,37.5,35.0,35.6,229393
2019-04-11,36.1,36.5,35.3,35.7,298475
2019-04-15,35.8,36.6,35.0,35.2,184035
2019-04-16,35.2,35.4,34.0,34.7,230845
2019-04-17,35.2,35.2,32.4,33.5,331864
2019-04-18,31.8,35.7,31.8,35.3,528608
2019-04-21,35.6,36.9,35.5,36.0,342998
2019-04-23,36.0,36.0,33.2,33.7,727761
2019-04-24,33.0,36.3,32.4,35.6,627429
2019-04-25,35.8,39.1,35.8,39.1,1448835
2019-04-28,39.8,43.0,39.3,43.0,1618825
2019-04-29,44.0,44.0,41.4,42.0,2278688
2019-04-30,43.3,46.2,42.5,43.7,3049534
2019-05-02,44.4,48.0,43.3,48.0,1646648
2019-05-05,48.0,49.5,46.0,46.5,2160074
2019-05-06,46.9,51.0,45.7,49.9,1928753
2019-05-07,49.5,50.4,47.6,48.0,1059581
2019-05-08,48.5,49.8,47.2,49.0,1451979
2019-05-09,50.0,50.8,47.2,47.9,1800941
2019-05-12,48.0,48.0,46.0,46.2,1196757
2019-05-13,46.0,47.3,45.3,45.5,630614
2019-05-14,46.0,47.6,44.6,47.0,829912
2019-05-15,47.1,47.6,45.5,45.8,501555
2019-05-16,46.0,47.4,46.0,46.6,316424
2019-05-19,47.2,47.9,46.1,46.5,505606
2019-05-20,46.7,47.4,45.9,46.0,303460
2019-05-21,46.0,46.2,43.9,44.1,621595
2019-05-22,44.4,45.7,44.3,44.9,213906
2019-05-23,44.5,45.8,44.0,44.6,376245
2019-05-26,44.5,44.5,42.4,42.7,344449
2019-05-27,42.1,43.5,42.1,42.4,306909
2019-05-28,43.2,44.0,42.9,43.4,234282
2019-05-29,43.6,44.7,43.6,44.4,384503
2019-05-30,44.5,46.5,44.5,45.7,522145
2019-06-09,46.0,48.4,46.0,47.7,959293
2019-06-10,47.6,48.4,47.0,48.0,802843
2019-06-11,47.7,50.5,47.7,49.5,1425759
2019-06-12,49.1,49.8,48.3,48.6,582396
2019-06-13,48.4,53.0,48.4,51.8,2089975
2019-06-16,52.2,52.6,49.7,51.0,1089856
2019-06-17,51.1,51.8,49.9,50.2,1065346
2019-06-18,50.0,51.4,49.2,49.5,922347
2019-06-19,49.6,50.0,48.5,49.5,821449
2019-06-20,49.7,51.7,49.7,50.7,1327214
2019-06-23,50.7,51.2,50.0,50.3,643697
2019-06-24,50.3,53.2,50.2,52.8,1631970
2019-06-25,53.0,55.8,53.0,54.8,2335378
2019-06-26,54.9,55.0,53.3,53.8,1171166
2019-06-27,54.0,56.3,53.8,55.5,1693543
2019-06-30,55.7,56.9,54.8,55.9,1358640
2019-07-02,56.0,57.5,55.0,55.9,1757210
2019-07-03,55.9,55.9,54.0,54.3,1122089
2019-07-04,54.5,57.7,54.1,57.1,1371908
2019-07-07,57.1,58.5,56.6,56.9,871074
2019-07-08,56.8,56.9,55.2,56.0,1161038
2019-07-09,56.1,56.2,53.2,53.8,809988
2019-07-10,54.0,55.5,53.4,54.4,386654
2019-07-11,54.9,54.9,52.4,53.1,237716
2019-07-14,52.3,53.8,50.9,51.8,152079
2019-07-15,51.8,52.7,49.5,49.9,334626
2019-07-16,50.4,52.0,50.0,51.6,282451
2019-07-17,52.0,52.8,51.1,51.9,278811
2019-07-18,51.9,53.7,51.7,53.1,398461
2019-07-21,53.8,53.8,50.7,51.4,327478
2019-07-22,51.4,51.7,48.5,51.0,222308
2019-07-23,52.4,52.5,51.0,51.5,340605
2019-07-24,51.0,52.1,50.0,51.1,183727
2019-07-25,51.9,53.7,51.9,53.5,625515
2019-07-28,54.0,54.7,53.2,53.8,651732
2019-07-29,54.0,55.6,53.8,54.7,758849
2019-07-30,55.0,56.2,55.0,55.9,1423435
2019-07-31,56.0,57.4,56.0,56.8,1341012
2019-08-01,57.1,62.0,57.1,60.9,2501844
2019-08-04,60.9,63.1,59.0,61.8,1808431
2019-08-05,61.6,62.0,60.1,60.7,836739
2019-08-06,61.0,61.5,58.7,59.3,1268733
2019-08-07,59.4,61.0,58.8,59.0,1007378
2019-08-08,59.0,61.7,58.7,61.2,753575
2019-08-18,61.8,62.3,60.9,61.7,545956
2019-08-19,61.8,61.8,59.8,60.0,876251
2019-08-20,60.5,60.8,58.9,59.9,667219
2019-08-21,60.0,60.0,58.7,58.9,374714
2019-08-22,58.7,60.2,58.7,59.0,513582
2019-08-25,60.0,60.9,59.5,60.1,544647
2019-08-26,60.1,63.8,59.8,62.8,1151669
2019-08-27,63.2,64.3,62.3,63.6,1060735
2019-08-28,64.0,64.4,62.1,62.8,1097890
2019-08-29,63.6,64.0,62.7,63.3,900143
2019-09-01,63.5,63.9,62.4,63.0,569248
2019-09-02,62.7,63.8,62.3,62.7,825015
2019-09-03,63.9,64.4,60.9,61.5,656377
2019-09-04,62.3,62.4,59.8,60.2,578201
2019-09-05,60.9,60.9,59.8,60.1,405666
2019-09-08,60.1,60.9,59.8,60.5,303167
2019-09-09,60.7,61.8,60.4,60.8,424382
2019-09-11,61.1,61.1,58.9,59.8,382858
2019-09-12,59.2,60.7,58.2,58.9,284081
2019-09-15,59.9,59.9,58.7,59.0,152670
2019-09-16,60.3,60.3,58.0,58.8,243395
2019-09-17,59.8,59.8,57.6,58.3,177861
2019-09-18,58.1,58.8,54.1,57.2,200370
2019-09-19,58.0,60.5,56.0,56.7,304350
2019-09-22,58.0,59.0,57.5,58.2,90597
2019-09-23,60.6,60.6,58.0,58.7,177452
2019-09-24,58.0,59.9,57.3,58.2,174145
2019-09-25,57.8,58.0,56.9,58.0,131742
2019-09-26,58.0,59.0,56.7,57.0,154240
2019-09-29,57.0,57.5,55.7,56.3,352851
2019-09-30,56.3,57.6,55.4,56.5,212685
2019-10-01,57.2,59.3,57.0,58.6,284861
2019-10-02,58.4,59.0,58.1,58.3,173299
2019-10-03,58.3,61.9,58.0,60.8,667962
2019-10-06,62.0,63.0,60.8,61.8,429145
2019-10-07,62.0,62.0,59.1,60.2,212035
2019-10-09,60.9,60.9,59.5,59.9,218474
2019-10-10,59.9,60.6,58.5,58.9,86645
2019-10-13,59.0,59.9,56.7,58.0,101570
2019-10-14,58.0,58.2,56.3,57.1,182346
