Date,Open,High,Low,Close,Volume
2022-09-21,11.0,11.0,9.6,10.1,975271
2022-09-22,10.4,10.4,10.1,10.1,20616
2022-09-25,10.1,10.1,10.1,10.1,8309
2022-09-26,10.1,10.1,10.1,10.1,2601
2022-09-27,10.1,10.1,10.1,10.1,20
2022-09-28,10.1,10.1,10.1,10.1,1854
2022-09-29,10.1,10.1,10.1,10.1,2832
2022-10-02,10.1,10.1,10.1,10.1,2516
2022-10-03,10.1,10.1,10.1,10.1,2577
2022-10-04,10.1,10.1,10.1,10.1,2500
2022-10-06,10.1,10.1,10.1,10.1,2800
2022-10-10,10.1,10.1,10.1,10.1,2500
2022-10-11,10.1,10.1,10.1,10.1,3377
2022-10-12,10.1,10.1,10.1,10.1,3552
2022-10-13,10.1,10.1,10.1,10.1,2526
2022-10-16,10.1,10.1,10.1,10.1,3417
2022-10-17,10.1,10.1,10.1,10.1,2295
2022-10-18,10.1,10.1,10.1,10.1,31068
2022-10-19,10.1,10.1,10.1,10.1,38897
2022-10-20,10.1,10.1,10.1,10.1,1190
2022-10-23,10.1,10.1,10.1,10.1,4000
2022-10-25,10.1,10.1,10.1,10.1,2134
2022-10-26,10.1,10.1,10.1,10.1,2550
2022-10-27,10.1,10.1,10.1,10.1,1000
2022-10-31,10.1,10.1,10.1,10.1,100
2022-11-02,10.1,10.1,10.1,10.1,1425
2022-11-03,10.1,10.1,10.1,10.1,310
2022-11-06,10.1,10.1,10.1,10.1,6647
2022-11-07,10.1,10.1,10.1,10.1,2306
2022-11-08,10.1,10.1,10.1,10.1,11
2022-11-09,10.1,10.1,10.1,10.1,1
2022-11-10,10.1,10.1,10.1,10.1,427
2022-11-14,10.1,10.1,10.1,10.1,1
2022-11-15,10.1,10.1,10.1,10.1,77
2022-11-23,10.1,10.1,10.1,10.1,652
2022-11-24,10.1,10.1,10.1,10.1,79
2022-11-27,10.1,10.1,10.1,10.1,47
2022-12-01,10.1,10.1,10.1,10.1,1474
2022-12-06,10.1,10.1,10.1,10.1,376
2022-12-11,10.1,10.1,10.1,10.1,1039
2022-12-12,10.1,10.1,10.1,10.1,115
2022-12-13,10.1,10.1,10.1,10.1,1434
2022-12-20,10.1,10.1,10.1,10.1,4
2022-12-22,10.0,10.0,10.0,10.0,501
2022-12-26,9.9,9.9,9.9,9.9,115
2022-12-27,9.9,9.9,9.9,9.9,1032
2022-12-28,9.9,9.9,9.9,9.9,2
2023-01-01,9.9,9.9,9.9,9.9,1000
2023-01-04,9.9,9.9,9.9,9.9,1027
2023-01-05,9.9,9.9,9.9,9.9,26
2023-01-08,9.9,9.9,9.9,9.9,20
2023-01-12,9.9,9.9,9.9,9.9,153
2023-01-16,9.9,9.9,9.9,9.9,5
2023-01-22,9.9,9.9,9.9,9.9,77
2023-01-24,9.9,9.9,9.9,9.9,1000
2023-01-25,9.9,9.9,9.9,9.9,100
2023-01-26,9.9,9.9,9.9,9.9,3333
2023-01-29,9.9,9.9,9.9,9.9,1111
2023-01-31,9.9,9.9,9.9,9.9,10
2023-02-01,9.9,9.9,9.9,9.9,1
2023-02-02,9.9,9.9,9.9,9.9,383
2023-02-06,9.9,9.9,9.9,9.9,19
2023-02-08,9.9,9.9,9.9,9.9,20
2023-02-12,9.9,9.9,9.9,9.9,4
2023-02-13,9.9,9.9,9.9,9.9,7
2023-02-15,5.0,9.4,5.0,6.9,213789
2023-02-16,6.9,7.5,6.9,7.5,23493
2023-02-19,7.5,8.2,7.5,8.2,662070
2023-02-20,9.0,9.0,9.0,9.0,124526
2023-02-22,9.0,9.0,9.0,9.0,1327
2023-03-01,9.0,9.0,9.0,9.0,152
2023-03-05,9.0,9.0,9.0,9.0,20
2023-03-06,9.0,9.0,9.0,9.0,150
2023-03-07,9.0,9.0,9.0,9.0,1238234
2023-03-12,9.0,9.0,9.0,9.0,251
2023-03-16,9.0,9.0,9.0,9.0,6
2023-03-21,9.0,9.0,9.0,9.0,100000
2023-03-23,9.0,9.0,9.0,9.0,130
2023-03-30,9.0,9.0,9.0,9.0,150
2023-04-03,9.0,9.0,9.0,9.0,127
2023-04-09,9.0,9.0,9.0,9.0,100
2023-04-12,9.0,9.0,9.0,9.0,50
2023-04-18,9.0,9.0,9.0,9.0,129
2023-04-30,9.0,9.0,9.0,9.0,1150
2023-05-08,9.0,9.0,9.0,9.0,1
2023-05-09,9.0,9.0,9.0,9.0,67
2023-05-10,9.0,9.0,9.0,9.0,377
2023-05-11,9.0,9.0,9.0,9.0,60
2023-05-14,9.0,9.0,9.0,9.0,454
2023-05-15,9.0,9.0,9.0,9.0,70
2023-05-16,9.0,9.0,9.0,9.0,720
2023-05-17,9.0,9.0,9.0,9.0,165
2023-05-18,9.0,9.0,9.0,9.0,1224
2023-05-21,9.0,9.0,9.0,9.0,25
2023-05-22,9.0,9.0,9.0,9.0,376
2023-05-25,9.0,9.0,9.0,9.0,500
2023-05-28,9.0,9.0,9.0,9.0,3361
2023-05-29,9.0,9.0,9.0,9.0,612293
2023-05-30,9.0,9.9,9.0,9.5,2927023
2023-05-31,9.6,9.6,9.0,9.1,750613
2023-06-01,9.0,9.0,9.0,9.0,253237
2023-06-04,9.0,9.0,9.0,9.0,201
2023-06-05,9.0,9.0,9.0,9.0,100674
2023-06-06,9.0,9.2,9.0,9.0,732073
2023-06-07,9.0,9.3,9.0,9.0,169151
2023-06-08,9.0,9.0,9.0,9.0,11196
2023-06-11,9.0,9.0,9.0,9.0,131
2023-06-12,9.0,9.0,9.0,9.0,161853
2023-06-13,9.0,9.0,9.0,9.0,520
2023-06-14,9.0,9.0,9.0,9.0,157
2023-06-15,9.0,9.0,9.0,9.0,22287
2023-06-18,9.0,9.0,9.0,9.0,1055
2023-06-19,9.0,9.0,9.0,9.0,874
2023-06-20,9.0,9.0,9.0,9.0,10
2023-06-21,9.0,9.0,9.0,9.0,1
2023-06-22,9.0,9.0,9.0,9.0,26981
2023-06-26,9.0,9.0,9.0,9.0,2
2023-07-02,9.0,9.0,9.0,9.0,120
2023-07-04,9.0,9.0,9.0,9.0,42
2023-07-06,9.0,9.0,9.0,9.0,50
2023-07-09,9.0,9.3,9.0,9.0,423837
2023-07-10,9.0,9.0,9.0,9.0,82200
2023-07-11,9.0,9.0,9.0,9.0,38090
2023-07-12,9.0,9.0,9.0,9.0,5075
2023-07-13,9.0,9.0,9.0,9.0,428
2023-07-16,9.0,9.0,9.0,9.0,1632
2023-07-17,9.0,9.0,9.0,9.0,7
2023-07-18,9.0,9.0,9.0,9.0,59
2023-07-20,9.0,9.0,9.0,9.0,10
2023-07-23,9.0,9.0,9.0,9.0,1
2023-07-24,9.0,9.0,9.0,9.0,50
2023-07-26,9.0,9.0,9.0,9.0,400
2023-07-31,9.0,9.0,9.0,9.0,1
2023-08-01,9.0,9.0,9.0,9.0,1050
2023-08-09,9.0,9.0,9.0,9.0,5
2023-08-13,9.0,9.0,9.0,9.0,1
2023-08-14,9.0,9.0,9.0,9.0,3
2023-08-16,9.0,9.0,9.0,9.0,100
2023-08-23,9.0,9.0,9.0,9.0,28
2023-09-12,9.0,9.0,9.0,9.0,25
2023-09-13,9.0,9.0,9.0,9.0,377
2023-09-17,9.0,9.0,9.0,9.0,1
2023-09-27,9.0,9.0,9.0,9.0,2
2023-10-09,9.0,9.0,9.0,9.0,1500
2023-10-10,9.0,9.0,9.0,9.0,1
2023-10-15,9.0,9.0,9.0,9.0,12
2023-10-17,9.0,9.0,9.0,9.0,6
2023-10-19,9.0,9.0,9.0,9.0,206
2023-10-30,9.0,9.0,9.0,9.0,20
2023-11-02,9.0,9.0,9.0,9.0,1
2023-11-05,9.0,9.0,9.0,9.0,1
2023-11-06,9.0,9.0,9.0,9.0,10
2023-11-14,9.0,9.0,9.0,9.0,6
2023-11-15,9.0,9.0,9.0,9.0,2
2023-11-16,9.0,9.0,9.0,9.0,3
2023-11-30,9.0,9.0,9.0,9.0,1
2023-12-04,9.0,9.0,9.0,9.0,15
2023-12-05,9.0,9.0,9.0,9.0,7009
2023-12-06,9.0,9.0,9.0,9.0,3265
2023-12-07,9.0,9.0,9.0,9.0,50
2023-12-10,9.0,9.0,9.0,9.0,1500
2023-12-13,9.0,9.0,9.0,9.0,54
2023-12-14,9.0,9.0,9.0,9.0,22
2023-12-18,9.0,9.0,9.0,9.0,5
2023-12-19,9.0,9.9,9.0,9.8,1653859
2023-12-20,10.3,10.7,10.3,10.7,2938920
2023-12-21,11.7,11.7,11.4,11.7,8250619
2023-12-24,12.6,12.8,11.7,12.8,3652236
2023-12-26,13.3,14.0,13.0,14.0,5818610
2023-12-27,15.4,15.4,14.5,15.4,3630796
2023-12-28,16.0,16.9,13.9,14.9,7162415
2024-01-01,15.5,16.3,14.3,16.2,5408405
2024-01-02,16.5,16.7,14.6,14.6,3146506
2024-01-03,13.2,15.0,13.2,13.3,5878086
2024-01-04,13.6,14.6,13.3,13.8,3432418
2024-01-08,14.0,14.9,12.5,14.3,5213010
2024-01-09,14.5,14.6,13.3,13.5,3682651
2024-01-10,13.7,14.4,13.4,14.2,4409405
2024-01-11,14.4,14.8,13.3,13.4,3466400
2024-01-14,13.6,14.3,12.8,14.1,3822562
2024-01-15,14.3,14.5,13.5,13.6,3031856
2024-01-16,13.6,13.8,13.3,13.4,2560188
2024-01-17,13.4,13.7,12.9,13.1,1916905
2024-01-18,13.3,13.4,12.7,12.8,1741586
2024-01-21,12.2,12.6,11.8,12.2,1369044
2024-01-22,12.5,13.3,12.4,12.9,1788702
2024-01-23,13.1,13.3,12.3,12.6,2389641
2024-01-24,12.7,13.0,12.1,12.2,1700457
2024-01-25,12.3,12.4,11.5,11.6,1367378
2024-01-28,11.9,12.0,11.0,11.0,1047957
2024-01-29,11.5,12.0,11.3,11.8,1429360
2024-01-30,11.8,12.2,11.3,11.5,1337322
2024-01-31,11.8,12.2,11.4,11.6,2020653
2024-02-01,11.9,11.9,11.3,11.6,1234974
2024-02-04,11.7,12.7,11.5,12.7,3310665
2024-02-05,13.5,13.9,13.1,13.4,4178118
2024-02-06,13.1,13.8,12.9,13.5,2916375
2024-02-07,13.5,14.3,13.2,13.6,2972541
2024-02-08,13.6,13.9,12.8,13.0,1807269
2024-02-11,13.4,13.8,13.1,13.3,2065845
2024-02-12,13.5,13.9,13.2,13.4,2291401
2024-02-13,13.7,13.7,12.6,12.7,1472802
2024-02-14,12.8,13.0,12.1,12.2,876200
2024-02-15,13.0,13.0,11.7,11.8,1498581
2024-02-18,12.2,12.2,10.8,11.3,1997663
2024-02-19,11.6,11.9,11.3,11.7,846375
2024-02-20,11.8,11.8,11.2,11.4,1177017
2024-02-22,11.6,11.6,11.1,11.2,1090591
2024-02-25,11.3,11.4,11.0,11.1,783183
2024-02-27,11.2,12.0,11.2,11.8,1935676
2024-02-28,12.0,12.0,11.7,11.8,1008359
2024-02-29,11.7,11.9,11.4,11.5,830248
2024-03-03,11.5,11.7,11.2,11.2,902830
2024-03-04,11.4,11.7,11.2,11.4,797623
2024-03-05,11.5,11.7,11.3,11.3,657564
2024-03-06,11.3,12.2,11.3,11.7,1761747
2024-03-07,11.9,11.9,11.2,11.3,1900939
2024-03-11,10.5,11.6,10.5,11.5,1508345
2024-03-12,11.7,12.3,11.5,12.0,2089196
