Date,Open,High,Low,Close,Volume
2012-10-01,175.1,175.1,166.3,167.4,312800
2012-10-02,169.0,170.0,166.7,167.3,468600
2012-10-03,170.0,170.2,167.8,168.3,394000
2012-10-04,168.4,169.8,168.2,168.3,383800
2012-10-07,167.0,171.1,166.9,167.6,357000
2012-10-08,167.9,168.5,165.7,166.3,267000
2012-10-09,167.0,168.7,166.1,166.4,219600
2012-10-10,168.0,168.0,163.0,163.6,279400
2012-10-11,167.0,167.0,163.1,163.6,251800
2012-10-14,162.1,165.7,161.0,162.5,225800
2012-10-15,164.4,164.5,160.2,162.5,261200
2012-10-16,163.0,163.3,161.5,162.5,140200
2012-10-17,162.5,162.8,161.0,161.9,265600
2012-10-18,160.1,163.9,158.4,161.9,369800
2012-10-21,162.0,162.9,160.8,161.6,134400
2012-10-22,160.4,167.0,160.4,165.0,339800
2012-10-23,164.4,173.0,164.4,172.2,610600
2012-10-30,172.2,178.4,171.7,177.3,708400
2012-10-31,177.0,177.9,174.0,174.8,736800
2012-11-01,174.0,176.8,173.6,174.2,288400
2012-11-04,173.2,173.5,168.0,168.7,189000
2012-11-05,168.1,169.8,165.6,168.3,147600
2012-11-06,167.2,171.0,167.2,168.4,138400
2012-11-07,167.4,169.2,167.0,167.2,132600
2012-11-08,167.2,170.8,167.0,169.5,249400
2012-11-11,169.7,169.7,165.8,167.8,296400
2012-11-12,166.2,168.9,165.1,167.2,183000
2012-11-13,168.5,169.0,165.9,167.5,170400
2012-11-14,169.0,171.5,167.1,169.7,390000
2012-11-15,170.0,178.5,170.0,177.9,1279800
2012-11-18,179.0,182.5,177.0,178.2,734000
2012-11-19,175.0,176.5,171.4,172.1,405800
2012-11-20,170.0,172.3,167.7,168.2,394200
2012-11-21,168.5,171.8,168.3,169.2,298200
2012-11-22,170.0,171.0,168.8,169.1,165400
2012-11-26,168.7,169.7,166.1,167.0,213000
2012-11-27,165.7,168.0,165.7,166.4,172200
2012-11-28,167.2,168.7,164.2,165.8,247000
2012-11-29,169.8,172.4,166.6,170.9,376800
2012-12-02,173.0,174.0,168.5,170.0,297200
2012-12-03,169.0,170.0,167.5,168.1,120600
2012-12-04,168.0,168.4,166.6,167.0,170000
2012-12-05,167.5,169.6,166.8,167.4,131000
2012-12-06,167.1,169.0,166.3,167.6,204800
2012-12-09,167.0,167.9,166.4,166.9,182600
2012-12-10,166.5,167.5,166.3,166.4,168400
2012-12-11,166.0,167.5,166.0,166.6,136600
2012-12-12,167.5,168.1,166.0,166.2,175400
2012-12-13,165.6,167.0,165.4,166.5,193800
2012-12-17,168.0,168.5,167.0,167.9,196800
2012-12-18,167.3,168.8,166.8,167.1,145400
2012-12-19,167.9,168.4,167.0,167.2,182800
2012-12-20,168.1,173.0,167.8,169.9,500400
2012-12-23,171.3,171.8,169.0,169.9,287400
2012-12-24,170.4,172.0,169.2,171.5,312000
2012-12-26,172.2,175.0,172.2,174.0,441800
2012-12-27,175.0,175.7,173.0,174.8,409600
2012-12-30,175.9,175.9,174.5,175.0,415200
2013-01-01,174.9,175.0,172.0,172.6,171800
2013-01-02,172.1,172.5,170.3,170.5,159000
2013-01-03,171.6,172.0,169.3,171.6,127000
2013-01-06,171.7,172.8,170.9,172.4,114000
2013-01-07,171.8,172.8,170.7,171.6,148200
2013-01-08,171.5,172.2,171.1,171.4,100800
2013-01-09,172.0,172.0,170.1,170.9,180400
2013-01-10,171.5,171.5,170.3,170.6,143400
2013-01-13,171.3,171.3,169.9,170.0,130800
2013-01-14,170.1,170.5,169.7,170.1,111400
2013-01-15,169.6,170.3,168.9,170.0,108200
2013-01-16,170.0,170.4,169.5,169.6,103400
2013-01-17,170.0,170.6,170.0,170.4,189200
2013-01-20,169.5,170.5,169.5,169.5,78200
2013-01-21,170.5,170.5,168.5,168.9,67000
2013-01-22,169.9,169.9,168.8,169.1,113800
2013-01-23,169.1,170.4,168.0,168.1,209600
2013-01-24,168.7,168.9,166.9,167.9,283400
2013-01-27,168.0,169.2,168.0,168.4,91000
2013-01-28,168.3,168.4,167.7,168.0,202800
2013-01-29,168.2,169.2,168.2,168.6,357000
2013-01-30,168.9,171.1,168.1,168.4,323600
2013-01-31,169.9,169.9,168.0,168.2,270200
2013-02-03,168.4,170.9,168.4,169.5,271200
2013-02-04,171.0,172.5,169.5,171.5,852600
2013-02-05,173.0,175.1,171.8,174.9,658600
2013-02-06,176.0,176.1,172.5,172.8,433800
2013-02-07,171.9,172.4,169.7,170.1,510800
2013-02-10,170.9,170.9,167.1,168.3,531200
2013-02-11,168.0,168.0,163.5,165.9,575600
2013-02-12,164.2,166.7,164.2,165.1,260800
2013-02-13,165.1,168.4,165.0,166.6,377600
2013-02-14,167.9,168.3,166.3,167.9,294000
2013-02-17,167.7,168.9,166.2,166.6,190600
2013-02-18,166.0,166.8,165.4,166.2,227000
2013-02-19,165.5,166.0,163.3,163.4,430000
2013-02-24,153.1,159.0,153.0,153.5,374200
2013-02-25,154.8,155.0,150.2,150.6,237600
2013-02-26,151.9,152.0,149.7,151.4,149000
2013-02-27,151.5,151.5,146.1,146.7,225000
2013-02-28,147.0,148.4,146.1,147.1,137200
2013-03-03,144.3,145.5,140.0,141.0,202200
2013-03-04,144.1,149.8,142.0,148.2,161200
2013-03-05,149.5,149.5,145.1,145.6,104600
2013-03-06,144.0,148.0,144.0,145.3,118800
2013-03-07,142.7,144.9,142.3,143.7,88200
2013-03-10,145.0,145.2,142.0,142.5,96400
2013-03-11,140.0,142.8,138.1,141.3,192200
2013-03-12,140.3,145.7,140.3,144.1,139800
2013-03-13,146.0,147.0,145.3,145.9,138800
2013-03-14,146.0,146.2,144.2,145.9,144800
2013-03-18,142.5,146.4,142.5,144.8,125400
2013-03-19,145.1,147.6,145.1,147.1,100200
2013-03-20,145.0,147.5,145.0,145.6,99800
2013-03-24,146.0,146.1,145.2,145.3,145200
2013-03-25,145.0,145.9,143.7,144.4,100800
2013-03-27,144.9,144.9,142.3,144.0,181400
2013-03-28,144.0,147.5,143.7,147.1,180400
2013-03-31,147.5,147.6,145.1,146.9,158800
2013-04-01,146.2,146.8,145.3,146.2,228000
2013-04-02,146.3,149.1,146.0,148.7,276000
2013-04-03,149.0,149.8,147.8,148.6,164200
2013-04-04,146.2,148.0,146.2,147.4,125400
2013-04-07,146.5,148.0,145.8,147.0,140400
