Date,Open,High,Low,Close,Volume
2012-10-01,8.1,8.9,7.6,8.7,3236500
2012-10-02,9.2,9.5,9.1,9.4,8679000
2012-10-03,10.3,10.3,8.9,9.0,7134500
2012-10-04,8.6,9.5,8.2,9.1,3199000
2012-10-07,9.1,9.2,8.2,8.2,1939500
2012-10-08,7.6,8.6,7.4,7.7,1198000
2012-10-09,8.2,8.4,7.9,8.4,1103500
2012-10-10,8.9,9.0,7.9,7.9,920000
2012-10-11,7.7,8.2,7.6,7.6,655000
2012-10-14,7.9,8.0,7.3,7.4,975000
2012-10-15,7.4,8.1,7.3,8.1,1286500
2012-10-16,8.8,8.8,7.8,8.0,1825500
2012-10-17,7.9,8.4,7.9,8.2,874500
2012-10-18,8.2,8.5,8.1,8.3,1012500
2012-10-21,8.4,8.5,8.0,8.0,673500
2012-10-22,8.0,8.2,8.0,8.0,652500
2012-10-23,8.1,8.4,8.1,8.2,858500
2012-10-30,8.3,8.3,8.1,8.2,560000
2012-10-31,8.1,8.6,8.1,8.1,739500
2012-11-01,8.2,8.4,8.0,8.1,439000
2012-11-04,8.1,8.2,7.7,7.8,534500
2012-11-05,7.8,8.0,7.8,7.8,291500
2012-11-06,7.9,8.1,7.7,8.0,950000
2012-11-07,8.2,8.3,7.9,7.9,1006500
2012-11-08,7.8,8.0,7.8,7.8,684000
2012-11-11,7.6,7.9,7.5,7.6,1246500
2012-11-12,7.7,7.8,7.6,7.6,536000
2012-11-13,7.6,7.7,7.5,7.5,1897500
2012-11-14,7.6,7.6,7.3,7.4,1982000
2012-11-15,7.5,8.0,7.4,7.8,1016500
2012-11-18,8.4,8.4,7.7,7.7,736000
2012-11-19,7.5,7.8,7.5,7.5,333500
2012-11-20,7.5,7.6,7.4,7.4,282000
2012-11-21,7.4,7.5,7.4,7.4,454500
2012-11-22,7.5,7.6,7.4,7.4,523500
2012-11-26,7.2,7.4,7.2,7.2,334000
2012-11-27,7.2,7.4,7.2,7.2,333000
2012-11-28,7.2,7.3,7.1,7.1,261000
2012-11-29,7.4,7.7,7.2,7.5,357500
2012-12-02,7.7,7.7,7.3,7.3,502500
2012-12-03,7.3,7.3,7.1,7.1,401500
2012-12-04,7.1,7.2,7.0,7.1,108500
2012-12-05,7.2,7.3,7.0,7.0,327000
2012-12-06,7.1,7.1,6.9,6.9,171500
2012-12-09,6.9,6.9,6.6,6.6,249000
2012-12-10,6.9,6.9,6.4,6.4,145500
2012-12-11,6.4,7.0,6.3,7.0,506000
2012-12-12,7.0,7.4,6.7,6.8,584500
2012-12-13,6.9,7.1,6.8,6.8,252500
2012-12-17,7.0,7.1,6.9,7.0,163000
2012-12-18,7.0,7.0,6.8,6.8,177000
2012-12-19,6.8,7.2,6.8,7.0,354000
2012-12-20,7.0,7.1,6.9,6.9,126000
2012-12-23,6.9,7.1,6.8,6.8,101000
2012-12-24,6.9,7.1,6.8,7.0,173500
2012-12-26,7.0,7.0,6.8,6.8,559000
2012-12-27,6.8,6.9,6.8,6.8,349000
2012-12-30,6.8,7.0,6.8,6.9,193000
2013-01-01,6.9,6.9,6.7,6.7,296500
2013-01-02,6.7,6.9,6.6,6.6,376500
2013-01-03,7.2,7.2,6.9,7.2,1676500
2013-01-06,7.3,7.5,7.1,7.2,810000
2013-01-07,7.1,7.2,7.0,7.0,266500
2013-01-08,7.1,7.3,7.0,7.0,397000
2013-01-09,7.7,7.7,7.2,7.2,1493500
2013-01-10,7.1,7.1,7.0,7.0,317000
2013-01-13,6.9,7.0,6.8,6.8,298500
2013-01-14,6.9,6.9,6.7,6.7,482000
2013-01-15,6.8,6.9,6.7,6.8,103000
2013-01-16,6.8,6.8,6.7,6.7,310500
2013-01-17,6.8,6.8,6.7,6.7,152000
2013-01-20,6.8,6.8,6.6,6.7,373000
2013-01-21,6.7,6.7,6.6,6.7,98000
2013-01-22,6.6,6.7,6.5,6.5,512000
2013-01-23,6.5,6.6,6.4,6.4,511000
2013-01-24,6.5,6.6,6.4,6.5,532500
2013-01-27,6.4,6.5,6.4,6.4,346500
2013-01-28,6.4,6.5,6.4,6.4,104500
2013-01-29,6.4,6.6,6.4,6.4,444000
2013-01-30,6.4,6.6,6.4,6.4,205500
2013-01-31,6.5,6.5,6.4,6.4,158500
2013-02-03,6.4,6.5,6.3,6.3,283000
2013-02-04,6.4,6.4,6.2,6.2,331000
2013-02-05,6.2,6.4,6.2,6.3,240500
2013-02-06,6.3,6.5,6.3,6.4,437500
2013-02-07,6.5,6.5,6.4,6.4,321500
2013-02-10,6.5,6.6,6.4,6.4,663500
2013-02-11,6.5,6.6,6.5,6.5,246500
2013-02-12,6.6,6.6,6.4,6.4,291000
2013-02-13,6.4,6.5,6.3,6.3,535000
2013-02-14,6.4,6.5,6.3,6.3,628000
2013-02-17,6.5,6.5,6.2,6.2,250500
2013-02-18,6.3,6.3,6.1,6.1,370000
2013-02-19,6.2,6.3,6.1,6.1,277000
2013-02-20,6.1,6.2,6.0,6.0,367500
2013-02-24,6.0,6.1,5.8,5.8,249500
2013-02-25,5.8,6.0,5.8,5.8,259500
2013-02-26,5.9,5.9,5.8,5.8,281500
2013-02-27,5.8,5.9,5.7,5.7,195000
2013-02-28,5.7,5.8,5.5,5.6,138000
2013-03-03,5.5,5.5,5.2,5.3,154000
2013-03-04,5.2,5.6,5.2,5.4,136500
2013-03-05,5.4,5.5,5.3,5.4,108000
2013-03-06,5.4,5.4,5.3,5.3,242000
2013-03-07,5.3,5.4,5.2,5.2,233500
2013-03-10,5.3,5.4,5.1,5.1,125500
2013-03-11,5.2,5.2,5.0,5.0,243500
2013-03-12,5.1,5.3,5.1,5.2,514000
2013-03-13,5.3,5.4,5.2,5.3,96500
2013-03-14,5.3,5.3,5.2,5.2,69000
2013-03-18,5.2,5.4,5.2,5.3,87000
2013-03-19,5.3,5.4,5.3,5.3,66500
2013-03-20,5.3,5.4,5.1,5.1,399500
2013-03-24,5.2,5.2,5.0,5.1,169500
2013-03-25,5.1,5.1,5.0,5.0,133000
2013-03-27,5.0,5.1,4.9,4.9,119500
2013-03-28,5.0,5.1,5.0,5.0,126500
2013-03-31,5.0,5.1,4.9,5.0,104500
2013-04-01,4.9,5.0,4.8,4.8,203000
2013-04-02,4.9,4.9,4.7,4.8,47500
2013-04-03,4.9,5.0,4.8,4.8,241000
2013-04-04,4.8,5.0,4.8,4.9,137500
2013-04-07,4.9,5.3,4.9,5.2,664500
2013-04-08,5.2,5.7,5.1,5.7,1118500
2013-04-09,5.8,6.1,5.5,5.6,459500
2013-04-10,5.5,5.9,5.5,5.6,905000
2013-04-11,5.8,5.9,5.7,5.7,498000
2013-04-15,5.7,5.7,5.6,5.6,359500
2013-04-16,5.6,5.6,5.2,5.2,446500
2013-04-17,5.3,5.7,5.2,5.5,246000
2013-04-18,5.7,5.9,5.6,5.6,763500
2013-04-21,5.5,5.9,5.4,5.5,174500
2013-04-22,5.4,5.7,5.4,5.5,376000
2013-04-23,5.6,5.7,5.5,5.5,295500
2013-04-24,5.6,5.6,5.4,5.4,153000
2013-04-25,5.5,5.5,5.4,5.4,101500
2013-04-28,5.4,5.4,5.3,5.3,185000
2013-04-29,5.3,5.4,5.2,5.3,53500
2013-04-30,5.3,5.4,5.2,5.2,150000
2013-05-02,5.3,5.4,5.2,5.2,179500
2013-05-05,5.3,5.3,5.2,5.2,190000
2013-05-06,5.3,5.3,5.1,5.1,149000
2013-05-07,5.2,5.4,5.2,5.3,192000
2013-05-08,5.4,5.6,5.3,5.3,511000
2013-05-09,5.3,5.5,5.2,5.4,158000
2013-05-12,5.4,5.7,5.4,5.6,574000
2013-05-13,5.6,5.7,5.5,5.6,559500
2013-05-14,5.7,6.1,5.7,6.1,835000
2013-05-15,6.5,6.5,5.8,5.8,900000
2013-05-16,5.8,6.3,5.8,6.2,977000
2013-05-19,6.3,6.6,6.2,6.3,892500
2013-05-20,6.2,6.5,6.2,6.2,1005500
2013-05-21,6.2,6.3,6.1,6.1,527000
2013-05-22,6.1,6.2,6.0,6.0,540000
2013-05-26,6.1,6.1,5.7,5.7,635500
2013-05-27,5.8,6.1,5.8,5.9,155500
2013-05-28,6.1,6.3,6.0,6.2,849000
2013-05-29,6.2,6.4,6.2,6.2,575000
2013-05-30,6.4,6.4,6.2,6.3,615500
2013-06-02,6.5,6.7,6.4,6.6,710500
2013-06-03,6.8,6.8,6.5,6.6,561500
2013-06-04,6.7,6.7,6.4,6.4,436500
2013-06-05,6.4,6.6,6.4,6.5,307000
2013-06-06,6.6,6.7,6.4,6.4,598500
2013-06-09,6.6,6.9,6.2,6.2,731000
2013-06-10,6.5,6.8,6.3,6.6,1071000
2013-06-11,6.7,7.0,6.7,6.7,1941500
2013-06-12,6.8,6.8,6.5,6.5,426000
2013-06-13,6.4,6.7,6.4,6.6,571500
2013-06-16,6.7,6.8,6.6,6.7,694000
2013-06-17,6.6,6.8,6.5,6.5,700000
2013-06-18,6.7,7.1,6.6,7.1,2765000
2013-06-19,7.2,7.5,7.0,7.1,1367000
2013-06-20,7.1,7.2,6.8,6.8,527000
2013-06-23,6.9,7.0,6.5,6.5,511500
2013-06-24,6.5,6.6,6.3,6.3,505000
2013-06-26,6.7,6.7,6.4,6.6,535000
2013-06-27,6.5,6.6,6.4,6.4,197500
2013-06-30,6.4,6.5,5.9,6.1,869500
2013-07-02,6.3,6.6,6.2,6.5,387000
2013-07-03,6.7,6.7,6.2,6.3,620500
