Date,Open,High,Low,Close,Volume
2012-10-01,272.0,283.0,272.0,279.3,50550
2012-10-02,285.0,292.0,281.1,282.7,33650
2012-10-03,295.0,295.0,276.0,281.4,4650
2012-10-04,275.5,280.0,270.1,272.8,8350
2012-10-07,285.9,285.9,268.1,271.5,11150
2012-10-08,274.0,274.0,267.1,269.5,4050
2012-10-09,271.0,275.0,269.0,272.2,7250
2012-10-10,268.3,272.9,266.0,267.5,3000
2012-10-11,273.0,275.0,269.0,270.3,3700
2012-10-14,273.9,274.0,268.8,271.7,1250
2012-10-15,271.0,276.0,270.0,273.4,11950
2012-10-16,270.1,275.0,270.0,273.5,30250
2012-10-17,290.0,290.0,278.1,279.9,107300
2012-10-18,285.0,285.0,273.2,279.8,11950
2012-10-21,285.0,285.0,272.2,275.3,4750
2012-10-22,275.3,277.4,273.1,274.7,10950
2012-10-23,273.0,275.5,273.0,273.7,2850
2012-10-30,273.1,273.2,273.1,273.1,650
2012-10-31,272.0,279.0,271.0,273.6,19200
2012-11-01,279.0,279.0,273.0,277.5,6250
2012-11-04,278.0,278.9,272.6,277.2,2450
2012-11-05,276.0,276.0,269.5,270.3,1550
2012-11-06,270.1,273.0,270.0,271.4,2600
2012-11-07,268.4,270.0,267.3,268.1,1300
2012-11-08,278.9,278.9,267.5,271.4,1350
2012-11-11,273.0,280.0,267.1,271.5,10750
2012-11-12,269.9,273.9,268.0,270.2,12500
2012-11-13,270.3,273.0,269.0,271.0,6750
2012-11-14,270.1,287.9,270.1,280.1,20650
2012-11-15,285.5,295.0,281.5,284.5,58850
2012-11-18,285.0,285.8,281.5,282.1,26850
2012-11-19,280.0,280.0,272.0,274.9,9450
2012-11-20,274.0,274.8,270.0,271.9,9750
2012-11-21,276.0,276.0,268.1,271.0,9150
2012-11-22,276.4,276.4,270.1,270.8,6150
2012-11-26,268.0,268.8,265.3,266.6,3550
2012-11-27,261.2,270.0,260.0,265.7,3200
2012-11-28,263.5,267.0,260.1,264.8,6800
2012-11-29,267.0,270.0,265.5,267.5,15000
2012-12-02,264.1,264.3,264.0,264.0,3300
2012-12-03,260.1,261.8,260.1,260.8,4600
2012-12-04,260.3,267.0,260.3,265.2,7250
2012-12-05,265.0,265.5,263.0,264.4,1450
2012-12-06,260.4,265.9,260.4,261.6,11400
2012-12-09,258.5,261.9,258.4,259.7,550
2012-12-10,263.0,263.0,260.0,261.0,1500
2012-12-11,260.0,268.5,260.0,263.4,9150
2012-12-12,261.8,262.0,261.5,261.9,5850
2012-12-13,260.6,261.0,258.2,260.2,9850
2012-12-17,259.2,267.2,259.2,265.7,11550
2012-12-18,263.1,263.1,261.4,262.0,1750
2012-12-19,262.0,264.0,259.3,262.9,8450
2012-12-20,262.0,262.0,260.5,261.4,1750
2012-12-23,257.7,263.9,257.6,260.8,5200
2012-12-24,257.3,262.5,257.3,261.3,6000
2012-12-26,251.0,264.8,251.0,261.7,11600
2012-12-27,261.0,264.9,261.0,264.7,6100
2012-12-30,262.0,265.2,261.5,264.7,5250
2013-01-01,263.1,264.9,263.1,263.5,6450
2013-01-02,262.1,264.6,262.0,263.8,3300
2013-01-03,264.0,264.0,262.9,263.3,2700
2013-01-06,260.0,262.5,260.0,260.1,4750
2013-01-07,263.5,264.0,261.0,261.4,3350
2013-01-08,261.0,261.0,259.5,260.8,1700
2013-01-09,261.4,262.4,255.3,261.1,7600
2013-01-10,261.5,262.7,260.0,261.7,4650
2013-01-13,263.9,264.0,260.0,262.2,4000
2013-01-14,261.0,262.5,261.0,261.3,1150
2013-01-15,259.8,261.7,259.0,259.5,3050
2013-01-16,257.8,260.5,257.8,259.0,2200
2013-01-17,257.1,262.5,257.1,260.2,8050
2013-01-20,260.0,262.5,260.0,260.7,2300
2013-01-21,260.6,260.6,258.3,259.7,3250
2013-01-22,260.0,262.7,259.5,260.8,4800
2013-01-23,263.4,263.4,261.0,261.8,3200
2013-01-24,259.5,261.5,259.5,260.2,14150
2013-01-27,262.9,262.9,259.3,259.8,5000
2013-01-28,262.3,263.7,261.7,263.1,14950
2013-01-29,264.0,266.0,264.0,265.2,8600
2013-01-30,266.9,266.9,261.5,263.6,9550
2013-01-31,261.0,262.5,261.0,261.6,2450
2013-02-03,262.9,264.9,260.1,261.6,12400
2013-02-04,266.8,266.8,260.1,261.9,10350
2013-02-05,261.0,264.8,261.0,264.3,13650
2013-02-06,261.1,266.4,261.0,265.8,22200
2013-02-07,266.2,266.5,265.0,265.8,14400
2013-02-10,266.5,267.5,263.3,266.1,16850
2013-02-11,267.8,268.0,265.0,265.4,11800
2013-02-12,265.0,267.0,265.0,265.0,27750
2013-02-13,266.0,266.0,264.0,265.4,16200
2013-02-14,263.0,268.3,263.0,267.0,16400
2013-02-17,266.6,267.9,262.3,263.5,9150
2013-02-18,263.0,266.0,263.0,264.3,14500
2013-02-19,261.4,261.4,261.3,261.3,1500
2013-02-20,262.0,262.3,260.3,260.4,10450
2013-02-24,260.2,260.2,250.0,255.5,8500
2013-02-25,258.0,260.0,255.3,256.2,1200
2013-02-26,259.4,259.4,257.0,257.7,700
2013-02-27,245.3,260.0,245.0,246.4,17450
2013-02-28,252.0,252.0,243.6,245.7,12000
2013-03-03,240.5,245.1,240.0,240.1,13050
2013-03-04,243.6,251.7,243.6,248.7,3300
2013-03-05,248.7,248.8,244.0,245.9,2150
2013-03-06,245.0,245.0,242.4,243.8,3400
2013-03-07,243.0,243.5,238.0,241.4,6950
2013-03-10,241.5,242.0,235.0,235.8,7350
2013-03-11,238.0,241.9,237.1,239.3,1850
2013-03-12,238.5,238.5,238.2,238.4,750
2013-03-13,242.0,244.5,241.1,242.6,3750
2013-03-14,247.0,247.0,240.0,243.5,10600
2013-03-18,243.5,243.5,240.2,242.9,800
2013-03-19,241.1,245.0,241.0,242.0,7050
2013-03-20,242.0,243.0,240.0,241.5,1250
2013-03-24,238.0,240.8,237.0,237.5,2950
2013-03-25,237.5,243.0,236.7,241.8,13350
2013-03-27,237.5,239.0,237.5,238.2,1850
2013-03-28,243.9,243.9,237.5,237.8,5600
2013-03-31,238.0,238.0,230.0,237.1,3300
2013-04-01,231.1,231.3,227.2,229.8,2550
2013-04-02,232.2,232.5,230.0,231.3,1700
2013-04-03,231.0,234.9,230.3,231.5,3200
2013-04-04,227.5,229.8,226.2,227.7,1850
2013-04-07,228.0,228.0,228.0,228.0,50
2013-04-08,230.0,234.6,230.0,230.7,3000
2013-04-09,239.0,239.0,229.0,229.6,5400
2013-04-10,231.0,232.9,230.0,231.0,3050
2013-04-11,231.0,232.0,229.5,230.9,1050
2013-04-15,233.0,241.0,233.0,235.6,44950
2013-04-16,236.1,238.8,234.0,234.6,6450
2013-04-17,233.1,248.0,233.0,236.7,8100
2013-04-18,237.0,242.0,236.7,240.4,19100
2013-04-21,240.0,240.0,238.1,238.3,6150
2013-04-22,239.8,240.0,237.1,237.8,10850
2013-04-23,238.0,242.0,238.0,239.6,21600
2013-04-25,231.0,232.5,227.1,231.1,13300
2013-04-28,225.6,232.5,225.6,231.3,8450
2013-04-29,230.0,233.0,229.5,231.3,5900
2013-04-30,232.5,232.5,231.5,231.7,4050
2013-05-02,231.8,232.9,231.8,232.5,8950
2013-05-05,232.0,234.0,231.0,233.4,4900
2013-05-06,231.0,237.8,230.0,235.3,5500
2013-05-07,233.5,242.0,233.5,240.9,6200
2013-05-08,239.2,245.0,239.0,240.5,2850
2013-05-09,240.6,244.8,239.5,243.7,14300
2013-05-12,245.0,254.0,245.0,252.5,22350
2013-05-13,255.0,255.0,247.2,249.8,16300
2013-05-14,256.0,256.0,250.1,251.2,29200
2013-05-15,251.0,253.0,250.7,251.0,27150
2013-05-16,250.0,259.0,250.0,254.6,28400
2013-05-19,255.5,260.0,253.0,255.7,28550
2013-05-20,260.0,265.0,255.2,257.9,37250
2013-05-21,254.5,256.5,254.5,254.5,42900
2013-05-22,260.9,276.7,260.0,273.7,105500
2013-05-26,269.1,271.0,257.6,258.1,7350
2013-05-27,263.0,270.0,263.0,268.4,6550
2013-05-28,262.7,267.0,262.0,262.7,6000
2013-05-29,267.0,271.0,267.0,268.6,10900
2013-05-30,271.8,274.5,268.2,270.1,21350
2013-06-02,274.6,279.0,271.3,277.9,32200
2013-06-03,280.0,281.0,267.5,270.1,18350
2013-06-04,275.3,275.7,272.0,273.6,18200
2013-06-05,271.5,281.0,271.5,278.1,22550
2013-06-06,280.0,302.0,276.8,292.0,72400
2013-06-09,290.0,303.0,285.0,286.5,62650
2013-06-10,299.0,311.5,299.0,311.5,87950
2013-06-11,317.0,338.7,317.0,330.4,119800
2013-06-12,340.0,340.0,315.0,318.4,57400
2013-06-13,322.0,322.0,308.0,310.2,39200
2013-06-16,318.0,324.9,310.5,317.1,46150
2013-06-17,324.8,340.0,315.0,318.9,79500
2013-06-18,326.9,340.0,326.9,333.4,160300
2013-06-19,339.0,344.9,331.1,337.1,89700
2013-06-20,336.0,350.3,333.0,334.6,96400
2013-06-23,340.0,352.9,335.1,339.0,136300
2013-06-24,347.0,347.0,328.0,332.7,101700
2013-06-26,345.9,355.0,340.0,349.0,188350
2013-06-27,355.0,355.0,333.0,340.3,84500
2013-06-30,340.0,340.0,329.1,335.0,103550
2013-07-02,343.8,350.0,338.1,345.1,144550
2013-07-03,354.5,355.0,336.0,340.7,60300
2013-07-04,347.0,355.0,343.1,352.6,182600
2013-07-07,351.0,361.4,345.4,359.1,131200
2013-07-08,360.0,360.0,352.7,355.4,81150
2013-07-09,359.9,363.4,350.9,357.2,125900
2013-07-10,363.0,364.0,345.1,350.9,128950
2013-07-11,357.9,357.9,330.4,334.9,69350
2013-07-14,338.2,342.9,321.0,325.5,34600
2013-07-15,335.0,339.5,324.0,336.2,106600
2013-07-16,335.0,344.7,326.0,334.0,47300
2013-07-17,321.0,332.0,321.0,327.5,65450
2013-07-18,330.0,345.0,328.2,330.4,62000
2013-07-21,322.0,334.9,302.0,302.4,32100
2013-07-22,305.0,320.0,302.0,304.4,40300
2013-07-23,304.5,306.9,296.0,298.2,54800
2013-07-24,298.0,316.8,298.0,305.9,52750
2013-07-25,305.6,308.9,287.2,294.2,24300
