Date,Open,High,Low,Close,Volume
2014-12-04,60.1,69.0,55.0,56.1,8186200
2014-12-07,55.0,58.9,52.2,55.9,3839200
2014-12-08,56.8,58.6,52.8,53.7,2387000
2014-12-09,53.9,54.3,50.0,50.4,2145200
2014-12-10,51.0,53.0,46.1,46.6,2941200
2014-12-11,46.1,46.2,43.3,43.8,764307
2014-12-14,43.3,47.0,43.3,46.2,849467
2014-12-15,46.4,46.8,44.0,44.4,783089
2014-12-17,44.3,44.7,43.1,43.3,808920
2014-12-18,43.2,44.1,42.8,43.1,753203
2014-12-21,43.0,43.9,42.4,42.7,886492
2014-12-23,38.8,39.6,37.2,37.5,703841
2014-12-24,37.1,37.5,36.4,36.8,469417
2014-12-28,37.0,37.5,36.0,36.1,322991
2014-12-29,36.2,37.6,36.2,36.6,340468
2014-12-30,37.0,37.1,36.7,36.8,387853
2015-01-01,37.0,37.5,36.8,36.9,365457
2015-01-05,36.8,37.2,36.4,36.7,424900
2015-01-06,36.8,39.5,36.8,38.9,1058840
2015-01-07,39.0,41.4,39.0,40.2,1862340
2015-01-08,40.2,40.5,39.0,39.2,845816
2015-01-11,39.0,39.6,38.5,38.7,768115
2015-01-12,39.0,39.9,38.7,39.4,744424
2015-01-13,39.6,40.1,38.6,38.9,832854
2015-01-14,38.5,39.2,37.5,37.6,625078
2015-01-15,38.0,38.5,37.5,37.7,388423
2015-01-18,38.0,38.0,36.5,36.6,508755
2015-01-19,36.6,36.8,35.5,35.8,426951
2015-01-20,36.0,36.5,34.1,34.6,504396
2015-01-21,34.5,34.7,32.5,32.8,1063870
2015-01-22,32.5,33.8,32.5,33.4,734590
2015-01-25,33.3,33.9,31.6,31.9,614309
2015-01-26,32.0,32.9,30.9,31.2,544300
2015-01-27,31.8,32.0,30.7,31.7,534226
2015-01-28,31.7,32.5,31.5,31.7,430185
2015-01-29,31.4,31.4,28.8,29.1,1157360
2015-02-01,28.1,28.2,27.1,27.3,611877
2015-02-02,26.9,27.3,26.5,26.8,586007
2015-02-03,26.8,27.5,26.4,26.8,384439
2015-02-04,27.0,27.1,26.3,26.5,295044
2015-02-05,26.2,27.1,26.0,26.9,503417
2015-02-08,27.0,27.6,26.7,27.2,457583
2015-02-09,26.5,27.8,26.5,26.8,348759
2015-02-10,26.9,27.3,26.7,26.9,651313
2015-02-11,27.6,28.3,26.9,27.6,878413
