Date,Open,High,Low,Close,Volume
2014-05-14,40.0,45.8,35.0,44.1,6993000
2014-05-15,44.1,45.5,43.0,43.5,2174500
2014-05-18,43.0,44.7,42.7,43.2,2862000
2014-05-19,43.2,43.6,39.9,41.1,2259000
2014-05-20,42.4,43.8,41.3,43.2,2102000
2014-05-21,43.7,44.7,43.2,43.6,2192000
2014-05-22,43.6,43.9,42.1,42.3,1373500
2014-05-25,42.0,43.0,41.7,42.6,1142500
2014-05-26,42.8,43.1,42.1,42.2,847500
2014-05-27,42.5,42.7,41.8,42.0,634000
2014-05-28,42.0,42.5,41.0,41.3,925000
2014-05-29,41.5,41.9,40.9,41.0,1111000
2014-06-01,41.0,41.8,40.6,40.9,646000
2014-06-02,41.3,41.3,39.8,40.8,768000
2014-06-03,41.0,43.2,40.8,42.2,1088500
2014-06-04,42.4,42.8,41.0,41.1,728500
2014-06-05,41.5,43.4,41.2,41.7,1247500
2014-06-08,41.8,43.1,41.0,42.4,896000
2014-06-09,42.8,43.7,42.5,42.7,1288500
2014-06-10,43.0,43.0,41.8,42.4,787500
2014-06-11,42.7,43.2,41.5,41.8,895000
2014-06-12,41.6,42.5,40.8,40.9,566000
2014-06-15,40.5,41.4,38.7,39.0,731000
2014-06-16,40.3,40.3,38.1,38.5,368000
2014-06-17,38.8,39.2,38.0,38.0,329500
2014-06-18,38.4,39.3,38.4,38.7,327500
2014-06-19,38.8,39.8,38.7,38.8,442000
2014-06-22,38.1,39.3,38.1,38.7,161500
2014-06-23,38.8,38.9,38.0,38.2,297000
2014-06-24,38.3,38.9,38.1,38.4,355500
2014-06-25,38.4,40.3,38.4,39.9,429500
2014-06-26,39.7,39.8,39.1,39.5,211000
2014-06-29,40.0,40.3,39.2,39.3,417000
2014-06-30,39.1,39.6,38.0,38.1,317500
2014-07-02,38.4,38.6,38.1,38.2,141000
2014-07-03,38.4,39.2,38.2,38.6,239000
2014-07-06,38.0,39.3,38.0,38.8,324500
2014-07-07,39.4,39.4,38.4,38.7,115500
2014-07-08,38.1,38.5,37.9,38.1,282000
2014-07-09,38.0,38.6,37.8,37.9,185000
2014-07-10,37.6,38.4,37.6,37.7,140500
2014-07-13,37.5,37.6,36.9,37.0,102500
2014-07-14,37.1,37.8,37.0,37.2,152000
2014-07-15,37.2,37.2,36.9,37.0,206000
2014-07-16,36.9,37.7,36.8,37.2,103500
2014-07-17,37.3,39.1,37.2,38.7,466000
2014-07-20,38.7,39.3,38.2,39.1,472500
2014-07-21,39.0,39.2,38.4,38.7,312500
2014-07-22,39.0,40.0,39.0,39.4,630000
2014-07-23,40.0,41.2,40.0,40.3,882500
2014-07-24,40.2,40.8,39.6,40.6,511000
2014-08-03,41.0,44.6,40.8,44.6,2347500
2014-08-04,45.0,45.9,43.7,45.4,2010000
2014-08-05,45.6,47.8,44.7,47.2,1860500
2014-08-06,47.2,48.4,46.2,46.6,1809500
2014-08-07,46.8,50.0,45.4,49.3,2444500
2014-08-10,50.4,54.2,50.0,54.2,3968500
2014-08-11,53.9,57.2,51.6,54.9,3109500
2014-08-12,55.9,55.9,51.7,52.9,2492000
2014-08-13,53.9,58.1,53.0,57.7,2810500
2014-08-14,57.7,59.3,56.7,58.0,1987500
2014-08-18,57.5,58.5,55.5,56.1,1455500
2014-08-19,57.0,57.5,53.2,54.0,1843500
2014-08-20,54.0,55.8,52.3,52.7,1280500
2014-08-21,53.0,54.7,52.1,53.6,1219500
2014-08-24,53.7,56.1,53.1,53.8,1344500
2014-08-25,54.3,54.3,50.7,51.4,997500
2014-08-26,51.1,52.7,50.4,50.6,877500
2014-08-27,53.0,53.0,50.5,50.8,654000
2014-08-28,51.8,51.8,50.0,50.3,723500
2014-08-31,52.6,52.6,48.3,48.9,705000
2014-09-01,49.6,50.8,48.6,49.0,558500
2014-09-02,51.0,51.0,47.8,48.5,878000
2014-09-03,48.6,49.3,47.8,47.9,329500
2014-09-04,49.3,49.4,47.6,47.9,913000
2014-09-07,48.1,51.5,48.1,49.7,934500
2014-09-08,50.2,51.9,50.0,51.1,1221000
2014-09-09,51.8,53.5,50.7,51.3,966500
2014-09-10,51.8,52.0,49.0,49.2,801000
2014-09-11,50.0,50.0,48.1,48.8,515000
2014-09-14,49.0,49.6,46.2,46.7,829000
2014-09-15,47.5,48.0,46.3,46.4,268500
2014-09-16,46.5,47.1,44.3,45.6,737000
2014-09-17,46.2,47.3,44.9,45.1,1127000
2014-09-18,46.6,47.0,45.1,45.3,879000
2014-09-21,46.2,49.7,46.2,48.0,706500
2014-09-22,48.5,49.3,46.9,47.0,1202000
2014-09-23,46.8,47.5,45.1,45.3,829000
2014-09-24,45.6,46.3,44.6,45.1,653500
2014-09-25,46.4,46.4,43.9,44.2,942000
2014-09-28,45.0,45.4,43.6,44.9,582500
2014-09-29,45.4,45.7,43.9,44.3,430500
2014-09-30,44.3,44.8,43.9,44.0,382500
2014-10-01,44.0,46.8,44.0,46.5,906000
2014-10-02,46.7,50.9,46.7,49.1,1830500
2014-10-12,51.7,51.9,49.9,50.2,863000
2014-10-13,51.5,51.5,47.9,48.3,737500
2014-10-14,49.4,49.5,47.8,48.0,780500
2014-10-15,48.5,49.0,47.8,48.5,589000
2014-10-16,48.5,48.7,47.8,48.2,294000
2014-10-19,48.1,48.8,46.7,47.0,378500
2014-10-20,48.0,48.2,46.7,46.9,339500
2014-10-21,48.0,48.1,46.8,47.2,369000
2014-10-22,47.0,50.1,47.0,48.3,639000
2014-10-23,48.7,49.4,47.9,48.0,375500
2014-10-26,48.1,48.9,47.3,47.5,242000
2014-10-27,47.8,48.0,47.0,47.3,142000
2014-10-28,47.0,47.5,46.8,46.9,161000
2014-10-29,45.9,45.9,44.3,44.6,285500
2014-10-30,45.5,46.3,45.1,45.3,206000
2014-11-02,46.0,46.0,43.9,44.0,111000
2014-11-03,44.0,45.2,43.4,43.7,212000
2014-11-05,43.9,44.2,42.9,43.7,294500
2014-11-06,43.1,44.7,43.1,43.8,204500
2014-11-09,44.5,45.1,43.6,44.7,298000
2014-11-11,42.1,43.6,42.0,42.4,511000
