Date,Open,High,Low,Close,Volume
2012-10-01,98.9,102.6,92.0,100.9,39900
2012-10-02,103.0,107.4,101.0,102.5,31600
2012-10-03,105.0,105.0,96.0,97.3,9600
2012-10-04,94.5,100.0,94.5,97.1,4000
2012-10-07,95.8,96.9,93.2,94.4,7200
2012-10-08,92.0,95.5,92.0,92.7,7000
2012-10-09,94.3,94.5,93.0,93.8,3400
2012-10-10,92.5,93.2,92.3,92.5,6300
2012-10-11,91.1,93.0,90.3,90.9,12100
2012-10-14,90.1,93.5,88.6,90.4,2300
2012-10-15,90.0,91.0,89.5,90.1,4000
2012-10-16,90.1,91.2,90.1,90.7,600
2012-10-17,91.0,91.1,90.0,90.6,1600
2012-10-18,90.8,90.8,88.3,88.8,3700
2012-10-21,88.1,89.2,88.1,88.8,2800
2012-10-22,91.0,91.0,90.0,90.6,1600
2012-10-23,90.5,91.0,90.2,90.6,2700
2012-10-30,89.5,89.6,89.5,89.5,2500
2012-10-31,88.1,91.4,88.1,89.5,3900
2012-11-01,90.0,92.2,90.0,90.8,1600
2012-11-04,90.4,90.4,89.0,89.8,1500
2012-11-05,89.7,91.9,89.5,89.9,1200
2012-11-06,89.5,89.6,89.5,89.5,500
2012-11-07,84.0,88.2,84.0,87.6,1100
2012-11-08,87.6,92.0,87.0,89.6,1900
2012-11-11,88.0,89.5,86.6,87.9,1400
2012-11-12,88.0,90.0,88.0,88.1,1500
2012-11-13,88.1,89.7,88.1,89.2,1300
2012-11-14,86.6,86.6,86.5,86.5,300
2012-11-15,91.6,91.6,88.0,89.4,1400
2012-11-18,89.5,89.5,88.2,88.8,800
2012-11-19,86.2,88.5,86.2,87.2,2700
2012-11-20,85.0,85.0,84.0,84.5,2000
2012-11-21,85.0,85.0,84.5,84.5,2100
2012-11-22,84.3,85.0,83.7,84.0,1600
2012-11-26,85.0,85.0,80.8,81.8,1100
2012-11-27,82.0,83.4,82.0,82.3,400
2012-11-28,81.0,81.0,81.0,81.0,100
2012-11-29,83.2,84.0,83.0,83.3,3300
2012-12-02,83.3,83.3,83.0,83.1,300
2012-12-03,80.0,80.3,80.0,80.1,500
2012-12-04,81.9,82.0,81.1,81.9,2300
2012-12-05,76.0,80.3,76.0,78.4,500
2012-12-06,81.0,82.0,81.0,81.1,2000
2012-12-09,80.8,81.8,80.6,80.8,1200
2012-12-10,82.9,82.9,80.8,81.4,500
2012-12-11,82.0,82.0,80.2,81.6,2700
