Date,Open,High,Low,Close,Volume
2012-10-01,8.2,9.1,7.9,9.0,2414000
2012-10-02,9.4,9.9,9.4,9.9,5949000
2012-10-03,10.8,10.8,9.9,10.0,7523500
2012-10-04,10.0,10.8,9.1,10.0,2629500
2012-10-07,10.2,10.4,9.0,9.0,2297500
2012-10-08,9.0,9.0,8.1,8.2,1850000
2012-10-09,8.5,9.0,8.4,8.9,1360000
2012-10-10,8.9,9.3,8.2,8.3,847500
2012-10-11,8.4,8.6,8.0,8.2,944500
2012-10-14,8.5,8.6,7.7,7.8,773000
2012-10-15,7.7,8.5,7.6,8.4,1017500
2012-10-16,8.7,9.0,8.2,8.3,714000
2012-10-17,8.3,8.5,8.1,8.3,443000
2012-10-18,8.3,8.6,8.2,8.2,568500
2012-10-21,8.4,8.4,8.0,8.1,335500
2012-10-22,8.2,8.3,7.9,8.0,516000
2012-10-23,8.3,8.3,7.9,8.0,637500
2012-10-30,8.0,8.1,7.9,7.9,168500
2012-10-31,8.0,8.3,7.9,7.9,512500
2012-11-01,8.1,8.2,7.8,7.8,408500
2012-11-04,8.1,8.1,7.6,7.6,368000
2012-11-05,7.7,7.8,7.5,7.6,291000
2012-11-06,7.8,8.1,7.7,8.0,816500
2012-11-07,8.2,8.2,8.0,8.0,783000
2012-11-08,7.8,8.0,7.7,7.7,411000
2012-11-11,7.8,7.8,7.1,7.2,538500
2012-11-12,7.2,7.4,6.6,6.8,592000
2012-11-13,6.9,7.3,6.8,7.1,555500
2012-11-14,7.2,7.4,6.9,7.0,199500
2012-11-15,7.1,7.7,7.0,7.6,883500
2012-11-18,7.8,8.1,7.7,7.7,455000
2012-11-19,7.6,7.8,7.4,7.4,494500
2012-11-20,7.4,7.7,7.2,7.2,523000
2012-11-21,7.6,7.6,7.0,7.1,465000
2012-11-22,7.4,7.5,7.3,7.4,258000
2012-11-26,7.4,7.4,7.2,7.2,154500
2012-11-27,7.1,7.3,7.0,7.1,285500
2012-11-28,7.2,7.4,7.1,7.1,216000
2012-11-29,7.4,7.8,7.3,7.7,314500
2012-12-02,7.7,7.7,7.2,7.2,243500
2012-12-03,7.4,7.4,7.1,7.1,178000
2012-12-04,7.1,7.3,7.1,7.2,169000
2012-12-05,7.2,7.3,7.1,7.1,250500
2012-12-06,7.1,7.2,7.0,7.1,227500
2012-12-09,7.0,7.1,6.8,6.8,217500
2012-12-10,7.0,7.0,6.8,6.8,251000
2012-12-11,6.6,7.4,6.6,7.3,395500
2012-12-12,7.2,7.5,6.9,7.0,300500
2012-12-13,7.0,7.2,7.0,7.1,100500
2012-12-17,7.2,7.3,7.0,7.1,198000
2012-12-18,7.2,7.2,7.0,7.0,152000
2012-12-19,7.2,7.2,7.0,7.0,232500
2012-12-20,7.2,7.2,6.9,6.9,268000
2012-12-23,7.0,7.0,6.9,6.9,182500
2012-12-24,6.9,7.2,6.9,7.0,109000
2012-12-26,7.0,7.1,6.9,6.9,317500
2012-12-27,6.9,7.1,6.9,7.0,328500
2012-12-30,7.0,7.2,6.9,6.9,132000
2013-01-01,7.0,7.1,6.9,6.9,146500
2013-01-02,7.0,7.0,6.8,6.8,311500
2013-01-03,7.1,7.4,7.1,7.2,877000
2013-01-06,7.2,7.4,7.0,7.0,232000
2013-01-07,7.0,7.1,7.0,7.0,206000
2013-01-08,7.2,7.3,7.0,7.0,285000
2013-01-09,7.7,7.7,7.0,7.1,942000
2013-01-10,7.1,7.2,6.7,6.9,727000
2013-01-13,7.0,7.0,6.8,6.9,235000
2013-01-14,7.0,7.0,6.8,6.8,175500
2013-01-15,6.9,7.0,6.7,6.7,370500
2013-01-16,6.9,7.0,6.8,6.8,166000
2013-01-17,6.9,7.0,6.8,6.9,121000
2013-01-20,7.1,7.2,6.8,6.8,132500
2013-01-21,6.9,6.9,6.8,6.8,288500
2013-01-22,6.7,6.8,6.6,6.6,816500
2013-01-23,6.7,6.7,6.6,6.6,267000
2013-01-24,6.5,6.7,6.5,6.6,203500
2013-01-27,6.7,6.8,6.5,6.5,365000
2013-01-28,6.5,6.6,6.5,6.5,197500
2013-01-29,6.6,6.7,6.5,6.6,381000
2013-01-30,6.7,6.8,6.6,6.6,265000
2013-01-31,6.5,6.7,6.5,6.6,221500
2013-02-03,6.6,6.8,6.6,6.6,366000
2013-02-04,6.7,6.8,6.6,6.6,341000
2013-02-05,6.7,6.7,6.5,6.6,176500
2013-02-06,6.7,6.7,6.5,6.5,267500
2013-02-07,6.6,6.7,6.5,6.6,275000
2013-02-10,6.6,6.7,6.5,6.5,382000
2013-02-11,6.5,6.7,6.5,6.6,474000
2013-02-12,6.6,6.7,6.5,6.5,241500
2013-02-13,6.6,6.6,6.5,6.5,328500
2013-02-14,6.6,6.6,6.4,6.4,642000
2013-02-17,6.5,6.6,6.4,6.4,275000
2013-02-18,6.4,6.5,6.3,6.3,319500
2013-02-19,6.3,6.4,6.2,6.2,283000
2013-02-20,6.4,6.4,6.1,6.1,204000
2013-02-24,6.2,6.2,6.0,6.0,326500
2013-02-25,6.1,6.2,5.9,5.9,216500
2013-02-26,6.1,6.1,5.8,5.9,510000
2013-02-27,6.1,6.1,5.8,5.8,370500
2013-02-28,5.8,5.9,5.7,5.8,184500
2013-03-03,5.8,5.8,5.4,5.4,321500
2013-03-04,5.6,5.7,5.5,5.6,98500
2013-03-05,5.8,5.9,5.6,5.8,250000
2013-03-06,5.6,5.8,5.6,5.6,96500
2013-03-07,5.6,5.6,5.5,5.5,120500
2013-03-10,5.5,5.7,5.5,5.6,97000
2013-03-11,5.5,5.5,5.4,5.4,185000
2013-03-12,5.4,5.7,5.4,5.6,265000
2013-03-13,5.7,5.7,5.5,5.6,88500
2013-03-14,5.6,5.7,5.5,5.5,97000
2013-03-18,5.5,5.6,5.4,5.5,60000
2013-03-19,5.6,5.8,5.5,5.6,218500
2013-03-20,5.6,5.7,5.5,5.5,115000
2013-03-24,5.5,5.6,5.4,5.4,156000
2013-03-25,5.5,5.5,5.3,5.3,159500
2013-03-27,5.4,5.4,5.2,5.2,59000
2013-03-28,5.4,5.4,5.2,5.3,52500
2013-03-31,5.3,5.4,5.1,5.1,124000
2013-04-01,5.1,5.1,5.0,5.0,151500
2013-04-02,5.1,5.1,5.0,5.1,84000
2013-04-03,5.2,5.2,5.0,5.1,46000
2013-04-04,5.1,5.1,5.0,5.0,66500
2013-04-07,5.2,5.5,5.1,5.3,272000
2013-04-08,5.3,5.8,5.3,5.8,603000
2013-04-09,6.0,6.1,5.6,5.7,246000
2013-04-10,6.0,6.1,5.8,5.9,607500
2013-04-11,5.9,6.0,5.8,5.8,319500
2013-04-15,6.0,6.1,5.8,5.9,422500
2013-04-16,5.9,5.9,5.7,5.7,202000
2013-04-17,5.7,5.9,5.6,5.7,259500
2013-04-18,5.9,6.1,5.8,5.8,486500
2013-04-21,6.0,6.0,5.8,5.8,143000
2013-04-22,5.8,6.0,5.8,5.9,178000
2013-04-23,5.8,6.1,5.8,5.9,433000
2013-04-24,6.0,6.0,5.8,5.8,75500
2013-04-25,5.8,6.0,5.8,5.8,116000
2013-04-28,6.0,6.0,5.7,5.8,184000
2013-04-29,5.7,5.9,5.7,5.7,109000
2013-04-30,5.8,5.8,5.6,5.6,39000
2013-05-02,5.5,5.7,5.5,5.6,36500
2013-05-05,5.7,5.8,5.5,5.5,168000
2013-05-06,5.6,5.6,5.5,5.5,61500
2013-05-07,5.6,5.8,5.6,5.7,116000
2013-05-08,6.0,6.1,5.8,5.9,291000
2013-05-09,5.9,6.1,5.8,6.0,460000
2013-05-12,6.1,6.3,6.1,6.2,381000
2013-05-13,6.2,6.4,6.1,6.3,388000
2013-05-14,6.3,6.7,6.3,6.6,682500
2013-05-15,6.4,6.7,6.3,6.3,366500
2013-05-16,6.4,6.7,6.4,6.6,553000
2013-05-19,6.7,6.7,6.4,6.5,417000
2013-05-20,6.5,6.7,6.3,6.4,457500
2013-05-21,6.4,6.6,6.2,6.2,434500
2013-05-22,6.3,6.3,6.1,6.1,352000
2013-05-26,6.1,6.2,6.0,6.0,131000
